C2,Counts
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,221
ENSDARG00000005318,39
ENSDARG00000005320,7
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,4
ENSDARG00000005343,21
ENSDARG00000005350,101
ENSDARG00000005355,98
ENSDARG00000005356,24
ENSDARG00000005359,113
ENSDARG00000005364,7
ENSDARG00000005368,97
ENSDARG00000005371,0
ENSDARG00000005372,16
ENSDARG00000005374,64
ENSDARG00000005382,63
ENSDARG00000005392,0
ENSDARG00000005394,119
ENSDARG00000005397,182
ENSDARG00000005414,0
ENSDARG00000005416,47
ENSDARG00000005423,8
ENSDARG00000005425,21
ENSDARG00000005448,8
ENSDARG00000005451,173
ENSDARG00000005453,123
ENSDARG00000005454,35
ENSDARG00000005456,194
ENSDARG00000005458,52
ENSDARG00000005462,42
ENSDARG00000005463,80
ENSDARG00000005464,0
ENSDARG00000005468,101
ENSDARG00000005476,128
ENSDARG00000005479,635
ENSDARG00000005481,25
ENSDARG00000005482,571
ENSDARG00000005485,63
ENSDARG00000005500,8
ENSDARG00000005510,0
ENSDARG00000005513,1074
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,4
ENSDARG00000005526,26
ENSDARG00000005536,182
ENSDARG00000005540,179
ENSDARG00000005541,20
ENSDARG00000005544,52
ENSDARG00000005547,5
ENSDARG00000005549,58
ENSDARG00000005551,46
ENSDARG00000005559,21
ENSDARG00000005560,196
ENSDARG00000005561,16
ENSDARG00000005565,22
ENSDARG00000005574,44
ENSDARG00000005576,218
ENSDARG00000005578,110
ENSDARG00000005586,33
ENSDARG00000005590,60
ENSDARG00000005595,12
ENSDARG00000005606,36
ENSDARG00000005612,0
ENSDARG00000005616,0
ENSDARG00000005619,8
ENSDARG00000005625,83
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,13
ENSDARG00000005640,3
ENSDARG00000005643,5
ENSDARG00000005645,173
ENSDARG00000005648,33
ENSDARG00000005651,25
ENSDARG00000005652,217
ENSDARG00000005670,72
ENSDARG00000005673,13
ENSDARG00000005675,25
ENSDARG00000005679,30
ENSDARG00000005690,56
ENSDARG00000005699,76
ENSDARG00000005704,34
ENSDARG00000005713,8
ENSDARG00000005716,4
ENSDARG00000005738,1
ENSDARG00000005739,25
ENSDARG00000005749,2
ENSDARG00000005754,333
ENSDARG00000005762,37
ENSDARG00000005772,62
ENSDARG00000005774,445
ENSDARG00000005775,472
ENSDARG00000005776,29
ENSDARG00000005780,3
ENSDARG00000005783,360
ENSDARG00000005786,42
ENSDARG00000005789,21
ENSDARG00000005791,578
ENSDARG00000005799,8
ENSDARG00000005800,54
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,79
ENSDARG00000005827,32
ENSDARG00000005828,8
ENSDARG00000005834,137
ENSDARG00000005840,144
ENSDARG00000005841,83
ENSDARG00000005842,28
ENSDARG00000005853,17
ENSDARG00000005861,489
ENSDARG00000005865,0
ENSDARG00000005867,70
ENSDARG00000005870,7
ENSDARG00000005883,11
ENSDARG00000005891,84
ENSDARG00000005894,3
ENSDARG00000005897,21
ENSDARG00000005908,30
ENSDARG00000005913,12
ENSDARG00000005915,90
ENSDARG00000005916,41
ENSDARG00000005924,127
ENSDARG00000005926,13
ENSDARG00000005927,51
ENSDARG00000005941,224
ENSDARG00000005942,7
ENSDARG00000005943,3
ENSDARG00000005945,84
ENSDARG00000005948,29
ENSDARG00000005972,60
ENSDARG00000005980,131
ENSDARG00000005989,6
ENSDARG00000005993,0
ENSDARG00000006003,1
ENSDARG00000006008,121
ENSDARG00000006010,40
ENSDARG00000006011,13
ENSDARG00000006019,132
ENSDARG00000006025,43
ENSDARG00000006029,0
ENSDARG00000006031,510
ENSDARG00000006038,39
ENSDARG00000006040,18
ENSDARG00000006044,8
ENSDARG00000006052,0
ENSDARG00000006060,191
ENSDARG00000006062,193
ENSDARG00000006065,21
ENSDARG00000006074,35
ENSDARG00000006079,3
ENSDARG00000006092,360
ENSDARG00000006093,4
ENSDARG00000006094,234
ENSDARG00000006109,0
ENSDARG00000006110,0
ENSDARG00000006112,44
ENSDARG00000006120,74
ENSDARG00000006124,355
ENSDARG00000006125,75
ENSDARG00000006128,229
ENSDARG00000006137,0
ENSDARG00000006151,22
ENSDARG00000006169,52
ENSDARG00000006174,0
ENSDARG00000006181,53
ENSDARG00000006192,54
ENSDARG00000006196,26
ENSDARG00000006200,637
ENSDARG00000006202,52
ENSDARG00000006206,3
ENSDARG00000006207,0
ENSDARG00000006215,52
ENSDARG00000006219,91
ENSDARG00000006220,30
ENSDARG00000006225,108
ENSDARG00000006235,41
ENSDARG00000006240,15
ENSDARG00000006242,438
ENSDARG00000006251,134
ENSDARG00000006253,41
ENSDARG00000006257,572
ENSDARG00000006260,1031
ENSDARG00000006266,92
ENSDARG00000006272,50
ENSDARG00000006279,5
ENSDARG00000006283,87
ENSDARG00000006288,8
ENSDARG00000006290,2
ENSDARG00000006292,31
ENSDARG00000006299,71
ENSDARG00000006300,18
ENSDARG00000006301,184
ENSDARG00000006307,68
ENSDARG00000006308,7
ENSDARG00000006314,130
ENSDARG00000006316,315
ENSDARG00000006332,66
ENSDARG00000006341,0
ENSDARG00000006345,29
ENSDARG00000006350,1
ENSDARG00000006353,32
ENSDARG00000006356,85
ENSDARG00000006368,1
ENSDARG00000006370,71
ENSDARG00000006372,0
ENSDARG00000006383,77
ENSDARG00000006385,30
ENSDARG00000006389,117
ENSDARG00000006392,55
ENSDARG00000006395,270
ENSDARG00000006396,285
ENSDARG00000006397,156
ENSDARG00000006399,117
ENSDARG00000006408,69
ENSDARG00000006409,1
ENSDARG00000006413,55
ENSDARG00000006420,230
ENSDARG00000006422,20
ENSDARG00000006427,80
ENSDARG00000006434,0
ENSDARG00000006447,0
ENSDARG00000006456,10
ENSDARG00000006467,65
ENSDARG00000006468,4
ENSDARG00000006474,4
ENSDARG00000006477,53
ENSDARG00000006487,219
ENSDARG00000006491,0
ENSDARG00000006494,99
ENSDARG00000006497,364
ENSDARG00000006501,0
ENSDARG00000006508,40
ENSDARG00000006514,63
ENSDARG00000006522,0
ENSDARG00000006524,435
ENSDARG00000006526,427
ENSDARG00000006527,118
ENSDARG00000006544,6
ENSDARG00000006545,49
ENSDARG00000006546,60
ENSDARG00000006553,25
ENSDARG00000006560,0
ENSDARG00000006566,157
ENSDARG00000006567,0
ENSDARG00000006568,1
ENSDARG00000006577,15
ENSDARG00000006580,0
ENSDARG00000006584,146
ENSDARG00000006585,69
ENSDARG00000006588,23
ENSDARG00000006598,5
