F9,Counts
ENSDARG00000004372,143
ENSDARG00000004377,135
ENSDARG00000004378,22
ENSDARG00000004386,169
ENSDARG00000004392,4
ENSDARG00000004396,0
ENSDARG00000004402,47
ENSDARG00000004405,6
ENSDARG00000004406,25
ENSDARG00000004415,191
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,21
ENSDARG00000004445,41
ENSDARG00000004447,0
ENSDARG00000004451,32
ENSDARG00000004452,498
ENSDARG00000004455,0
ENSDARG00000004459,12
ENSDARG00000004460,2
ENSDARG00000004470,71
ENSDARG00000004472,37
ENSDARG00000004473,0
ENSDARG00000004492,26
ENSDARG00000004497,2
ENSDARG00000004498,0
ENSDARG00000004502,65
ENSDARG00000004517,31
ENSDARG00000004525,21
ENSDARG00000004527,18
ENSDARG00000004529,4
ENSDARG00000004537,660
ENSDARG00000004539,13
ENSDARG00000004561,2
ENSDARG00000004574,6
ENSDARG00000004576,15
ENSDARG00000004580,49
ENSDARG00000004581,83
ENSDARG00000004586,11
ENSDARG00000004587,54
ENSDARG00000004588,535
ENSDARG00000004592,25
ENSDARG00000004594,90
ENSDARG00000004597,61
ENSDARG00000004598,0
ENSDARG00000004616,51
ENSDARG00000004618,8
ENSDARG00000004621,471
ENSDARG00000004627,0
ENSDARG00000004632,62
ENSDARG00000004633,8
ENSDARG00000004634,513
ENSDARG00000004635,149
ENSDARG00000004636,56
ENSDARG00000004643,59
ENSDARG00000004647,11
ENSDARG00000004648,31
ENSDARG00000004658,90
ENSDARG00000004672,374
ENSDARG00000004680,37
ENSDARG00000004687,44
ENSDARG00000004692,77
ENSDARG00000004695,13
ENSDARG00000004696,47
ENSDARG00000004697,50
ENSDARG00000004702,171
ENSDARG00000004706,53
ENSDARG00000004712,75
ENSDARG00000004713,6
ENSDARG00000004714,160
ENSDARG00000004721,6
ENSDARG00000004724,63
ENSDARG00000004726,97
ENSDARG00000004735,372
ENSDARG00000004745,8
ENSDARG00000004748,41
ENSDARG00000004753,86
ENSDARG00000004754,86
ENSDARG00000004757,2357
ENSDARG00000004763,5
ENSDARG00000004771,30
ENSDARG00000004774,65
ENSDARG00000004782,376
ENSDARG00000004785,148
ENSDARG00000004789,76
ENSDARG00000004794,2
ENSDARG00000004796,186
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,180
ENSDARG00000004836,183
ENSDARG00000004840,51
ENSDARG00000004843,62
ENSDARG00000004851,19
ENSDARG00000004861,104
ENSDARG00000004864,0
ENSDARG00000004866,37
ENSDARG00000004869,14
ENSDARG00000004870,49
ENSDARG00000004871,0
ENSDARG00000004874,1
ENSDARG00000004875,25
ENSDARG00000004877,161
ENSDARG00000004880,32
ENSDARG00000004889,5
ENSDARG00000004891,93
ENSDARG00000004898,0
ENSDARG00000004904,40
ENSDARG00000004906,114
ENSDARG00000004925,5
ENSDARG00000004930,351
ENSDARG00000004931,39
ENSDARG00000004932,26
ENSDARG00000004937,0
ENSDARG00000004939,41
ENSDARG00000004948,109
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,15
ENSDARG00000004964,74
ENSDARG00000004979,21
ENSDARG00000004988,104
ENSDARG00000005002,10
ENSDARG00000005004,5
ENSDARG00000005010,18
ENSDARG00000005015,199
ENSDARG00000005023,55
ENSDARG00000005026,239
ENSDARG00000005034,7
ENSDARG00000005049,8
ENSDARG00000005050,0
ENSDARG00000005057,18
ENSDARG00000005058,73
ENSDARG00000005078,6
ENSDARG00000005085,44
ENSDARG00000005092,3
ENSDARG00000005095,11
ENSDARG00000005098,14
ENSDARG00000005104,65
ENSDARG00000005108,61
ENSDARG00000005112,422
ENSDARG00000005115,95
ENSDARG00000005122,213
ENSDARG00000005126,30
ENSDARG00000005128,21
ENSDARG00000005134,84
ENSDARG00000005139,38
ENSDARG00000005141,104
ENSDARG00000005150,16
ENSDARG00000005154,12
ENSDARG00000005159,34
ENSDARG00000005162,339
ENSDARG00000005163,63
ENSDARG00000005172,6
ENSDARG00000005176,6
ENSDARG00000005179,58
ENSDARG00000005185,214
ENSDARG00000005186,253
ENSDARG00000005191,679
ENSDARG00000005210,32
ENSDARG00000005216,28
ENSDARG00000005218,8
ENSDARG00000005220,10
ENSDARG00000005221,51
ENSDARG00000005230,91
ENSDARG00000005232,100
ENSDARG00000005236,565
ENSDARG00000005246,0
ENSDARG00000005251,0
ENSDARG00000005254,23
ENSDARG00000005271,22
ENSDARG00000005274,10
ENSDARG00000005284,9
ENSDARG00000005314,0
ENSDARG00000005315,179
ENSDARG00000005318,19
ENSDARG00000005320,7
ENSDARG00000005327,2
ENSDARG00000005332,0
ENSDARG00000005335,23
ENSDARG00000005343,4
ENSDARG00000005350,117
ENSDARG00000005355,91
ENSDARG00000005356,41
ENSDARG00000005359,200
ENSDARG00000005364,7
ENSDARG00000005368,130
ENSDARG00000005371,8
ENSDARG00000005372,31
ENSDARG00000005374,53
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,127
ENSDARG00000005397,182
ENSDARG00000005414,13
ENSDARG00000005416,77
ENSDARG00000005423,56
ENSDARG00000005425,22
ENSDARG00000005448,2
ENSDARG00000005451,285
ENSDARG00000005453,129
ENSDARG00000005454,64
ENSDARG00000005456,87
ENSDARG00000005458,100
ENSDARG00000005462,34
ENSDARG00000005463,67
ENSDARG00000005464,0
ENSDARG00000005468,107
ENSDARG00000005476,241
ENSDARG00000005479,599
ENSDARG00000005481,51
ENSDARG00000005482,450
ENSDARG00000005485,19
ENSDARG00000005500,0
ENSDARG00000005510,0
ENSDARG00000005513,1689
ENSDARG00000005518,5
ENSDARG00000005522,0
ENSDARG00000005525,18
ENSDARG00000005526,119
ENSDARG00000005536,216
ENSDARG00000005540,251
ENSDARG00000005541,30
ENSDARG00000005544,17
ENSDARG00000005547,24
ENSDARG00000005549,56
ENSDARG00000005551,71
ENSDARG00000005559,10
ENSDARG00000005560,189
ENSDARG00000005561,1
ENSDARG00000005565,64
ENSDARG00000005574,37
ENSDARG00000005576,136
ENSDARG00000005578,176
ENSDARG00000005586,53
ENSDARG00000005590,50
ENSDARG00000005595,25
ENSDARG00000005606,48
ENSDARG00000005612,29
ENSDARG00000005616,12
ENSDARG00000005619,3
ENSDARG00000005625,115
ENSDARG00000005626,9
ENSDARG00000005627,0
ENSDARG00000005629,65
ENSDARG00000005640,6
ENSDARG00000005643,21
ENSDARG00000005645,189
ENSDARG00000005648,23
ENSDARG00000005651,78
ENSDARG00000005652,230
ENSDARG00000005670,89
ENSDARG00000005673,9
ENSDARG00000005675,75
ENSDARG00000005679,49
ENSDARG00000005690,36
ENSDARG00000005699,87
ENSDARG00000005704,77
ENSDARG00000005713,51
ENSDARG00000005716,18
ENSDARG00000005738,10
ENSDARG00000005739,36
ENSDARG00000005749,8
ENSDARG00000005754,347
ENSDARG00000005762,34
ENSDARG00000005772,10
ENSDARG00000005774,329
ENSDARG00000005775,407
ENSDARG00000005776,33
ENSDARG00000005780,0
ENSDARG00000005783,260
ENSDARG00000005786,44
ENSDARG00000005789,61
ENSDARG00000005791,965
ENSDARG00000005799,29
ENSDARG00000005800,85
ENSDARG00000005814,0
ENSDARG00000005821,1
ENSDARG00000005823,104
ENSDARG00000005827,99
ENSDARG00000005828,4
ENSDARG00000005834,151
ENSDARG00000005840,191
ENSDARG00000005841,83
ENSDARG00000005842,36
ENSDARG00000005853,7
ENSDARG00000005861,338
ENSDARG00000005865,0
ENSDARG00000005867,127
ENSDARG00000005870,26
ENSDARG00000005883,24
ENSDARG00000005891,95
ENSDARG00000005894,20
ENSDARG00000005897,3
ENSDARG00000005908,49
ENSDARG00000005913,19
ENSDARG00000005915,224
ENSDARG00000005916,54
ENSDARG00000005924,209
ENSDARG00000005926,75
ENSDARG00000005927,81
ENSDARG00000005941,195
ENSDARG00000005942,0
ENSDARG00000005943,38
ENSDARG00000005945,147
ENSDARG00000005948,47
ENSDARG00000005972,10
ENSDARG00000005980,114
ENSDARG00000005989,68
ENSDARG00000005993,0
ENSDARG00000006003,60
ENSDARG00000006008,144
ENSDARG00000006010,10
ENSDARG00000006011,11
ENSDARG00000006019,143
ENSDARG00000006025,88
ENSDARG00000006029,30
ENSDARG00000006031,867
ENSDARG00000006038,36
ENSDARG00000006040,29
ENSDARG00000006044,17
ENSDARG00000006052,0
ENSDARG00000006060,252
ENSDARG00000006062,230
ENSDARG00000006065,18
ENSDARG00000006074,31
ENSDARG00000006079,9
ENSDARG00000006092,537
ENSDARG00000006093,30
ENSDARG00000006094,223
ENSDARG00000006109,0
ENSDARG00000006110,16
ENSDARG00000006112,70
ENSDARG00000006120,74
ENSDARG00000006124,461
ENSDARG00000006125,112
ENSDARG00000006128,185
ENSDARG00000006137,1
ENSDARG00000006151,1
ENSDARG00000006169,71
ENSDARG00000006174,0
ENSDARG00000006181,50
ENSDARG00000006192,62
ENSDARG00000006196,23
ENSDARG00000006200,712
ENSDARG00000006202,102
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,89
ENSDARG00000006219,89
ENSDARG00000006220,188
ENSDARG00000006225,122
ENSDARG00000006235,8
ENSDARG00000006240,12
ENSDARG00000006242,496
ENSDARG00000006251,134
ENSDARG00000006253,23
ENSDARG00000006257,335
ENSDARG00000006260,1018
ENSDARG00000006266,166
ENSDARG00000006272,77
ENSDARG00000006279,21
ENSDARG00000006283,114
ENSDARG00000006288,18
ENSDARG00000006290,23
ENSDARG00000006292,0
ENSDARG00000006299,86
ENSDARG00000006300,33
ENSDARG00000006301,80
ENSDARG00000006307,67
ENSDARG00000006308,8
ENSDARG00000006314,231
ENSDARG00000006316,568
ENSDARG00000006332,153
ENSDARG00000006341,0
ENSDARG00000006345,14
ENSDARG00000006350,0
ENSDARG00000006353,57
ENSDARG00000006356,70
ENSDARG00000006368,30
ENSDARG00000006370,82
ENSDARG00000006372,0
ENSDARG00000006383,89
ENSDARG00000006385,166
ENSDARG00000006389,109
ENSDARG00000006392,29
ENSDARG00000006395,276
ENSDARG00000006396,229
ENSDARG00000006397,146
ENSDARG00000006399,182
ENSDARG00000006408,81
ENSDARG00000006409,4
ENSDARG00000006413,76
ENSDARG00000006420,128
ENSDARG00000006422,71
ENSDARG00000006427,415
ENSDARG00000006434,20
ENSDARG00000006447,4
ENSDARG00000006456,17
ENSDARG00000006467,14
ENSDARG00000006468,0
ENSDARG00000006474,1
ENSDARG00000006477,84
ENSDARG00000006487,214
ENSDARG00000006491,14
ENSDARG00000006494,57
ENSDARG00000006497,720
ENSDARG00000006501,0
ENSDARG00000006508,77
ENSDARG00000006514,74
ENSDARG00000006522,0
ENSDARG00000006524,493
ENSDARG00000006526,960
ENSDARG00000006527,198
ENSDARG00000006544,9
ENSDARG00000006545,61
ENSDARG00000006546,39
ENSDARG00000006553,26
ENSDARG00000006560,2
ENSDARG00000006566,125
ENSDARG00000006567,19
ENSDARG00000006568,10
ENSDARG00000006577,23
ENSDARG00000006580,0
ENSDARG00000006584,198
ENSDARG00000006585,51
ENSDARG00000006588,37
ENSDARG00000006598,17
ENSDARG00000006600,92
ENSDARG00000006601,62
ENSDARG00000006602,0
ENSDARG00000006603,50
ENSDARG00000006604,63
ENSDARG00000006607,7
ENSDARG00000006609,48
ENSDARG00000006615,21
ENSDARG00000006617,64
ENSDARG00000006621,123
ENSDARG00000006624,70
ENSDARG00000006636,48
ENSDARG00000006639,19
ENSDARG00000006640,24
ENSDARG00000006642,36
ENSDARG00000006666,23
ENSDARG00000006672,26
ENSDARG00000006677,56
ENSDARG00000006678,2
ENSDARG00000006683,69
ENSDARG00000006691,537
ENSDARG00000006712,40
ENSDARG00000006719,83
