E10,Counts
ENSDARG00000005150,0
ENSDARG00000005154,0
ENSDARG00000005159,5
ENSDARG00000005162,6
ENSDARG00000005163,0
ENSDARG00000005172,0
ENSDARG00000005176,6
ENSDARG00000005179,0
ENSDARG00000005185,0
ENSDARG00000005186,0
ENSDARG00000005191,5
ENSDARG00000005210,0
ENSDARG00000005216,0
ENSDARG00000005218,0
ENSDARG00000005220,0
ENSDARG00000005221,0
ENSDARG00000005230,0
ENSDARG00000005232,1
ENSDARG00000005236,24
ENSDARG00000005246,0
ENSDARG00000005251,0
ENSDARG00000005254,0
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,14
ENSDARG00000005318,4
ENSDARG00000005320,0
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,0
ENSDARG00000005350,0
ENSDARG00000005355,0
ENSDARG00000005356,5
ENSDARG00000005359,0
ENSDARG00000005364,0
ENSDARG00000005368,0
ENSDARG00000005371,0
ENSDARG00000005372,4
ENSDARG00000005374,0
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,0
ENSDARG00000005397,2
ENSDARG00000005414,0
ENSDARG00000005416,0
ENSDARG00000005423,0
ENSDARG00000005425,0
ENSDARG00000005448,0
ENSDARG00000005451,11
ENSDARG00000005453,1
ENSDARG00000005454,27
ENSDARG00000005456,9
ENSDARG00000005458,0
ENSDARG00000005462,0
ENSDARG00000005463,0
ENSDARG00000005464,0
ENSDARG00000005468,3
ENSDARG00000005476,3
ENSDARG00000005479,26
ENSDARG00000005481,5
ENSDARG00000005482,1
ENSDARG00000005485,2
ENSDARG00000005500,0
ENSDARG00000005510,0
ENSDARG00000005513,37
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,0
ENSDARG00000005526,0
ENSDARG00000005536,10
ENSDARG00000005540,3
ENSDARG00000005541,0
ENSDARG00000005544,0
ENSDARG00000005547,0
ENSDARG00000005549,6
ENSDARG00000005551,0
ENSDARG00000005559,0
ENSDARG00000005560,2
ENSDARG00000005561,1
ENSDARG00000005565,0
ENSDARG00000005574,0
ENSDARG00000005576,9
ENSDARG00000005578,0
ENSDARG00000005586,3
ENSDARG00000005590,0
ENSDARG00000005595,0
ENSDARG00000005606,0
ENSDARG00000005612,0
ENSDARG00000005616,0
ENSDARG00000005619,0
ENSDARG00000005625,0
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,0
