F7,Counts
ENSDARG00000003865,0
ENSDARG00000003866,59
ENSDARG00000003867,0
ENSDARG00000003869,2
ENSDARG00000003872,3
ENSDARG00000003877,68
ENSDARG00000003899,0
ENSDARG00000003900,2
ENSDARG00000003902,17
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,11
ENSDARG00000003920,36
ENSDARG00000003925,0
ENSDARG00000003927,5
ENSDARG00000003931,0
ENSDARG00000003934,0
ENSDARG00000003938,11
ENSDARG00000003940,12
ENSDARG00000003941,1
ENSDARG00000003944,0
ENSDARG00000003952,37
ENSDARG00000003961,6
ENSDARG00000003963,0
ENSDARG00000003965,0
ENSDARG00000003968,2
ENSDARG00000003970,4
ENSDARG00000003971,0
ENSDARG00000003973,3
ENSDARG00000003974,2
ENSDARG00000003977,0
ENSDARG00000003984,11
ENSDARG00000003989,48
ENSDARG00000003991,7
ENSDARG00000003994,4
ENSDARG00000003998,22
ENSDARG00000004015,0
ENSDARG00000004017,0
ENSDARG00000004018,0
ENSDARG00000004023,22
ENSDARG00000004034,9
ENSDARG00000004037,0
ENSDARG00000004046,2
ENSDARG00000004049,7
ENSDARG00000004051,0
ENSDARG00000004055,3
ENSDARG00000004059,0
ENSDARG00000004060,96
ENSDARG00000004074,22
ENSDARG00000004078,1
ENSDARG00000004082,0
ENSDARG00000004094,40
ENSDARG00000004105,0
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,7
ENSDARG00000004115,5
ENSDARG00000004130,0
ENSDARG00000004131,0
ENSDARG00000004132,24
ENSDARG00000004150,1
ENSDARG00000004151,7
ENSDARG00000004154,0
ENSDARG00000004158,2
ENSDARG00000004160,10
ENSDARG00000004161,5
ENSDARG00000004167,0
ENSDARG00000004169,26
ENSDARG00000004171,0
ENSDARG00000004173,28
ENSDARG00000004174,255
ENSDARG00000004176,0
ENSDARG00000004177,11
ENSDARG00000004184,39
ENSDARG00000004187,2
ENSDARG00000004189,6
ENSDARG00000004196,26
ENSDARG00000004199,0
ENSDARG00000004204,0
ENSDARG00000004211,0
ENSDARG00000004218,0
ENSDARG00000004219,0
ENSDARG00000004227,6
ENSDARG00000004232,0
ENSDARG00000004243,0
ENSDARG00000004246,52
ENSDARG00000004251,0
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,12
ENSDARG00000004262,6
ENSDARG00000004270,5
ENSDARG00000004274,1
ENSDARG00000004280,4
ENSDARG00000004282,10
ENSDARG00000004291,19
ENSDARG00000004296,2
ENSDARG00000004297,27
ENSDARG00000004301,0
ENSDARG00000004302,4
ENSDARG00000004305,4
ENSDARG00000004306,9
ENSDARG00000004307,0
ENSDARG00000004308,0
ENSDARG00000004311,4
ENSDARG00000004318,0
ENSDARG00000004322,0
ENSDARG00000004325,0
ENSDARG00000004328,0
ENSDARG00000004336,25
ENSDARG00000004343,6
ENSDARG00000004358,17
ENSDARG00000004363,0
ENSDARG00000004372,0
ENSDARG00000004377,19
ENSDARG00000004378,0
ENSDARG00000004386,13
ENSDARG00000004392,0
ENSDARG00000004396,0
ENSDARG00000004402,6
ENSDARG00000004405,0
ENSDARG00000004406,2
ENSDARG00000004415,39
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,1
ENSDARG00000004445,8
ENSDARG00000004447,0
ENSDARG00000004451,4
ENSDARG00000004452,54
ENSDARG00000004455,0
ENSDARG00000004459,0
ENSDARG00000004460,0
ENSDARG00000004470,9
ENSDARG00000004472,2
ENSDARG00000004473,0
ENSDARG00000004492,0
ENSDARG00000004497,1
ENSDARG00000004498,1
ENSDARG00000004502,22
ENSDARG00000004517,1
ENSDARG00000004525,9
ENSDARG00000004527,0
ENSDARG00000004529,0
ENSDARG00000004537,88
ENSDARG00000004539,1
ENSDARG00000004561,4
ENSDARG00000004574,0
ENSDARG00000004576,3
ENSDARG00000004580,16
ENSDARG00000004581,14
ENSDARG00000004586,0
ENSDARG00000004587,0
ENSDARG00000004588,120
ENSDARG00000004592,1
ENSDARG00000004594,5
ENSDARG00000004597,14
ENSDARG00000004598,0
