D5,Counts
ENSDARG00000003205,45
ENSDARG00000003206,76
ENSDARG00000003207,63
ENSDARG00000003208,53
ENSDARG00000003210,35
ENSDARG00000003213,492
ENSDARG00000003216,381
ENSDARG00000003217,189
ENSDARG00000003219,195
ENSDARG00000003229,0
ENSDARG00000003235,58
ENSDARG00000003244,16
ENSDARG00000003250,21
ENSDARG00000003251,33
ENSDARG00000003257,6
ENSDARG00000003259,24
ENSDARG00000003269,307
ENSDARG00000003270,24
ENSDARG00000003281,72
ENSDARG00000003287,79
ENSDARG00000003290,49
ENSDARG00000003293,271
ENSDARG00000003303,9
ENSDARG00000003307,123
ENSDARG00000003308,124
ENSDARG00000003311,125
ENSDARG00000003313,11
ENSDARG00000003320,109
ENSDARG00000003326,3
ENSDARG00000003328,104
ENSDARG00000003344,9
ENSDARG00000003373,48
ENSDARG00000003375,65
ENSDARG00000003380,2
ENSDARG00000003381,48
ENSDARG00000003382,97
ENSDARG00000003383,86
ENSDARG00000003395,25
ENSDARG00000003398,76
ENSDARG00000003399,8
ENSDARG00000003403,193
ENSDARG00000003411,84
ENSDARG00000003414,9
ENSDARG00000003420,7
ENSDARG00000003421,259
ENSDARG00000003429,135
ENSDARG00000003444,47
ENSDARG00000003446,49
ENSDARG00000003449,94
ENSDARG00000003462,284
ENSDARG00000003469,61
ENSDARG00000003475,0
ENSDARG00000003486,350
ENSDARG00000003487,155
ENSDARG00000003495,482
ENSDARG00000003512,570
ENSDARG00000003517,31
ENSDARG00000003519,22
ENSDARG00000003520,106
ENSDARG00000003523,1
ENSDARG00000003526,330
ENSDARG00000003527,148
ENSDARG00000003531,169
ENSDARG00000003533,10
ENSDARG00000003544,136
ENSDARG00000003553,0
ENSDARG00000003564,105
ENSDARG00000003570,986
ENSDARG00000003573,102
ENSDARG00000003576,17
ENSDARG00000003584,62
ENSDARG00000003592,12
ENSDARG00000003599,7030
ENSDARG00000003607,219
ENSDARG00000003615,179
ENSDARG00000003616,167
ENSDARG00000003631,401
ENSDARG00000003632,5
ENSDARG00000003635,34
ENSDARG00000003641,137
ENSDARG00000003642,98
ENSDARG00000003655,492
ENSDARG00000003675,13
ENSDARG00000003680,288
ENSDARG00000003681,664
ENSDARG00000003684,163
ENSDARG00000003693,162
ENSDARG00000003695,1367
ENSDARG00000003697,21
ENSDARG00000003699,136
ENSDARG00000003701,1
ENSDARG00000003705,340
ENSDARG00000003706,38
ENSDARG00000003732,18
ENSDARG00000003749,57
ENSDARG00000003750,261
ENSDARG00000003751,121
ENSDARG00000003754,106
ENSDARG00000003757,26
ENSDARG00000003769,40
ENSDARG00000003776,172
ENSDARG00000003779,252
ENSDARG00000003789,226
ENSDARG00000003795,2232
ENSDARG00000003797,25
ENSDARG00000003803,2
ENSDARG00000003808,195
ENSDARG00000003811,977
ENSDARG00000003818,210
ENSDARG00000003820,237
ENSDARG00000003822,46
ENSDARG00000003827,118
ENSDARG00000003829,205
ENSDARG00000003835,652
ENSDARG00000003841,22
ENSDARG00000003845,63
ENSDARG00000003846,49
ENSDARG00000003854,671
ENSDARG00000003860,216
ENSDARG00000003865,27
ENSDARG00000003866,92
ENSDARG00000003867,16
ENSDARG00000003869,50
ENSDARG00000003872,64
ENSDARG00000003877,283
ENSDARG00000003899,2
ENSDARG00000003900,2
ENSDARG00000003902,1269
ENSDARG00000003903,3
ENSDARG00000003904,0
ENSDARG00000003909,4
ENSDARG00000003910,178
ENSDARG00000003920,396
ENSDARG00000003925,0
ENSDARG00000003927,133
ENSDARG00000003931,263
ENSDARG00000003934,16
ENSDARG00000003938,212
ENSDARG00000003940,129
ENSDARG00000003941,132
ENSDARG00000003944,0
ENSDARG00000003952,758
ENSDARG00000003961,72
ENSDARG00000003963,130
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,51
ENSDARG00000003971,45
ENSDARG00000003973,60
ENSDARG00000003974,215
ENSDARG00000003977,75
ENSDARG00000003984,105
ENSDARG00000003989,161
ENSDARG00000003991,176
ENSDARG00000003994,36
ENSDARG00000003998,60
ENSDARG00000004015,20
ENSDARG00000004017,71
ENSDARG00000004018,22
ENSDARG00000004023,375
ENSDARG00000004034,189
ENSDARG00000004037,60
ENSDARG00000004046,49
ENSDARG00000004049,79
ENSDARG00000004051,25
ENSDARG00000004055,158
ENSDARG00000004059,12
ENSDARG00000004060,1178
ENSDARG00000004074,295
ENSDARG00000004078,172
ENSDARG00000004082,57
ENSDARG00000004094,406
ENSDARG00000004105,165
ENSDARG00000004109,0
ENSDARG00000004111,10
ENSDARG00000004114,40
ENSDARG00000004115,92
ENSDARG00000004130,10
ENSDARG00000004131,57
ENSDARG00000004132,720
ENSDARG00000004150,23
ENSDARG00000004151,31
ENSDARG00000004154,2
ENSDARG00000004158,12
ENSDARG00000004160,127
ENSDARG00000004161,187
ENSDARG00000004167,7
ENSDARG00000004169,211
ENSDARG00000004171,38
ENSDARG00000004173,534
ENSDARG00000004174,796
ENSDARG00000004176,13
ENSDARG00000004177,106
ENSDARG00000004184,182
ENSDARG00000004187,25
ENSDARG00000004189,195
ENSDARG00000004196,364
ENSDARG00000004199,16
ENSDARG00000004204,5
ENSDARG00000004211,51
ENSDARG00000004218,51
ENSDARG00000004219,4
ENSDARG00000004227,125
ENSDARG00000004232,19
ENSDARG00000004243,3
ENSDARG00000004246,423
ENSDARG00000004251,63
ENSDARG00000004256,0
ENSDARG00000004260,15
ENSDARG00000004261,351
ENSDARG00000004262,100
ENSDARG00000004270,49
ENSDARG00000004274,7
ENSDARG00000004280,52
ENSDARG00000004282,89
ENSDARG00000004291,120
ENSDARG00000004296,269
ENSDARG00000004297,442
ENSDARG00000004301,20
ENSDARG00000004302,43
ENSDARG00000004305,34
ENSDARG00000004306,38
ENSDARG00000004307,15
ENSDARG00000004308,12
ENSDARG00000004311,37
ENSDARG00000004318,23
ENSDARG00000004322,17
ENSDARG00000004325,30
ENSDARG00000004328,9
ENSDARG00000004336,244
ENSDARG00000004343,56
ENSDARG00000004358,96
ENSDARG00000004363,41
ENSDARG00000004372,102
ENSDARG00000004377,125
ENSDARG00000004378,49
ENSDARG00000004386,188
ENSDARG00000004392,5
ENSDARG00000004396,0
