B9,Counts
ENSDARG00000003098,406
ENSDARG00000003109,57
ENSDARG00000003113,100
ENSDARG00000003127,50
ENSDARG00000003132,44
ENSDARG00000003142,18
ENSDARG00000003144,0
ENSDARG00000003146,6
ENSDARG00000003151,458
ENSDARG00000003153,18
ENSDARG00000003157,91
ENSDARG00000003165,174
ENSDARG00000003167,55
ENSDARG00000003169,966
ENSDARG00000003175,73
ENSDARG00000003181,9
ENSDARG00000003189,225
ENSDARG00000003193,8
ENSDARG00000003197,46
ENSDARG00000003200,3
ENSDARG00000003203,112
ENSDARG00000003205,16
ENSDARG00000003206,27
ENSDARG00000003207,34
ENSDARG00000003208,10
ENSDARG00000003210,45
ENSDARG00000003213,398
ENSDARG00000003216,52
ENSDARG00000003217,73
ENSDARG00000003219,34
ENSDARG00000003229,0
ENSDARG00000003235,13
ENSDARG00000003244,3
ENSDARG00000003250,53
ENSDARG00000003251,15
ENSDARG00000003257,9
ENSDARG00000003259,21
ENSDARG00000003269,319
ENSDARG00000003270,20
ENSDARG00000003281,85
ENSDARG00000003287,15
ENSDARG00000003290,56
ENSDARG00000003293,245
ENSDARG00000003303,0
ENSDARG00000003307,45
ENSDARG00000003308,40
ENSDARG00000003311,98
ENSDARG00000003313,10
ENSDARG00000003320,155
ENSDARG00000003326,2
ENSDARG00000003328,56
ENSDARG00000003344,17
ENSDARG00000003373,25
ENSDARG00000003375,14
ENSDARG00000003380,0
ENSDARG00000003381,38
ENSDARG00000003382,56
ENSDARG00000003383,116
ENSDARG00000003395,14
ENSDARG00000003398,54
ENSDARG00000003399,6
ENSDARG00000003403,264
ENSDARG00000003411,42
ENSDARG00000003414,0
ENSDARG00000003420,14
ENSDARG00000003421,123
ENSDARG00000003429,57
ENSDARG00000003444,13
ENSDARG00000003446,34
ENSDARG00000003449,84
ENSDARG00000003462,138
ENSDARG00000003469,44
ENSDARG00000003475,0
ENSDARG00000003486,289
ENSDARG00000003487,117
ENSDARG00000003495,1139
ENSDARG00000003512,205
ENSDARG00000003517,10
ENSDARG00000003519,67
ENSDARG00000003520,139
ENSDARG00000003523,0
ENSDARG00000003526,124
ENSDARG00000003527,75
ENSDARG00000003531,118
ENSDARG00000003533,8
ENSDARG00000003544,124
ENSDARG00000003553,0
ENSDARG00000003564,39
ENSDARG00000003570,213
ENSDARG00000003573,61
ENSDARG00000003576,31
ENSDARG00000003584,25
ENSDARG00000003592,18
ENSDARG00000003599,4094
ENSDARG00000003607,55
ENSDARG00000003615,11
ENSDARG00000003616,131
ENSDARG00000003631,227
ENSDARG00000003632,5
ENSDARG00000003635,3
ENSDARG00000003641,10
ENSDARG00000003642,20
ENSDARG00000003655,600
ENSDARG00000003675,2
ENSDARG00000003680,404
ENSDARG00000003681,372
ENSDARG00000003684,82
ENSDARG00000003693,64
ENSDARG00000003695,682
ENSDARG00000003697,2
ENSDARG00000003699,124
ENSDARG00000003701,0
ENSDARG00000003705,241
ENSDARG00000003706,10
ENSDARG00000003732,0
ENSDARG00000003749,11
ENSDARG00000003750,79
ENSDARG00000003751,62
ENSDARG00000003754,37
ENSDARG00000003757,6
ENSDARG00000003769,35
ENSDARG00000003776,113
