G6,Counts
ENSDARG00000005154,9
ENSDARG00000005159,91
ENSDARG00000005162,162
ENSDARG00000005163,0
ENSDARG00000005172,3
ENSDARG00000005176,3
ENSDARG00000005179,69
ENSDARG00000005185,89
ENSDARG00000005186,103
ENSDARG00000005191,469
ENSDARG00000005210,12
ENSDARG00000005216,4
ENSDARG00000005218,1
ENSDARG00000005220,8
ENSDARG00000005221,26
ENSDARG00000005230,34
ENSDARG00000005232,140
ENSDARG00000005236,599
ENSDARG00000005246,32
ENSDARG00000005251,10
ENSDARG00000005254,21
ENSDARG00000005271,1
ENSDARG00000005274,0
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,200
ENSDARG00000005318,34
ENSDARG00000005320,4
ENSDARG00000005327,0
ENSDARG00000005332,2
ENSDARG00000005335,0
ENSDARG00000005343,39
ENSDARG00000005350,78
ENSDARG00000005355,120
ENSDARG00000005356,54
ENSDARG00000005359,115
ENSDARG00000005364,8
ENSDARG00000005368,85
ENSDARG00000005371,0
ENSDARG00000005372,73
ENSDARG00000005374,49
ENSDARG00000005382,18
ENSDARG00000005392,0
ENSDARG00000005394,240
ENSDARG00000005397,203
ENSDARG00000005414,8
ENSDARG00000005416,134
ENSDARG00000005423,5
ENSDARG00000005425,69
ENSDARG00000005448,4
ENSDARG00000005451,200
ENSDARG00000005453,221
ENSDARG00000005454,46
ENSDARG00000005456,154
ENSDARG00000005458,105
ENSDARG00000005462,158
ENSDARG00000005463,42
ENSDARG00000005464,0
ENSDARG00000005468,72
ENSDARG00000005476,306
ENSDARG00000005479,874
ENSDARG00000005481,52
ENSDARG00000005482,828
ENSDARG00000005485,22
ENSDARG00000005500,22
ENSDARG00000005510,0
ENSDARG00000005513,1233
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,18
ENSDARG00000005526,34
ENSDARG00000005536,102
ENSDARG00000005540,219
ENSDARG00000005541,6
ENSDARG00000005544,40
ENSDARG00000005547,18
ENSDARG00000005549,104
ENSDARG00000005551,57
ENSDARG00000005559,15
ENSDARG00000005560,209
ENSDARG00000005561,38
ENSDARG00000005565,13
ENSDARG00000005574,64
ENSDARG00000005576,126
ENSDARG00000005578,71
ENSDARG00000005586,105
ENSDARG00000005590,35
ENSDARG00000005595,15
ENSDARG00000005606,49
ENSDARG00000005612,12
ENSDARG00000005616,0
ENSDARG00000005619,51
ENSDARG00000005625,65
ENSDARG00000005626,12
ENSDARG00000005627,0
ENSDARG00000005629,78
ENSDARG00000005640,2
ENSDARG00000005643,7
ENSDARG00000005645,252
ENSDARG00000005648,14
ENSDARG00000005651,29
ENSDARG00000005652,391
ENSDARG00000005670,110
ENSDARG00000005673,23
ENSDARG00000005675,45
ENSDARG00000005679,47
ENSDARG00000005690,63
ENSDARG00000005699,48
ENSDARG00000005704,58
ENSDARG00000005713,13
ENSDARG00000005716,9
ENSDARG00000005738,17
ENSDARG00000005739,62
ENSDARG00000005749,25
ENSDARG00000005754,477
ENSDARG00000005762,113
ENSDARG00000005772,8
ENSDARG00000005774,225
ENSDARG00000005775,906
ENSDARG00000005776,54
ENSDARG00000005780,0
ENSDARG00000005783,132
ENSDARG00000005786,26
ENSDARG00000005789,104
ENSDARG00000005791,725
ENSDARG00000005799,7
ENSDARG00000005800,42
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,73
ENSDARG00000005827,51
ENSDARG00000005828,6
ENSDARG00000005834,217
ENSDARG00000005840,100
ENSDARG00000005841,123
ENSDARG00000005842,19
ENSDARG00000005853,0
ENSDARG00000005861,812
ENSDARG00000005865,0
ENSDARG00000005867,150
ENSDARG00000005870,16
ENSDARG00000005883,161
ENSDARG00000005891,40
ENSDARG00000005894,0
ENSDARG00000005897,27
ENSDARG00000005908,36
ENSDARG00000005913,32
ENSDARG00000005915,251
ENSDARG00000005916,64
ENSDARG00000005924,330
ENSDARG00000005926,63
ENSDARG00000005927,63
ENSDARG00000005941,215
ENSDARG00000005942,0
ENSDARG00000005943,17
ENSDARG00000005945,124
ENSDARG00000005948,7
ENSDARG00000005972,17
ENSDARG00000005980,136
ENSDARG00000005989,82
ENSDARG00000005993,35
ENSDARG00000006003,14
ENSDARG00000006008,88
ENSDARG00000006010,26
ENSDARG00000006011,9
ENSDARG00000006019,53
ENSDARG00000006025,31
ENSDARG00000006029,0
ENSDARG00000006031,537
ENSDARG00000006038,50
ENSDARG00000006040,21
ENSDARG00000006044,6
ENSDARG00000006052,0
ENSDARG00000006060,136
ENSDARG00000006062,179
ENSDARG00000006065,73
ENSDARG00000006074,20
ENSDARG00000006079,2
ENSDARG00000006092,466
ENSDARG00000006093,19
ENSDARG00000006094,196
ENSDARG00000006109,0
ENSDARG00000006110,13
ENSDARG00000006112,61
ENSDARG00000006120,101
ENSDARG00000006124,380
ENSDARG00000006125,60
ENSDARG00000006128,1062
ENSDARG00000006137,0
ENSDARG00000006151,26
ENSDARG00000006169,95
ENSDARG00000006174,0
ENSDARG00000006181,40
ENSDARG00000006192,70
ENSDARG00000006196,17
ENSDARG00000006200,455
ENSDARG00000006202,425
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,45
ENSDARG00000006219,81
ENSDARG00000006220,69
ENSDARG00000006225,91
ENSDARG00000006235,63
ENSDARG00000006240,76
ENSDARG00000006242,474
ENSDARG00000006251,49
ENSDARG00000006253,50
ENSDARG00000006257,480
ENSDARG00000006260,534
ENSDARG00000006266,251
ENSDARG00000006272,92
ENSDARG00000006279,8
ENSDARG00000006283,141
ENSDARG00000006288,6
ENSDARG00000006290,16
ENSDARG00000006292,10
ENSDARG00000006299,49
ENSDARG00000006300,14
ENSDARG00000006301,108
ENSDARG00000006307,41
ENSDARG00000006308,0
ENSDARG00000006314,129
ENSDARG00000006316,329
ENSDARG00000006332,118
ENSDARG00000006341,2
ENSDARG00000006345,25
ENSDARG00000006350,2
ENSDARG00000006353,69
ENSDARG00000006356,72
ENSDARG00000006368,0
ENSDARG00000006370,65
ENSDARG00000006372,0
ENSDARG00000006383,162
ENSDARG00000006385,19
ENSDARG00000006389,146
ENSDARG00000006392,7
ENSDARG00000006395,171
ENSDARG00000006396,398
ENSDARG00000006397,105
ENSDARG00000006399,238
ENSDARG00000006408,27
ENSDARG00000006409,0
ENSDARG00000006413,40
ENSDARG00000006420,150
ENSDARG00000006422,9
ENSDARG00000006427,126
ENSDARG00000006434,0
ENSDARG00000006447,8
ENSDARG00000006456,16
ENSDARG00000006467,20
ENSDARG00000006468,2
ENSDARG00000006474,8
ENSDARG00000006477,42
ENSDARG00000006487,117
ENSDARG00000006491,8
ENSDARG00000006494,57
ENSDARG00000006497,562
ENSDARG00000006501,0
ENSDARG00000006508,19
ENSDARG00000006514,27
ENSDARG00000006522,15
ENSDARG00000006524,371
ENSDARG00000006526,1038
ENSDARG00000006527,116
ENSDARG00000006544,15
ENSDARG00000006545,50
ENSDARG00000006546,106
ENSDARG00000006553,28
ENSDARG00000006560,11
ENSDARG00000006566,143
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,14
ENSDARG00000006580,0
ENSDARG00000006584,161
ENSDARG00000006585,92
ENSDARG00000006588,15
ENSDARG00000006598,12
