H2,Counts
ENSDARG00000003599,1630
ENSDARG00000003607,51
ENSDARG00000003615,18
ENSDARG00000003616,53
ENSDARG00000003631,103
ENSDARG00000003632,1
ENSDARG00000003635,3
ENSDARG00000003641,54
ENSDARG00000003642,22
ENSDARG00000003655,374
ENSDARG00000003675,0
ENSDARG00000003680,200
ENSDARG00000003681,113
ENSDARG00000003684,3
ENSDARG00000003693,47
ENSDARG00000003695,396
ENSDARG00000003697,0
ENSDARG00000003699,61
ENSDARG00000003701,2
ENSDARG00000003705,113
ENSDARG00000003706,8
ENSDARG00000003732,30
ENSDARG00000003749,14
ENSDARG00000003750,25
ENSDARG00000003751,80
ENSDARG00000003754,61
ENSDARG00000003757,2
ENSDARG00000003769,20
ENSDARG00000003776,42
ENSDARG00000003779,83
ENSDARG00000003789,139
ENSDARG00000003795,428
ENSDARG00000003797,13
ENSDARG00000003803,15
ENSDARG00000003808,12
ENSDARG00000003811,212
ENSDARG00000003818,47
ENSDARG00000003820,271
ENSDARG00000003822,4
ENSDARG00000003827,13
ENSDARG00000003829,99
ENSDARG00000003835,195
ENSDARG00000003841,0
ENSDARG00000003845,26
ENSDARG00000003846,0
ENSDARG00000003854,52
ENSDARG00000003860,25
ENSDARG00000003865,6
ENSDARG00000003866,118
ENSDARG00000003867,5
ENSDARG00000003869,0
ENSDARG00000003872,65
ENSDARG00000003877,111
ENSDARG00000003899,16
ENSDARG00000003900,2
ENSDARG00000003902,90
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,82
ENSDARG00000003920,84
ENSDARG00000003925,1
ENSDARG00000003927,44
ENSDARG00000003931,1
ENSDARG00000003934,33
ENSDARG00000003938,60
ENSDARG00000003940,57
ENSDARG00000003941,1
ENSDARG00000003944,0
ENSDARG00000003952,204
ENSDARG00000003961,12
ENSDARG00000003963,60
ENSDARG00000003965,1
ENSDARG00000003968,0
ENSDARG00000003970,16
ENSDARG00000003971,18
ENSDARG00000003973,1
ENSDARG00000003974,59
ENSDARG00000003977,0
ENSDARG00000003984,33
ENSDARG00000003989,163
ENSDARG00000003991,55
ENSDARG00000003994,25
ENSDARG00000003998,3
ENSDARG00000004015,3
ENSDARG00000004017,22
ENSDARG00000004018,0
ENSDARG00000004023,237
ENSDARG00000004034,86
ENSDARG00000004037,28
ENSDARG00000004046,26
ENSDARG00000004049,40
ENSDARG00000004051,0
ENSDARG00000004055,109
ENSDARG00000004059,0
ENSDARG00000004060,720
ENSDARG00000004074,159
ENSDARG00000004078,27
ENSDARG00000004082,1
ENSDARG00000004094,136
ENSDARG00000004105,75
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,0
ENSDARG00000004115,38
ENSDARG00000004130,5
ENSDARG00000004131,13
ENSDARG00000004132,249
ENSDARG00000004150,17
ENSDARG00000004151,18
ENSDARG00000004154,0
ENSDARG00000004158,35
ENSDARG00000004160,35
ENSDARG00000004161,54
ENSDARG00000004167,8
ENSDARG00000004169,48
ENSDARG00000004171,10
ENSDARG00000004173,127
ENSDARG00000004174,449
ENSDARG00000004176,30
ENSDARG00000004177,32
ENSDARG00000004184,132
ENSDARG00000004187,26
ENSDARG00000004189,59
ENSDARG00000004196,37
ENSDARG00000004199,34
ENSDARG00000004204,5
ENSDARG00000004211,10
ENSDARG00000004218,61
ENSDARG00000004219,0
ENSDARG00000004227,51
ENSDARG00000004232,11
ENSDARG00000004243,2
ENSDARG00000004246,256
ENSDARG00000004251,4
ENSDARG00000004256,7
ENSDARG00000004260,18
ENSDARG00000004261,63
ENSDARG00000004262,19
ENSDARG00000004270,5
ENSDARG00000004274,6
ENSDARG00000004280,15
ENSDARG00000004282,24
ENSDARG00000004291,124
ENSDARG00000004296,47
ENSDARG00000004297,209
ENSDARG00000004301,0
ENSDARG00000004302,58
ENSDARG00000004305,28
ENSDARG00000004306,7
ENSDARG00000004307,4
ENSDARG00000004308,13
ENSDARG00000004311,9
ENSDARG00000004318,2
ENSDARG00000004322,13
ENSDARG00000004325,25
ENSDARG00000004328,10
ENSDARG00000004336,177
ENSDARG00000004343,13
ENSDARG00000004358,103
ENSDARG00000004363,6
ENSDARG00000004372,13
ENSDARG00000004377,401
ENSDARG00000004378,104
ENSDARG00000004386,163
ENSDARG00000004392,0
ENSDARG00000004396,0
ENSDARG00000004402,29
ENSDARG00000004405,6
ENSDARG00000004406,3
ENSDARG00000004415,335
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,3
ENSDARG00000004445,22
ENSDARG00000004447,2
ENSDARG00000004451,6
ENSDARG00000004452,428
ENSDARG00000004455,0
ENSDARG00000004459,1
ENSDARG00000004460,0
ENSDARG00000004470,31
ENSDARG00000004472,9
ENSDARG00000004473,3
ENSDARG00000004492,0
ENSDARG00000004497,0
ENSDARG00000004498,0
ENSDARG00000004502,48
ENSDARG00000004517,16
ENSDARG00000004525,9
ENSDARG00000004527,0
ENSDARG00000004529,2
ENSDARG00000004537,617
ENSDARG00000004539,14
ENSDARG00000004561,4
ENSDARG00000004574,23
ENSDARG00000004576,32
ENSDARG00000004580,69
ENSDARG00000004581,34
ENSDARG00000004586,0
ENSDARG00000004587,14
ENSDARG00000004588,569
ENSDARG00000004592,3
ENSDARG00000004594,48
ENSDARG00000004597,49
ENSDARG00000004598,0
ENSDARG00000004616,6
ENSDARG00000004618,6
ENSDARG00000004621,365
ENSDARG00000004627,0
ENSDARG00000004632,22
ENSDARG00000004633,3
ENSDARG00000004634,20
ENSDARG00000004635,133
ENSDARG00000004636,66
ENSDARG00000004643,99
ENSDARG00000004647,0
ENSDARG00000004648,19
ENSDARG00000004658,5
ENSDARG00000004672,86
ENSDARG00000004680,6
ENSDARG00000004687,15
ENSDARG00000004692,65
ENSDARG00000004695,27
ENSDARG00000004696,16
ENSDARG00000004697,21
ENSDARG00000004702,65
ENSDARG00000004706,31
ENSDARG00000004712,66
ENSDARG00000004713,8
ENSDARG00000004714,170
ENSDARG00000004721,13
ENSDARG00000004724,26
ENSDARG00000004726,49
ENSDARG00000004735,197
ENSDARG00000004745,5
ENSDARG00000004748,12
ENSDARG00000004753,21
ENSDARG00000004754,32
ENSDARG00000004757,943
ENSDARG00000004763,12
ENSDARG00000004771,23
ENSDARG00000004774,55
ENSDARG00000004782,256
ENSDARG00000004785,99
ENSDARG00000004789,117
ENSDARG00000004794,6
ENSDARG00000004796,119
ENSDARG00000004806,12
ENSDARG00000004823,0
ENSDARG00000004830,87
ENSDARG00000004836,169
ENSDARG00000004840,38
ENSDARG00000004843,35
ENSDARG00000004851,5
ENSDARG00000004861,50
ENSDARG00000004864,0
ENSDARG00000004866,25
ENSDARG00000004869,9
ENSDARG00000004870,2
ENSDARG00000004871,0
ENSDARG00000004874,9
ENSDARG00000004875,21
ENSDARG00000004877,148
ENSDARG00000004880,0
ENSDARG00000004889,0
ENSDARG00000004891,16
ENSDARG00000004898,4
ENSDARG00000004904,11
ENSDARG00000004906,63
ENSDARG00000004925,1
ENSDARG00000004930,323
ENSDARG00000004931,19
ENSDARG00000004932,30
ENSDARG00000004937,0
ENSDARG00000004939,39
ENSDARG00000004948,65
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,6
ENSDARG00000004964,20
ENSDARG00000004979,3
ENSDARG00000004988,106
ENSDARG00000005002,30
ENSDARG00000005004,2
ENSDARG00000005010,1
ENSDARG00000005015,87
ENSDARG00000005023,17
ENSDARG00000005026,272
ENSDARG00000005034,6
ENSDARG00000005049,1
ENSDARG00000005050,0
ENSDARG00000005057,6
ENSDARG00000005058,16
ENSDARG00000005078,10
ENSDARG00000005085,61
ENSDARG00000005092,9
ENSDARG00000005095,8
ENSDARG00000005098,8
ENSDARG00000005104,52
ENSDARG00000005108,3
ENSDARG00000005112,72
ENSDARG00000005115,5
ENSDARG00000005122,73
ENSDARG00000005126,38
ENSDARG00000005128,3
ENSDARG00000005134,17
ENSDARG00000005139,10
ENSDARG00000005141,125
ENSDARG00000005150,0
ENSDARG00000005154,5
ENSDARG00000005159,11
ENSDARG00000005162,104
ENSDARG00000005163,45
ENSDARG00000005172,17
ENSDARG00000005176,3
ENSDARG00000005179,23
ENSDARG00000005185,66
ENSDARG00000005186,91
ENSDARG00000005191,219
ENSDARG00000005210,6
ENSDARG00000005216,31
ENSDARG00000005218,0
ENSDARG00000005220,13
ENSDARG00000005221,23
ENSDARG00000005230,20
ENSDARG00000005232,99
ENSDARG00000005236,483
ENSDARG00000005246,32
ENSDARG00000005251,2
ENSDARG00000005254,16
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,166
ENSDARG00000005318,13
ENSDARG00000005320,2
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,28
ENSDARG00000005350,62
ENSDARG00000005355,10
ENSDARG00000005356,40
ENSDARG00000005359,119
ENSDARG00000005364,16
ENSDARG00000005368,40
ENSDARG00000005371,0
ENSDARG00000005372,30
ENSDARG00000005374,107
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,71
ENSDARG00000005397,149
ENSDARG00000005414,16
ENSDARG00000005416,25
ENSDARG00000005423,16
ENSDARG00000005425,22
ENSDARG00000005448,6
ENSDARG00000005451,84
ENSDARG00000005453,157
ENSDARG00000005454,29
ENSDARG00000005456,73
ENSDARG00000005458,43
ENSDARG00000005462,22
ENSDARG00000005463,28
ENSDARG00000005464,0
ENSDARG00000005468,86
ENSDARG00000005476,238
ENSDARG00000005479,800
ENSDARG00000005481,25
ENSDARG00000005482,888
ENSDARG00000005485,22
ENSDARG00000005500,46
ENSDARG00000005510,0
ENSDARG00000005513,595
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,2
ENSDARG00000005526,32
ENSDARG00000005536,49
ENSDARG00000005540,112
ENSDARG00000005541,0
ENSDARG00000005544,15
ENSDARG00000005547,35
ENSDARG00000005549,118
ENSDARG00000005551,56
ENSDARG00000005559,12
ENSDARG00000005560,112
ENSDARG00000005561,40
ENSDARG00000005565,2
ENSDARG00000005574,38
ENSDARG00000005576,59
ENSDARG00000005578,51
ENSDARG00000005586,84
ENSDARG00000005590,52
ENSDARG00000005595,31
ENSDARG00000005606,32
ENSDARG00000005612,17
ENSDARG00000005616,10
ENSDARG00000005619,0
ENSDARG00000005625,73
ENSDARG00000005626,4
ENSDARG00000005627,0
ENSDARG00000005629,23
ENSDARG00000005640,0
ENSDARG00000005643,12
ENSDARG00000005645,161
ENSDARG00000005648,17
ENSDARG00000005651,15
ENSDARG00000005652,201
ENSDARG00000005670,121
ENSDARG00000005673,0
ENSDARG00000005675,26
ENSDARG00000005679,67
ENSDARG00000005690,61
ENSDARG00000005699,53
ENSDARG00000005704,0
ENSDARG00000005713,2
ENSDARG00000005716,1
ENSDARG00000005738,36
ENSDARG00000005739,3
ENSDARG00000005749,6
ENSDARG00000005754,320
ENSDARG00000005762,140
ENSDARG00000005772,0
ENSDARG00000005774,658
ENSDARG00000005775,582
ENSDARG00000005776,48
ENSDARG00000005780,9
ENSDARG00000005783,106
ENSDARG00000005786,0
ENSDARG00000005789,0
ENSDARG00000005791,514
ENSDARG00000005799,3
ENSDARG00000005800,62
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,75
ENSDARG00000005827,56
