A11,Counts
ENSDARG00000003169,30
ENSDARG00000003175,2
ENSDARG00000003181,0
ENSDARG00000003189,33
ENSDARG00000003193,6
ENSDARG00000003197,0
ENSDARG00000003200,0
ENSDARG00000003203,91
ENSDARG00000003205,0
ENSDARG00000003206,7
ENSDARG00000003207,1
ENSDARG00000003208,4
ENSDARG00000003210,13
ENSDARG00000003213,80
ENSDARG00000003216,34
ENSDARG00000003217,10
ENSDARG00000003219,22
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,0
ENSDARG00000003250,11
ENSDARG00000003251,4
ENSDARG00000003257,0
ENSDARG00000003259,4
ENSDARG00000003269,40
ENSDARG00000003270,5
ENSDARG00000003281,7
ENSDARG00000003287,16
ENSDARG00000003290,0
ENSDARG00000003293,20
ENSDARG00000003303,0
ENSDARG00000003307,5
ENSDARG00000003308,7
ENSDARG00000003311,3
ENSDARG00000003313,0
ENSDARG00000003320,13
ENSDARG00000003326,0
ENSDARG00000003328,5
ENSDARG00000003344,0
ENSDARG00000003373,8
ENSDARG00000003375,15
ENSDARG00000003380,0
ENSDARG00000003381,3
ENSDARG00000003382,15
ENSDARG00000003383,7
ENSDARG00000003395,0
ENSDARG00000003398,4
ENSDARG00000003399,0
ENSDARG00000003403,17
ENSDARG00000003411,26
ENSDARG00000003414,0
ENSDARG00000003420,1
ENSDARG00000003421,27
ENSDARG00000003429,1
ENSDARG00000003444,7
ENSDARG00000003446,7
ENSDARG00000003449,6
ENSDARG00000003462,25
ENSDARG00000003469,0
ENSDARG00000003475,0
ENSDARG00000003486,30
ENSDARG00000003487,15
ENSDARG00000003495,4
ENSDARG00000003512,18
ENSDARG00000003517,5
ENSDARG00000003519,4
ENSDARG00000003520,1
ENSDARG00000003523,2
ENSDARG00000003526,18
ENSDARG00000003527,8
ENSDARG00000003531,37
ENSDARG00000003533,0
ENSDARG00000003544,9
ENSDARG00000003553,0
ENSDARG00000003564,2
ENSDARG00000003570,133
ENSDARG00000003573,5
ENSDARG00000003576,5
ENSDARG00000003584,3
ENSDARG00000003592,0
ENSDARG00000003599,674
ENSDARG00000003607,23
ENSDARG00000003615,21
ENSDARG00000003616,12
ENSDARG00000003631,49
ENSDARG00000003632,2
ENSDARG00000003635,8
ENSDARG00000003641,28
ENSDARG00000003642,9
ENSDARG00000003655,63
ENSDARG00000003675,0
ENSDARG00000003680,54
ENSDARG00000003681,77
ENSDARG00000003684,19
ENSDARG00000003693,11
ENSDARG00000003695,136
ENSDARG00000003697,0
ENSDARG00000003699,8
ENSDARG00000003701,0
ENSDARG00000003705,40
ENSDARG00000003706,5
ENSDARG00000003732,3
ENSDARG00000003749,16
ENSDARG00000003750,5
ENSDARG00000003751,18
ENSDARG00000003754,4
ENSDARG00000003757,3
ENSDARG00000003769,8
ENSDARG00000003776,25
ENSDARG00000003779,8
ENSDARG00000003789,12
ENSDARG00000003795,157
ENSDARG00000003797,1
ENSDARG00000003803,1
ENSDARG00000003808,23
ENSDARG00000003811,54
ENSDARG00000003818,27
ENSDARG00000003820,28
ENSDARG00000003822,0
ENSDARG00000003827,4
ENSDARG00000003829,24
ENSDARG00000003835,67
ENSDARG00000003841,2
ENSDARG00000003845,7
ENSDARG00000003846,0
ENSDARG00000003854,50
ENSDARG00000003860,37
ENSDARG00000003865,1
ENSDARG00000003866,18
ENSDARG00000003867,1
ENSDARG00000003869,13
ENSDARG00000003872,5
ENSDARG00000003877,18
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,42
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,5
ENSDARG00000003910,21
ENSDARG00000003920,36
ENSDARG00000003925,0
ENSDARG00000003927,10
ENSDARG00000003931,8
ENSDARG00000003934,0
ENSDARG00000003938,25
ENSDARG00000003940,5
ENSDARG00000003941,11
ENSDARG00000003944,0
ENSDARG00000003952,75
ENSDARG00000003961,6
ENSDARG00000003963,13
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,7
ENSDARG00000003971,5
ENSDARG00000003973,7
ENSDARG00000003974,10
ENSDARG00000003977,5
ENSDARG00000003984,2
ENSDARG00000003989,22
ENSDARG00000003991,17
ENSDARG00000003994,4
ENSDARG00000003998,4
ENSDARG00000004015,3
ENSDARG00000004017,6
ENSDARG00000004018,0
ENSDARG00000004023,36
ENSDARG00000004034,15
ENSDARG00000004037,4
ENSDARG00000004046,2
ENSDARG00000004049,10
ENSDARG00000004051,7
ENSDARG00000004055,25
ENSDARG00000004059,4
ENSDARG00000004060,132
ENSDARG00000004074,21
ENSDARG00000004078,11
ENSDARG00000004082,12
ENSDARG00000004094,38
ENSDARG00000004105,9
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,0
ENSDARG00000004115,5
ENSDARG00000004130,0
ENSDARG00000004131,6
ENSDARG00000004132,43
ENSDARG00000004150,1
ENSDARG00000004151,0
ENSDARG00000004154,0
ENSDARG00000004158,0
ENSDARG00000004160,7
ENSDARG00000004161,41
ENSDARG00000004167,7
ENSDARG00000004169,21
ENSDARG00000004171,7
ENSDARG00000004173,76
ENSDARG00000004174,65
ENSDARG00000004176,0
ENSDARG00000004177,11
ENSDARG00000004184,19
ENSDARG00000004187,0
ENSDARG00000004189,9
ENSDARG00000004196,19
ENSDARG00000004199,1
ENSDARG00000004204,0
ENSDARG00000004211,6
ENSDARG00000004218,0
ENSDARG00000004219,0
ENSDARG00000004227,5
ENSDARG00000004232,6
ENSDARG00000004243,0
ENSDARG00000004246,56
ENSDARG00000004251,5
ENSDARG00000004256,0
ENSDARG00000004260,1
ENSDARG00000004261,49
ENSDARG00000004262,5
ENSDARG00000004270,9
ENSDARG00000004274,4
ENSDARG00000004280,0
ENSDARG00000004282,9
ENSDARG00000004291,16
ENSDARG00000004296,24
ENSDARG00000004297,41
ENSDARG00000004301,1
ENSDARG00000004302,25
ENSDARG00000004305,3
ENSDARG00000004306,4
