E11,Counts
ENSDARG00000003127,113
ENSDARG00000003132,31
ENSDARG00000003142,18
ENSDARG00000003144,8
ENSDARG00000003146,9
ENSDARG00000003151,457
ENSDARG00000003153,43
ENSDARG00000003157,46
ENSDARG00000003165,194
ENSDARG00000003167,19
ENSDARG00000003169,485
ENSDARG00000003175,71
ENSDARG00000003181,2
ENSDARG00000003189,271
ENSDARG00000003193,15
ENSDARG00000003197,0
ENSDARG00000003200,29
ENSDARG00000003203,249
ENSDARG00000003205,9
ENSDARG00000003206,34
ENSDARG00000003207,40
ENSDARG00000003208,16
ENSDARG00000003210,55
ENSDARG00000003213,307
ENSDARG00000003216,98
ENSDARG00000003217,80
ENSDARG00000003219,171
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,21
ENSDARG00000003250,61
ENSDARG00000003251,34
ENSDARG00000003257,0
ENSDARG00000003259,2
ENSDARG00000003269,250
ENSDARG00000003270,32
ENSDARG00000003281,148
ENSDARG00000003287,25
ENSDARG00000003290,51
ENSDARG00000003293,150
ENSDARG00000003303,0
ENSDARG00000003307,57
ENSDARG00000003308,106
ENSDARG00000003311,90
ENSDARG00000003313,5
ENSDARG00000003320,137
ENSDARG00000003326,8
ENSDARG00000003328,121
ENSDARG00000003344,7
ENSDARG00000003373,9
ENSDARG00000003375,27
ENSDARG00000003380,0
ENSDARG00000003381,34
ENSDARG00000003382,80
ENSDARG00000003383,105
ENSDARG00000003395,59
ENSDARG00000003398,64
ENSDARG00000003399,24
ENSDARG00000003403,282
ENSDARG00000003411,41
ENSDARG00000003414,1
ENSDARG00000003420,5
ENSDARG00000003421,112
ENSDARG00000003429,233
ENSDARG00000003444,22
ENSDARG00000003446,47
ENSDARG00000003449,47
ENSDARG00000003462,179
ENSDARG00000003469,36
ENSDARG00000003475,1
ENSDARG00000003486,301
ENSDARG00000003487,124
ENSDARG00000003495,205
ENSDARG00000003512,248
ENSDARG00000003517,16
ENSDARG00000003519,3
ENSDARG00000003520,46
ENSDARG00000003523,1
ENSDARG00000003526,201
ENSDARG00000003527,36
ENSDARG00000003531,108
ENSDARG00000003533,11
ENSDARG00000003544,65
ENSDARG00000003553,0
ENSDARG00000003564,51
ENSDARG00000003570,232
ENSDARG00000003573,74
ENSDARG00000003576,13
ENSDARG00000003584,23
ENSDARG00000003592,17
ENSDARG00000003599,5083
ENSDARG00000003607,136
ENSDARG00000003615,47
ENSDARG00000003616,207
ENSDARG00000003631,243
ENSDARG00000003632,8
ENSDARG00000003635,35
ENSDARG00000003641,148
ENSDARG00000003642,49
ENSDARG00000003655,538
ENSDARG00000003675,9
ENSDARG00000003680,361
ENSDARG00000003681,520
ENSDARG00000003684,148
ENSDARG00000003693,128
ENSDARG00000003695,980
ENSDARG00000003697,11
ENSDARG00000003699,68
ENSDARG00000003701,11
ENSDARG00000003705,245
ENSDARG00000003706,29
ENSDARG00000003732,8
ENSDARG00000003749,14
ENSDARG00000003750,216
ENSDARG00000003751,124
ENSDARG00000003754,107
ENSDARG00000003757,11
ENSDARG00000003769,16
ENSDARG00000003776,162
ENSDARG00000003779,126
ENSDARG00000003789,170
ENSDARG00000003795,1501
ENSDARG00000003797,49
ENSDARG00000003803,20
ENSDARG00000003808,66
ENSDARG00000003811,566
ENSDARG00000003818,122
ENSDARG00000003820,495
ENSDARG00000003822,0
ENSDARG00000003827,10
ENSDARG00000003829,145
ENSDARG00000003835,426
ENSDARG00000003841,5
ENSDARG00000003845,59
ENSDARG00000003846,34
ENSDARG00000003854,281
ENSDARG00000003860,121
ENSDARG00000003865,13
ENSDARG00000003866,223
ENSDARG00000003867,15
ENSDARG00000003869,32
ENSDARG00000003872,95
ENSDARG00000003877,275
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,699
ENSDARG00000003903,10
ENSDARG00000003904,7
ENSDARG00000003909,8
ENSDARG00000003910,240
ENSDARG00000003920,169
ENSDARG00000003925,0
ENSDARG00000003927,66
ENSDARG00000003931,138
ENSDARG00000003934,4
ENSDARG00000003938,109
ENSDARG00000003940,106
ENSDARG00000003941,65
ENSDARG00000003944,3
ENSDARG00000003952,371
ENSDARG00000003961,36
ENSDARG00000003963,88
ENSDARG00000003965,6
