C7,Counts
ENSDARG00000003931,103
ENSDARG00000003934,0
ENSDARG00000003938,72
ENSDARG00000003940,109
ENSDARG00000003941,72
ENSDARG00000003944,0
ENSDARG00000003952,434
ENSDARG00000003961,60
ENSDARG00000003963,155
ENSDARG00000003965,7
ENSDARG00000003968,0
ENSDARG00000003970,34
ENSDARG00000003971,85
ENSDARG00000003973,21
ENSDARG00000003974,159
ENSDARG00000003977,0
ENSDARG00000003984,66
ENSDARG00000003989,290
ENSDARG00000003991,99
ENSDARG00000003994,60
ENSDARG00000003998,25
ENSDARG00000004015,15
ENSDARG00000004017,34
ENSDARG00000004018,38
ENSDARG00000004023,474
ENSDARG00000004034,77
ENSDARG00000004037,72
ENSDARG00000004046,11
ENSDARG00000004049,126
ENSDARG00000004051,4
ENSDARG00000004055,233
ENSDARG00000004059,0
ENSDARG00000004060,1104
ENSDARG00000004074,730
ENSDARG00000004078,117
ENSDARG00000004082,13
ENSDARG00000004094,395
ENSDARG00000004105,144
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,3
ENSDARG00000004115,70
ENSDARG00000004130,17
ENSDARG00000004131,15
ENSDARG00000004132,686
ENSDARG00000004150,88
ENSDARG00000004151,21
ENSDARG00000004154,23
ENSDARG00000004158,20
ENSDARG00000004160,56
ENSDARG00000004161,141
ENSDARG00000004167,46
ENSDARG00000004169,96
ENSDARG00000004171,29
ENSDARG00000004173,321
ENSDARG00000004174,1033
ENSDARG00000004176,9
ENSDARG00000004177,97
ENSDARG00000004184,374
ENSDARG00000004187,123
ENSDARG00000004189,154
ENSDARG00000004196,204
ENSDARG00000004199,9
ENSDARG00000004204,0
ENSDARG00000004211,35
ENSDARG00000004218,109
ENSDARG00000004219,3
ENSDARG00000004227,219
ENSDARG00000004232,29
ENSDARG00000004243,44
ENSDARG00000004246,383
ENSDARG00000004251,4
ENSDARG00000004256,0
ENSDARG00000004260,22
ENSDARG00000004261,188
ENSDARG00000004262,23
ENSDARG00000004270,85
ENSDARG00000004274,3
ENSDARG00000004280,52
ENSDARG00000004282,173
ENSDARG00000004291,177
ENSDARG00000004296,98
ENSDARG00000004297,427
ENSDARG00000004301,9
ENSDARG00000004302,63
ENSDARG00000004305,47
ENSDARG00000004306,60
ENSDARG00000004307,41
ENSDARG00000004308,0
ENSDARG00000004311,23
ENSDARG00000004318,60
ENSDARG00000004322,14
ENSDARG00000004325,8
ENSDARG00000004328,15
ENSDARG00000004336,313
ENSDARG00000004343,111
ENSDARG00000004358,147
ENSDARG00000004363,10
ENSDARG00000004372,76
ENSDARG00000004377,206
ENSDARG00000004378,87
ENSDARG00000004386,196
ENSDARG00000004392,21
ENSDARG00000004396,19
ENSDARG00000004402,86
ENSDARG00000004405,1
ENSDARG00000004406,57
ENSDARG00000004415,545
ENSDARG00000004427,3
ENSDARG00000004433,0
ENSDARG00000004436,24
ENSDARG00000004445,49
ENSDARG00000004447,0
ENSDARG00000004451,17
ENSDARG00000004452,726
ENSDARG00000004455,33
ENSDARG00000004459,8
ENSDARG00000004460,17
ENSDARG00000004470,124
ENSDARG00000004472,43
ENSDARG00000004473,46
ENSDARG00000004492,18
ENSDARG00000004497,8
ENSDARG00000004498,0
ENSDARG00000004502,66
ENSDARG00000004517,36
ENSDARG00000004525,68
ENSDARG00000004527,24
ENSDARG00000004529,2
ENSDARG00000004537,1389
ENSDARG00000004539,35
ENSDARG00000004561,18
ENSDARG00000004574,9
ENSDARG00000004576,22
ENSDARG00000004580,161
ENSDARG00000004581,84
ENSDARG00000004586,7
ENSDARG00000004587,35
ENSDARG00000004588,1093
ENSDARG00000004592,17
ENSDARG00000004594,109
ENSDARG00000004597,187
ENSDARG00000004598,0
ENSDARG00000004616,22
ENSDARG00000004618,10
ENSDARG00000004621,768
ENSDARG00000004627,0
ENSDARG00000004632,3
ENSDARG00000004633,40
ENSDARG00000004634,72
ENSDARG00000004635,278
ENSDARG00000004636,53
ENSDARG00000004643,206
ENSDARG00000004647,5
ENSDARG00000004648,30
ENSDARG00000004658,41
ENSDARG00000004672,354
ENSDARG00000004680,39
ENSDARG00000004687,28
ENSDARG00000004692,173
ENSDARG00000004695,5
ENSDARG00000004696,25
ENSDARG00000004697,30
ENSDARG00000004702,247
ENSDARG00000004706,42
ENSDARG00000004712,115
ENSDARG00000004713,15
ENSDARG00000004714,549
ENSDARG00000004721,12
ENSDARG00000004724,45
ENSDARG00000004726,99
ENSDARG00000004735,717
ENSDARG00000004745,26
ENSDARG00000004748,15
ENSDARG00000004753,97
ENSDARG00000004754,113
ENSDARG00000004757,2631
ENSDARG00000004763,1
ENSDARG00000004771,45
