A4,Counts
ENSDARG00000003527,62
ENSDARG00000003531,79
ENSDARG00000003533,10
ENSDARG00000003544,56
ENSDARG00000003553,1
ENSDARG00000003564,70
ENSDARG00000003570,448
ENSDARG00000003573,49
ENSDARG00000003576,8
ENSDARG00000003584,24
ENSDARG00000003592,11
ENSDARG00000003599,3714
ENSDARG00000003607,57
ENSDARG00000003615,71
ENSDARG00000003616,50
ENSDARG00000003631,158
ENSDARG00000003632,0
ENSDARG00000003635,26
ENSDARG00000003641,118
ENSDARG00000003642,66
ENSDARG00000003655,270
ENSDARG00000003675,7
ENSDARG00000003680,227
ENSDARG00000003681,459
ENSDARG00000003684,112
ENSDARG00000003693,71
ENSDARG00000003695,653
ENSDARG00000003697,0
ENSDARG00000003699,84
ENSDARG00000003701,0
ENSDARG00000003705,154
ENSDARG00000003706,19
ENSDARG00000003732,11
ENSDARG00000003749,25
ENSDARG00000003750,50
ENSDARG00000003751,68
ENSDARG00000003754,41
ENSDARG00000003757,22
ENSDARG00000003769,24
ENSDARG00000003776,59
ENSDARG00000003779,136
ENSDARG00000003789,119
ENSDARG00000003795,1223
ENSDARG00000003797,16
ENSDARG00000003803,9
ENSDARG00000003808,97
ENSDARG00000003811,514
ENSDARG00000003818,157
ENSDARG00000003820,156
ENSDARG00000003822,5
ENSDARG00000003827,10
ENSDARG00000003829,112
ENSDARG00000003835,308
ENSDARG00000003841,7
ENSDARG00000003845,47
ENSDARG00000003846,24
ENSDARG00000003854,450
ENSDARG00000003860,106
ENSDARG00000003865,26
ENSDARG00000003866,83
ENSDARG00000003867,23
ENSDARG00000003869,34
ENSDARG00000003872,77
ENSDARG00000003877,182
ENSDARG00000003899,4
ENSDARG00000003900,3
ENSDARG00000003902,375
ENSDARG00000003903,2
ENSDARG00000003904,0
ENSDARG00000003909,4
ENSDARG00000003910,99
ENSDARG00000003920,158
ENSDARG00000003925,2
ENSDARG00000003927,71
ENSDARG00000003931,153
ENSDARG00000003934,16
ENSDARG00000003938,131
ENSDARG00000003940,48
ENSDARG00000003941,67
ENSDARG00000003944,4
ENSDARG00000003952,420
ENSDARG00000003961,27
ENSDARG00000003963,61
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,10
ENSDARG00000003971,43
ENSDARG00000003973,9
ENSDARG00000003974,113
ENSDARG00000003977,37
ENSDARG00000003984,42
ENSDARG00000003989,50
ENSDARG00000003991,46
ENSDARG00000003994,21
ENSDARG00000003998,26
ENSDARG00000004015,6
ENSDARG00000004017,25
ENSDARG00000004018,9
ENSDARG00000004023,210
ENSDARG00000004034,205
ENSDARG00000004037,28
ENSDARG00000004046,12
ENSDARG00000004049,24
ENSDARG00000004051,7
ENSDARG00000004055,115
ENSDARG00000004059,6
ENSDARG00000004060,748
ENSDARG00000004074,96
ENSDARG00000004078,67
ENSDARG00000004082,18
ENSDARG00000004094,196
ENSDARG00000004105,84
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,17
ENSDARG00000004115,41
ENSDARG00000004130,4
ENSDARG00000004131,88
ENSDARG00000004132,282
ENSDARG00000004150,14
ENSDARG00000004151,21
ENSDARG00000004154,4
ENSDARG00000004158,2
ENSDARG00000004160,82
ENSDARG00000004161,128
ENSDARG00000004167,8
ENSDARG00000004169,82
ENSDARG00000004171,31
ENSDARG00000004173,368
ENSDARG00000004174,493
ENSDARG00000004176,4
ENSDARG00000004177,52
ENSDARG00000004184,125
ENSDARG00000004187,52
ENSDARG00000004189,59
ENSDARG00000004196,127
ENSDARG00000004199,9
ENSDARG00000004204,0
ENSDARG00000004211,44
ENSDARG00000004218,19
ENSDARG00000004219,12
ENSDARG00000004227,61
ENSDARG00000004232,58
ENSDARG00000004243,2
ENSDARG00000004246,215
ENSDARG00000004251,18
ENSDARG00000004256,0
ENSDARG00000004260,4
ENSDARG00000004261,146
ENSDARG00000004262,43
ENSDARG00000004270,68
ENSDARG00000004274,13
ENSDARG00000004280,17
ENSDARG00000004282,49
ENSDARG00000004291,68
ENSDARG00000004296,146
ENSDARG00000004297,200
ENSDARG00000004301,14
ENSDARG00000004302,38
ENSDARG00000004305,17
ENSDARG00000004306,20
ENSDARG00000004307,6
ENSDARG00000004308,9
ENSDARG00000004311,13
ENSDARG00000004318,11
ENSDARG00000004322,2
ENSDARG00000004325,50
ENSDARG00000004328,0
ENSDARG00000004336,153
ENSDARG00000004343,27
ENSDARG00000004358,74
ENSDARG00000004363,33
ENSDARG00000004372,47
ENSDARG00000004377,76
ENSDARG00000004378,43
ENSDARG00000004386,123
ENSDARG00000004392,19
ENSDARG00000004396,16
ENSDARG00000004402,34
ENSDARG00000004405,1
ENSDARG00000004406,4
ENSDARG00000004415,211
ENSDARG00000004427,4
ENSDARG00000004433,0
ENSDARG00000004436,18
ENSDARG00000004445,50
ENSDARG00000004447,0
ENSDARG00000004451,75
ENSDARG00000004452,617
ENSDARG00000004455,14
ENSDARG00000004459,4
ENSDARG00000004460,14
ENSDARG00000004470,189
ENSDARG00000004472,33
ENSDARG00000004473,17
ENSDARG00000004492,8
ENSDARG00000004497,13
ENSDARG00000004498,2
ENSDARG00000004502,28
ENSDARG00000004517,23
ENSDARG00000004525,61
ENSDARG00000004527,32
ENSDARG00000004529,13
ENSDARG00000004537,617
ENSDARG00000004539,43
ENSDARG00000004561,0
ENSDARG00000004574,2
ENSDARG00000004576,15
ENSDARG00000004580,57
ENSDARG00000004581,75
ENSDARG00000004586,6
ENSDARG00000004587,49
ENSDARG00000004588,451
ENSDARG00000004592,14
ENSDARG00000004594,47
ENSDARG00000004597,40
ENSDARG00000004598,0
ENSDARG00000004616,33
ENSDARG00000004618,11
ENSDARG00000004621,285
ENSDARG00000004627,1
ENSDARG00000004632,15
ENSDARG00000004633,3
ENSDARG00000004634,380
ENSDARG00000004635,157
ENSDARG00000004636,85
ENSDARG00000004643,39
ENSDARG00000004647,3
ENSDARG00000004648,6
ENSDARG00000004658,155
ENSDARG00000004672,186
ENSDARG00000004680,21
ENSDARG00000004687,59
ENSDARG00000004692,108
ENSDARG00000004695,12
ENSDARG00000004696,71
ENSDARG00000004697,28
ENSDARG00000004702,143
ENSDARG00000004706,97
ENSDARG00000004712,42
ENSDARG00000004713,7
ENSDARG00000004714,278
ENSDARG00000004721,16
ENSDARG00000004724,68
ENSDARG00000004726,116
ENSDARG00000004735,336
ENSDARG00000004745,21
ENSDARG00000004748,56
ENSDARG00000004753,102
ENSDARG00000004754,151
ENSDARG00000004757,2614
ENSDARG00000004763,11
ENSDARG00000004771,24
ENSDARG00000004774,135
ENSDARG00000004782,558
ENSDARG00000004785,184
ENSDARG00000004789,67
ENSDARG00000004794,11
ENSDARG00000004796,70
ENSDARG00000004806,25
ENSDARG00000004823,0
ENSDARG00000004830,242
ENSDARG00000004836,148
ENSDARG00000004840,64
ENSDARG00000004843,189
ENSDARG00000004851,22
ENSDARG00000004861,32
ENSDARG00000004864,0
ENSDARG00000004866,43
ENSDARG00000004869,33
ENSDARG00000004870,24
ENSDARG00000004871,0
ENSDARG00000004874,16
ENSDARG00000004875,28
ENSDARG00000004877,261
ENSDARG00000004880,15
ENSDARG00000004889,0
ENSDARG00000004891,87
ENSDARG00000004898,0
ENSDARG00000004904,53
ENSDARG00000004906,139
ENSDARG00000004925,1
ENSDARG00000004930,456
ENSDARG00000004931,47
ENSDARG00000004932,18
ENSDARG00000004937,2
ENSDARG00000004939,33
ENSDARG00000004948,195
ENSDARG00000004952,0
ENSDARG00000004953,2
ENSDARG00000004954,8
ENSDARG00000004956,43
ENSDARG00000004964,112
ENSDARG00000004979,21
ENSDARG00000004988,56
ENSDARG00000005002,3
ENSDARG00000005004,0
ENSDARG00000005010,3
ENSDARG00000005015,214
ENSDARG00000005023,35
ENSDARG00000005026,220
ENSDARG00000005034,18
ENSDARG00000005049,16
ENSDARG00000005050,9
ENSDARG00000005057,11
ENSDARG00000005058,52
ENSDARG00000005078,9
ENSDARG00000005085,49
ENSDARG00000005092,29
ENSDARG00000005095,16
ENSDARG00000005098,20
ENSDARG00000005104,62
ENSDARG00000005108,136
ENSDARG00000005112,575
ENSDARG00000005115,67
ENSDARG00000005122,249
ENSDARG00000005126,21
ENSDARG00000005128,6
ENSDARG00000005134,70
ENSDARG00000005139,51
ENSDARG00000005141,56
ENSDARG00000005150,6
ENSDARG00000005154,18
ENSDARG00000005159,85
ENSDARG00000005162,481
ENSDARG00000005163,55
ENSDARG00000005172,32
ENSDARG00000005176,16
ENSDARG00000005179,48
ENSDARG00000005185,305
ENSDARG00000005186,139
ENSDARG00000005191,1019
ENSDARG00000005210,17
ENSDARG00000005216,14
ENSDARG00000005218,6
ENSDARG00000005220,30
ENSDARG00000005221,80
ENSDARG00000005230,144
ENSDARG00000005232,133
ENSDARG00000005236,499
ENSDARG00000005246,11
ENSDARG00000005251,21
ENSDARG00000005254,34
ENSDARG00000005271,0
ENSDARG00000005274,6
ENSDARG00000005284,19
ENSDARG00000005314,0
ENSDARG00000005315,175
ENSDARG00000005318,41
ENSDARG00000005320,47
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,2
ENSDARG00000005343,11
ENSDARG00000005350,91
ENSDARG00000005355,85
ENSDARG00000005356,60
ENSDARG00000005359,148
ENSDARG00000005364,3
ENSDARG00000005368,176
ENSDARG00000005371,0
ENSDARG00000005372,32
ENSDARG00000005374,35
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,155
ENSDARG00000005397,195
ENSDARG00000005414,1
ENSDARG00000005416,62
ENSDARG00000005423,58
ENSDARG00000005425,40
ENSDARG00000005448,1
ENSDARG00000005451,328
ENSDARG00000005453,151
ENSDARG00000005454,76
ENSDARG00000005456,205
ENSDARG00000005458,89
ENSDARG00000005462,108
ENSDARG00000005463,78
ENSDARG00000005464,0
ENSDARG00000005468,147
ENSDARG00000005476,183
ENSDARG00000005479,407
ENSDARG00000005481,46
ENSDARG00000005482,293
ENSDARG00000005485,92
ENSDARG00000005500,30
ENSDARG00000005510,3
ENSDARG00000005513,2177
ENSDARG00000005518,9
ENSDARG00000005522,1
ENSDARG00000005525,33
ENSDARG00000005526,59
ENSDARG00000005536,205
ENSDARG00000005540,187
ENSDARG00000005541,33
ENSDARG00000005544,17
ENSDARG00000005547,39
ENSDARG00000005549,72
ENSDARG00000005551,31
ENSDARG00000005559,10
ENSDARG00000005560,159
