	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000076247	-0.303451439666667	-0.189793636000001	-0.187451435666667	0.0403058486666659	5.96132059213333	1.38744336055294	0.292106301599814	0.999927312737676
ENSDARG00000009544	-0.116130405	0.0561743346666681	-0.133096502333332	0.389924551333337	10.1617001444	1.38720159893099	0.292181718325293	0.999927312737676
ENSDARG00000022795	-0.335017176	-0.220079943999999	-0.334653499	-0.277771603333334	6.76248640786667	1.38710865464471	0.292210717379181	0.999927312737676
ENSDARG00000089124	-0.944446884	-0.476246171333333	-0.223254817333332	-0.325431750333333	8.88933324873333	1.38683470723319	0.292296207696074	0.999927312737676
ENSDARG00000028586	-0.178615511333334	-0.0486836349999997	-0.631295179333334	-0.457992408999999	5.80675218906667	1.38675534696697	0.292320978388721	0.999927312737676
ENSDARG00000104569	1.06984436633334	0.837069591666667	0.950893279666667	0.771233972000001	7.60889676626667	1.38643815635425	0.292420004816399	0.999927312737676
ENSDARG00000103101	-0.264726891333334	-0.332383200000001	-0.284020347	-0.230547955666667	9.34201980386667	1.38606944212466	0.292535160743774	0.999927312737676
ENSDARG00000070228	-0.270053608666665	-0.0432384573333326	0.0659886196666664	-0.0331876426666664	7.1961820162	1.38604278015739	0.292543489574728	0.999927312737676
ENSDARG00000101465	-0.189465389	-0.392164740999999	-0.399970210666667	-0.244225516333333	6.8518891536	1.38576287325331	0.292630943536045	0.999927312737676
ENSDARG00000087452	0.17427259366667	0.139273457000002	0.0237545090000015	-0.00967796366666462	10.0519177188667	1.3857289135476	0.292641555739552	0.999927312737676
ENSDARG00000070344	0.372868820666668	0.467375532666667	-0.103976026333333	0.134511222	3.9109605148	1.38563322498895	0.292671459993059	0.999927312737676
ENSDARG00000058528	-0.115388224333334	-0.130561690666667	-0.0345668203333336	-0.230891816	8.17237812506667	1.38547528514147	0.292720825761342	0.999927312737676
ENSDARG00000117217	-0.168723164	0.117903147666667	0.224456663	0.389816988	4.5085696506	1.38515453996226	0.292821104737402	0.999927312737676
ENSDARG00000099005	-0.352581015333333	-0.0324752993333322	0.356807561333334	-0.245661261666666	4.755295485	1.38503599512083	0.292858176092656	0.999927312737676
ENSDARG00000035562	-0.0143335043333321	-0.161298156666666	-0.117811899999999	0.0851186920000009	7.51374885053333	1.38478886214037	0.292935475255347	0.999927312737676
ENSDARG00000018891	-0.315358579	-0.299897388	-0.361371436666666	-0.232278289333333	8.17558826573333	1.38472785960898	0.29295455911986	0.999927312737676
ENSDARG00000078859	-0.934303319333334	-0.614993866666667	-0.0659474233333324	-0.443548461333334	4.7626357492	1.3845927839443	0.292996820425966	0.999927312737676
ENSDARG00000044562	-0.223844600000003	-0.15225308666667	-0.216127046666671	-0.146325810000004	12.2429873646667	1.38454461805205	0.293011891688868	0.999927312737676
ENSDARG00000014651	0.335575639333332	0.429785486333333	0.541532583	0.364076820666667	6.51167956786667	1.38410295232183	0.293150127952206	0.999927312737676
ENSDARG00000055642	0.289093218666668	0.548982857333334	0.279643944333335	0.302372193333335	8.55533398706667	1.38406729715352	0.293161290568338	0.999927312737676
ENSDARG00000040009	0.280212863333338	0.214374383333336	0.210692996666669	0.151033933333338	11.0613102453333	1.38405477269426	0.293165211724276	0.999927312737676
ENSDARG00000055302	0.132224381666664	0.0807876026666658	-0.00141552666666911	-0.359448874333335	8.24688178866667	1.38397974658684	0.293188702030439	0.999927312737676
ENSDARG00000056462	-0.0956604833333357	0.0202256059999977	0.226267552999997	0.414860736999997	7.75314266286667	1.38392454894432	0.293205985392424	0.999927312737676
ENSDARG00000012192	-0.149848204333333	-0.0560716503333332	-0.149443466333334	0.0977043460000004	8.460038561	1.3835612072226	0.293319780606105	0.999927312737676
ENSDARG00000020711	0.767787758666668	1.06300563033333	-1.606514417	0.727167710666669	4.59221951253333	1.38329935713783	0.293401818092912	0.999927312737676
ENSDARG00000057468	-0.0883162526666661	-0.0780047323333326	-0.260038803	-0.529405134666666	6.65228244646667	1.38329531580833	0.293403084426324	0.999927312737676
ENSDARG00000026840	0.252259470666668	-0.0652718719999985	0.200654642000002	0.0352664953333353	7.2987979272	1.38313017753965	0.293454834666035	0.999927312737676
ENSDARG00000053890	-0.284914429666665	0.0145195160000018	0.0821545596666686	-0.0947932399999987	6.7089411782	1.38311059626829	0.293460971581035	0.999927312737676
ENSDARG00000103893	-0.221726721666665	-0.0920012796666665	-0.200556023999997	-0.208153290333334	9.11179866186667	1.38309317443025	0.29346643182598	0.999927312737676
ENSDARG00000038785	-0.237438915333332	-0.0984994033333333	-0.199929246666665	-0.0635884033333305	10.1731552629333	1.38300033028729	0.293495532247422	0.999927312737676
ENSDARG00000024112	-0.0658059969999982	-0.0649656753333332	-0.258661895999998	-0.0767148529999986	8.6526455694	1.38286582725995	0.293537695266232	0.999927312737676
ENSDARG00000016837	-0.198780355666666	-0.344386621333332	0.0306991653333339	0.0273326713333342	6.17173619193333	1.382794768266	0.29355997286132	0.999927312737676
ENSDARG00000007294	-0.212641799999998	-0.0773981233333298	-0.152392593333332	-0.137923896666663	12.7932897506667	1.38236285445971	0.293695419344547	0.999927312737676
ENSDARG00000095185	0.145528314999998	-0.149263530333334	-0.343356371666668	-0.126439027666668	6.05005375506667	1.38234450875901	0.293701173924298	0.999927312737676
ENSDARG00000054420	-0.124069220333332	-0.298080206666667	-0.443087697333333	-0.369002796666667	4.6337531808	1.38233927926857	0.293702814303947	0.999927312737676
ENSDARG00000010710	-0.173674456000001	-0.154459257666666	-0.134228671333332	-0.195914502666666	9.7542480048	1.38200616517992	0.293807324739221	0.999927312737676
ENSDARG00000099731	0.227053754666667	-0.157617188666666	0.0930327349999986	-0.206199656	5.21198963833333	1.38180765647038	0.293869622798351	0.999927312737676
ENSDARG00000076348	-0.102770375666666	0.366887294333334	0.182540505666666	0.317169583999999	5.648460504	1.38121473933303	0.294055780045142	0.999927312737676
ENSDARG00000069361	0.0474998006666674	0.0480621266666681	-0.119648116	-0.243193565666665	8.66862069646667	1.38086115139583	0.294166853883468	0.999927312737676
ENSDARG00000094792	0.11345218066667	0.274691414333336	0.207644266666668	0.0829475553333356	9.61311063406667	1.3807697887719	0.294195561045932	0.999927312737676
ENSDARG00000032985	0.0786034909999991	-0.0893151543333328	-0.0224663459999999	-0.231269188999999	8.03118739566667	1.38061401827509	0.29424451260635	0.999927312737676
ENSDARG00000103607	0.350749382333333	-0.0187171753333333	0.0637278866666673	-0.0212610696666662	5.4793778938	1.380553697447	0.294263470966562	0.999927312737676
ENSDARG00000039145	-0.116881887333332	-0.345907784999999	-0.660336668666667	-0.0279768003333336	5.2427591064	1.38041026438527	0.294308555949369	0.999927312737676
ENSDARG00000105636	0.557797882666667	0.550323762333333	0.230394291666665	0.327980199	4.77011928646667	1.38022766804694	0.294365961431616	0.999927312737676
ENSDARG00000105863	0.289254141333333	0.171533628000001	0.188322133000001	0.456677050000001	6.2416162348	1.37972483336102	0.294524105139364	0.999927312737676
ENSDARG00000116223	-0.305178345666667	-0.430639640666668	-0.313532719333334	-0.369255268666667	5.06142121046667	1.37965350126823	0.294546546551313	0.999927312737676
ENSDARG00000022689	-0.151611885666666	0.0571191830000011	0.163633274	0.282909623666667	8.57408950466667	1.37955484403996	0.294577587510621	0.999927312737676
ENSDARG00000091799	0.371982676333334	0.117249924666668	-0.150342149333333	0.0637519830000004	6.3540497456	1.37949404822531	0.294596717660667	0.999927312737676
ENSDARG00000061621	-0.329296906666667	-0.179594680666669	-0.235319483666668	-0.0478606273333346	6.96039349266667	1.37921200849635	0.29468548183056	0.999927312737676
ENSDARG00000076544	-0.0855262053333323	-0.0129290023333333	-0.107249124333331	-0.255819284666664	8.71656067666667	1.37901076659305	0.294748834134746	0.999927312737676
ENSDARG00000037588	-0.167945067000002	-0.177476350666669	-0.185556966666669	-0.254164787000002	9.3038912874	1.37889859186712	0.2947841536412	0.999927312737676
ENSDARG00000053493	-0.258880698333332	-0.134909144999998	-0.097681747666666	-0.0643349303333309	9.60567217873333	1.37824467554446	0.294990134377487	0.999927312737676
ENSDARG00000041226	0.182824898333331	0.210510708999998	0.189750119999999	0.304798471333331	9.43156394573333	1.37813781998362	0.295023807630016	0.999927312737676
ENSDARG00000057707	0.160788770333334	0.0154462149999999	-0.0731535816666664	0.161484409	7.23746187886667	1.37803890627659	0.295054981739297	0.999927312737676
ENSDARG00000074820	0.00198554633333448	-0.414188631333333	-0.280589721666666	-0.121215722666665	5.53077751613333	1.3778529731515	0.29511359056967	0.999927312737676
ENSDARG00000075533	-0.0717423713333316	-0.475757642333332	-0.177718154	-0.251924334666666	5.91873464686667	1.37780942390831	0.295127319675459	0.999927312737676
ENSDARG00000073948	0.301453941333334	0.270067835333334	-0.147068274333333	-0.0315342983333329	4.2877579208	1.37779301225373	0.295132493699833	0.999927312737676
ENSDARG00000069469	-0.0558266143333324	-0.160753635999999	-0.188381773666665	-0.403488778333332	8.21185445453333	1.37765829228494	0.295174969789711	0.999927312737676
ENSDARG00000090418	0.226696606999999	0.171534357999999	0.111439726333334	0.0210064196666657	8.1686058602	1.37760596243376	0.295191470672327	0.999927312737676
ENSDARG00000003811	0.0699477426666668	0.129579791333331	0.189520928666667	0.159394807	9.96522243526667	1.37743603067886	0.29524506092797	0.999927312737676
ENSDARG00000034504	0.00198038833333136	-0.126730351666668	-0.218604767333336	-0.324380031000002	9.45189713	1.37723063702167	0.295309848073161	0.999927312737676
ENSDARG00000044776	0.155984170666668	0.183378221000001	-0.00712531799999994	0.586857423666666	4.68044821146667	1.37693989538249	0.295401581732083	0.999927312737676
ENSDARG00000069715	0.0797252139999989	0.346627059999999	0.453462756999999	0.604525981666666	4.34531171653333	1.37665266536069	0.295492236512904	0.999927312737676
ENSDARG00000003757	-0.109736989333334	-0.233193224333334	-0.0149397743333353	0.120394701999999	7.79405634746667	1.37637346546493	0.29558038456992	0.999927312737676
ENSDARG00000046072	0.0647729336666671	0.134848508999999	0.232623864999999	0.219037693333332	8.37410474486667	1.37605694688878	0.295680347819577	0.999927312737676
ENSDARG00000101010	-0.214104451666667	-0.393545733333333	-0.0199108123333334	-0.100534071	5.685428057	1.3760318659703	0.295688270405881	0.999927312737676
ENSDARG00000062003	0.103753776666668	0.126433796666667	0.254322700000001	0.291728663333334	10.5512151973333	1.37578642145805	0.295765813318505	0.999927312737676
ENSDARG00000104042	-0.0422874159999997	0.140847366333333	0.155561966	0.258736570666667	7.45936575773333	1.37571603291436	0.295788054964654	0.999927312737676
ENSDARG00000110596	0.361224133666667	0.254231007333333	0.680772725	0.197335249333333	3.96701676506667	1.37533777231004	0.295907609003948	0.999927312737676
ENSDARG00000102777	-0.185182059333333	0.137008384666666	-0.0180496393333334	0.0881218350000008	7.5529500802	1.37524818998257	0.295935929985329	0.999927312737676
ENSDARG00000093006	-0.241406443333332	0.0816750016666674	0.382928790000001	0.121840613333334	5.417797356	1.37500177697082	0.296013846697034	0.999927312737676
ENSDARG00000060566	0.374096773	0.285479618999999	0.0869828326666662	-0.301614659333334	6.9062507944	1.37497342734276	0.296022812322611	0.999927312737676
ENSDARG00000038643	-0.859879313666665	-0.473726704666665	-0.276882627333332	-0.316635245	7.63320001053333	1.37482375331899	0.29607015170569	0.999927312737676
ENSDARG00000097606	-0.172550740333334	0.0980274563333321	0.0419277149999999	0.179204133000001	6.4223545218	1.37447277750296	0.296181190330321	0.999927312737676
ENSDARG00000028164	-0.371617468000001	-0.106571317000001	-0.178242780000001	-0.627904017333335	4.7191247512	1.37389152087626	0.296365178364199	0.999927312737676
ENSDARG00000029305	-0.0720581889999981	-0.0874707243333317	-0.00587060266666484	0.265444524000001	7.74351784426667	1.37388753454425	0.296366440587598	0.999927312737676
ENSDARG00000018623	-0.203309161999999	-0.483326703	-0.488593165999999	-0.162558546333333	6.29660440086667	1.37371545676137	0.29642093224415	0.999927312737676
ENSDARG00000104922	-0.0544493296666673	-0.361513937000001	-0.121098468	-0.301540185333335	6.06300162366667	1.37354339303983	0.296475429858569	0.999927312737676
ENSDARG00000076013	-0.581269710333333	-0.432711207666667	-0.713776399333334	-0.175645742666667	4.22260703833333	1.37334364552514	0.296538708799884	0.999927312737676
ENSDARG00000040110	-0.429992906666668	-0.458863150666668	-0.325125644333334	-0.260124585333334	7.02606391993333	1.37333143904544	0.296542576202191	0.999927312737676
ENSDARG00000071288	-0.260579909333333	0.0379641876666668	-0.249351642333333	0.114809694666667	5.85075485146667	1.37333033977792	0.296542924487792	0.999927312737676
ENSDARG00000035127	-0.448920739666667	-0.116923324666667	0.0191526803333337	-0.421856052000001	4.3021950338	1.37299943556809	0.296647785600313	0.999927312737676
ENSDARG00000019355	-0.190981076333335	-0.134758571333334	-0.199921599666668	-0.195057944666667	8.16686184026667	1.3729638633423	0.296659060470643	0.999927312737676
ENSDARG00000061436	-0.216035656666664	0.0150756033333366	0.052866866666669	0.150837430000003	10.6536118053333	1.37285779747138	0.296692681447159	0.999927312737676
ENSDARG00000030479	-0.216816186666666	-0.246894243333331	-0.319753979999998	-0.307507079999999	11.884739062	1.37249189308108	0.296808696959202	0.999927312737676
ENSDARG00000025754	-0.188099019999999	-0.162684014333331	-0.138486544333331	-0.150296954666665	9.208615229	1.37218767799268	0.296905188830691	0.999927312737676
ENSDARG00000038822	0.318793969333336	0.314012881000002	0.0822659310000029	0.222108466666669	7.5189962096	1.37184738641466	0.297013162171668	0.999927312737676
ENSDARG00000100302	0.864429080666667	0.326140152333333	0.456935695	-0.0270102023333338	4.4876842838	1.37181114048359	0.297024665283953	0.999927312737676
ENSDARG00000076934	0.0340327003333334	-0.0926651166666668	-0.0554833523333329	-0.182728136000001	7.72455408006667	1.37136451311063	0.297166446217004	0.999927312737676
ENSDARG00000012632	-0.0296013646666662	0.412511575666668	0.116243876333334	0.249028092333334	5.56274650793333	1.37118051186548	0.297224877477109	0.999927312737676
ENSDARG00000010918	0.173192290666665	0.174885386333332	-0.00876420533333455	0.109358155999999	7.4288283872	1.37086314020238	0.297325689767305	0.999927312737676
ENSDARG00000059048	-0.113230123	0.00422929566666586	0.157981286666667	0.00150438133333353	7.76659534313333	1.37084616667349	0.297331082365443	0.999927312737676
ENSDARG00000089179	0.507717260666666	0.458502326	0.101604473666667	0.463202528	5.66523813566667	1.37083149457405	0.297335743866666	0.999927312737676
ENSDARG00000098112	-0.277363439666666	-0.132398482333334	-0.183316594333333	0.110129584666667	7.00949729666667	1.37038848963898	0.297476527579042	0.999927312737676
ENSDARG00000062103	0.110908348666668	0.231350515333334	0.144462147666669	0.297425332333336	6.93909985513333	1.37035102224284	0.297488437617176	0.999927312737676
ENSDARG00000097483	-0.327943241666667	-0.445981980333335	-0.211299482666668	-0.0322763973333355	5.72155812493333	1.37008747926422	0.297572225966334	0.999927312737676
ENSDARG00000062083	-0.0653120533333311	0.108192645666668	-0.0328013386666655	0.230750009333335	7.69872743993333	1.37004062758435	0.297587124109806	0.999927312737676
ENSDARG00000010051	0.192456633333336	0.0763697253333362	-0.0120094799999979	-0.00226158633332929	9.4085689198	1.37002757391487	0.297591275122234	0.999927312737676
ENSDARG00000104340	0.0144249166666697	-0.0912944173333319	-0.321023321999998	-0.277726534666664	5.77626172653333	1.36996458516651	0.297611306126601	0.999927312737676
ENSDARG00000034187	-0.0956493299999952	-0.193106313333329	-0.25267783333333	-0.298074606666662	11.50266851	1.36983930214108	0.297651151449505	0.999927312737676
ENSDARG00000001210	-0.191646153666667	-0.245403480333335	-0.148654990666666	-0.173312831000001	8.1931979092	1.36970181022121	0.297694886095838	0.999927312737676
ENSDARG00000019307	0.256328743666666	0.230448505333333	0.134396788	0.237851853999999	8.2330809482	1.36949665889062	0.297760154854193	0.999927312737676
ENSDARG00000079291	-0.185031631333332	0.161942391000003	0.222988268666668	0.31696097466667	6.18542029593333	1.36947487745326	0.297767085476508	0.999927312737676
ENSDARG00000069833	-0.170897694333334	-0.287063996666668	-0.225531332000001	0.0066270709999996	7.27074682526667	1.36942331884627	0.297783491545939	0.999927312737676
ENSDARG00000076623	-0.28295314	-0.0913502033333327	-0.0851014266666645	0.00759986333333451	11.5150027853333	1.36938658355087	0.297795181375596	0.999927312737676
ENSDARG00000045415	-0.0097194603333346	0.247346810999998	0.125515558333332	0.103363303999998	7.22544461493333	1.36919103186312	0.297857417449748	0.999927312737676
ENSDARG00000078026	-0.0242791206666659	0.120551298000001	0.144899230666667	0.0659408296666655	8.80984251786667	1.3689411684792	0.297936958362043	0.999927312737676
ENSDARG00000052697	0.233616295666666	0.142350530666665	0.226720590999999	0.107219652999998	8.53111161173333	1.3687367778757	0.298002039978618	0.999927312737676
ENSDARG00000103002	-0.0430861033333318	-0.144328849999999	-0.272434696666668	-0.34031942	10.8863055926667	1.36872336048182	0.298006312832636	0.999927312737676
ENSDARG00000057649	-0.0370295229999984	-0.137878074333331	-0.0195800096666643	-0.431609087999998	7.380427079	1.36860734943987	0.29804325993637	0.999927312737676
ENSDARG00000110642	0.271950627666667	0.146837129666666	0.271569124	-0.178367874666666	4.83184247566667	1.36820455912971	0.298171577200808	0.999927312737676
ENSDARG00000052115	-0.111777263666666	-0.407198824	-0.546704884666666	-0.00728541766666613	5.03826951666667	1.36777759437551	0.298307658366685	0.999927312737676
ENSDARG00000012035	-0.177127836666664	-0.236677655999998	-0.325617069999997	-0.264030487666665	7.57861400126667	1.3677134320804	0.298328113589181	0.999927312737676
ENSDARG00000006220	0.160658683333335	0.0927782766666674	0.297700206666667	0.567726286666669	11.1635406406667	1.36769091718024	0.298335291783734	0.999927312737676
ENSDARG00000071463	0.105409104666667	0.305080875666667	0.0828161103333338	0.808866035333334	4.23829686753333	1.36756628178218	0.298375031252428	0.999927312737676
ENSDARG00000055467	-0.120488289999999	0.105225967666667	0.393703036333333	0.646488717	4.3900641642	1.36704738298569	0.298540539010554	0.999927312737676
ENSDARG00000034168	0.0322259533333327	-0.092867926666667	-0.145813496666667	-0.389315233000001	10.3001124860667	1.36695267340292	0.298570757825687	0.999927312737676
ENSDARG00000074827	0.0222905086666678	-0.0143174373333324	0.562537034666668	-0.0490087769999992	4.4020463988	1.36635637957695	0.298761089157768	0.999927312737676
ENSDARG00000053460	0.173013037	-0.0599139733333329	-0.0409139213333338	-0.151392858333334	6.67412826446667	1.36582083125964	0.298932138446193	0.999927312737676
ENSDARG00000042383	0.0291702069999999	-0.109671010666667	-0.416817593666666	-0.404558853333334	6.00817448953333	1.36574406173545	0.298956666265838	0.999927312737676
ENSDARG00000103850	-0.0510357223333306	-0.143881064333332	-0.141087954666665	0.112844426000002	6.95871408593333	1.36561849583477	0.298996789002422	0.999927312737676
ENSDARG00000079188	0.00866509900000079	0.276962877666667	0.188047457333333	-0.0417489053333338	6.1990355854	1.36561307868748	0.2989985200979	0.999927312737676
ENSDARG00000076014	-0.255657449999999	0.0498555226666673	-0.000981318333332482	-0.210219699	5.41776561506667	1.36545159115821	0.299050129588129	0.999927312737676
ENSDARG00000052923	0.118330951999999	0.112440863	0.0110386703333329	-0.095980208666667	8.14961053466667	1.36519490042125	0.299132183916801	0.999927312737676
ENSDARG00000069017	0.247310323666667	0.321152016000001	0.512028560666668	0.848596602000001	6.2702458928	1.36519398752143	0.299132475778068	0.999927312737676
ENSDARG00000088680	0.126000236333334	0.432021451	-0.0545135660000007	-0.470489865	4.69558936726667	1.36466702885108	0.29930099794539	0.999927312737676
ENSDARG00000077504	-0.530692224333333	-0.627970600999999	-0.290337217333334	0.0189023056666668	5.44166324326667	1.36454647886575	0.299339563855068	0.999927312737676
ENSDARG00000059714	0.190043756666666	0.191901887666665	-0.217129044	0.0869507513333332	5.68828090866667	1.36425146124151	0.299433966564713	0.999927312737676
ENSDARG00000099960	-0.265456909	-0.101478172	-0.30093389	0.0929262383333347	6.82953650713333	1.36421101083462	0.299446912701129	0.999927312737676
ENSDARG00000099478	-0.117447422000001	-0.149568006000003	-0.0732049710000009	-0.174238403000002	8.40643704593333	1.36391314658633	0.299542261919397	0.999927312737676
ENSDARG00000074839	0.280783978666669	0.183976450000001	0.294764772000002	0.160051847333335	8.37359808626667	1.36364616254702	0.29962775285631	0.999927312737676
ENSDARG00000117588	-0.0676875379999977	0.0138535086666689	-0.298631443333331	0.0552433463333344	5.71680358006667	1.36355910505995	0.299655634999726	0.999927312737676
ENSDARG00000091408	-0.342784351000001	-0.126361776666667	0.00320747166666635	-0.360517171000001	6.6777272746	1.36326679511927	0.299749273611422	0.999927312737676
ENSDARG00000052958	0.533028141000001	0.143843561000001	0.556813607000001	0.692619285333334	4.67073691053333	1.36302358777837	0.299827205824076	0.999927312737676
ENSDARG00000078654	-0.437762690666666	-0.298110290999999	-0.238951568666666	-0.248194250333334	8.9126304112	1.36295444236387	0.299849366291669	0.999927312737676
ENSDARG00000099483	0.0962951793333335	-0.119031757666667	0.272815905	-0.303258847666667	4.9909686388	1.3627931763395	0.299901057167849	0.999927312737676
ENSDARG00000099724	-0.203157265666667	-0.254781071333334	-0.0601261519999996	-0.073667517333333	7.49488288806667	1.36260536166829	0.299961269379319	0.999927312737676
ENSDARG00000014646	0.0757639633333334	0.137511780000001	0.216483206666666	0.291880573333334	11.2635424346667	1.3621838479987	0.30009644968872	0.999927312737676
ENSDARG00000091961	0.407410276000002	0.326473525333335	0.273992037333335	0.284521524333335	5.9356152846	1.36212210909653	0.300116254787801	0.999927312737676
ENSDARG00000053744	0.293506503666666	0.152112926999999	-0.0883074506666679	0.112469250333333	6.00004578806667	1.36185906318947	0.300200651953004	0.999927312737676
ENSDARG00000096046	0.133559766	0.27309295	-0.0640608593333329	0.427746733666667	5.67546069606667	1.36183505919093	0.300208354759851	0.999927312737676
ENSDARG00000059057	-0.103423956666665	-0.21449670333333	-0.279629856666665	-0.327287223333332	10.3055998086667	1.36177720265591	0.300226921580588	0.999927312737676
