	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000100946	7.044887776	6.832931207	6.858010976	7.066971939	7.153343905	6.9434428	7.110819935	6.970219111	7.327821081	7.162042615	6.674660384	6.832256259	6.885041606	6.905361478	6.947689233
ENSDARG00000100947	5.310025325	5.402352755	4.736117449	5.319029347	5.628606952	5.235960624	6.180187534	5.445670557	5.307718287	5.897305715	5.703295699	6.275785638	6.020793493	5.950289836	5.853740467
ENSDARG00000100952	10.15634819	8.989238814	9.208071098	9.800067191	9.32256136	9.360688778	9.66629532	9.539907511	9.397190249	9.729421001	9.203884036	9.110385192	10.02646185	9.222254939	9.473248956
ENSDARG00000100954	7.346063862	7.044887776	6.732780335	7.019735168	7.164623752	6.800537666	7.040469042	6.92191456	6.994189395	7.135499709	7.163294621	6.957124531	7.12296905	6.85612737	7.29633017
ENSDARG00000100955	7.60274415	7.284216543	7.555635113	7.973794232	8.006453992	7.475167519	8.358073328	7.808598255	7.717494035	7.77757619	7.350580384	8.363119226	8.032459049	7.734730837	8.139810888
ENSDARG00000100956	8.448856214	8.801655164	8.576956268	8.855372698	8.596115728	8.552016538	8.53198264	8.751165481	8.686361882	8.721345225	8.552760307	8.661302293	8.497883665	8.548451249	8.462296692
ENSDARG00000100958	7.060681731	7.971279701	7.792392237	7.589017558	7.751718137	7.818546158	7.175260014	7.762707978	7.653730987	7.281695459	7.90554086	7.970526271	7.503782654	7.787183521	7.733713943
ENSDARG00000100962	6.103885061	6.364270866	5.904801909	6.078811343	6.219593784	6.007598707	6.416525302	6.459922873	6.247241162	6.120399087	6.187154425	6.773441407	6.447933975	6.363061043	6.375911497
ENSDARG00000100965	9.534868428	10.15975337	10.07087571	9.834633322	10.09527126	9.895324526	9.785195855	10.13113224	9.918699618	9.791680241	10.05352856	10.239091	9.71243299	10.07945713	10.08235073
ENSDARG00000100968	7.308074933	7.554693291	7.979693401	7.404692005	7.504389468	7.967036649	7.197750155	6.970219111	7.773786835	7.078988285	7.357813371	7.525250483	6.747287924	7.887955793	7.620805638
ENSDARG00000100969	7.974111134	7.334834107	7.008119069	7.377558794	7.673187382	7.442426308	7.933173655	7.474873391	7.478128481	8.00468862	7.413409023	7.502560086	8.505388327	7.753222352	7.865321533
ENSDARG00000100971	7.477113135	8.341702661	8.832216122	8.118878843	8.293660041	8.627329069	8.042197871	8.246140802	8.368064794	7.691795151	8.036020148	8.246700571	6.956476854	8.251624828	7.980202508
ENSDARG00000100973	7.404692005	7.320602917	7.356948283	7.465313951	7.580677238	7.433959143	7.780550915	7.704585773	7.589017558	7.691795151	7.733713943	7.613906627	7.166613348	7.473999986	7.795410078
ENSDARG00000100981	5.391000415	5.676411462	5.50586334	6.078811343	5.74101005	5.393161846	5.669601621	5.81001612	5.628606952	5.50586334	5.321404274	5.94546669	6.020793493	5.504219203	5.979495381
ENSDARG00000100990	9.287291298	9.194876828	9.269046271	9.07288131	9.224503872	9.160675791	9.107362877	8.952116281	9.218556907	9.092250021	9.04307363	9.07632185	9.185839413	9.123420256	9.16404113
ENSDARG00000100991	6.454718882	6.718978674	6.802587379	6.574158353	7.125072291	7.012092545	6.748850421	6.892414304	6.749982328	6.42490172	6.795597679	6.735460105	6.363061043	7.204609153	6.512764134
ENSDARG00000101008	8.085996841	8.480965468	8.486172487	8.0611927	8.249786626	8.224602429	8.061399538	8.541817322	8.304667094	7.897669011	8.452290562	8.653558484	7.872835001	8.376724702	8.249930823
ENSDARG00000101009	9.635430347	9.592022041	9.68615285	9.540387363	9.651378625	9.596441218	9.543920721	9.693722387	9.733543509	9.570440509	9.562824813	9.59823256	9.652843463	9.54573326	9.742409227
ENSDARG00000101010	6.215779876	5.848139135	5.429222201	5.74101005	5.539382101	5.570435706	5.577870561	5.30541125	5.429222201	6.120399087	5.571999638	5.74101005	5.869855619	5.467942913	5.853740467
ENSDARG00000101012	4.108665772	4.578064196	4.085851009	4.188782815	5.24405377	4.258238415	4.027196006	4.166239113	4.166239113	4.234579529	4.782749242	3.46119613	5.362172024	5.180295606	4.118340219
ENSDARG00000101018	9.660849365	9.572900855	9.587527598	9.424655179	9.535420727	9.569782933	9.510120993	9.575513504	9.465743811	9.501754611	9.354535266	9.449247217	9.528775876	9.476834389	9.498936806
ENSDARG00000101019	5.947853997	6.867803969	6.578432781	6.078811343	6.770589127	6.42383895	6.416525302	6.684151311	6.510937665	6.210547897	6.775829467	6.698580213	6.394828928	6.48670977	6.789923343
ENSDARG00000101020	6.31989581	7.197750155	7.065480751	7.110176591	7.110176591	7.244332884	6.641318217	6.934216909	6.875605651	5.956154027	6.929102562	7.053384211	6.046514173	6.99133907	6.674660384
ENSDARG00000101021	6.528675877	5.657816837	4.332438978	5.770985124	5.354690828	4.457170631	5.669601621	5.47462977	5.10478241	5.926817563	5.402352755	5.14552388	6.211220493	5.626343797	5.539382101
ENSDARG00000101023	7.658015331	7.404692005	7.125072291	7.151282326	7.348287859	7.071918079	7.405964055	6.906153085	6.952815079	7.645193554	7.185387767	6.931522982	8.150790749	7.165263419	7.516789879
ENSDARG00000101024	8.539351147	8.24171861	8.295166937	8.643822983	8.45302817	8.384361899	8.491573542	8.532101234	8.522225495	8.60897736	8.2404881	8.291102357	8.885266396	8.280587406	8.384361899
ENSDARG00000101026	7.693174616	6.398324832	7.456914956	7.75609145	6.909600415	7.546888021	7.985800254	7.068142497	7.706322331	6.747287924	7.206519974	6.773441407	7.94671246	7.405396622	7.550462945
ENSDARG00000101028	6.825675958	7.161367667	6.821408281	6.969504017	6.718218356	6.760981107	7.017814056	7.092699116	6.994189395	6.747287924	6.911478327	7.078988285	6.785528644	6.931522982	6.775092455
ENSDARG00000101029	8.111138063	8.447829352	8.419184547	8.23855775	8.504892192	8.308680566	8.42638943	8.616022179	8.477479098	8.354228854	8.477479098	8.775226818	8.521365633	8.543439081	8.539351147
ENSDARG00000101030	4.504770382	5.274174881	4.89800534	4.89800534	5.24405377	4.336211214	4.142161425	4.846114214	4.340903836	4.574910482	4.901058919	4.98418161	5.043094169	5.467942913	4.188782815
