Williams Trend Test
Data Source: no_log_quant_fastbmd_input_SANT_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:15.26
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000103123"			0.03571428571428571	0.6255732725892179	-1.9320902	1.9320902	1.1634653	-1.451553	-1.3529491	-1.9320902	0.5377519	0.25242692	0.12565888	0.22785501			
"ENSDARG00000078890"			0.019230769230769232	0.6255732725892179	-1.5855767	1.5855767	-1.0146799	-1.4087712	-1.3438575	-1.5855767	0.94286335	0.041515395	0.05591083	0.20071289			
"ENSDARG00000035257"			0.037037037037037035	0.6255732725892179	1.550669	1.550669	1.0430992	1.3684813	1.4014168	1.550669	0.87830675	0.20507346	0.19104448	0.13318808			
"ENSDARG00000002355"			0.031746031746031744	0.6255732725892179	-1.8569697	1.8569697	-1.2405089	-1.4406673	-1.6502552	-1.8569697	0.1849663	0.0664455	0.09873948	0.0153478235			
"ENSDARG00000032372"			0.014925373134328358	0.6255732725892179	1.8503281	1.8503281	1.0937113	1.5131102	1.5058844	1.8503281	0.65534157	0.04594393	0.11612493	0.011216033			
"ENSDARG00000102200"			0.01639344262295082	0.6255732725892179	-1.819577	1.819577	-1.819577	-1.3631291	-1.469692	-1.6294502	0.37806955	0.0779255	0.04030984	0.037141144			
"ENSDARG00000052450"			0.03508771929824561	0.6255732725892179	1.5087435	1.5087435	1.0648376	1.0119319	1.0977446	1.5087435	0.7833709	0.85038304	0.36501187	2.130768E-4			
"ENSDARG00000005154"			0.017857142857142856	0.6255732725892179	-1.5834268	1.5834268	-1.133004	-1.303989	-1.315041	-1.5834268	0.033464465	0.027949722	0.0024875214	0.0041490933			
"ENSDARG00000035127"			0.016129032258064516	0.6255732725892179	-1.6460096	1.6460096	-1.4681563	-1.1895527	-1.6460096	-1.4433674	0.21516639	0.07334298	0.00487041	0.17804278			
"ENSDARG00000079267"			0.0425531914893617	0.6284171344886502	-2.4552445	2.4552445	-1.520028	-1.01787	-2.4552445	1.2147237	0.1071859	0.93010974	0.027502457	0.25374445	0.03	0.3	
"ENSDARG00000094605"			0.038461538461538464	0.6255732725892179	-1.7755091	1.7755091	-1.0999092	-1.7755091	-1.1022117	-1.3638502	0.42042407	0.0117642395	0.4193356	0.1318974			
"ENSDARG00000078832"			0.03278688524590164	0.6255732725892179	2.0466173	2.0466173	1.3284371	1.3728594	1.3993062	2.0466173	0.24352428	0.3823174	0.10666708	0.06091723			
"ENSDARG00000115870"			0.03508771929824561	0.6255732725892179	-1.6577398	1.6577398	-1.1439383	-1.3969615	-1.4723151	-1.6577398	0.1005351	0.13850152	0.028659217	0.15811098			
"ENSDARG00000094216"			0.03773584905660377	0.6255732725892179	-1.626522	1.626522	-1.4132837	-1.5249453	-1.2568953	-1.626522	0.33664715	0.11126694	0.09195585	0.048238583			
"ENSDARG00000038186"			0.03333333333333333	0.6255732725892179	1.6914268	1.6914268	-1.0117714	1.0785761	1.1425482	1.6914268	0.92170346	0.6422702	0.4273583	0.020725114			
"ENSDARG00000056030"			0.03389830508474576	0.6255732725892179	1.5237447	1.5237447	1.131868	1.1250659	1.2083676	1.5237447	0.25235927	0.35249734	0.12849806	0.01844126			
"ENSDARG00000097595"			0.047619047619047616	0.6284171344886502	1.6799583	1.6799583	1.1307179	-1.0260274	1.2918582	1.6799583	0.42593533	0.849953	0.20135978	0.043084525			
"ENSDARG00000102366"			0.03333333333333333	0.6255732725892179	1.5067302	1.5067302	1.3251148	1.2625028	1.3087926	1.5067302	0.16660255	0.22323947	0.17714956	0.081206255			
"ENSDARG00000074362"			0.04918032786885246	0.6284171344886502	-1.829908	1.829908	-1.1967046	-1.2608985	-1.2425702	-1.829908	0.6784991	0.23199433	0.26467925	0.046871908			
"ENSDARG00000077915"			0.01818181818181818	0.6255732725892179	-2.100025	2.100025	1.1300348	-1.2183981	-1.4551445	-2.100025	0.7508033	0.5482438	0.29565072	0.094495706			
"ENSDARG00000018393"			0.038461538461538464	0.6255732725892179	-1.7223326	1.7223326	-1.0713944	-1.3924572	-1.4425603	-1.7223326	0.8038823	0.1865788	0.15125598	0.067482315			
"ENSDARG00000089291"			0.037037037037037035	0.6255732725892179	1.6352296	1.6352296	1.1513156	1.2816329	1.2846929	1.6352296	0.5804819	0.22894321	0.21676075	0.053954296			
"ENSDARG00000087210"			0.037037037037037035	0.6255732725892179	2.54449	2.54449	1.3867834	1.537189	1.4041195	2.54449	0.4646651	0.37673038	0.4738317	0.1101651			
"ENSDARG00000101169"			0.017857142857142856	0.6255732725892179	1.7400917	1.7400917	-1.0014629	1.2567632	1.2636224	1.7400917	0.9916316	0.36985525	0.16803318	0.06851074			
"ENSDARG00000101131"			0.03773584905660377	0.6255732725892179	-1.5599693	1.5599693	1.0124023	-1.3294452	-1.3051058	-1.5599693	0.95723283	0.1492771	0.10162827	0.14475885			
"ENSDARG00000117673"			0.038461538461538464	0.6255732725892179	-1.6924284	1.6924284	-1.0687898	-1.5039033	-1.2287523	-1.6924284	0.8314873	0.07721649	0.3284711	0.07184812			
"ENSDARG00000099547"			0.018518518518518517	0.6255732725892179	-1.5460242	1.5460242	-1.0464	-1.357816	-1.2613207	-1.5460242	0.7324194	0.06659364	0.110667616	0.035613723			
"ENSDARG00000090904"			0.016666666666666666	0.6255732725892179	1.6771157	1.6771157	1.1680311	1.2827653	1.2521344	1.6771157	0.0960814	0.02777719	0.108261526	0.030197311			
"ENSDARG00000058892"			0.0392156862745098	0.6255732725892179	-1.5333685	1.5333685	1.1737183	-1.0708563	-1.1501122	-1.5333685	0.5203589	0.63604194	0.059735525	0.2582917			
"ENSDARG00000062884"			0.03773584905660377	0.6255732725892179	-1.9378633	1.9378633	1.0120991	-1.6014344	-1.2348421	-1.9378633	0.8954199	0.0061839744	0.2286192	0.1007369			
"ENSDARG00000004243"			0.019230769230769232	0.6255732725892179	-1.6446517	1.6446517	1.3639796	1.0790033	-1.0327364	-1.6446517	0.2953359	0.638706	0.849463	0.22938828			
"ENSDARG00000100836"			0.018518518518518517	0.6255732725892179	1.521892	1.521892	1.2196358	1.1980295	1.1808507	1.521892	0.16731666	0.21529567	0.3057023	0.027926506			
