Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:55.08
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000099538"			0.041666666666666664	0.9332578673307674	1.6491407	1.6491407	1.6491407	1.3974519	1.5139235	1.6029717	0.08501698	0.17996272	0.1164362	0.084142804			
"ENSDARG00000104727"			0.018867924528301886	0.9332578673307674	1.8026843	1.8026843	1.0574293	1.285352	1.0816907	1.8026843	0.7499289	0.026479367	0.55485564	0.004747334			
"ENSDARG00000109373"			0.041666666666666664	0.9332578673307674	1.9119753	1.9119753	1.7563944	1.6838664	1.5263784	1.9119753	0.062096164	0.08114198	0.11188647	0.041060593			
"ENSDARG00000092033"			0.01818181818181818	0.9332578673307674	1.682261	1.682261	1.682261	1.4984463	1.6105266	1.4634714	0.02681656	0.0023487562	0.037693385	0.011757512			
"ENSDARG00000093594"			0.02127659574468085	0.9332578673307674	1.9927698	1.9927698	1.9927698	1.312832	1.8013827	1.835937	0.015518702	0.3608864	0.031238602	0.18197417			
"ENSDARG00000057029"			0.019230769230769232	0.9332578673307674	1.6241261	1.6241261	1.603118	1.4734527	1.3074489	1.6241261	0.14642975	0.19280155	0.32146868	0.12722692			
"ENSDARG00000010317"			0.03571428571428571	0.9332578673307674	1.7033641	1.7033641	1.1859214	1.0261241	-1.0446359	1.7033641	0.30734822	0.8870149	0.7669888	0.029614586			
"ENSDARG00000075284"			0.03636363636363636	0.9332578673307674	1.5925883	1.5925883	1.1281607	1.4299167	1.2401909	1.5925883	0.422049	0.11549285	0.4520343	0.060646325			
"ENSDARG00000091889"			0.02	0.9332578673307674	-1.8504744	1.8504744	1.159219	1.0074581	1.0926766	-1.8504744	0.55414957	0.93065053	0.614838	0.16078916			
"ENSDARG00000102898"			0.02040816326530612	0.9332578673307674	-1.5559086	1.5559086	-1.5559086	-1.1765907	-1.2788677	-1.088819	0.038999245	0.3000506	0.14392105	0.5296609			
"ENSDARG00000105420"			0.038461538461538464	0.9332578673307674	1.5244948	1.5244948	1.383887	1.3271557	1.5244948	1.3552693	0.048946783	0.06019941	0.050648097	0.048791617			
"ENSDARG00000101145"			0.04	0.9332578673307674	-1.5152587	1.5152587	-1.3093504	-1.5119579	-1.5152587	-1.49106	0.19097434	0.07803611	0.07796289	0.097488165			
"ENSDARG00000044685"			0.018518518518518517	0.9332578673307674	-2.1857684	2.1857684	-1.2677069	-1.0875461	-1.303434	-2.1857684	0.10347706	0.45937887	0.049232297	0.010647155	0.3	3.0	
"ENSDARG00000043536"			0.04081632653061224	0.9332578673307674	1.5318458	1.5318458	1.5318458	1.1920223	1.2678871	1.2361712	0.0025563557	0.22201386	0.020184778	0.028424174			
"ENSDARG00000062335"			0.038461538461538464	0.9332578673307674	-1.5143499	1.5143499	-1.5115587	-1.5143499	-1.281391	-1.1752762	0.07620133	0.0031552415	0.08527581	0.09621844			
"ENSDARG00000091633"			0.020833333333333332	0.9332578673307674	-2.1200738	2.1200738	-2.1200738	-1.7334071	-1.2115893	-1.552472	0.002192645	0.12178253	0.09232201	0.01987005	3.0E-4	0.003	
"ENSDARG00000042390"			0.03773584905660377	0.9332578673307674	-1.522767	1.522767	-1.522767	-1.1427302	-1.5214227	-1.3299128	0.005308418	0.30802283	0.039111305	0.041624933			
"ENSDARG00000005595"			0.021739130434782608	0.9332578673307674	1.5679152	1.5679152	1.2207311	1.1896875	1.3290006	1.5679152	0.24479455	0.14061388	0.090178594	0.01074599			
"ENSDARG00000094104"			0.017543859649122806	0.9332578673307674	2.1489964	2.1489964	1.5524813	1.3348675	1.5235312	2.1489964	0.19211294	0.34372503	0.23697881	0.063360006			
"ENSDARG00000005394"			0.04	0.9332578673307674	-1.761362	1.761362	-1.761362	-1.1667135	-1.2054396	-1.3817576	0.014461546	0.26304334	0.23210903	0.16130295			
"ENSDARG00000088117"			0.0196078431372549	0.9332578673307674	-1.7565471	1.7565471	-1.7565471	-1.3492811	-1.1704642	-1.1684029	4.6316494E-4	0.11032641	0.14546785	0.18192708			
"ENSDARG00000074638"			0.04	0.9332578673307674	1.6288623	1.6288623	1.6288623	1.4203529	1.3530385	1.5278659	0.041761346	0.03763993	0.118433684	0.021846619			
"ENSDARG00000058563"			0.0425531914893617	0.9332578673307674	1.5134352	1.5134352	1.5134352	1.3606094	1.4148484	1.3965478	0.024089666	0.012690847	0.027411984	0.03506879			
"ENSDARG00000060766"			0.04	0.9332578673307674	-2.0262506	2.0262506	-2.0262506	-1.5860043	-1.7418709	-1.5110202	0.029312475	0.06935147	0.12420429	0.053003702	3.0E-4	0.003	
"ENSDARG00000043646"			0.04	0.9332578673307674	-1.5449959	1.5449959	-1.5449959	-1.3592538	-1.3595799	-1.0967553	0.005615329	0.05815707	0.084788434	0.32596135			
"ENSDARG00000025914"			0.038461538461538464	0.9332578673307674	2.2736242	2.2736242	2.0822904	1.7009691	1.5932238	2.2736242	0.11575778	0.23486188	0.2554519	0.093417734			
"ENSDARG00000003181"			0.022727272727272728	0.9332578673307674	1.9275901	1.9275901	1.9275901	1.6485298	1.6635122	1.3276488	0.051805526	0.078433275	0.07107094	0.2264151			
