Williams Trend Test
Data Source: wt_fastbmd_input_DHEC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 12:00.06
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 0 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000097445"			0.018867924528301886	0.040711947626841244	-1.6836939	1.6836939	-1.2519747	-1.2434283	-1.3035339	-1.6836939	0.29708427	0.40629676	0.22818674	0.046005588			
"ENSDARG00000080152"			0.0196078431372549	0.040711947626841244	2.049228	2.049228	1.5510113	1.3526375	1.6016784	2.049228	0.15633725	0.23827559	0.12741004	0.046186652	0.3	3.0	
"ENSDARG00000097572"			0.034482758620689655	0.044628840547207886	1.6721762	1.6721762	1.3683013	1.1931931	1.6721762	1.6105218	0.19228137	0.41568133	0.06793136	0.08731265			
"ENSDARG00000061461"			0.03636363636363636	0.044628840547207886	-1.693426	1.693426	-1.4519795	-1.0250847	-1.05605	-1.693426	0.14855951	0.8756241	0.7759524	0.048878938			
"ENSDARG00000015515"			0.038461538461538464	0.044628840547207886	1.8699812	1.8699812	1.2575446	1.0910274	1.3472565	1.8699812	0.2561793	0.5836148	0.28851908	0.038395576			
"ENSDARG00000077687"			0.05	0.05	-1.6155823	1.6155823	-1.0380102	-1.3207003	-1.0413703	-1.6155823	0.6851597	0.24800691	0.7325629	0.1617427			
"ENSDARG00000089617"			0.03508771929824561	0.044628840547207886	-2.6098747	2.6098747	-1.0812149	-1.0828239	1.5979999	-2.6098747	0.7017341	0.6561036	0.092346184	0.01302994	0.3	3.0	
"ENSDARG00000040306"			0.04	0.044628840547207886	-1.9224765	1.9224765	-1.1922497	-1.2297952	-1.013936	-1.9224765	0.57828104	0.49928188	0.96214396	0.22348687			
"ENSDARG00000022668"			0.019230769230769232	0.040711947626841244	1.5474101	1.5474101	1.4541267	1.1744754	1.5474101	1.2788047	0.09153999	0.32310867	0.05068868	0.18565018			
"ENSDARG00000056806"			0.03636363636363636	0.044628840547207886	1.5482312	1.5482312	1.3088717	1.1726059	1.4063017	1.5482312	0.33867437	0.44560727	0.16093907	0.115689486			
"ENSDARG00000018611"			0.03636363636363636	0.044628840547207886	1.6124562	1.6124562	1.2199233	1.3216668	1.210241	1.6124562	0.37405688	0.23784785	0.46310735	0.09071654			
"ENSDARG00000103535"			0.018867924528301886	0.040711947626841244	1.7125272	1.7125272	1.4290947	1.1278665	1.2003431	1.7125272	0.005645376	0.24519072	0.11764788	0.005283413			
"ENSDARG00000054649"			0.04	0.044628840547207886	2.0742016	2.0742016	1.5471933	1.6778109	1.3406451	2.0742016	0.18536021	0.1460182	0.55038786	0.08251569			
"ENSDARG00000117555"			0.016666666666666666	0.040711947626841244	-1.5866089	1.5866089	-1.0392804	-1.040474	-1.3618678	-1.5866089	0.8810917	0.87450075	0.2722767	0.13806155			
"ENSDARG00000099207"			0.03636363636363636	0.044628840547207886	2.4080725	2.4080725	1.9943498	1.3592464	2.3545852	2.4080725	0.12393312	0.39527988	0.07615994	0.0907793			
"ENSDARG00000096896"			0.01818181818181818	0.040711947626841244	2.1447616	2.1447616	1.6407175	1.2599307	1.4203469	2.1447616	0.104431905	0.33717313	0.27779132	0.037833564	0.3	3.0	
"ENSDARG00000059255"			0.034482758620689655	0.044628840547207886	1.5519959	1.5519959	1.2215016	1.1159477	1.3187315	1.5519959	0.36119708	0.4328949	0.13120146	0.043049682			
"ENSDARG00000093349"			0.017543859649122806	0.040711947626841244	1.6272657	1.6272657	1.5930142	1.4468727	1.2762438	1.6272657	0.1002504	0.005476807	0.031064507	0.0057671997			
"ENSDARG00000062481"			0.041666666666666664	0.04506340579710145	-1.6946875	1.6946875	-1.4096663	-1.1656172	-1.5098245	-1.6946875	0.059898436	0.36755708	0.057323404	0.097723484			
"ENSDARG00000092870"			0.01694915254237288	0.040711947626841244	1.8663838	1.8663838	1.3367147	1.2017087	1.5684574	1.8663838	0.2615162	0.58737904	0.15746534	0.07493992			
"ENSDARG00000061274"			0.0196078431372549	0.040711947626841244	-1.814483	1.814483	-1.555418	-1.3048155	-1.3921484	-1.814483	0.024523601	0.12086034	0.22795476	0.028275587			
"ENSDARG00000093484"			0.02040816326530612	0.040711947626841244	-1.5044963	1.5044963	-1.3063478	-1.2661211	-1.3962704	-1.5044963	0.13425492	0.2518414	0.093247466	0.057111144			
"ENSDARG00000101980"			0.04081632653061224	0.044628840547207886	-1.9117553	1.9117553	-1.0865883	-1.258099	-1.3562031	-1.9117553	0.49695837	0.31189516	0.17478251	0.09008771			
"ENSDARG00000076862"			0.0425531914893617	0.045527339281628915	-1.5407078	1.5407078	-1.1944952	-1.2092893	-1.3228992	-1.5407078	0.38742596	0.4056532	0.25144196	0.22441866			
"ENSDARG00000041119"			0.018867924528301886	0.040711947626841244	-1.5897495	1.5897495	-1.2214673	1.04432	-1.1450629	-1.5897495	0.17152148	0.6075812	0.13952309	0.014710119			
"ENSDARG00000091627"			0.018867924528301886	0.040711947626841244	2.0567806	2.0567806	1.4499363	1.663093	1.0029942	2.0567806	0.12972847	0.09744402	0.9876377	0.015601278	0.3	3.0	
"ENSDARG00000040277"			0.03571428571428571	0.044628840547207886	3.540045	3.540045	1.926478	1.7396713	1.935939	3.540045	0.29189277	0.4861944	0.34112492	0.10504589			
"ENSDARG00000101437"			0.018518518518518517	0.040711947626841244	-1.7395716	1.7395716	-1.7395716	-1.2502685	-1.1856302	-1.5089747	0.041104883	0.26235762	0.39726645	0.094697095			
"ENSDARG00000076844"			0.019230769230769232	0.040711947626841244	-2.137098	2.137098	-1.4884114	-1.3422155	-1.4210075	-2.137098	0.27840823	0.020193314	0.18155804	0.2041913			
"ENSDARG00000054941"			0.019230769230769232	0.040711947626841244	1.5094767	1.5094767	1.3124665	1.121629	1.1948304	1.5094767	0.11565683	0.44243154	0.30566236	0.05926157			
"ENSDARG00000079946"			0.03571428571428571	0.044628840547207886	-1.825569	1.825569	-1.5956379	-1.0879686	-1.3253001	-1.825569	0.23400219	0.6600879	0.14689942	0.19056906			
"ENSDARG00000111040"			0.018518518518518517	0.040711947626841244	-1.7231132	1.7231132	-1.4238594	-1.0117396	-1.0927787	-1.7231132	0.10934411	0.95195097	0.58375	0.05390505			
"ENSDARG00000086825"			0.03773584905660377	0.044628840547207886	2.0442705	2.0442705	1.4965932	1.9053879	1.6800728	2.0442705	0.1378254	0.049332622	0.1741617	0.04348228	0.3	3.0	
"ENSDARG00000033539"			0.03333333333333333	0.044628840547207886	-1.5989397	1.5989397	-1.3944288	-1.0442393	-1.2834926	-1.5989397	0.26856753	0.7658468	0.21682782	0.06154232			
"ENSDARG00000018266"			0.03773584905660377	0.044628840547207886	-2.7201767	2.7201767	-1.7300216	-1.2375584	-1.3467157	-2.7201767	0.2145915	0.4306153	0.32135445	0.017563717	0.3	3.0	
"ENSDARG00000082242"			0.01818181818181818	0.040711947626841244	1.7236603	1.7236603	1.2839816	1.0525703	1.5580522	1.7236603	0.06894084	0.83384186	0.0013516641	0.0014802637			
"ENSDARG00000042873"			0.03508771929824561	0.044628840547207886	-1.6093905	1.6093905	-1.2335413	-1.2684635	-1.248204	-1.6093905	0.35097408	0.07786208	0.35442933	0.016050223			
"ENSDARG00000017437"			0.03571428571428571	0.044628840547207886	-1.7391344	1.7391344	-1.0342281	1.2551887	-1.0924294	-1.7391344	0.8952084	0.40910918	0.74403375	0.26250532			
"ENSDARG00000073933"			0.05	0.05	1.542247	1.542247	1.3538303	1.0792444	1.2458502	1.542247	0.10406478	0.5921236	0.10568597	0.20033692			
"ENSDARG00000101549"			0.034482758620689655	0.044628840547207886	1.9755427	1.9755427	1.3117299	1.0770868	1.3013146	1.9755427	0.3090025	0.64554024	0.42751375	0.031244535			
"ENSDARG00000058553"			0.02	0.040711947626841244	-2.7452796	2.7452796	-1.3614857	-1.2836454	-1.7451441	-2.7452796	0.3928262	0.39365602	0.19802904	0.06810003			
"ENSDARG00000078221"			0.0196078431372549	0.040711947626841244	-1.77982	1.77982	-1.4448277	-1.3228331	-1.0996261	-1.77982	0.030949662	0.08750175	0.6202253	0.17111509			
"ENSDARG00000092337"			0.017857142857142856	0.040711947626841244	-1.7169387	1.7169387	-1.5763289	-1.5124332	-1.3561475	-1.7169387	0.031368017	0.010010368	0.1674545	0.06109392			
"ENSDARG00000062025"			0.03636363636363636	0.044628840547207886	-1.616795	1.616795	-1.1888876	-1.1180764	-1.2592081	-1.616795	0.5530771	0.672971	0.4098917	0.1596271			
"ENSDARG00000068966"			0.01694915254237288	0.040711947626841244	4.303226	4.303226	1.106735	2.431483	2.7650256	4.303226	0.7775925	0.30907172	0.058769174	0.032442078	0.3	3.0	
"ENSDARG00000095724"			0.019230769230769232	0.040711947626841244	1.826953	1.826953	1.3033328	1.1174284	1.2897962	1.826953	0.1440843	0.49635458	0.22813417	0.113518655			
"ENSDARG00000029473"			0.01818181818181818	0.040711947626841244	1.9004016	1.9004016	1.144798	1.0557956	1.3048953	1.9004016	0.47213215	0.8512829	0.21233082	0.04745068			
"ENSDARG00000079869"			0.019230769230769232	0.040711947626841244	-1.895847	1.895847	-1.272395	-1.219581	-1.2718837	-1.895847	0.2138761	0.013049431	0.10384939	0.034347348			
"ENSDARG00000010294"			0.03278688524590164	0.044628840547207886	-1.6648747	1.6648747	-1.269437	1.056131	-1.3020747	-1.6648747	0.23938967	0.596044	0.0800706	0.05990516			
"ENSDARG00000060529"			0.017241379310344827	0.040711947626841244	1.6606652	1.6606652	1.6606652	1.4314353	1.6180606	1.4828724	0.047265694	0.17087528	0.016722314	0.20543522			
"ENSDARG00000092626"			0.04	0.044628840547207886	2.000141	2.000141	1.4522507	1.0682732	1.7212553	2.000141	0.11870376	0.7459863	0.10408259	0.092474036			
"ENSDARG00000101589"			0.01818181818181818	0.040711947626841244	1.6007924	1.6007924	1.6007924	1.2900213	1.263133	1.5908475	0.12528542	0.17446685	0.20114836	0.07420743			
"ENSDARG00000091821"			0.020833333333333332	0.040711947626841244	1.793612	1.793612	1.3861343	1.5337259	1.793612	1.5861359	0.10368841	0.060558006	0.0342132	0.09371876			
"ENSDARG00000058444"			0.0196078431372549	0.040711947626841244	1.5457386	1.5457386	1.2002808	1.07065	1.402488	1.5457386	0.31102595	0.66938573	0.1206836	0.12236152			
"ENSDARG00000006279"			0.02040816326530612	0.040711947626841244	-1.6574061	1.6574061	-1.2825605	-1.2982303	-1.4127686	-1.6574061	0.2476483	0.21354797	0.12426359	0.19200955			
"ENSDARG00000013926"			0.017543859649122806	0.040711947626841244	1.6593667	1.6593667	1.3267486	1.3027724	1.300054	1.6593667	0.113731064	0.29785565	0.21604453	0.04655386			
"ENSDARG00000053481"			0.03389830508474576	0.044628840547207886	-1.530959	1.530959	-1.0449222	-1.0219759	-1.2716819	-1.530959	0.81546843	0.90639794	0.2613213	0.09228707			
"ENSDARG00000098711"			0.019230769230769232	0.040711947626841244	1.7944944	1.7944944	1.461324	1.0421457	1.4324844	1.7944944	0.25466186	0.8807252	0.2632466	0.1968185			
"ENSDARG00000077023"			0.018867924528301886	0.040711947626841244	1.7306541	1.7306541	1.5043905	1.279614	1.1143816	1.7306541	0.04479364	0.33327436	0.2652457	0.08907305			
"ENSDARG00000062830"			0.03636363636363636	0.044628840547207886	1.7707404	1.7707404	1.410521	1.3613831	1.7707404	1.6544877	0.23055618	0.26036173	0.080709994	0.12342646			
"ENSDARG00000104572"			0.02040816326530612	0.040711947626841244	-2.8315158	2.8315158	-2.1470232	-1.0774552	-1.3553463	-2.8315158	0.22894649	0.7507585	0.44303232	0.18071212			
"ENSDARG00000079399"			0.01694915254237288	0.040711947626841244	-2.4147038	2.4147038	-1.5290788	-1.8845366	-1.4363838	-2.4147038	0.13976023	0.062456988	0.19352527	0.20607965			
"ENSDARG00000113766"			0.03389830508474576	0.044628840547207886	2.0979097	2.0979097	1.8817631	1.6284364	1.692774	2.0979097	0.028527893	0.04017555	0.2302378	0.015109762	0.3	3.0	
"ENSDARG00000094815"			0.0196078431372549	0.040711947626841244	2.1298194	2.1298194	1.8589216	1.3381484	1.6900766	2.1298194	0.034460265	0.18336833	0.05974279	0.024888694	0.3	3.0	
"ENSDARG00000062924"			0.01694915254237288	0.040711947626841244	1.6699212	1.6699212	1.3554181	1.1385274	-1.0027364	1.6699212	0.15518008	0.408496	0.98539394	0.05864898			
