Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DHEP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:04.25
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000105141"			0.03636363636363636	0.9497729654208872	1.6259227	1.6259227	1.1762489	1.4324332	1.6259227	1.603401	0.41286626	0.14223433	0.07134802	0.085040204			
"ENSDARG00000110173"			0.01818181818181818	0.9497729654208872	-1.63394	1.63394	-1.63394	-1.0718255	1.5755954	1.0411968	0.0011639299	0.26832628	0.0025514383	0.7647537			
"ENSDARG00000103914"			0.03773584905660377	0.9497729654208872	-1.6108092	1.6108092	-1.400585	-1.2693828	-1.2812546	-1.6108092	0.23666279	0.08135167	0.24558917	0.037378322			
"ENSDARG00000040432"			0.0196078431372549	0.9497729654208872	1.9347389	1.9347389	1.2374623	1.2986462	1.4072809	1.9347389	0.10414346	0.05817009	0.012731535	0.052764446			
"ENSDARG00000052496"			0.017543859649122806	0.9497729654208872	2.2385573	2.2385573	1.5324867	1.3288027	1.999995	2.2385573	0.09044759	0.29443598	0.01166198	0.013692771	0.3	3.0	
"ENSDARG00000015803"			0.043478260869565216	0.9497729654208872	1.5961374	1.5961374	1.4403831	1.5324966	1.3168616	1.5961374	0.026912173	0.009252608	0.10073958	0.018981516			
"ENSDARG00000056376"			0.02040816326530612	0.9497729654208872	-1.6080697	1.6080697	-1.1795175	-1.1784171	-1.2915777	-1.6080697	0.3081105	0.25405797	0.20237109	0.06058923			
"ENSDARG00000102858"			0.0425531914893617	0.9497729654208872	-1.6569083	1.6569083	-1.392941	1.0368893	-1.3578663	-1.6569083	0.19584979	0.86012137	0.2653646	0.13324273			
"ENSDARG00000078622"			0.04081632653061224	0.9497729654208872	3.4223669	3.4223669	3.0966222	1.7984177	1.9246982	3.4223669	0.15822294	0.40630135	0.37926614	0.14501023			
"ENSDARG00000005578"			0.018518518518518517	0.9497729654208872	1.821827	1.821827	1.229835	1.4766436	1.821827	1.5319749	0.3830384	0.16041917	0.050490413	0.074828975			
"ENSDARG00000100887"			0.04081632653061224	0.9497729654208872	2.1442533	2.1442533	2.1442533	1.6845326	1.6105905	1.830947	0.08629764	0.15766399	0.21721298	0.13938616			
"ENSDARG00000027822"			0.019230769230769232	0.9497729654208872	-1.9399692	1.9399692	-1.0507488	-1.0586655	-1.9399692	-1.7578341	0.71945435	0.7013769	0.010564061	0.017605383			
"ENSDARG00000094003"			0.01818181818181818	0.9497729654208872	-1.6745362	1.6745362	1.0053302	-1.262681	-1.1163948	-1.6745362	0.97683364	0.20976906	0.28280017	0.0704067			
"ENSDARG00000094012"			0.02	0.9497729654208872	1.6070538	1.6070538	1.32404	1.1175534	1.3467722	1.6070538	0.0398345	0.42394713	0.18505117	0.031794973			
"ENSDARG00000093279"			0.04	0.9497729654208872	1.8482041	1.8482041	1.8482041	1.5242893	1.1990044	1.525221	0.07242038	0.15025152	0.44367218	0.1851383			
"ENSDARG00000056719"			0.0392156862745098	0.9497729654208872	1.5990865	1.5990865	1.5990865	1.4506786	1.3054785	1.2166507	0.020401822	0.04225616	0.14224906	0.18137738			
"ENSDARG00000055854"			0.03773584905660377	0.9497729654208872	1.9663213	1.9663213	1.3363799	1.5794955	1.5225133	1.9663213	0.2631791	0.08718397	0.050543472	0.079699785			
"ENSDARG00000102717"			0.043478260869565216	0.9497729654208872	-1.5443379	1.5443379	-1.1669545	-1.5443379	-1.2400191	-1.0088055	0.029656464	0.008884709	0.1528937	0.8652011			
"ENSDARG00000070092"			0.0196078431372549	0.9497729654208872	-1.5789663	1.5789663	-1.3579785	-1.1701645	-1.5789663	-1.4856448	0.14617966	0.34343177	0.062480465	0.012331786			
"ENSDARG00000089237"			0.03636363636363636	0.9497729654208872	1.5942172	1.5942172	-1.1123542	1.4576463	1.5942172	1.2714403	0.23933439	0.0018466901	0.09610267	0.18945386			
"ENSDARG00000099390"			0.020833333333333332	0.9497729654208872	1.6472874	1.6472874	1.283701	1.2018453	1.6472874	1.2523293	0.06269861	0.2584693	0.001324897	0.04387812			
"ENSDARG00000037533"			0.0425531914893617	0.9497729654208872	2.1255128	2.1255128	2.1255128	1.5118948	1.5065086	2.0195339	0.104862675	0.2914823	0.28224123	0.11277836			
"ENSDARG00000043004"			0.019230769230769232	0.9497729654208872	-1.7985427	1.7985427	-1.425157	-1.3818239	-1.5439535	-1.7985427	0.20869567	0.12867008	0.08861224	0.019812996			
"ENSDARG00000010276"			0.018867924528301886	0.9497729654208872	2.702209	2.702209	1.5104189	1.7486812	1.9452676	2.702209	0.0904739	0.04381746	0.017139642	0.060536087			
