Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 10:01.50
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 6 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000088625"			0.018867924528301886	0.3572977889728519	-2.3331077	2.3331077	1.252562	1.2207367	1.0834887	-2.3331077	0.17614236	0.073171385	0.3073058	0.1830518			
"ENSDARG00000018351"			0.017241379310344827	0.3572977889728519	-1.8549095	1.8549095	1.0151019	-1.1118467	1.0869503	-1.8549095	0.87355924	0.6798003	0.5469022	0.031413306			
"ENSDARG00000046091"			0.019230769230769232	0.3572977889728519	-2.2002568	2.2002568	-1.3473265	1.0089682	-1.086761	-2.2002568	0.12707938	0.9711062	0.6211101	0.020312598	0.3	3.0	
"ENSDARG00000035652"			0.017543859649122806	0.3572977889728519	-1.5049962	1.5049962	-1.0094936	-1.0671178	1.0788364	-1.5049962	0.84368104	0.49025312	0.05992581	0.0025834797			
"ENSDARG00000093043"			0.018518518518518517	0.3572977889728519	-1.9722979	1.9722979	1.1432731	1.0886089	1.1965891	-1.9722979	0.39368176	0.5930073	0.2579087	0.00967548			
"ENSDARG00000116986"			0.019230769230769232	0.3572977889728519	-1.9842057	1.9842057	1.0426153	-1.2096099	-1.0706726	-1.9842057	0.81488955	0.27502126	0.77872986	0.005953818			
"ENSDARG00000005320"			0.03773584905660377	0.4764081632653061	-1.5032303	1.5032303	-1.068821	-1.0180867	-1.1747876	-1.5032303	0.6376119	0.89537346	0.2817373	0.07225855			
"ENSDARG00000059729"			0.018867924528301886	0.3572977889728519	-1.6346129	1.6346129	-1.0614138	1.072464	-1.082084	-1.6346129	0.5810109	0.6146595	0.5075057	0.02890272			
"ENSDARG00000061968"			0.01694915254237288	0.3572977889728519	1.9903814	1.9903814	1.1388779	1.5855284	1.4206901	1.9903814	0.72574794	0.26625073	0.37647882	0.1501432			
"ENSDARG00000061921"			0.019230769230769232	0.3572977889728519	-1.7272255	1.7272255	-1.0481286	-1.0978763	-1.1126	-1.7272255	0.49361137	0.3543342	0.32850924	0.022807205			
"ENSDARG00000002479"			0.018867924528301886	0.3572977889728519	1.5110695	1.5110695	1.1617218	1.0374519	1.0779852	1.5110695	0.34646285	0.8258899	0.6881877	8.7904296E-4			
"ENSDARG00000029039"			0.02	0.3572977889728519	1.6406248	1.6406248	1.0130001	-1.0794499	1.0240797	1.6406248	0.90050673	0.66077596	0.8594441	0.01280722			
"ENSDARG00000019207"			0.019230769230769232	0.3572977889728519	-1.8931466	1.8931466	1.3935751	1.0640298	-1.0977025	-1.8931466	0.117123574	0.72772485	0.79610413	0.03631194			
"ENSDARG00000002986"			0.018518518518518517	0.3572977889728519	-1.5751445	1.5751445	1.109374	1.0548409	1.1436824	-1.5751445	0.015131623	0.14554897	0.23785229	0.073371775			
"ENSDARG00000077960"			0.018867924528301886	0.3572977889728519	-1.6978428	1.6978428	1.106637	1.0017341	1.0881501	-1.6978428	0.6139235	0.9938523	0.6022331	0.014933657			
"ENSDARG00000091136"			0.017857142857142856	0.3572977889728519	-1.7363901	1.7363901	1.1875943	-1.0511247	1.3342813	-1.7363901	0.5187922	0.8948317	0.29749253	0.1005684			
"ENSDARG00000074712"			0.017241379310344827	0.3572977889728519	-1.8177863	1.8177863	1.2964976	1.0717887	1.188477	-1.8177863	0.3049297	0.7937677	0.48383996	0.15011662			
"ENSDARG00000055656"			0.019230769230769232	0.3572977889728519	-2.2226486	2.2226486	-1.1187822	-1.1563201	-1.031776	-2.2226486	0.55487084	0.616316	0.9093446	0.10911539			
"ENSDARG00000016319"			0.01694915254237288	0.3572977889728519	-1.9104787	1.9104787	1.07627	1.0132275	1.1391892	-1.9104787	0.5635849	0.95793164	0.32780337	0.047729947			
"ENSDARG00000020364"			0.017241379310344827	0.3572977889728519	-1.6566377	1.6566377	1.0269353	-1.0622181	1.0701518	-1.6566377	0.8220103	0.5799445	0.5278182	0.009523285			
"ENSDARG00000092018"			0.0196078431372549	0.3572977889728519	1.6085832	1.6085832	1.0874143	1.1162211	1.0885459	1.6085832	0.6164721	0.5292427	0.65310156	0.06057697			
"ENSDARG00000067889"			0.0196078431372549	0.3572977889728519	-1.5127531	1.5127531	1.2160598	1.355728	1.262255	-1.5127531	0.073337115	0.3137771	0.10644378	0.17452112			
"ENSDARG00000003635"			0.017857142857142856	0.3572977889728519	-1.5132157	1.5132157	-1.0310093	-1.0101675	1.0198275	-1.5132157	0.7934646	0.92824453	0.8671638	0.04062289			
"ENSDARG00000095304"			0.04	0.4764081632653061	1.6963376	1.6963376	-1.1594719	-1.2582946	1.1293715	1.6963376	0.5538207	0.18084538	0.67590696	0.04152129			
"ENSDARG00000089310"			0.017857142857142856	0.3572977889728519	-1.9328113	1.9328113	1.0599602	1.0384061	1.2502173	-1.9328113	0.7398315	0.72500366	0.17728521	0.085306734			
"ENSDARG00000052450"			0.019230769230769232	0.3572977889728519	1.5708698	1.5708698	1.1089672	1.0892833	1.0989643	1.5708698	0.5389141	0.54893917	0.5130972	0.04269962			
"ENSDARG00000021004"			0.017857142857142856	0.3572977889728519	-2.1311045	2.1311045	1.2285382	-1.0073938	1.1094666	-2.1311045	0.024218272	0.94982105	0.39750814	0.049156677	0.3	3.0	
"ENSDARG00000099111"			0.01818181818181818	0.3572977889728519	-1.8522849	1.8522849	-1.0295651	1.0195235	-1.0309387	-1.8522849	0.7923612	0.8814312	0.799847	0.07922633			
"ENSDARG00000051940"			0.018867924528301886	0.3572977889728519	-1.6314673	1.6314673	-1.029979	-1.0732363	-1.0643795	-1.6314673	0.75190705	0.5359717	0.4729928	0.010080288			
"ENSDARG00000032584"			0.04	0.4764081632653061	-1.6288041	1.6288041	-1.1337962	-1.3141972	-1.2213402	-1.6288041	0.36070874	0.22127466	0.37364957	0.0060998783			
"ENSDARG00000086569"			0.018518518518518517	0.3572977889728519	-1.7310277	1.7310277	1.1049733	-1.0577519	1.1265165	-1.7310277	0.5044649	0.72472227	0.44479924	0.030438332			
"ENSDARG00000074191"			0.034482758620689655	0.4764081632653061	-1.711106	1.711106	1.0833805	-1.1421669	1.068043	-1.711106	0.69079334	0.51178324	0.8250609	0.017154453			
"ENSDARG00000089602"			0.01818181818181818	0.3572977889728519	1.5579989	1.5579989	1.3970399	1.1348265	1.1545012	1.5579989	0.14082228	0.5294711	0.44124076	0.08946072			
"ENSDARG00000098995"			0.03571428571428571	0.4764081632653061	1.8532342	1.8532342	-1.7995363	-1.158755	1.186624	1.8532342	0.20722914	0.6289113	0.54654884	0.13262779			
"ENSDARG00000104841"			0.018867924528301886	0.3572977889728519	1.5014726	1.5014726	1.3477688	1.0698975	1.0588436	1.5014726	0.08528138	0.62044454	0.4859771	0.028484179			
"ENSDARG00000008403"			0.01818181818181818	0.3572977889728519	-1.8893389	1.8893389	-1.1146195	-1.2229546	-1.0592339	-1.8893389	0.6505718	0.39247367	0.82996094	0.05312926			
"ENSDARG00000038297"			0.016666666666666666	0.3572977889728519	-1.7180678	1.7180678	-1.0621166	-1.1838888	1.0111569	-1.7180678	0.55078405	0.50719047	0.91487783	0.02437626			
"ENSDARG00000019932"			0.018867924528301886	0.3572977889728519	-1.5929421	1.5929421	1.0196397	1.0600548	1.0224113	-1.5929421	0.86106694	0.65448254	0.88807803	0.014947054			
"ENSDARG00000061858"			0.03636363636363636	0.4764081632653061	-1.5613672	1.5613672	1.0288141	1.0227493	1.0351446	-1.5613672	0.80693793	0.86081284	0.79624665	0.08178238			
"ENSDARG00000056144"			0.0196078431372549	0.3572977889728519	-1.5954987	1.5954987	-1.1147485	-1.0248737	-1.1395085	-1.5954987	0.6717677	0.90894485	0.5992553	0.08904281			
"ENSDARG00000096978"			0.0392156862745098	0.4764081632653061	1.7349714	1.7349714	1.1858642	1.1925772	1.1912146	1.7349714	0.28694272	0.46056816	0.29345977	0.026577301			
"ENSDARG00000038009"			0.02	0.3572977889728519	-2.9005408	2.9005408	-1.1739271	1.0027372	1.0211564	-2.9005408	0.54116017	0.9917606	0.9515251	0.034545075	0.3	3.0	
"ENSDARG00000004954"			0.02127659574468085	0.35857734709641176	1.6594496	1.6594496	1.3009304	1.04041	1.0469081	1.6594496	0.24991669	0.8544496	0.81266916	0.053706694			
"ENSDARG00000073936"			0.021739130434782608	0.3601325857752389	1.8205894	1.8205894	1.4895222	1.6152914	1.2504247	1.8205894	0.121451765	0.06965694	0.2815587	0.040179957			
"ENSDARG00000099195"			0.02	0.3572977889728519	1.6525406	1.6525406	1.2631514	1.5628201	1.5912246	1.6525406	0.47094285	0.21952143	0.21103127	0.18392755			
"ENSDARG00000070021"			0.01818181818181818	0.3572977889728519	-1.7710805	1.7710805	-1.0875921	1.0363859	-1.0192984	-1.7710805	0.54205084	0.8211847	0.9041131	0.0574315			
"ENSDARG00000037873"			0.018867924528301886	0.3572977889728519	-1.9936193	1.9936193	1.0804129	1.054477	-1.0940883	-1.9936193	0.49467063	0.6908442	0.42772645	0.061165392			
"ENSDARG00000103137"			0.017543859649122806	0.3572977889728519	1.6770858	1.6770858	1.0964407	1.3165853	1.2538896	1.6770858	0.4607814	0.12501298	0.040195785	0.0062738997			
"ENSDARG00000037836"			0.03571428571428571	0.4764081632653061	-1.5704877	1.5704877	-1.0412652	-1.1126305	1.1492052	-1.5704877	0.802264	0.6508193	0.41601676	0.060400486			
"ENSDARG00000104829"			0.038461538461538464	0.4764081632653061	-2.0121815	2.0121815	-1.0383884	1.0431726	1.042021	-2.0121815	0.8661528	0.8235837	0.8130619	0.10010667			
"ENSDARG00000102720"			0.01818181818181818	0.3572977889728519	-2.30653	2.30653	-1.1387709	-1.0421299	-1.1902515	-2.30653	0.62867403	0.8347335	0.34278846	0.03443699	0.3	3.0	
"ENSDARG00000039116"			0.017241379310344827	0.3572977889728519	-2.1994643	2.1994643	1.0230644	-1.0867089	1.0645695	-2.1994643	0.7729882	0.7348026	0.6553138	0.039587546	0.3	3.0	
"ENSDARG00000052176"			0.01818181818181818	0.3572977889728519	-1.8420465	1.8420465	1.1359718	1.0304395	-1.0261189	-1.8420465	0.62944245	0.9091202	0.91944206	0.09901843			
"ENSDARG00000020265"			0.037037037037037035	0.4764081632653061	-2.0933676	2.0933676	-1.2759159	-1.3160855	-1.0972712	-2.0933676	0.38870314	0.41692236	0.75261444	0.17575261			
"ENSDARG00000089475"			0.018867924528301886	0.3572977889728519	1.5227941	1.5227941	-1.130984	-1.150856	-1.1823192	1.5227941	0.5041033	0.45559978	0.44976714	0.06874979			
"ENSDARG00000115405"			0.017543859649122806	0.3572977889728519	1.6702794	1.6702794	-1.1224912	-1.0878582	-1.2200116	1.6702794	0.50865746	0.46488076	0.22194843	0.06742673			
"ENSDARG00000088330"			0.017857142857142856	0.3572977889728519	1.5973227	1.5973227	-1.3132467	-1.2206948	-1.3457901	1.5973227	0.3164217	0.31669343	0.15843081	0.08962884			
