Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000098995"			0.047619047619047616	0.9748910365738108	2.24914	2.24914	1.4230186	1.4071391	1.8300818	1.7732565	2.24914	0.39052162	0.39447185	0.23516896	0.20956536	0.10890605			
"ENSDARG00000088833"			0.01818181818181818	0.9748910365738108	-1.631422	1.631422	1.1004761	-1.2161093	-1.0809283	-1.631422	-1.3334265	0.28208798	0.286639	0.60086495	0.25266492	0.02420242			
"ENSDARG00000077193"			0.037037037037037035	0.9748910365738108	-1.9938868	1.9938868	-1.8645439	-1.057726	-1.9938868	-1.1021975	-1.8257911	0.059451066	0.72359574	0.032654922	0.5195906	0.088531785			
"ENSDARG00000038069"			0.017241379310344827	0.9748910365738108	-1.6415528	1.6415528	-1.0673823	-1.1586381	1.0427256	-1.0705477	-1.6415528	0.48378363	0.32564405	0.8077029	0.3850947	0.005217909			
"ENSDARG00000038095"			0.044444444444444446	0.9748910365738108	2.1190372	2.1190372	1.0993699	1.2144158	1.5133592	1.3661579	2.1190372	0.78952694	0.5954558	0.392134	0.45226288	0.1730123			
"ENSDARG00000099195"			0.02127659574468085	0.9748910365738108	1.8274393	1.8274393	-1.1017728	1.1053927	1.5304637	1.5053464	1.8274393	0.6642464	0.6434557	0.14538011	0.14704381	0.0670077			
"ENSDARG00000102366"			0.017543859649122806	0.9748910365738108	1.6565156	1.6565156	1.2838303	1.4741697	1.6565156	1.3900937	1.5623274	0.049335934	0.05176937	0.004222415	0.038535845	0.05217007			
"ENSDARG00000102668"			0.03508771929824561	0.9748910365738108	-1.5370569	1.5370569	-1.0337585	1.072295	1.1046045	-1.1720366	-1.5370569	0.91740614	0.65468806	0.56755096	0.48340058	0.07701358			
"ENSDARG00000104483"			0.043478260869565216	0.9748910365738108	-1.5508411	1.5508411	-1.5508411	-1.340579	-1.5124277	-1.0370188	-1.4816973	0.04030752	0.10370745	0.04563372	0.8081009	0.1031472			
"ENSDARG00000074362"			0.020833333333333332	0.9748910365738108	-1.5769156	1.5769156	-1.5769156	-1.1115719	-1.2931364	-1.1429448	-1.4312284	0.030267647	0.40112603	0.14168654	0.4964016	0.052034367			
