"#NAME"	"SANT_10-1_A"	"SANT_10-1_B"	"SANT_10-1_C"	"SANT_10-2_A"	"SANT_10-2_B"	"SANT_10-2_C"	"SANT_10-3_B"	"SANT_10-3_C"	"SANT_10-4_A"	"SANT_10-4_B"	"SANT_10-4_C"	"SANT_3uM_A"	"SANT_3uM_B"	"SANT_3uM_C"
"ENSDARG00000061541"	6.78753808673218	6.788462304997	6.89618748636183	6.2125406505069	6.65838352376456	6.72602036119781	7.20666122345967	6.99821843216476	6.81253566681493	7.11836401455009	7.13943858918654	5.31055490929286	6.64187499920499	6.65303142968677
"ENSDARG00000055712"	5.12213995296223	4.51125538835115	5.07124701359254	5.02169055238461	4.59659853848644	4.81245376246096	4.5719002770147	4.54659334156884	4.71055150492439	4.41376785560473	4.63904208423011	5.56007845034059	5.34599978010195	4.83059046306877
"ENSDARG00000092018"	5.66981632627357	6.16657524389945	5.9089418674628	5.85846598128718	6.0939395469543	5.82873809829787	6.15810573563431	5.71526467718697	5.54025802191609	5.50663594265862	5.48688551958601	6.48157703247157	6.07036718911153	6.09068039815913
"ENSDARG00000103123"	6.80977041934678	7.11170025847513	7.20246901498387	6.32617875419261	7.48652397613234	7.00676893043788	7.9344749037999	7.45722292650771	7.28632052994339	7.8398231490515	7.30611689656391	5.51894945569544	7.46416935886312	6.59865755511041
"ENSDARG00000078890"	9.14817153170693	9.34388706877272	9.42634838246571	9.05601336297146	9.23120120566996	9.42702423177374	9.93214987746803	9.49083357603949	9.65605002664132	9.97822299862385	9.56327450410067	8.37054917145441	9.5900137792043	9.2419630682281
"ENSDARG00000035257"	5.85366042436811	5.84852526597949	5.81816273452107	6.00825929787678	5.79243291566566	5.6167263328166	5.67403153801696	5.15418115015788	5.11915279755547	5.08687632752908	5.85366042436811	6.22917485470113	5.54025802191609	6.18893038086928
"ENSDARG00000002355"	3.77089230943698	4.36440091539377	3.43703251887609	3.91481643579519	4.33054770600149	3.91481643579519	4.28203990492997	4.25635759026084	4.26763274519953	4.71493725811469	4.75782229346616	3.55733439235081	3.67639362752783	3.82781425258178
"ENSDARG00000032372"	4.94389205101038	4.92067285057955	5.64611629484499	5.12213995296223	5.14793945385106	5.26131905604717	4.9110211437557	4.50667464996403	4.42916114387268	4.87270350763202	4.43698398402436	5.21564200813945	5.51673324886539	5.66981632627357
"ENSDARG00000102200"	5.03173408342874	4.76836209263858	4.67512597528922	5.02169055238461	4.91750184205395	4.86180433020235	3.91481643579519	5.11915279755547	5.40745823797035	5.11915279755547	5.6151530252216	4.71055150492439	4.67512597528922	4.64293121166028
"ENSDARG00000052450"	6.77427994148435	7.16603540513854	7.04380003192609	7.03045370938417	6.82145302450285	6.77991889091962	7.20666122345967	6.69493159577568	6.87876222949224	6.80895480600328	6.89277139570369	7.44504490745888	7.51494190012254	7.40054489202966
"ENSDARG00000005154"	6.4057815366585	6.29914623284117	6.43916692216528	6.43308664182196	6.51443914078655	6.23309535017334	6.61310128231302	6.5795379361549	6.85633466121866	6.74303089753873	6.73005255171974	6.25351612224219	5.9960709197698	6.09068039815913
"ENSDARG00000035127"	4.29397633248963	4.19589631015996	4.26763274519953	4.83059046306877	4.74913929490323	4.58343730331146	4.19589631015996	4.63904208423011	4.88799775321729	5.11915279755547	4.90727347090612	4.64293121166028	3.91481643579519	4.76836209263858
"ENSDARG00000079267"	2.46594489574145	3.38007191432873	3.30693822288605	4.7030162814353	4.26763274519953	3.99324569655909	3.56444408331874	3.92106378159878	3.99324569655909	4.47540957140495	4.5719002770147	4.5719002770147	4.72710366820409	4.58343730331146
"ENSDARG00000094605"	5.69769178674614	5.86933332021065	5.85846598128718	5.31055490929286	4.87270350763202	5.17873854798126	5.79243291566566	5.83059489890737	5.97670713462532	5.69986133310639	6.17012614531761	5.44373388175673	5.85007491391516	5.20983139814793
"ENSDARG00000078832"	8.90210184448507	8.48082687367864	9.10292294826942	9.58616373681271	8.19425430930146	8.62284886780024	8.57001931080771	8.93725141088815	8.2272144749377	8.42706781955846	8.37743601272844	9.93891894555508	9.11461930905442	9.07790152687917
"ENSDARG00000115870"	5.03173408342874	5.40988304739345	5.18480204066601	5.22047204338761	5.66538391261348	4.96794572947827	5.52087567338117	5.62489231190885	5.80901558652381	5.78774939269056	5.70391340990957	4.64293121166028	4.77240377323617	5.69769178674614
"ENSDARG00000094216"	4.49505684435546	4.43698398402436	4.26763274519953	3.67639362752783	4.50667464996403	4.17992652891037	3.91481643579519	4.54659334156884	4.76509040052335	4.91750184205395	4.50667464996403	3.65364953637853	4.11673290364249	4.31351433570188
"ENSDARG00000038186"	4.13293662289443	4.64713790373553	4.56424283170918	4.45591638212939	4.05558399303707	4.58343730331146	4.28203990492997	4.19589631015996	3.99324569655909	4.26763274519953	4.50667464996403	5.05359166019676	4.87270350763202	5.11598178902986
