	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
ENSDARG00000001754	10.24284667	10.1896293	9.783727176	9.943458433	9.890550566	10.24284667	10.25468926	9.947237578	10.20333881	10.13514248	9.763533863	10.45005115	9.888282727	9.956677916
ENSDARG00000001760	7.03353452	6.743030898	7.1169943	6.485826263	6.664312369	7.030453709	7.149731675	6.740659977	7.023827615	7.234083808	6.959919504	7.617693775	6.708722178	6.920679747
ENSDARG00000001767	7.177763039	6.895385949	7.510130248	7.232517487	7.360941393	7.328225305	7.389215303	7.200440192	7.366342664	7.503116281	7.502542187	7.628274392	7.788670277	7.867229809
ENSDARG00000001769	9.148267392	9.430449694	9.22701236	9.19709963	9.281967203	8.96708683	9.10556676	9.081099359	8.986268167	9.042782371	9.024851343	8.708508659	9.021080429	8.836128394
ENSDARG00000001776	6.15174929	6.449552076	5.925463793	5.881484864	5.945929084	6.2588956	5.705991798	5.854990116	6.093939547	5.848525266	5.547675832	6.15174929	6.217967572	6.045676483
ENSDARG00000001777	9.769710969	9.557227368	9.674901941	9.566881104	9.45795405	9.71302355	9.665918511	9.442981271	9.626570188	9.763995096	9.496876515	9.731946241	9.42013555	9.52775483
ENSDARG00000001781	6.898668941	6.955177447	6.892771396	6.871158935	6.916640954	6.565929136	6.540319265	7.038611011	6.615058214	6.858652065	6.858652065	6.53702652	7.213614768	6.626663982
ENSDARG00000001782	3.914816436	4.19589631	4.571900277	3.993245697	5.119152798	4.703016281	4.555772966	4.967945729	4.667246679	4.976948121	4.931006769	4.710551505	3.252973389	4.642931212
ENSDARG00000001785	8.794016372	8.884731778	8.914007402	9.115413752	8.992052969	8.56282416	8.833618787	8.906933528	8.798603538	8.65505917	8.772909902	8.837204543	9.06320625	8.71197684
ENSDARG00000001788	12.90160905	12.75560285	13.06926852	12.92596267	13.01852915	13.10959033	12.89250829	13.11325511	12.93915903	13.04618369	12.94976453	13.24845924	13.01164242	13.10959033
ENSDARG00000001803	7.433055991	7.462506765	7.128730832	7.118364015	7.349821587	7.258275027	7.508068359	7.148338715	7.674854689	7.395131378	7.191392091	7.536807419	7.483060017	7.039113696
ENSDARG00000001804	6.551757362	6.280848884	6.414901473	6.117813552	6.191964774	6.646457094	6.540319265	6.638895659	6.194783043	6.485826263	6.398162657	6.858652065	6.142393351	6.727239898
ENSDARG00000001807	9.325610312	9.273805729	9.11267671	9.558300124	9.390164952	9.168817106	9.364648799	9.266280585	9.138263067	9.082428182	9.255340317	9.136369514	9.419105329	9.255340317
