C3,Counts
ENSDARG00000005551,25
ENSDARG00000005559,5
ENSDARG00000005560,115
ENSDARG00000005561,8
ENSDARG00000005565,11
ENSDARG00000005574,33
ENSDARG00000005576,6
ENSDARG00000005578,44
ENSDARG00000005586,116
ENSDARG00000005590,9
ENSDARG00000005595,1
ENSDARG00000005606,49
ENSDARG00000005612,26
ENSDARG00000005616,15
ENSDARG00000005619,0
ENSDARG00000005625,60
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,47
ENSDARG00000005640,0
ENSDARG00000005643,2
ENSDARG00000005645,146
ENSDARG00000005648,0
ENSDARG00000005651,22
ENSDARG00000005652,130
ENSDARG00000005670,74
ENSDARG00000005673,1
ENSDARG00000005675,22
ENSDARG00000005679,32
ENSDARG00000005690,34
ENSDARG00000005699,8
ENSDARG00000005704,18
ENSDARG00000005713,10
ENSDARG00000005716,10
ENSDARG00000005738,7
ENSDARG00000005739,20
ENSDARG00000005749,6
ENSDARG00000005754,377
ENSDARG00000005762,64
ENSDARG00000005772,16
ENSDARG00000005774,187
ENSDARG00000005775,540
ENSDARG00000005776,36
ENSDARG00000005780,0
ENSDARG00000005783,93
ENSDARG00000005786,0
ENSDARG00000005789,28
ENSDARG00000005791,594
ENSDARG00000005799,9
ENSDARG00000005800,14
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,86
ENSDARG00000005827,37
ENSDARG00000005828,2
ENSDARG00000005834,157
ENSDARG00000005840,60
ENSDARG00000005841,72
ENSDARG00000005842,0
ENSDARG00000005853,0
ENSDARG00000005861,322
ENSDARG00000005865,0
ENSDARG00000005867,456
ENSDARG00000005870,15
ENSDARG00000005883,100
ENSDARG00000005891,29
ENSDARG00000005894,8
ENSDARG00000005897,28
ENSDARG00000005908,93
ENSDARG00000005913,16
ENSDARG00000005915,82
ENSDARG00000005916,27
ENSDARG00000005924,200
ENSDARG00000005926,15
ENSDARG00000005927,90
ENSDARG00000005941,182
ENSDARG00000005942,7
ENSDARG00000005943,87
ENSDARG00000005945,73
ENSDARG00000005948,23
ENSDARG00000005972,60
ENSDARG00000005980,43
ENSDARG00000005989,33
ENSDARG00000005993,0
ENSDARG00000006003,29
ENSDARG00000006008,211
ENSDARG00000006010,31
ENSDARG00000006011,35
ENSDARG00000006019,139
ENSDARG00000006025,61
ENSDARG00000006029,23
ENSDARG00000006031,419
ENSDARG00000006038,34
ENSDARG00000006040,4
ENSDARG00000006044,6
ENSDARG00000006052,0
ENSDARG00000006060,124
ENSDARG00000006062,116
ENSDARG00000006065,9
ENSDARG00000006074,14
ENSDARG00000006079,2
ENSDARG00000006092,265
ENSDARG00000006093,3
ENSDARG00000006094,224
ENSDARG00000006109,0
ENSDARG00000006110,10
ENSDARG00000006112,53
ENSDARG00000006120,85
ENSDARG00000006124,336
ENSDARG00000006125,87
ENSDARG00000006128,155
ENSDARG00000006137,0
ENSDARG00000006151,1
ENSDARG00000006169,43
ENSDARG00000006174,1
ENSDARG00000006181,20
ENSDARG00000006192,51
ENSDARG00000006196,28
ENSDARG00000006200,672
ENSDARG00000006202,134
ENSDARG00000006206,2
ENSDARG00000006207,0
ENSDARG00000006215,51
ENSDARG00000006219,72
ENSDARG00000006220,86
ENSDARG00000006225,104
ENSDARG00000006235,79
ENSDARG00000006240,9
ENSDARG00000006242,518
ENSDARG00000006251,43
ENSDARG00000006253,27
ENSDARG00000006257,240
