E4,Counts
ENSDARG00000003021,22
ENSDARG00000003022,25
ENSDARG00000003027,23
ENSDARG00000003032,3365
ENSDARG00000003035,1416
ENSDARG00000003041,9
ENSDARG00000003046,144
ENSDARG00000003054,4
ENSDARG00000003058,235
ENSDARG00000003061,54
ENSDARG00000003068,270
ENSDARG00000003069,71
ENSDARG00000003077,17
ENSDARG00000003081,12776
ENSDARG00000003084,37
ENSDARG00000003085,80
ENSDARG00000003087,380
ENSDARG00000003090,0
ENSDARG00000003091,197
ENSDARG00000003098,833
ENSDARG00000003109,94
ENSDARG00000003113,621
ENSDARG00000003127,130
ENSDARG00000003132,74
ENSDARG00000003142,95
ENSDARG00000003144,31
ENSDARG00000003146,13
ENSDARG00000003151,603
ENSDARG00000003153,76
ENSDARG00000003157,58
ENSDARG00000003165,170
ENSDARG00000003167,42
ENSDARG00000003169,792
ENSDARG00000003175,115
ENSDARG00000003181,19
ENSDARG00000003189,459
ENSDARG00000003193,50
ENSDARG00000003197,5
ENSDARG00000003200,33
ENSDARG00000003203,439
ENSDARG00000003205,52
ENSDARG00000003206,70
ENSDARG00000003207,54
ENSDARG00000003208,53
ENSDARG00000003210,31
ENSDARG00000003213,569
ENSDARG00000003216,540
ENSDARG00000003217,201
ENSDARG00000003219,201
ENSDARG00000003229,0
ENSDARG00000003235,32
ENSDARG00000003244,25
ENSDARG00000003250,77
ENSDARG00000003251,14
ENSDARG00000003257,11
ENSDARG00000003259,42
ENSDARG00000003269,532
ENSDARG00000003270,35
ENSDARG00000003281,124
ENSDARG00000003287,79
ENSDARG00000003290,25
ENSDARG00000003293,279
ENSDARG00000003303,5
ENSDARG00000003307,191
ENSDARG00000003308,175
ENSDARG00000003311,202
ENSDARG00000003313,24
ENSDARG00000003320,196
ENSDARG00000003326,7
ENSDARG00000003328,131
ENSDARG00000003344,15
ENSDARG00000003373,40
ENSDARG00000003375,63
ENSDARG00000003380,0
ENSDARG00000003381,91
ENSDARG00000003382,100
ENSDARG00000003383,127
ENSDARG00000003395,49
ENSDARG00000003398,89
ENSDARG00000003399,17
ENSDARG00000003403,271
ENSDARG00000003411,94
ENSDARG00000003414,6
ENSDARG00000003420,13
ENSDARG00000003421,261
ENSDARG00000003429,185
ENSDARG00000003444,75
ENSDARG00000003446,125
ENSDARG00000003449,122
ENSDARG00000003462,290
ENSDARG00000003469,23
ENSDARG00000003475,0
ENSDARG00000003486,469
ENSDARG00000003487,249
ENSDARG00000003495,1790
ENSDARG00000003512,515
ENSDARG00000003517,44
ENSDARG00000003519,29
ENSDARG00000003520,151
ENSDARG00000003523,21
ENSDARG00000003526,661
ENSDARG00000003527,152
ENSDARG00000003531,134
ENSDARG00000003533,12
ENSDARG00000003544,115
ENSDARG00000003553,1
ENSDARG00000003564,154
ENSDARG00000003570,551
ENSDARG00000003573,112
ENSDARG00000003576,73
ENSDARG00000003584,107
ENSDARG00000003592,29
ENSDARG00000003599,8881
ENSDARG00000003607,115
ENSDARG00000003615,125
ENSDARG00000003616,188
ENSDARG00000003631,350
ENSDARG00000003632,27
ENSDARG00000003635,69
ENSDARG00000003641,186
ENSDARG00000003642,46
ENSDARG00000003655,456
ENSDARG00000003675,37
ENSDARG00000003680,381
ENSDARG00000003681,788
ENSDARG00000003684,157
ENSDARG00000003693,143
ENSDARG00000003695,1359
ENSDARG00000003697,23
ENSDARG00000003699,206
ENSDARG00000003701,3
ENSDARG00000003705,336
ENSDARG00000003706,28
ENSDARG00000003732,24
ENSDARG00000003749,56
ENSDARG00000003750,147
ENSDARG00000003751,216
ENSDARG00000003754,129
ENSDARG00000003757,39
ENSDARG00000003769,40
ENSDARG00000003776,191
ENSDARG00000003779,209
ENSDARG00000003789,236
ENSDARG00000003795,2357
ENSDARG00000003797,27
ENSDARG00000003803,24
ENSDARG00000003808,383
ENSDARG00000003811,1442
ENSDARG00000003818,215
ENSDARG00000003820,229
ENSDARG00000003822,34
ENSDARG00000003827,41
ENSDARG00000003829,301
ENSDARG00000003835,832
ENSDARG00000003841,23
ENSDARG00000003845,125
ENSDARG00000003846,16
ENSDARG00000003854,739
ENSDARG00000003860,194
ENSDARG00000003865,13
ENSDARG00000003866,395
ENSDARG00000003867,30
ENSDARG00000003869,79
ENSDARG00000003872,219
ENSDARG00000003877,221
ENSDARG00000003899,10
ENSDARG00000003900,1
ENSDARG00000003902,1335
ENSDARG00000003903,0
ENSDARG00000003904,60
ENSDARG00000003909,4
ENSDARG00000003910,313
ENSDARG00000003920,442
ENSDARG00000003925,0
ENSDARG00000003927,192
ENSDARG00000003931,288
ENSDARG00000003934,39
ENSDARG00000003938,256
ENSDARG00000003940,99
ENSDARG00000003941,97
ENSDARG00000003944,0
ENSDARG00000003952,821
ENSDARG00000003961,40
ENSDARG00000003963,170
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,82
ENSDARG00000003971,40
ENSDARG00000003973,66
ENSDARG00000003974,328
ENSDARG00000003977,38
ENSDARG00000003984,163
ENSDARG00000003989,179
ENSDARG00000003991,122
ENSDARG00000003994,46
ENSDARG00000003998,48
ENSDARG00000004015,1
ENSDARG00000004017,76
ENSDARG00000004018,31
ENSDARG00000004023,426
ENSDARG00000004034,466
ENSDARG00000004037,95
ENSDARG00000004046,10
ENSDARG00000004049,98
ENSDARG00000004051,27
ENSDARG00000004055,309
ENSDARG00000004059,3
ENSDARG00000004060,1757
ENSDARG00000004074,283
ENSDARG00000004078,177
ENSDARG00000004082,23
ENSDARG00000004094,429
ENSDARG00000004105,206
ENSDARG00000004109,5
ENSDARG00000004111,0
ENSDARG00000004114,18
ENSDARG00000004115,101
ENSDARG00000004130,11
ENSDARG00000004131,116
ENSDARG00000004132,839
ENSDARG00000004150,18
ENSDARG00000004151,51
ENSDARG00000004154,9
ENSDARG00000004158,38
ENSDARG00000004160,124
ENSDARG00000004161,229
ENSDARG00000004167,48
ENSDARG00000004169,248
ENSDARG00000004171,70
ENSDARG00000004173,748
ENSDARG00000004174,986
ENSDARG00000004176,30
ENSDARG00000004177,178
ENSDARG00000004184,349
ENSDARG00000004187,41
ENSDARG00000004189,203
ENSDARG00000004196,312
ENSDARG00000004199,66
ENSDARG00000004204,10
ENSDARG00000004211,83
ENSDARG00000004218,48
ENSDARG00000004219,9
ENSDARG00000004227,128
ENSDARG00000004232,32
ENSDARG00000004243,13
ENSDARG00000004246,504
ENSDARG00000004251,62
ENSDARG00000004256,6
ENSDARG00000004260,16
ENSDARG00000004261,440
ENSDARG00000004262,99
ENSDARG00000004270,174
ENSDARG00000004274,10
ENSDARG00000004280,72
ENSDARG00000004282,156
ENSDARG00000004291,139
ENSDARG00000004296,338
ENSDARG00000004297,422
ENSDARG00000004301,20
ENSDARG00000004302,41
ENSDARG00000004305,23
ENSDARG00000004306,27
ENSDARG00000004307,3
ENSDARG00000004308,44
ENSDARG00000004311,64
ENSDARG00000004318,44
ENSDARG00000004322,61
ENSDARG00000004325,46
ENSDARG00000004328,6
ENSDARG00000004336,247
ENSDARG00000004343,42
ENSDARG00000004358,109
ENSDARG00000004363,38
ENSDARG00000004372,109
ENSDARG00000004377,378
ENSDARG00000004378,59
ENSDARG00000004386,274
ENSDARG00000004392,13
ENSDARG00000004396,13
ENSDARG00000004402,90
ENSDARG00000004405,49
ENSDARG00000004406,36
ENSDARG00000004415,396
ENSDARG00000004427,5
ENSDARG00000004433,2
ENSDARG00000004436,22
ENSDARG00000004445,76
ENSDARG00000004447,3
ENSDARG00000004451,131
ENSDARG00000004452,1045
ENSDARG00000004455,26
ENSDARG00000004459,3
ENSDARG00000004460,25
ENSDARG00000004470,280
ENSDARG00000004472,53
ENSDARG00000004473,66
ENSDARG00000004492,49
ENSDARG00000004497,42
ENSDARG00000004498,2
ENSDARG00000004502,69
ENSDARG00000004517,60
ENSDARG00000004525,109
ENSDARG00000004527,45
ENSDARG00000004529,14
ENSDARG00000004537,1608
ENSDARG00000004539,118
ENSDARG00000004561,23
ENSDARG00000004574,20
ENSDARG00000004576,43
ENSDARG00000004580,75
ENSDARG00000004581,190
ENSDARG00000004586,7
ENSDARG00000004587,73
ENSDARG00000004588,798
ENSDARG00000004592,39
ENSDARG00000004594,84
ENSDARG00000004597,78
ENSDARG00000004598,0
ENSDARG00000004616,61
ENSDARG00000004618,28
ENSDARG00000004621,734
ENSDARG00000004627,6
ENSDARG00000004632,40
ENSDARG00000004633,22
ENSDARG00000004634,844
ENSDARG00000004635,356
ENSDARG00000004636,195
ENSDARG00000004643,67
ENSDARG00000004647,4
ENSDARG00000004648,31
ENSDARG00000004658,368
ENSDARG00000004672,330
ENSDARG00000004680,50
ENSDARG00000004687,103
ENSDARG00000004692,316
ENSDARG00000004695,42
ENSDARG00000004696,144
ENSDARG00000004697,78
ENSDARG00000004702,236
ENSDARG00000004706,186
ENSDARG00000004712,65
ENSDARG00000004713,15
ENSDARG00000004714,390
ENSDARG00000004721,14
ENSDARG00000004724,131
ENSDARG00000004726,242
ENSDARG00000004735,764
ENSDARG00000004745,60
ENSDARG00000004748,197
ENSDARG00000004753,115
ENSDARG00000004754,337
ENSDARG00000004757,5230
ENSDARG00000004763,16
ENSDARG00000004771,55
ENSDARG00000004774,282
ENSDARG00000004782,685
ENSDARG00000004785,450
ENSDARG00000004789,206
ENSDARG00000004794,62
ENSDARG00000004796,326
ENSDARG00000004806,51
ENSDARG00000004823,0
ENSDARG00000004830,484
ENSDARG00000004836,284
ENSDARG00000004840,132
ENSDARG00000004843,198
ENSDARG00000004851,30
ENSDARG00000004861,81
ENSDARG00000004864,0
ENSDARG00000004866,133
ENSDARG00000004869,46
ENSDARG00000004870,101
ENSDARG00000004871,1
ENSDARG00000004874,22
ENSDARG00000004875,73
ENSDARG00000004877,849
ENSDARG00000004880,47
ENSDARG00000004889,6
ENSDARG00000004891,140
ENSDARG00000004898,0
ENSDARG00000004904,95
ENSDARG00000004906,291
ENSDARG00000004925,5
ENSDARG00000004930,910
ENSDARG00000004931,49
ENSDARG00000004932,73
ENSDARG00000004937,22
ENSDARG00000004939,67
ENSDARG00000004948,523
ENSDARG00000004952,1
ENSDARG00000004953,5
ENSDARG00000004954,27
ENSDARG00000004956,41
ENSDARG00000004964,218
ENSDARG00000004979,89
ENSDARG00000004988,76
ENSDARG00000005002,14
ENSDARG00000005004,21
ENSDARG00000005010,21
ENSDARG00000005015,467
ENSDARG00000005023,108
ENSDARG00000005026,353
ENSDARG00000005034,27
ENSDARG00000005049,19
ENSDARG00000005050,13
ENSDARG00000005057,66
ENSDARG00000005058,119
ENSDARG00000005078,55
ENSDARG00000005085,136
ENSDARG00000005092,104
ENSDARG00000005095,34
ENSDARG00000005098,20
ENSDARG00000005104,130
ENSDARG00000005108,259
ENSDARG00000005112,1370
ENSDARG00000005115,48
ENSDARG00000005122,470
ENSDARG00000005126,98
ENSDARG00000005128,36
ENSDARG00000005134,154
ENSDARG00000005139,176
ENSDARG00000005141,99
ENSDARG00000005150,33
ENSDARG00000005154,39
ENSDARG00000005159,89
ENSDARG00000005162,896
ENSDARG00000005163,108
ENSDARG00000005172,56
ENSDARG00000005176,1
ENSDARG00000005179,75
ENSDARG00000005185,627
ENSDARG00000005186,184
ENSDARG00000005191,1948
ENSDARG00000005210,101
ENSDARG00000005216,62
ENSDARG00000005218,10
ENSDARG00000005220,54
ENSDARG00000005221,92
ENSDARG00000005230,251
ENSDARG00000005232,243
ENSDARG00000005236,1115
ENSDARG00000005246,24
ENSDARG00000005251,61
ENSDARG00000005254,134
ENSDARG00000005271,17
ENSDARG00000005274,10
ENSDARG00000005284,27
ENSDARG00000005314,0
ENSDARG00000005315,451
ENSDARG00000005318,111
ENSDARG00000005320,61
ENSDARG00000005327,0
ENSDARG00000005332,6
ENSDARG00000005335,4
ENSDARG00000005343,42
ENSDARG00000005350,292
ENSDARG00000005355,246
ENSDARG00000005356,113
ENSDARG00000005359,503
ENSDARG00000005364,26
ENSDARG00000005368,252
ENSDARG00000005371,19
ENSDARG00000005372,75
ENSDARG00000005374,144
ENSDARG00000005382,52
ENSDARG00000005392,1
ENSDARG00000005394,182
ENSDARG00000005397,253
ENSDARG00000005414,15
ENSDARG00000005416,239
ENSDARG00000005423,84
ENSDARG00000005425,121
ENSDARG00000005448,26
ENSDARG00000005451,576
ENSDARG00000005453,231
ENSDARG00000005454,146
ENSDARG00000005456,324
ENSDARG00000005458,247
ENSDARG00000005462,119
ENSDARG00000005463,275
ENSDARG00000005464,18
ENSDARG00000005468,348
ENSDARG00000005476,733
ENSDARG00000005479,1302
ENSDARG00000005481,84
ENSDARG00000005482,605
ENSDARG00000005485,61
ENSDARG00000005500,31
ENSDARG00000005510,0
ENSDARG00000005513,4871
ENSDARG00000005518,65
ENSDARG00000005522,0
ENSDARG00000005525,37
ENSDARG00000005526,193
ENSDARG00000005536,282
ENSDARG00000005540,367
ENSDARG00000005541,26
ENSDARG00000005544,84
ENSDARG00000005547,89
ENSDARG00000005549,167
ENSDARG00000005551,164
ENSDARG00000005559,26
ENSDARG00000005560,230
ENSDARG00000005561,40
ENSDARG00000005565,109
ENSDARG00000005574,71
ENSDARG00000005576,469
ENSDARG00000005578,291
ENSDARG00000005586,55
ENSDARG00000005590,156
ENSDARG00000005595,31
ENSDARG00000005606,137
ENSDARG00000005612,32
