	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000001710	11.03821615	10.93155103	11.12881909	11.12881909	10.9272152	10.98324939	11.21546177	10.97387707	10.92678661	11.23076386	11.16302389	11.00674063	11.01791431	11.10229208	10.99653854
ENSDARG00000001712	7.003288341	7.28556925	6.532841991	7.297504791	6.85957965	6.814469082	7.039193018	6.959857007	6.980631054	7.030965156	6.702952567	6.69082008	7.193685317	6.647491495	6.990551149
ENSDARG00000001733	8.086716085	8.376104205	8.174698632	8.394954577	8.3610369	8.190933817	8.334822561	8.453661391	8.28726731	8.330833242	8.193149139	8.286849003	8.290874507	8.547652984	8.32682583
ENSDARG00000001754	10.06387431	10.27270922	9.773876604	10.18142257	10.37769826	10.02554966	10.02958362	10.28520461	10.14408545	10.12769178	10.00516842	9.926314493	10.18153804	10.12403057	9.941492178
ENSDARG00000001760	7.194350923	7.038493526	7.148197186	7.237031174	7.111306967	7.526240984	6.883141687	6.917260142	7.112349586	7.040506523	6.794056501	7.158378675	7.550083289	7.176161352	7.391581048
ENSDARG00000001767	7.374924307	7.230331263	7.589900899	7.245372637	7.459927164	7.495047328	7.039193018	7.335958638	7.401070386	7.020734374	7.230947441	7.492586762	7.568020541	7.465562815	7.634917558
ENSDARG00000001769	8.900518307	8.78474669	9.143674846	8.967662071	9.161937088	8.972794335	8.929132705	9.214217144	9.141522654	8.955408118	8.936451684	9.279891472	9.028271224	9.088210838	9.102525366
ENSDARG00000001776	5.411384987	6.099952408	6.003590856	5.74703297	6.011777558	5.800536697	5.850695625	5.924542348	5.898873392	6.004917493	5.92621508	6.264683143	6.392977604	5.906819811	6.257573111
ENSDARG00000001777	9.525417938	9.599609151	9.803443046	9.590329693	9.823453686	9.77305105	9.389239606	9.64225016	9.631004007	9.386163549	9.616809863	9.581068818	9.680939113	9.560088926	9.652659772
ENSDARG00000001781	6.721250226	6.678962021	6.322814086	6.354460036	6.758529502	6.257573111	6.949704601	6.695790119	6.138606259	6.741683602	6.711027257	6.264683143	6.669055934	6.647491495	6.794449073
ENSDARG00000001782	4.900907102	5.191466522	4.506807765	4.87944112	5.317798743	5.244801227	4.7536385	4.886331612	4.600206127	4.193721869	4.816982645	5.770952861	4.383967401	4.281172552	4.554703179
ENSDARG00000001785	8.735610551	8.738239014	8.558519021	8.694857179	8.809689631	8.468284777	8.727304262	8.671698995	8.539969882	8.694363329	8.893525958	8.581767241	8.677088822	8.93265017	8.741465111
ENSDARG00000001788	13.0592008	12.902933	12.80399715	12.95692393	12.97920414	12.9999398	12.77953413	12.88211609	13.09176861	12.81607533	12.902933	13.01678302	13.08153377	13.13163879	13.08449227
ENSDARG00000001803	7.179365726	7.325093342	7.411081271	7.182405437	7.146935065	6.98136824	7.404963164	7.318731725	7.292614681	7.377102943	7.23983383	7.008210762	7.035097121	6.938402223	7.056363457
ENSDARG00000001804	6.65304303	6.193300922	5.827890478	6.889041092	6.634867315	6.450554974	6.122509969	6.157686927	6.326416422	6.816601792	6.004254175	6.096289162	6.216352249	5.672031182	6.377856001
ENSDARG00000001807	9.015429128	8.998355718	9.252420969	9.028098912	8.898027514	9.149106281	9.15906187	9.001103549	8.960748628	9.087104223	9.110201244	9.048216486	9.106683361	9.097700805	9.0756246
ENSDARG00000001817	4.440939781	4.530114574	4.506807765	4.271546558	3.857486495	3.725088519	4.083777586	4.303102075	4.440939781	3.94350887	3.866254309	4.375399752	4.327434274	4.842502051	3.961472915
ENSDARG00000001818	8.816986545	8.922875044	8.793541852	8.84541104	9.118390154	9.031078742	9.108074135	8.891393048	8.555351144	8.997129606	9.113986235	8.988463441	8.66252805	7.808088236	7.55312734
ENSDARG00000001825	5.518994554	5.48039463	4.923103609	5.417710748	5.494399701	5.19628253	4.7536385	5.063133799	5.356423215	5.571741666	5.097760405	5.395757915	5.798704648	5.953977988	5.837566023
