gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000039116	Lin	-0.383173645134224	NA	9.09281403766518	NA	NA	0.321599997511905	12.39	0.736802392903307	9.06415794733333	FALSE	0.91409232199607	0.686386947402527	1.36884589129253	8.74255794982143	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000039747	Lin	-0.415075866148075	NA	4.63484127792627	NA	NA	0.459926856564288	23.12	0.316815945961385	4.909740435	FALSE	0.445768396824467	0.309925468926076	0.794013744815397	4.44981357843571	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000040568	Lin	-0.337944092093646	NA	6.85165358856848	NA	NA	0.239451115576645	3.54	0.339568839729941	6.993000028	FALSE	0.29029853673418	0.226721749620045	0.403440229315986	6.75354891242335	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000041433	Exp2	0.030888104093311	NA	NA	11.5687248647805	NA	0.446563492667795	22.24	0.264426482137138	11.38087724	TRUE	0.716035970679065	0.0701186853462954	1.37511806315968	11.8274407326678	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000041540	Lin	-0.397069105333821	NA	7.69018663789518	NA	NA	0.408696139594754	19.58	0.987707603497445	7.675163042	FALSE	1.06711836681535	0.758642200890764	1.80096153724445	7.26646690240525	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000041569	Poly2	13.0581356412511	0.403264316638789	-0.256799731812152	NA	NA	0.179582478314846	-4.29	0.688039703625976	13.0659195533333	FALSE	1.91896928293582	1.74794168370083	2.06735845122339	12.8863370750185	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000042993	Exp2	-0.02549688543709	NA	NA	13.0149677982451	NA	0.367260019656054	16.37	0.948407336300275	13.1051711566667	FALSE	0.843922210565724	0.239082732345818	1.43957460846633	12.7379111370106	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000043175	Exp2	-0.122581469082263	NA	NA	4.17283827760824	NA	0.515165764746352	26.52	0.815405970294253	4.06936128666667	FALSE	1.30906983126433	0.715015421231967	1.8627417158914	3.55419552192031	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000044528	Lin	-0.416755897175586	NA	10.9454096417444	NA	NA	0.252758115253623	5.16	0.665188825618911	10.8133937066667	FALSE	0.923260003062009	0.744626830417161	1.21487137420673	10.560635591413	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000046091	Lin	-0.3397024737049	NA	5.89171316245344	NA	NA	0.347639162852652	14.72	0.353255636734781	6.00023219233333	FALSE	0.703910482446464	0.501276648145091	1.18329441631255	5.65259302948068	TRUE	TRUE	TRUE	TRUE	TRUE
