#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
ENSDARG00000005853	1	9	8	0	6	4	0	9	20	0	34	0	0	0	7	1	11	3
ENSDARG00000005861	372	380	698	14	552	64	562	388	541	42	391	80	70	199	338	186	243	310
ENSDARG00000005865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000005867	51	125	120	13	123	26	131	101	153	22	113	14	6	36	127	104	51	124
ENSDARG00000005870	3	18	11	0	81	5	47	44	18	6	20	0	0	5	26	0	8	9
ENSDARG00000005883	25	21	99	3	43	4	52	41	64	2	52	1	0	4	24	18	25	83
ENSDARG00000005891	56	90	200	1	151	15	128	51	202	4	81	10	38	20	95	45	43	31
ENSDARG00000005894	28	14	28	0	29	0	93	11	17	10	43	0	0	6	20	21	7	14
ENSDARG00000005897	20	26	66	0	13	0	39	12	27	1	20	4	0	3	3	7	3	0
ENSDARG00000005908	58	55	62	0	56	21	77	83	102	12	72	9	17	55	49	20	25	71
ENSDARG00000005913	18	1	4	0	5	1	19	16	16	0	9	0	0	7	19	13	18	4
ENSDARG00000005915	70	140	181	6	162	70	291	106	376	9	61	2	26	17	224	163	71	115
ENSDARG00000005916	17	23	23	0	38	6	23	19	33	0	19	10	17	16	54	15	14	6
ENSDARG00000005924	255	284	422	4	262	86	255	182	320	34	269	54	19	80	209	134	98	257
ENSDARG00000005926	41	63	78	0	71	16	70	33	42	3	55	0	13	9	75	17	6	0
ENSDARG00000005927	100	80	89	0	146	19	97	62	143	5	93	12	2	28	81	33	28	49
ENSDARG00000005941	146	243	358	5	235	42	331	168	273	14	224	44	30	86	195	203	79	207
ENSDARG00000005942	0	0	13	0	0	0	15	0	8	0	0	0	0	0	0	0	3	3
ENSDARG00000005943	30	31	73	0	21	0	82	16	30	0	23	8	0	5	38	34	2	8
ENSDARG00000005945	118	161	184	3	111	20	151	90	136	16	138	15	20	48	147	91	52	102
ENSDARG00000005948	54	32	35	0	30	16	41	21	20	2	21	5	3	6	47	29	8	28
ENSDARG00000005972	9	15	37	0	0	0	27	6	51	0	0	0	0	0	10	30	0	8
ENSDARG00000005980	75	115	175	26	82	24	347	199	126	3	101	8	20	108	114	80	57	113
ENSDARG00000005989	26	62	53	0	49	0	45	154	96	0	48	0	11	31	68	18	14	50
ENSDARG00000005993	0	5	5	0	24	0	26	8	13	0	117	4	0	5	0	27	3	3
ENSDARG00000006003	44	7	124	0	81	12	54	42	94	2	29	0	16	9	60	25	38	56
ENSDARG00000006008	64	148	164	0	100	8	191	220	251	30	136	19	14	55	144	90	127	127
ENSDARG00000006010	15	21	56	0	62	6	25	20	20	1	15	5	4	8	10	13	1	8
ENSDARG00000006011	9	17	24	0	13	13	14	39	28	6	7	0	5	6	11	15	12	14
ENSDARG00000006019	116	243	380	6	171	12	329	129	248	27	220	1	44	160	143	66	20	123
ENSDARG00000006025	72	33	49	1	48	4	44	42	84	6	32	18	2	35	88	24	145	20
ENSDARG00000006029	3	62	47	0	36	0	30	2	5	0	14	0	0	0	30	13	0	0
ENSDARG00000006031	676	1055	1154	14	1246	103	875	724	995	99	791	136	113	269	867	503	271	424
ENSDARG00000006038	29	41	87	0	70	8	60	66	89	30	14	10	13	29	36	31	21	33
ENSDARG00000006040	10	34	23	0	52	11	26	3	57	0	18	12	0	0	29	8	7	12
ENSDARG00000006044	18	15	48	0	21	0	10	12	14	0	12	2	0	0	17	5	0	1
ENSDARG00000006052	11	7	8	0	12	8	24	3	23	0	0	0	0	0	0	0	0	0
ENSDARG00000006060	234	335	619	14	283	60	518	271	424	80	269	22	35	155	252	156	101	126
ENSDARG00000006062	312	251	313	4	235	93	268	220	211	119	212	33	20	95	230	86	130	212
ENSDARG00000006065	11	18	30	0	31	0	28	37	26	0	7	2	0	12	18	18	19	5
ENSDARG00000006074	29	26	21	0	7	9	7	29	23	0	25	22	4	6	31	18	56	22
ENSDARG00000006079	0	0	8	0	13	0	0	4	0	5	0	0	0	11	9	0	3	0
ENSDARG00000006092	503	623	795	19	759	161	752	485	646	47	575	104	92	186	537	329	277	519
ENSDARG00000006093	9	13	30	0	6	2	15	20	43	0	11	0	0	0	30	6	11	6
ENSDARG00000006094	236	243	234	3	322	38	291	173	316	194	158	232	14	95	223	159	197	209
ENSDARG00000006109	0	0	0	0	0	0	0	0	4	0	4	0	0	2	0	0	0	0
ENSDARG00000006110	2	24	12	0	8	0	12	1	8	0	29	6	0	0	16	0	2	2
ENSDARG00000006112	46	70	150	0	93	8	138	45	95	0	73	25	5	21	70	29	43	77
ENSDARG00000006120	62	48	122	0	139	5	73	62	86	0	84	27	31	22	74	24	42	49
ENSDARG00000006124	369	285	533	2	719	88	665	572	402	68	408	87	33	182	461	235	157	513
ENSDARG00000006125	98	124	151	19	184	14	107	74	149	20	218	21	3	50	112	59	59	91
ENSDARG00000006128	188	216	319	11	297	44	221	205	358	363	190	45	35	85	185	221	59	252
ENSDARG00000006137	1	0	17	0	3	0	5	5	3	0	6	0	0	0	1	0	0	0
ENSDARG00000006151	8	22	14	0	9	3	3	16	3	1	11	1	2	0	1	16	0	6
ENSDARG00000006169	54	112	120	0	107	24	216	107	126	25	103	15	4	49	71	86	47	113
ENSDARG00000006174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006181	25	57	43	0	68	1	52	26	36	7	62	3	0	19	50	20	14	40
ENSDARG00000006192	36	19	156	0	75	7	135	126	116	5	117	12	8	22	62	66	29	31
ENSDARG00000006196	15	41	66	1	109	4	97	64	70	11	47	2	2	5	23	38	36	35
ENSDARG00000006200	1072	667	1410	20	1213	70	1211	492	881	149	342	58	372	165	712	270	393	596
ENSDARG00000006202	155	272	228	1	98	10	194	125	258	10	150	112	12	211	102	243	58	179
ENSDARG00000006206	3	2	12	0	11	4	21	6	18	0	0	2	0	0	0	1	2	13
ENSDARG00000006207	0	6	6	0	1	0	8	1	6	0	3	0	0	0	0	4	0	6
ENSDARG00000006215	39	124	147	0	151	38	142	52	97	2	145	14	7	34	89	57	36	104
ENSDARG00000006219	95	80	134	0	126	23	131	47	105	21	139	16	9	13	89	75	24	65
ENSDARG00000006220	73	208	177	5	233	39	151	119	185	32	181	11	1	62	188	50	25	8
ENSDARG00000006225	158	179	223	3	205	9	237	118	230	8	177	20	24	47	122	122	93	98
ENSDARG00000006235	24	38	51	3	58	39	115	41	78	10	75	29	11	20	8	33	50	161
ENSDARG00000006240	62	57	109	4	113	2	22	20	64	2	54	30	2	3	12	32	29	27
ENSDARG00000006242	381	513	633	2	459	100	746	417	575	80	474	56	127	119	496	359	230	350
ENSDARG00000006251	40	46	90	43	255	73	423	148	165	2	314	60	4	40	134	110	5	20
ENSDARG00000006253	15	27	72	1	48	11	45	39	34	0	30	6	0	3	23	21	1	7
ENSDARG00000006257	308	232	431	6	448	100	347	222	397	33	368	49	55	131	335	231	166	383
