#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
#CLASS:DOSE	10000	10000	10000	1000	1000	1000	100	100	100	10	10	10	1	1	1	0	0	0
ENSDARG00000006260	627	590	996	8	865	176	911	797	1259	61	793	65	156	288	1018	606	203	315
ENSDARG00000006266	133	202	160	9	196	10	279	124	197	17	197	34	22	62	166	111	86	116
ENSDARG00000006272	53	81	96	0	101	23	104	111	78	20	77	5	0	37	77	78	40	75
ENSDARG00000006279	28	6	49	0	36	8	26	27	42	6	26	13	1	6	21	11	20	15
ENSDARG00000006283	143	134	225	2	142	53	282	154	192	1	216	15	12	28	114	74	42	137
ENSDARG00000006288	18	14	19	0	18	0	38	25	41	0	28	0	8	17	18	1	0	18
ENSDARG00000006290	14	56	57	4	21	0	47	23	44	18	54	6	9	4	23	15	3	27
ENSDARG00000006292	3	11	0	0	3	6	7	8	9	0	2	0	1	0	0	6	2	5
ENSDARG00000006299	59	56	120	0	68	21	80	188	136	11	48	0	18	14	86	42	37	51
ENSDARG00000006300	11	20	31	0	22	0	55	5	31	0	15	14	13	5	33	4	16	9
ENSDARG00000006301	102	165	224	1	114	21	236	184	146	3	107	66	7	43	80	55	37	53
ENSDARG00000006307	92	25	51	2	41	10	110	49	41	2	45	15	7	3	67	31	26	81
ENSDARG00000006308	3	0	2	0	11	0	120	3	9	0	0	6	0	0	8	2	14	0
ENSDARG00000006314	227	220	268	3	323	54	359	178	275	16	307	23	34	64	231	115	93	151
ENSDARG00000006316	367	534	889	9	667	141	829	593	717	61	569	111	55	139	568	281	199	310
ENSDARG00000006332	137	132	312	0	172	37	261	126	227	9	183	62	8	54	153	188	32	76
ENSDARG00000006341	12	0	11	4	5	0	11	0	17	0	0	0	0	0	0	0	4	2
ENSDARG00000006345	23	18	30	0	82	0	30	28	37	11	56	8	2	8	14	15	1	42
ENSDARG00000006350	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7
ENSDARG00000006353	68	57	130	0	69	21	100	57	119	15	59	14	4	20	57	45	38	61
ENSDARG00000006356	54	63	95	1	82	23	57	55	43	10	62	17	0	12	70	39	41	88
ENSDARG00000006368	7	0	2	0	0	0	21	9	1	0	2	0	0	0	30	4	12	0
ENSDARG00000006370	43	71	95	3	47	26	52	69	62	8	56	14	34	24	82	54	36	63
ENSDARG00000006372	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ENSDARG00000006383	154	70	157	3	118	14	161	40	103	16	88	18	9	36	89	45	33	51
ENSDARG00000006385	0	19	70	0	37	67	65	29	43	0	39	0	0	68	166	11	0	12
ENSDARG00000006389	137	107	190	0	109	26	115	99	143	11	134	18	14	58	109	81	40	82
ENSDARG00000006392	34	8	61	0	45	3	77	25	16	0	31	3	12	4	29	54	15	13
ENSDARG00000006395	111	115	356	4	295	47	278	211	384	15	383	33	32	28	276	239	77	280
ENSDARG00000006396	213	251	420	2	344	58	263	339	242	21	203	84	38	86	229	142	199	235
ENSDARG00000006397	112	155	167	0	162	37	211	115	176	14	175	40	9	72	146	94	61	98
ENSDARG00000006399	211	210	280	1	231	20	170	71	161	18	161	12	12	57	182	81	47	179
ENSDARG00000006408	55	89	113	3	111	19	133	41	149	21	89	12	20	46	81	51	31	52
ENSDARG00000006409	0	0	4	0	0	0	0	0	1	0	0	0	0	0	4	5	0	0
ENSDARG00000006413	34	77	91	0	135	20	52	79	113	12	119	13	22	24	76	22	10	55
ENSDARG00000006420	147	207	217	8	175	23	294	145	236	8	196	23	37	84	128	111	77	166
ENSDARG00000006422	34	56	83	6	50	57	44	40	99	4	60	6	5	51	71	31	10	47
ENSDARG00000006427	222	337	420	5	492	34	373	115	302	23	302	5	4	66	415	178	36	85
ENSDARG00000006434	9	10	25	0	0	3	19	22	10	3	0	0	8	0	20	0	0	28
ENSDARG00000006447	1	15	0	0	17	0	2	0	2	0	2	2	0	0	4	0	0	0
ENSDARG00000006456	0	18	20	0	13	21	25	15	13	0	10	0	0	0	17	0	0	5
ENSDARG00000006467	15	39	51	0	35	7	24	19	49	1	36	0	6	10	14	25	32	35
ENSDARG00000006468	4	9	6	0	11	4	9	7	5	4	0	0	1	0	0	4	0	4
ENSDARG00000006474	7	5	1	0	0	0	1	0	5	0	1	0	0	0	1	0	0	0
ENSDARG00000006477	64	46	108	10	64	2	97	80	121	20	79	23	6	22	84	58	6	88
ENSDARG00000006487	282	149	335	2	248	71	427	144	261	23	382	34	16	40	214	118	110	233
ENSDARG00000006491	24	8	7	0	0	0	45	11	6	0	42	0	0	2	14	10	0	21
ENSDARG00000006494	37	61	99	5	38	16	81	54	58	20	25	15	0	9	57	55	16	83
ENSDARG00000006497	742	825	1002	9	1065	245	744	478	827	34	633	257	31	171	720	425	167	334
ENSDARG00000006501	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006508	13	39	41	0	36	2	68	32	34	17	42	5	1	14	77	28	25	19
ENSDARG00000006514	34	48	101	0	60	26	67	22	42	3	38	6	2	6	74	38	11	23
ENSDARG00000006522	0	19	17	0	14	2	8	0	23	0	14	0	2	8	0	7	2	17
ENSDARG00000006524	357	458	759	5	544	111	623	372	571	54	449	77	45	158	493	196	188	441
ENSDARG00000006526	597	1265	1597	31	1853	168	1181	973	1381	143	1136	202	53	337	960	572	410	557
ENSDARG00000006527	173	152	124	1	403	16	344	180	370	6	141	31	15	68	198	75	63	134
ENSDARG00000006544	2	0	0	1	3	0	1	1	2	0	15	0	0	0	9	1	0	0
