Chemical,Dose,estimate,SE.x,df.x,t.ratio,p.value,adj.p.value,Group_1,contrast_1,Group,emmean,SE.y,df.y,lower.CL,upper.CL,.group,mean_flu,percent15,sd,legacy_group,keep,percent_difference,percent_difference_mean_flu
1-Decanol,Dose_4,6.860333333333336,1.9242969856258911,6,3.5651115106340843,0.027512048752244556,0.08253614625673367,A,C,C,4.554333333333333,1.3606834475529,6,0.09966150356485226,9.009005163101815, a ,8.4655555555555555,5.8664000000000005,3.675731053515447, a ,TRUE,150.63309668447639,81.03819398871246
1-Decanol,Dose_4,6.860333333333336,1.9242969856258911,6,3.5651115106340843,0.027512048752244556,0.08253614625673367,A,C,A,11.414666666666669,1.3606834475528997,6,6.959994836898189,15.869338496435148,a,8.4655555555555555,5.8664000000000005,3.675731053515447,  b,TRUE,60.1010395981778,81.03819398871246
1-Decanol,Dose_4,1.9870000000000012,1.9242969856258907,6,1.0325848945575913,0.5853151195857412,0.5853151195857412,A,B,B,9.427666666666667,1.3606834475528997,6,4.972994836898187,13.882338496435146,a,8.4655555555555555,5.8664000000000005,3.675731053515447, ab,TRUE,21.07626489410601,23.47158419740125
1-Decanol,Dose_4,1.9870000000000012,1.9242969856258907,6,1.0325848945575913,0.5853151195857412,0.5853151195857412,A,B,A,11.414666666666669,1.3606834475528997,6,6.959994836898189,15.869338496435148,a,8.4655555555555555,5.8664000000000005,3.675731053515447,  b,TRUE,17.407429038663714,23.47158419740125
1-Decanol,Dose_5,1.6440000000000001,4.649955961559685,6,0.3535517354552689,0.9341551979301954,0.949745698535814,C,B,B,4.961333333333333,3.2880153926376656,6,-5.803131812303504,15.72579847897017,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,33.13625369524322,25.162837366711454
1-Decanol,Dose_5,1.6440000000000001,4.649955961559685,6,0.3535517354552689,0.9341551979301954,0.949745698535814,C,B,C,6.605333333333333,3.2880153926376665,6,-4.159131812303506,17.36979847897017,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,24.888978603148974,25.162837366711454
1-Decanol,Dose_5,3.072333333333334,4.649955961559684,6,0.6607231033437174,0.7935283286710884,0.949745698535814,A,B,B,4.961333333333333,3.2880153926376656,6,-5.803131812303504,15.72579847897017,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,61.92555764579415,47.02471046410776
1-Decanol,Dose_5,3.072333333333334,4.649955961559684,6,0.6607231033437174,0.7935283286710884,0.949745698535814,A,B,A,8.033666666666667,3.2880153926376656,6,-2.7307984789701703,18.798131812303502,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,38.24322642214016,47.02471046410776
1-Decanol,Dose_5,1.4283333333333337,4.649955961559685,6,0.3071713678884484,0.949745698535814,0.949745698535814,A,C,C,6.605333333333333,3.2880153926376665,6,-4.159131812303506,17.36979847897017,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,21.62394025030279,21.86187309739631
1-Decanol,Dose_5,1.4283333333333337,4.649955961559685,6,0.3071713678884484,0.949745698535814,0.949745698535814,A,C,A,8.033666666666667,3.2880153926376656,6,-2.7307984789701703,18.798131812303502,a,6.533444444444444,1.8012000000000004,5.108582462658088, a,TRUE,17.779345255383596,21.86187309739631
1-Decanol,Dose_6,2.8866666666666663,2.807298094715379,6,1.028272228054689,0.5877100366058708,0.6460729256052673,A,C,C,4.3373333333333335,1.9850595195853193,6,-2.1614513312509622,10.83611799791763,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,66.55395019981555,40.503882011786345
