Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor,Dose(mg/L)
Flutamide,Dose_5,8.845888888888885,1.0651096228523476,45,6.700647987972371,10.991129789805399, ab,Dose_5, ab,2.211472222222221,1e-4
Flutamide,Dose_2,11.362888888888884,1.0651096228523478,45,9.21764798797237,13.508129789805398,  b,Dose_2,  b,2.840722222222221,0.1
Glyphosate,Dose_4,5.549333333333337,1.604844754528131,45,2.3170100746105775,8.7816565920560965, a,Dose_4, a,1.3873333333333342,0.001
Glyphosate,Control,6.90788888888889,1.6048447545281308,45,3.6755656301661315,10.14021214761165, a,Control, a,1.7269722222222226,0
Glyphosate,Dose_3,9.877,1.604844754528131,45,6.644676741277241,13.10932325872276, a,Dose_3, a,2.46925,0.01
Glyphosate,Dose_2,10.697555555555558,1.6048447545281312,45,7.465232296832799,13.929878814278318, a,Dose_2, a,2.6743888888888896,0.1
Glyphosate,Dose_5,11.255777777777778,1.6048447545281312,45,8.023454519055019,14.488101036500538, a,Dose_5, a,2.8139444444444446,1e-4
Glyphosate,Dose_1,11.738437198067635,1.7063015412129119,45,8.301769481458097,15.175104914677172, a,Dose_1, a,2.9346092995169086,1
Malathion,Control,1.0323333333333322,2.2451355886968094,45,-3.4896018643579065,5.5542685310245705, a ,Control, a ,0.25808333333333305,0
Malathion,Dose_1,4.7798888888888875,2.2451355886968094,45,0.257953691197649,9.301824086580126, ab,Dose_1, ab,1.1949722222222219,1
Malathion,Dose_3,6.268111111111112,2.2451355886968094,45,1.746175913419873,10.79004630880235, ab,Dose_3, ab,1.567027777777778,0.01
Malathion,Dose_2,7.297777777777776,2.2451355886968094,45,2.775842580086538,11.819712975469015, ab,Dose_2, ab,1.824444444444444,0.1
Malathion,Dose_5,8.633888888888892,2.2451355886968094,45,4.1119536911976535,13.15582408658013, ab,Dose_5, ab,2.158472222222223,1e-4
Malathion,Dose_4,11.912615942028987,2.3870709639772665,45,7.104808223983305,16.72042366007467,  b,Dose_4,  b,2.9781539855072467,0.001
NN-Dimethylformamide,Dose_5,6.63088888888889,1.1174476644752966,45,4.380233760972208,8.881544016805572, a,Dose_5, a,1.6577222222222225,0.1
NN-Dimethylformamide,Dose_1,7.084444444444446,1.1174476644752969,45,4.8337893165277634,9.335099572361129, a,Dose_1, a,1.7711111111111115,1000
NN-Dimethylformamide,Dose_2,7.475888888888892,1.1174476644752969,45,5.225233760972209,9.726544016805574, a,Dose_2, a,1.868972222222223,100
NN-Dimethylformamide,Dose_4,8.008367149758454,1.1880916622864195,45,5.615427706446298,10.401306593070611, a,Dose_4, a,2.0020917874396136,1
NN-Dimethylformamide,Dose_3,8.22088888888889,1.1174476644752969,45,5.970233760972207,10.471544016805574, a,Dose_3, a,2.0552222222222225,10
NN-Dimethylformamide,Control,11.087333333333335,1.1174476644752969,45,8.836678205416653,13.337988461250017, a,Control, a,2.771833333333334,0
Prochloraz,Dose_2,6.66699494949495,0.9472397086457371,44,4.757958755464774,8.576031143525126, a,Dose_2, a,1.6667487373737375,0.1
Prochloraz,Control,7.308555555555556,0.8908194509720703,44,5.5132269193826495,9.103884191728463, a,Control, a,1.827138888888889,0
Prochloraz,Dose_5,8.445555555555556,0.8908194509720703,44,6.65022691938265,10.240884191728462, a,Dose_5, a,2.111388888888889,1e-4
Prochloraz,Dose_1,8.78177777777778,0.8908194509720703,44,6.986449141604874,10.577106413950686, a,Dose_1, a,2.195444444444445,1
Prochloraz,Dose_4,8.98666666666667,0.8908194509720703,44,7.191338030493764,10.781995302839576, a,Dose_4, a,2.2466666666666675,0.001
Prochloraz,Dose_3,9.384994949494953,0.9472397086457373,44,7.4759587554647755,11.29403114352513, a,Dose_3, a,2.346248737373738,0.01
SDS,Dose_1,2.010222222222223,0.6909050957057464,44,0.6177944953188965,3.4026499491255495, a,Dose_1, a,0.5025555555555558,0.1
SDS,Dose_5,2.265777777777778,0.6909050957057464,44,0.8733500508744516,3.6582055046811046, a,Dose_5, a,0.5664444444444445,1e-5
SDS,Control,2.6822222222222223,0.6909050957057465,44,1.2897944953188956,4.074649949125549, a,Control, a,0.6705555555555556,0
SDS,Dose_2,3.1465555555555564,0.6909050957057465,44,1.7541278286522297,4.538983282458883, a,Dose_2, a,0.7866388888888891,0.01
SDS,Dose_3,3.1473062330623316,0.7855329419343409,44,1.5641686132304453,4.730443852894218, a,Dose_3, a,0.7868265582655829,0.001
SDS,Dose_4,3.4041111111111118,0.6909050957057464,44,2.0116833842077853,4.796538838014438, a,Dose_4, a,0.8510277777777779,1e-4
TEG,Dose_3,3.0633346521595772,1.3513880864879584,43,0.3380008400098955,5.788668464309259, a ,Dose_3, a ,0.7658336630398943,10
TEG,Dose_1,5.480777777777776,1.2709619491441388,43,2.917638729423401,8.04391682613215, ab,Dose_1, ab,1.370194444444444,1000
TEG,Control,6.062555555555555,1.2709619491441386,43,3.4994165072011802,8.62569460390993, ab,Control, ab,1.5156388888888888,0
TEG,Dose_2,8.704608555885258,1.351498924141332,43,5.979051218304637,11.43016589346588, ab,Dose_2, ab,2.1761521389713145,100
TEG,Dose_5,9.597108555885262,1.3514989241413322,43,6.87155121830464,12.322665893465883,  b,Dose_5,  b,2.3992771389713154,0.1
TEG,Dose_4,9.696555555555555,1.2709619491441386,43,7.133416507201181,12.25969460390993,  b,Dose_4,  b,2.424138888888889,1
TGSH,Dose_1,1.1410120585701957,0.711335667868102,42,-0.294521437316559,2.5765455544569504, a,Dose_1, a,0.28525301464254893,1
TGSH,Control,1.9708639104220498,0.7113356678681019,42,0.5353304145352953,3.4063974063088045, a,Control, a,0.49271597760551245,0
TGSH,Dose_2,2.4646666666666657,0.6689847596831678,42,1.1146007636856705,3.814732569647661, a,Dose_2, a,0.6161666666666664,0.1
TGSH,Dose_3,3.1204990310077507,0.7113966299171376,42,1.684842508725271,4.55615555329023, a,Dose_3, a,0.7801247577519377,0.01
TGSH,Dose_5,3.2587490310077514,0.7113966299171378,42,1.8230925087252712,4.694405553290231, a,Dose_5, a,0.8146872577519378,1e-4
TGSH,Dose_4,3.6519999999999992,0.668984759683168,42,2.3019340970190036,5.002065902980995, a,Dose_4, a,0.9129999999999998,0.001
Trenbolone,Control,-3.9497777777777734,2.563005778476623,45,-9.111936401928732,1.2123808463731858, a ,Control, a ,-0.9874444444444433,0
Trenbolone,Dose_1,-0.10096135265699992,2.725036610309464,45,-5.589466824305667,5.387544118991666, ab,Dose_1, ab,-0.02524033816424998,0.1
Trenbolone,Dose_2,2.7504444444444442,2.563005778476624,45,-2.4117141797065167,7.912603068595406, ab,Dose_2, ab,0.6876111111111111,0.01
Trenbolone,Dose_3,6.0125555555555525,2.5630057784766236,45,0.8503969314045925,11.174714179706513, ab,Dose_3, ab,1.5031388888888881,0.001
Trenbolone,Dose_4,7.773222222222219,2.563005778476623,45,2.6110635980712598,12.935380846373178,  b,Dose_4,  b,1.9433055555555547,1e-4
Trenbolone,Dose_5,8.648444444444445,2.563005778476624,45,3.4862858202934843,13.810603068595405,  b,Dose_5,  b,2.1621111111111113,1e-5
Vinclozolin,Dose_1,7.378666666666663,1.784062511441435,46,3.787535089189056,10.96979824414427, a,Dose_1, a,1.8446666666666658,1
Vinclozolin,Dose_5,10.404333333333334,1.7840625114414348,46,6.813201755855727,13.995464910810941, a,Dose_5, a,2.6010833333333334,1e-4
Vinclozolin,Dose_4,11.037555555555555,1.7840625114414341,46,7.446423978077949,14.62868713303316, a,Dose_4, a,2.7593888888888887,0.001
Vinclozolin,Control,12.699777777777776,1.7840625114414348,46,9.108646200300168,16.290909355255383, a,Control, a,3.174944444444444,0
Vinclozolin,Dose_2,12.929222222222219,1.7840625114414348,46,9.33809064474461,16.520353799699826, a,Dose_2, a,3.2323055555555547,0.1
Vinclozolin,Dose_3,12.98633333333333,1.7840625114414346,46,9.395201755855725,16.57746491081094, a,Dose_3, a,3.2465833333333327,0.01
