Chemical,Dose,estimate,std.error,statistic,adj.p.value
Flutamide,Dose_5,2.1219319737343634,0.8252883710803071,2.571140037944243,0.41707780432670055
Flutamide,Dose_4,0.25590745017328603,0.8517749227677838,0.30044022585418745,0.999999766539433
Flutamide,Dose_3,1.9618252176257658,0.8252883710803072,2.3771390539015176,0.49231609795540116
Flutamide,Dose_2,3.5009807745435384,0.8252883710803071,4.24213026285677,0.01966347249652639
Flutamide,Dose_1,0.6854760736816885,0.8252883710803072,0.8305897643806569,0.999999766539433
Glyphosate,Dose_5,1.1454870904141745,0.5979430011695634,1.9157128491739628,0.8289357375936771
Glyphosate,Dose_4,-0.3579226356212238,0.5979430011695633,-0.5985898905433042,0.999999766539433
Glyphosate,Dose_3,0.782236744014914,0.5979430011695634,1.3082128940131017,0.999999766539433
Glyphosate,Dose_2,0.9984188544314292,0.5979430011695636,1.6697559006101643,0.948099877863411
Glyphosate,Dose_1,1.2726476847020638,0.6171332003309927,2.062192868605178,0.7003486496622737
Malathion,Dose_5,0.9344567566012946,0.3903141595851382,2.3941144169469055,0.49231609795540116
Malathion,Dose_4,1.3375096088058718,0.4028407824293123,3.320194149013621,0.09174424493749299
Malathion,Dose_3,0.6436324624282488,0.3903141595851382,1.6490113069747727,0.948099877863411
Malathion,Dose_2,0.7702090514805505,0.39031415958513815,1.9733054324731638,0.764082589180033
Malathion,Dose_1,0.46068578780145075,0.39031415958513827,1.180294838114789,0.999999766539433
NN-Dimethylformamide,Dose_5,-1.7088544072839453,0.6059806491154376,-2.8199818092844966,0.2698649246626725
NN-Dimethylformamide,Dose_4,-1.1806508525511485,0.6254288060831612,-1.8877462007948531,0.8294666962702504
NN-Dimethylformamide,Dose_3,-1.0991579235841031,0.6059806491154376,-1.8138498732402868,0.8802212931804644
NN-Dimethylformamide,Dose_2,-1.384833320034657,0.6059806491154375,-2.285276472204396,0.5381394027279379
NN-Dimethylformamide,Dose_1,-1.5349353963501395,0.6059806491154377,-2.532977577073981,0.42264860683643934
Prochloraz,Dose_5,0.3850875290451401,0.42668136790915284,0.9025177990128017,0.999999766539433
Prochloraz,Dose_4,0.5683550230791312,0.42668136790915284,1.3320361886534098,0.999999766539433
Prochloraz,Dose_3,0.7032637778576157,0.4404006799898689,1.5968725976394809,0.9481877043200847
Prochloraz,Dose_2,-0.21728846835583143,0.44040067998986876,-0.4933881309193938,0.999999766539433
Prochloraz,Dose_1,0.4989617460773482,0.42668136790915273,1.169401299434254,0.999999766539433
SDS,Dose_5,-0.18698692306009704,0.43872012418478384,-0.42621004315120115,0.999999766539433
