	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000045277	5.80837198276494	5.27417488127055	5.30541124958819	5.95615402732443	6.08174818385824	5.71091328439222	6.45243441405543	5.67136643502091	5.91337543017721	6.21054789721831	5.85167200765759	5.89730571545038	6.34697017337988	5.81534324095876	6.2635841617827
ENSDARG00000045856	3.77915400636171	4.14476150909186	4.00624167877193	4.10316829433266	4.50904573764143	3.26447067478981	3.91789088731988	4.01117505086818	3.44366050247705	3.41803055718069	3.71547043188371	4.08585100941259	3.28377111593614	2.70238020852173	3.71547043188371
ENSDARG00000052103	6.75042967804935	6.67335179687438	6.45004943158952	5.99830863477894	5.77789101213297	6.20731035796608	5.78442567706838	5.47462977007659	6.04338692302529	5.50586333972901	5.61144134787393	6.13814816087824	6.02079349341722	6.07881134301424	6.16604256712329
ENSDARG00000052496	3.77915400636171	4.08585100941259	4.08585100941259	4.26216466125875	5.01426891139493	4.5220468031351	4.60826120017788	3.81504283612066	4.75793458709845	5.11872257546823	5.18300507204881	4.64911792732176	4.99985583437009	5.53764908677863	4.90105891909404
ENSDARG00000052528	4.25823841532185	5.211034071233	4.67358712827712	3.6736805159187	3.2442035956638	4.5220468031351	3.41803055718069	3.91269071985313	3.84589084314454	4.13161243548529	4.41467655984158	3.56256429214336	3.41803055718069	3.75219465602309	3.71547043188371
ENSDARG00000052741	6.00419217487092	5.33111441150868	5.23845893786945	6.27647759028579	6.5784327813757	5.59721427372751	6.29195692640962	6.00682925371933	6.16818804821681	6.21054789721831	5.93278224676075	5.99091940747265	6.56306500110469	6.17133480738621	6.29559471504393
ENSDARG00000055752	7.18481355861051	7.60371055837322	7.3787919367296	7.66042762581216	8.77648945730827	8.12697718996061	8.22366899737478	8.39191200251146	8.28447328926515	8.18056704495521	8.47004865815952	8.7939089790161	8.36691067550382	9.06689820567037	8.8637778409243
ENSDARG00000055854	8.84157531956544	9.3163982645032	8.78084270887549	9.37767017184517	9.86323760295482	8.95289978443149	10.0190460901994	9.67049596102789	9.22766766833454	9.73653467619277	9.57845567310578	9.44319213356784	10.60424444918	9.51212353006005	9.74894655126441
ENSDARG00000056376	6.1246830654563	5.92681756299993	6.39623303597323	5.95615402732443	5.62860695225157	6.14838123382944	6.13525102753795	5.76611382878321	5.83581747364188	5.42922220076157	5.81213004369571	6.09897773989984	5.59721427372751	5.73958514036632	5.0549428305761
ENSDARG00000056719	10.2503073718354	9.86297057980393	10.3007088136606	11.0085108004799	10.8118048428363	10.6254153451409	10.8961663053663	10.6172465247256	10.5107557139862	10.4861297756022	10.2689112857513	10.8126802864707	10.5458784100073	10.2182448087557	10.498611507832
ENSDARG00000057751	4.90626669842178	5.15350569268267	5.14552387971491	4.57806419629923	4.33243897848013	5.39316184635944	3.70089441278536	4.57491048198068	5.06565134025643	4.23457952917917	4.45717063136294	5.2588915274449	3.55486581098203	4.25823841532185	4.34090383556398
ENSDARG00000058390	6.14838123382944	5.90987760218427	5.73760198414005	4.8980053397865	5.58751192588972	5.67924304105041	5.60509944307205	5.59179150986011	5.89224539741589	5.27079980973255	5.45730812819448	5.21709684241358	5.46794291270931	4.92654654554496	4.90105891909404
ENSDARG00000058571	6.1246830654563	5.92681756299993	5.86759246309233	5.57199963799036	5.39956474322713	5.76942119199783	5.55117176947108	5.27248734550155	5.60509944307205	5.37326166092288	5.54299679341402	5.64365179402315	5.04309416933854	5.43247370784461	5.59721427372751
ENSDARG00000059363	4.73611744851905	4.70553304615224	4.25823841532185	5.27417488127055	5.30291293589361	4.45717063136294	5.5096966135278	5.14552387971491	5.20545335747371	5.37326166092288	5.11740496332867	5.14552387971491	5.14867759403347	5.4023527549401	5.40710190320103
ENSDARG00000060374	6.23901980938731	6.54288072216097	6.39623303597323	6.02475047539056	5.9226697258324	5.78963499037436	5.8417939450754	5.81001611971389	5.81403465384216	5.72822354560789	6.5784327813757	6.09897773989984	5.81534324095876	5.37542309276904	6.09373535698271
ENSDARG00000061846	4.42304528531384	4.78456416791794	5.03114675864336	5.04309416933854	4.42751956503774	4.5220468031351	4.8980053397865	4.38318304206268	4.71091181241687	3.91789088731988	4.90105891909404	4.74682145519257	3.75932233628419	3.21437299719905	4.11834021886944
ENSDARG00000062182	5.45730812819448	5.78963499037436	5.75895142604964	6.39623303597323	6.44401390386493	5.90195382360848	6.06000187582387	5.86166836655596	6.39832483188193	6.12039908662145	6.16753375465852	6.09897773989984	6.2321134915183	6.36306104261756	6.21697466984321
