	B4	B5	B6	B1	B2	B3	A10	A11	A12	A7	A8	A9	A4	A5	A6	A1	A2	A3
567899	4.66108645369622	6.91902863656303	0.387315027440816	6.46620335800319	5.56108275007476	4.44261356343971	6.01606530891294	5.52994145019495	9.26763580877763	6.72731180856858	4.3337014653106	4.70021163495634	6.22237636217094	7.29373558575806	7.08498568328219	7.23002686825247	4.83102433552204	6.03010268509869
368885	8.684621968157	7.97636181162898	8.79245649057716	8.92295587644461	8.43209630935468	7.3631790959453	8.29290551427177	8.89917525986067	8.70767731418637	6.96337916680211	7.99958396141532	7.65662236640865	8.15881123339347	8.15691889612769	8.48937593836153	8.88057771060121	8.69192872585638	7.36570571688313
100005963	8.31402574823338	9.09327956340813	8.38166846429967	8.69069730198493	8.389970833682	9.5117755879471	8.85478440187988	7.85186954508231	9.18458006905007	9.04923990345594	9.40475121667011	7.82359405046162	7.87219000724206	9.45907331770472	9.14726996153654	8.1788015448973	8.2111670443547	8.67120826385738
325221	8.07849485743781	7.97636181162898	8.52174134766174	8.08989825321307	8.51282758146754	8.40344296615903	6.70794301355061	8.46854090553081	7.83568492656244	7.94970422990503	7.81317083718444	8.26789614424566	7.84012879800976	7.7791624129283	8.55211169370949	8.143612116435	8.01968589954594	8.67120826385738
558950	5.5424419571976	3.29453777165523	5.67271724630306	6.20904551850607	5.01359495477226	1.6352586413821	7.26982190115872	3.9449789494738	4.4296925668866	5.48338622568249	5.15682370322652	5.79974730850725	5.06483508518446	5.70877308503691	2.99752284203185	1.80376211355037	6.4714819488349	6.84723862794888
100148193	6.08558428222413	1.70957527093408	5.59676839306977	0.851493513887985	6.44243825357614	1.6352586413821	4.63755368565921	3.9449789494738	6.19522731324958	6.96337916680211	5.38814924933298	4.00833393031867	1.36439536704336	4.03892168672923	4.58248534275301	1.80376211355037	7.2513561344704	6.3926727644834
368635	4.93672089630964	1.70957527093408	1.97227752816197	0.851493513887985	3.63508333151853	4.80518364282442	3.900588091493	3.9449789494738	4.4296925668866	5.99034621440238	4.54015234277803	3.76732583081487	4.82382698568066	5.33437757025541	4.58248534275301	3.38872461427153	4.65045208988022	5.54467585792845
492339	7.65156367957771	7.20142836726375	7.80516754232671	8.20022166811906	7.54197392712705	8.34950415904823	7.44490860771682	7.11490395091611	9.05027897733848	8.3750100646377	7.1410563873682	7.9589459033565	8.02260684979516	8.72414831092382	7.75241034419532	7.86985130400815	7.43006202145492	6.99533726693801
799482	5.62261230588158	6.46446277309755	4.6352425408844	6.06094687951694	5.9570114264059	5.54214923699062	6.40308843202219	6.26690704436116	5.56719609063653	5.99034621440238	6.51590479653135	5.16587520730515	5.75671278982212	5.53368637847881	5.31945093691922	6.05168962699396	6.80965068472948	6.03010268509869
561006	8.97157965352129	8.84912662333287	8.82610688001908	9.03636885679627	9.04786485685701	8.75419971410561	8.82342023097055	8.33729637225256	8.61555911219793	9.40036563891459	8.52200499606777	9.47531235800931	8.98644718649974	8.93263689359002	9.5673784503628	9.2549732253827	9.42655607795339	9.38597811190939
