	dose_3.dose_0	dose_30.dose_0	dose_300.dose_0	dose_30000.dose_0	AveExpr	F	P.Value	adj.P.Val
560032	0.0443902736666688	0.0870145884999989	-0.281180078999999	-0.374359396499998	5.86306300855556	1.63169521507717	0.20875559541216	0.500870175817113
100151488	-0.204361094583333	-0.248796714750002	-0.189089734916665	-0.291369563416667	6.93050930377778	1.63151347979135	0.208799477759988	0.500870175817113
30771	0.00531743466666956	-0.0777358114999993	-0.255031313333331	-0.226503662499998	6.519892547	1.63054289472314	0.209033998129433	0.501326171071736
101883316	0.0884297665	0.0104397444999993	-0.440240138166666	-0.645573814166666	5.25399514677778	1.63024966056978	0.209104904703183	0.501389661001003
100000131	0.0664267453333345	0.0294434170000004	-0.141050100333333	-0.273907083833333	5.59037540666667	1.62946835638763	0.20929395111024	0.501683670660757
572042	0.402203694750001	0.33021987575	-0.252618824583332	-0.478516264583331	4.21336241272222	1.62920185525319	0.209358474438398	0.501683670660757
553550	-0.338313305583334	-0.307006117250002	-0.149167447583334	-0.35360520825	5.2468533795	1.62912326854642	0.209377505171574	0.501683670660757
559305	-0.0549311214999983	0.193570885999998	-0.220131455499998	-0.244546522499999	6.11910015238889	1.62898314340606	0.209411442584206	0.501683670660757
564737	0.255540743916667	-0.0840569427500011	0.33628285025	0.279030333583334	4.36042554933333	1.62882471250031	0.209449820319286	0.501683670660757
571762	-0.182728594333331	-0.385252178	-0.165209275999999	-0.410758611833331	7.57474757511111	1.6285723121322	0.209510975753667	0.501723652462729
550603	-0.31828043025	-0.0976034782500026	-0.159064877583334	-0.258681199083334	5.32265892466667	1.62763747049081	0.209737642807574	0.502159889972557
798583	-0.0101826616666658	-0.479281218000001	-0.322138999666665	-0.396440003333332	3.965848994	1.62692992552946	0.209909365088155	0.502464419952216
406446	-0.0245009070833309	0.140946047249999	-0.273228146083332	-0.286041125083331	9.13042340811111	1.62644771606854	0.210026480540258	0.502638134976939
449850	-0.0966069832499965	-0.313317071249998	-0.192484326249998	-0.290125574749998	5.9028358775	1.62599707430271	0.210135989518927	0.50279357627896
556199	-0.0434600200833319	0.176353639749999	-0.230057030749997	-0.218627791249999	8.69491145105556	1.62491160231123	0.210400006474312	0.503261698629386
561209	0.069006726166668	0.303930436499998	-0.0998941215000002	-0.228766135999999	8.12695096611111	1.62465286552869	0.210462988536629	0.503261698629386
407706	-0.226286911416665	-0.317082083750001	-0.227194633083332	-0.267282995083332	6.703402778	1.62464282143026	0.21046543387381	0.503261698629386
100330213	0.0680448485833347	0.13983631375	-0.390600726083332	-0.0685370290833323	4.88589845766667	1.62442987016327	0.210517285853263	0.503279036772929
101885282	-0.160433086666666	0.0454365124999994	-0.190244996333332	-0.295013578666666	4.54795594966667	1.62413253925895	0.210589705487584	0.503317880251369
436788	-0.0227039898333299	0.0781936624999986	-0.433167705166665	-0.495342475333331	7.79009914294445	1.6239969335172	0.210622742870167	0.503317880251369
101884611	-0.160250899833332	-0.3286467655	-0.173097862166665	-0.329701118666666	5.22484992333333	1.62373769700028	0.210685914956415	0.503318744753714
100151174	-0.198745536166666	-0.10020311	-0.211002294166665	-0.298581580833332	6.09653189794444	1.62362938831493	0.210712313914972	0.503318744753714
497279	-0.121824373916666	-0.0862339052500003	-0.246490855583332	-0.341897314916665	6.119069034	1.62295750826501	0.210876152350221	0.503514056730428
555361	0.0373910325000013	0.1089062935	-0.1330182855	0.173045853666668	5.7333766535	1.62292810898066	0.210883324362638	0.503514056730428
100141342	-0.109456105833332	-0.172864873	-0.673277024833332	-0.335116647166665	4.00164769855556	1.62240700212705	0.211010490813391	0.50367017061784
100329612	0.148648671416669	0.181275956249999	-0.124637585916664	-0.413174279916664	6.45585226577778	1.62218539508661	0.211064593669544	0.50367017061784
