	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
553652	2.153949484	1.402165183	1.532867186	1.706442127	1.439049692	0.994700123	1.859974311	1.83792909	1.542277745	0.947922334	1.825770813	1.434454528	1.525762295	1.924227644	1.715643386	1.209942609	2.173600927	1.964545488
553653	2.254356511	1.957227999	2.157646949	2.371197994	1.796249667	1.933710946	1.78373615	1.667574028	1.391131893	1.312568268	1.999987181	1.789879579	1.298349515	1.891003786	2.081988746	1.631842179	2.055079249	1.749619729
553654	2.883125846	2.965389636	3.28780921	2.984861542	2.85052185	2.950616598	3.177681344	2.975685891	3.132714332	2.857056774	3.060042654	3.02630163	2.624971105	2.796823662	2.89498813	2.966040346	3.018275374	3.152076475
553655	7.267249519	7.155584632	6.87896559	6.651547694	6.890799352	7.072155859	6.891498536	6.940206676	6.660376163	6.988947152	6.869688565	6.775103522	6.857252161	7.166752365	6.695049426	7.323890588	7.11971438	7.146644632
553656	4.672479559	4.990366045	4.873981899	5.029035897	4.957400178	5.054569976	5.040803254	5.210266628	5.030638301	4.575393891	5.001577871	5.064434054	4.553987083	4.756919527	4.975086783	4.486278666	5.037705191	4.944302802
553657	3.743288855	3.588198723	3.582591799	3.528682773	3.554395681	3.769659655	3.555542475	3.34579592	3.487635198	3.376969234	3.344825103	3.324085701	3.283624677	3.437930191	3.329041921	3.480766319	3.473818748	3.634756504
553658	3.902619034	3.725281056	3.604640536	3.623462502	3.383039889	3.613093933	3.028746499	3.11480587	3.022734793	3.464156528	3.539776572	3.134717975	3.299094153	3.403003557	2.902640846	3.090340483	2.561300845	2.869930712
553659	3.211322297	3.273608588	3.448823558	3.303872429	3.231733166	3.391437282	3.404629064	3.483409403	3.458360765	2.97201728	3.37920181	3.380226157	2.991563947	3.36115752	3.294556442	3.040448138	3.461162406	3.382228409
553660	6.126133967	5.946617923	6.060287105	6.0541023	6.046017967	6.069364789	6.220801993	6.172885586	6.223518106	6.2994035	6.063828274	6.264118099	6.102259458	6.157985402	6.197457338	6.372205851	6.319757457	6.317954311
553661	5.409450479	5.47770312	5.273772281	5.312970879	5.487019562	5.567732128	5.327623017	5.362302939	5.298286368	5.666543501	5.197316031	5.482461744	5.575018382	5.314068208	5.276906448	5.556507466	5.043376884	5.22638258
553664	7.708059833	7.671295031	7.686708114	7.696309113	7.633091076	7.640022688	7.62864309	7.689735151	7.657737628	7.537087584	7.7126326	7.543650197	7.459916777	7.605468685	7.671160249	7.469700872	7.549734058	7.620550954
553665	5.533279724	5.600785554	5.489086784	5.490060733	5.515691151	5.389034391	5.502812951	5.261082492	5.515868641	5.615764055	5.4093922	5.495228905	5.753123487	5.434255806	5.368172603	5.579149623	5.116494724	5.489170307
553666	0.681326266	0.649076057	1.108088007	0.803409768	0.617475003	0.831993171	1.186111154	0.742108743	0.984826289	0.912928896	1.124302337	0.739466708	1.003289882	0.954305441	0.864460627	1.10289505	0.763242732	0.656166997
553668	5.842411958	5.656237344	5.823485344	5.587327259	5.550214538	5.579321332	5.746970297	5.618907839	5.712000322	5.728232364	5.552901005	5.708693998	5.539640277	5.681382528	5.452704454	5.713707708	5.406741782	5.627774626
553670	2.699407642	2.733976674	2.994107528	3.037446109	2.454540521	3.211161971	2.815561734	3.129466986	3.132714332	1.729419693	2.743077494	2.713164221	2.385130524	2.675242575	2.79162241	1.402802737	3.15028509	2.811352777
553674	4.549419977	4.527600869	4.374630112	4.721445523	4.648400698	4.454659368	4.623520078	4.627722077	4.555395388	4.390611824	4.558573864	4.52418651	4.383063709	4.452661872	4.54974222	4.246447857	4.301186449	4.447085945
553676	1.929376375	1.706227929	1.983490339	1.546314918	1.013591787	1.19547286	1.327079122	0.537460918	1.008102064	1.535997497	1.077216254	0.595120184	1.05279963	0.460500917	0.588965347	0.956847038	-0.460181573	0.932302932
553677	1.359477581	0.723201802	0.837212617	0.803409768	1.262914891	1.37168787	1.272333503	0.852271115	1.299773101	1.257841216	1.053084095	1.5948924	1.146996166	1.463876721	1.428147626	1.592812861	0.894554536	1.496974152
553679	7.548196951	7.781384704	7.827240611	8.02892025	7.799059746	8.019748273	7.895830894	8.082434728	7.927521698	7.263944125	8.042181686	7.844092955	7.51062902	7.724883159	7.78964952	6.930284665	8.110377393	7.625113153
553681	2.37077152	2.144228956	2.501088615	2.514114075	2.370098518	2.085904816	2.098948199	2.267146803	2.323309061	2.233518664	2.336273801	2.57567119	2.06147383	2.079755919	2.351700535	2.184791777	2.488328504	2.695821601
553682	5.509349584	5.999778161	6.005407138	6.176383157	5.632066003	6.167324015	5.782909051	6.17022919	5.882271375	4.773717102	5.980712571	5.481178792	4.980644906	5.515528203	5.46696915	4.058704404	5.880659636	5.237548707
553683	2.336822625	2.357080024	2.157646949	2.514114075	1.767194092	1.949673455	2.145385045	1.907631895	1.542277745	2.219266838	2.085752632	1.721985105	2.073517942	2.165612725	1.800014752	1.795478505	1.67141028	1.713516256
553684	6.355372923	5.849631083	6.31134977	6.048775286	6.022389307	5.907167405	6.479053001	6.217311678	6.118489169	6.109626129	6.057018758	6.170909827	6.052165648	6.208585868	6.137105362	6.331294932	6.404280029	6.599662666
553685	2.768951036	2.820946818	2.960306048	3.079848322	2.666074543	2.958526948	2.934927721	2.728479296	2.878635986	2.584286811	2.772934967	2.854626845	2.432659133	2.858279975	2.940307116	2.512134125	3.024023815	2.987976747
553686	6.891475835	7.217404565	7.066886734	7.25729707	6.930654088	7.329034214	6.937857102	7.137145721	7.057224493	6.518922503	6.983793919	6.964669133	6.566369416	6.836760621	6.797116027	6.152444089	6.884823023	6.661374201
