"gene","genecount"
"ENSDARG00000017744",24
"ENSDARG00000070320",0
"ENSDARG00000061952",49
"ENSDARG00000061936",35
"ENSDARG00000006434",0
"ENSDARG00000037484",0
"ENSDARG00000094729",0
"ENSDARG00000095388",0
"ENSDARG00000085360",0
"ENSDARG00000037487",7
"ENSDARG00000008068",5
"ENSDARG00000077648",10
"ENSDARG00000096580",0
"ENSDARG00000079250",4
"ENSDARG00000019986",10
"ENSDARG00000080019",39
"ENSDARG00000099995",147
"ENSDARG00000070278",15
"ENSDARG00000061830",7
"ENSDARG00000041776",66
"ENSDARG00000095632",0
"ENSDARG00000037455",47
"ENSDARG00000093816",0
"ENSDARG00000070266",114
"ENSDARG00000037429",15
"ENSDARG00000055874",350
"ENSDARG00000055876",25
"ENSDARG00000092321",0
"ENSDARG00000061786",14
"ENSDARG00000094202",0
"ENSDARG00000109806",0
"ENSDARG00000112850",0
"ENSDARG00000110242",0
"ENSDARG00000115895",0
"ENSDARG00000061459",75
"ENSDARG00000037411",0
"ENSDARG00000084908",0
"ENSDARG00000037410",0
"ENSDARG00000037409",0
"ENSDARG00000070173",122
"ENSDARG00000052782",0
"ENSDARG00000037406",48
"ENSDARG00000034773",60
"ENSDARG00000033273",6
"ENSDARG00000055439",0
"ENSDARG00000055443",18
"ENSDARG00000112783",0
"ENSDARG00000095593",0
"ENSDARG00000037383",0
"ENSDARG00000030759",16
"ENSDARG00000079074",8
"ENSDARG00000061504",85
"ENSDARG00000000606",41
"ENSDARG00000107258",0
"ENSDARG00000087224",8
"ENSDARG00000052764",4
"ENSDARG00000092275",0
"ENSDARG00000055559",21
"ENSDARG00000114954",0
"ENSDARG00000115778",17
"ENSDARG00000026871",11
"ENSDARG00000016470",17
"ENSDARG00000103166",0
"ENSDARG00000091660",0
"ENSDARG00000038056",7
"ENSDARG00000002406",0
"ENSDARG00000034007",224
"ENSDARG00000061143",53
"ENSDARG00000034896",132
"ENSDARG00000116099",0
"ENSDARG00000037378",0
"ENSDARG00000012672",45
"ENSDARG00000093064",3
"ENSDARG00000061121",343
"ENSDARG00000094677",100
"ENSDARG00000054799",49
"ENSDARG00000116939",0
"ENSDARG00000037350",105
"ENSDARG00000022845",2
"ENSDARG00000019838",15
"ENSDARG00000005799",0
"ENSDARG00000013505",17
"ENSDARG00000055022",88
"ENSDARG00000061451",44
"ENSDARG00000070121",0
"ENSDARG00000054680",0
"ENSDARG00000092290",22
"ENSDARG00000055099",115
"ENSDARG00000070109",21
"ENSDARG00000070098",124
"ENSDARG00000094046",0
"ENSDARG00000114096",0
"ENSDARG00000004246",133
"ENSDARG00000083023",0
"ENSDARG00000031108",205
"ENSDARG00000015266",88
"ENSDARG00000100600",0
"ENSDARG00000092542",0
"ENSDARG00000035692",501
"ENSDARG00000094885",0
"ENSDARG00000090822",0
"ENSDARG00000088202",22
"ENSDARG00000086859",0
"ENSDARG00000090118",0
"ENSDARG00000061021",11
"ENSDARG00000037309",10
"ENSDARG00000054334",3
"ENSDARG00000116715",0
"ENSDARG00000060994",74
"ENSDARG00000106456",0
"ENSDARG00000074776",5
"ENSDARG00000074451",4
"ENSDARG00000079434",81
"ENSDARG00000031817",9
"ENSDARG00000074812",15
"ENSDARG00000070055",8
"ENSDARG00000070050",0
"ENSDARG00000095408",0
"ENSDARG00000037286",4
"ENSDARG00000037283",14
"ENSDARG00000037281",5
"ENSDARG00000037278",10
"ENSDARG00000070039",0
"ENSDARG00000091184",0
"ENSDARG00000094763",0
"ENSDARG00000037276",17
"ENSDARG00000013787",18
"ENSDARG00000086790",3
"ENSDARG00000006427",33
"ENSDARG00000104824",0
"ENSDARG00000076499",15
"ENSDARG00000037266",6
"ENSDARG00000077157",5
"ENSDARG00000037256",4
"ENSDARG00000116236",0
"ENSDARG00000069998",3
"ENSDARG00000053995",0
"ENSDARG00000021702",53
"ENSDARG00000054031",29
"ENSDARG00000037259",1
"ENSDARG00000037260",4
"ENSDARG00000037261",0
"ENSDARG00000037262",0
"ENSDARG00000104309",0
"ENSDARG00000077817",23
"ENSDARG00000107180",0
"ENSDARG00000076928",140
"ENSDARG00000009685",7
"ENSDARG00000079377",0
"ENSDARG00000091678",31
"ENSDARG00000014790",96
"ENSDARG00000019581",109
"ENSDARG00000096665",0
"ENSDARG00000079925",0
"ENSDARG00000053731",0
"ENSDARG00000094127",0
"ENSDARG00000005210",8
"ENSDARG00000023330",26
"ENSDARG00000096667",5
"ENSDARG00000037245",0
"ENSDARG00000096554",52
"ENSDARG00000079266",0
"ENSDARG00000023600",71
"ENSDARG00000033345",4
"ENSDARG00000069989",201
"ENSDARG00000095189",0
"ENSDARG00000104096",0
"ENSDARG00000102639",0
"ENSDARG00000006621",65
"ENSDARG00000069996",32
"ENSDARG00000100083",4
"ENSDARG00000031632",6
"ENSDARG00000101474",26
"ENSDARG00000104710",13
"ENSDARG00000095954",0
"ENSDARG00000095895",0
"ENSDARG00000089138",39
"ENSDARG00000112052",0
"ENSDARG00000089334",11
"ENSDARG00000053456",42
"ENSDARG00000053466",7
"ENSDARG00000053463",18
"ENSDARG00000037109",44
"ENSDARG00000096538",0
"ENSDARG00000005739",16
"ENSDARG00000053496",1
"ENSDARG00000053500",2
"ENSDARG00000053502",16
"ENSDARG00000035080",0
"ENSDARG00000037100",7
"ENSDARG00000096627",0
"ENSDARG00000096648",0
"ENSDARG00000075193",0
"ENSDARG00000069804",0
"ENSDARG00000078546",0
"ENSDARG00000037099",250
"ENSDARG00000060620",0
"ENSDARG00000075858",1
"ENSDARG00000096592",0
"ENSDARG00000096643",0
"ENSDARG00000093663",0
"ENSDARG00000096555",0
"ENSDARG00000096544",0
"ENSDARG00000069799",0
"ENSDARG00000074117",1
"ENSDARG00000092653",0
"ENSDARG00000061732",107
"ENSDARG00000095590",0
"ENSDARG00000031202",13
"ENSDARG00000037144",2
"ENSDARG00000037177",188
"ENSDARG00000003866",45
"ENSDARG00000037178",10
"ENSDARG00000028982",39
"ENSDARG00000055839",0
"ENSDARG00000060477",72
"ENSDARG00000082429",0
"ENSDARG00000113839",0
"ENSDARG00000110947",0
"ENSDARG00000096572",0
"ENSDARG00000091513",34
"ENSDARG00000026771",7
"ENSDARG00000096632",14
"ENSDARG00000099758",74
"ENSDARG00000093065",3
"ENSDARG00000074302",0
"ENSDARG00000003142",9
"ENSDARG00000096668",7
"ENSDARG00000042688",0
"ENSDARG00000060559",18
"ENSDARG00000114316",0
"ENSDARG00000114817",0
"ENSDARG00000096527",42
"ENSDARG00000092278",0
"ENSDARG00000019715",1
"ENSDARG00000017174",0
"ENSDARG00000069946",54
"ENSDARG00000074575",91
"ENSDARG00000069951",76
"ENSDARG00000069953",5
"ENSDARG00000093358",0
"ENSDARG00000094957",0
"ENSDARG00000078902",103
"ENSDARG00000039616",0
"ENSDARG00000095941",0
"ENSDARG00000018611",0
"ENSDARG00000053269",5
"ENSDARG00000039615",0
"ENSDARG00000060501",0
"ENSDARG00000039613",4
"ENSDARG00000029751",13
"ENSDARG00000027572",0
"ENSDARG00000078733",8
"ENSDARG00000058231",60
"ENSDARG00000053248",27
"ENSDARG00000012896",57
"ENSDARG00000100996",0
"ENSDARG00000096540",0
"ENSDARG00000053241",6
"ENSDARG00000069834",0
"ENSDARG00000096548",0
"ENSDARG00000027826",6
"ENSDARG00000107292",0
"ENSDARG00000079455",113
"ENSDARG00000089053",0
"ENSDARG00000078810",10
"ENSDARG00000115601",0
"ENSDARG00000094318",0
"ENSDARG00000060716",25
"ENSDARG00000074815",31
"ENSDARG00000033380",0
"ENSDARG00000051975",5
"ENSDARG00000079280",12
"ENSDARG00000053586",52
"ENSDARG00000002190",27
"ENSDARG00000053580",0
"ENSDARG00000003701",0
"ENSDARG00000079350",51
"ENSDARG00000012763",23
"ENSDARG00000013023",0
"ENSDARG00000106311",0
"ENSDARG00000115905",0
"ENSDARG00000022971",40
"ENSDARG00000081597",0
"ENSDARG00000032056",43
"ENSDARG00000074860",13
"ENSDARG00000053542",15
"ENSDARG00000094556",0
"ENSDARG00000053535",20
"ENSDARG00000111052",0
"ENSDARG00000015312",3
"ENSDARG00000015506",16
"ENSDARG00000013006",18
"ENSDARG00000108956",0
"ENSDARG00000058287",2
"ENSDARG00000069910",0
"ENSDARG00000109513",0
"ENSDARG00000092693",461
"ENSDARG00000084532",0
"ENSDARG00000085301",0
"ENSDARG00000081849",0
"ENSDARG00000082811",0
"ENSDARG00000095892",0
"ENSDARG00000095934",0
"ENSDARG00000079191",0
"ENSDARG00000105033",0
"ENSDARG00000102858",0
"ENSDARG00000093282",0
"ENSDARG00000101520",0
"ENSDARG00000075798",20
"ENSDARG00000037018",40
"ENSDARG00000074677",10
"ENSDARG00000094485",0
"ENSDARG00000060397",71
"ENSDARG00000094648",0
"ENSDARG00000027199",31
"ENSDARG00000115856",5
"ENSDARG00000060383",5
"ENSDARG00000037002",0
"ENSDARG00000076171",208
"ENSDARG00000112614",0
"ENSDARG00000113986",0
"ENSDARG00000036995",0
"ENSDARG00000069737",24
"ENSDARG00000095555",0
"ENSDARG00000011876",11
"ENSDARG00000078789",43
"ENSDARG00000036755",0
"ENSDARG00000078326",40
"ENSDARG00000102082",90
"ENSDARG00000081340",0
"ENSDARG00000034093",78
"ENSDARG00000102787",117
"ENSDARG00000082897",0
"ENSDARG00000074501",0
"ENSDARG00000090416",0
"ENSDARG00000074989",38
"ENSDARG00000076343",0
"ENSDARG00000077519",0
"ENSDARG00000040048",28
"ENSDARG00000082660",0
"ENSDARG00000057303",69
"ENSDARG00000113575",0
"ENSDARG00000029722",34
"ENSDARG00000008305",0
"ENSDARG00000117649",0
"ENSDARG00000007477",7
"ENSDARG00000053106",0
"ENSDARG00000012016",9
"ENSDARG00000011066",30
"ENSDARG00000004621",275
"ENSDARG00000095811",0
"ENSDARG00000075098",38
"ENSDARG00000053222",32
"ENSDARG00000089976",0
"ENSDARG00000069640",14
"ENSDARG00000104657",3
"ENSDARG00000117532",0
"ENSDARG00000085733",0
"ENSDARG00000005479",365
"ENSDARG00000110757",0
"ENSDARG00000085080",0
"ENSDARG00000093919",0
"ENSDARG00000036990",0
"ENSDARG00000085746",0
"ENSDARG00000007387",33
"ENSDARG00000024828",11
"ENSDARG00000070162",185
"ENSDARG00000104907",3
"ENSDARG00000080987",12
"ENSDARG00000079183",0
"ENSDARG00000104437",29
"ENSDARG00000103145",3
"ENSDARG00000069701",0
"ENSDARG00000020857",38
"ENSDARG00000093120",126
"ENSDARG00000074662",4
"ENSDARG00000076585",24
"ENSDARG00000079631",49
"ENSDARG00000018587",0
"ENSDARG00000078182",0
"ENSDARG00000095065",0
"ENSDARG00000109438",0
"ENSDARG00000074610",0
"ENSDARG00000069707",0
"ENSDARG00000078251",28
"ENSDARG00000008457",15
"ENSDARG00000031435",142
"ENSDARG00000077874",0
"ENSDARG00000069710",0
"ENSDARG00000079552",107
"ENSDARG00000087333",45
"ENSDARG00000009315",68
"ENSDARG00000030368",106
"ENSDARG00000117231",36
"ENSDARG00000117450",17
"ENSDARG00000117485",46
"ENSDARG00000117707",12
"ENSDARG00000052899",0
"ENSDARG00000052900",0
"ENSDARG00000052895",0
"ENSDARG00000074600",1
"ENSDARG00000075521",4
"ENSDARG00000095566",0
"ENSDARG00000007941",7
"ENSDARG00000095651",0
"ENSDARG00000069669",14
"ENSDARG00000108025",0
"ENSDARG00000033604",10
"ENSDARG00000060236",0
"ENSDARG00000036774",39
"ENSDARG00000109727",0
"ENSDARG00000052866",255
"ENSDARG00000108028",0
"ENSDARG00000091911",0
"ENSDARG00000093237",0
"ENSDARG00000008706",16
"ENSDARG00000078108",0
"ENSDARG00000075639",3
"ENSDARG00000078016",45
"ENSDARG00000092551",0
"ENSDARG00000075194",8
"ENSDARG00000098598",0
"ENSDARG00000060252",24
"ENSDARG00000078908",48
"ENSDARG00000036965",4
"ENSDARG00000036967",38
"ENSDARG00000060264",0
"ENSDARG00000024101",24
"ENSDARG00000107253",0
"ENSDARG00000024785",57
"ENSDARG00000084202",0
"ENSDARG00000087061",0
"ENSDARG00000052713",81
"ENSDARG00000107073",0
"ENSDARG00000113563",0
"ENSDARG00000081405",0
"ENSDARG00000052712",112
"ENSDARG00000052703",0
"ENSDARG00000052700",17
"ENSDARG00000052696",1
"ENSDARG00000075112",20
"ENSDARG00000029898",42
"ENSDARG00000092730",3
"ENSDARG00000078622",0
"ENSDARG00000074132",0
"ENSDARG00000075598",0
"ENSDARG00000117264",0
"ENSDARG00000094910",0
"ENSDARG00000117756",0
"ENSDARG00000074476",0
"ENSDARG00000087178",0
"ENSDARG00000095949",3
"ENSDARG00000076277",0
"ENSDARG00000075916",24
"ENSDARG00000078558",0
"ENSDARG00000052019",80
"ENSDARG00000101106",57
"ENSDARG00000103871",57
"ENSDARG00000089345",0
