	F10	F11	F12	F7	F8	F9	F4	F5	F6	F1	F2	F3	E10	E11	E12	E7	E8	E9
561006	9.11762837160839	8.77553153153859	7.2786605014183	5.24934006203909	8.5691178747354	8.09729253175319	10.1338365552513	8.05206467165412	7.06156977887325	7.27656186280425	8.03990910508498	8.16398484582473	5.87089908774829	8.912740218159	6.52794736855186	8.6736006888116	7.19010430564192	8.36092043021191
368923	4.94043536970204	6.1487488551228	4.38249631240284	3.66437756131793	6.78889908261531	5.50274398220284	3.8670500145564	6.44836560835138	6.16848498278976	7.48301274027167	6.21593946917648	6.43390563724376	7.45586158846944	5.79861700838504	3.06851574991457	5.78607541807001	6.67789814735608	7.31291505730108
100005300	1.48100375106474	4.86864093593007	1.21257131096053	7.36481727945903	2.26533712655829	2.44385029314927	7.32648163319369	0.775940266379879	3.36113006073216	4.10663686136193	1.00648610354753	5.74202793260609	5.87089908774829	0.441065003766951	3.06851574991457	1.14221922829529	0.747160809793195	6.14027567116173
368916	6.69045711669369	5.76172573201355	5.30003415221087	7.12380917995523	7.12331812168587	6.92497698288588	6.18897810944376	5.90522328332485	7.26802065634067	7.30101490652879	6.4983391998772	5.88289046844594	5.87089908774829	5.86732975846905	7.15597859116491	6.87013968285849	6.81325000025097	6.09052263596463
30117	6.76640596992699	5.76172573201355	4.67200292959783	3.66437756131793	6.35279996780863	2.44385029314927	6.18897810944376	5.73013657676676	3.36113006073216	6.07862248519234	6.67891144551902	6.12905105571534	5.87089908774829	5.08492119354168	3.06851574991457	6.09641553868217	4.65405140540171	5.01252012396336
431720	6.00456570712175	8.40113601675709	5.967458813124	3.66437756131793	6.78889908261531	6.64024750595277	6.674404936614	7.99510878684204	4.94609256145331	7.06440862597264	7.02885391657598	8.3083747551599	9.33033070638558	6.91679843473335	5.87587067197217	7.58516272414402	6.97597950028908	7.12799734138329
751594	7.45828367456466	7.48755076857456	5.967458813124	3.66437756131793	3.85029962727945	3.66624271448572	5.45201251527755	4.86340310763022	5.68305815561952	6.07862248519234	6.36403810816561	5.5010198331023	5.87089908774829	4.52852784501729	3.06851574991457	4.60165084693259	5.39101699956792	5.61518462641797
777634	4.28835867312234	2.06128601387246	6.63883606566263	7.36481727945903	2.26533712655829	5.90328191178656	3.8670500145564	6.55729997990454	3.36113006073216	6.84914063906957	6.83937611771227	5.31460670887142	5.87089908774829	5.19595250593042	3.06851574991457	6.56848398299739	0.747160809793195	3.71706424043719
65237	1.48100375106474	6.30921352731605	6.82728115507574	3.66437756131793	3.85029962727945	6.41347664410575	3.8670500145564	7.57035613272999	6.53105506217447	4.92975909927785	5.39880352632629	6.86601664988155	5.87089908774829	5.29904599889452	5.87587067197217	7.29196634779997	5.50204831195666	6.48645131229577
368473	11.9145891922152	11.4077997470381	10.9757836777749	10.4325618860949	10.8389843140516	10.3080364378035	11.7918625181622	11.8667143210206	9.51087718023684	11.4810076043813	10.4720525083569	11.592976055198	11.7535421371101	10.4169129717737	11.6869012521732	10.466399774914	10.3526403278549	11.7549855152769
