	F10	F11	F12	F7	F8	F9	F4	F5	F6	F1	F2	F3	E10	E11	E12	E7	E8	E9
100000479	0	9	21	0	9	11	0	20	1	2	15	25	0	46	6	16	25	33
100000492	47	61	96	16	27	74	34	86	31	93	79	112	3	87	16	66	123	126
100000500	8	7	26	2	11	24	8	53	0	31	40	50	0	30	7	59	26	20
100000502	6	0	3	0	2	2	0	4	4	15	3	18	0	37	0	6	28	9
100000517	212	253	321	92	120	376	46	357	89	547	400	539	9	563	119	511	308	651
100000526	110	66	95	10	37	173	37	212	22	188	151	348	0	242	16	141	189	262
100000527	8	1	6	0	18	2	0	18	0	7	13	6	0	1	0	12	25	7
100000537	30	33	60	4	3	16	0	37	4	58	75	44	2	81	2	39	67	63
100000539	5	1	0	0	1	5	9	0	7	15	5	12	5	4	0	0	4	18
100000559	7	1	2	3	1	7	0	9	0	8	2	21	0	8	0	8	10	12
100000570	26	11	1	0	2	1	3	8	4	46	14	50	0	16	5	7	30	27
100000574	13	0	8	1	3	11	0	21	0	2	0	5	0	6	0	0	2	12
100000576	12	16	26	2	1	41	0	44	14	59	48	13	0	24	5	29	38	65
100000577	41	5	8	6	25	64	0	54	25	29	25	19	0	22	8	11	11	38
100000597	66	27	196	100	35	110	49	99	12	202	85	211	0	159	10	48	152	164
100000615	81	35	121	14	47	123	6	122	33	150	86	114	2	93	37	136	134	213
100000629	21	0	17	4	25	6	1	25	3	29	4	36	0	32	9	18	34	40
100000646	4	1	5	0	0	2	0	0	0	4	4	2	0	0	0	2	0	3
100000647	4	5	11	0	3	21	0	8	0	25	9	0	0	27	9	6	14	15
100000651	3	5	11	0	0	3	0	6	0	4	6	10	0	15	0	5	8	20
100000654	29	10	20	2	31	11	7	65	3	57	13	52	0	74	15	33	22	58
100000656	3	3	0	0	0	17	0	10	3	2	6	19	0	5	0	10	5	25
100000660	16	11	33	3	4	34	4	3	11	9	3	52	5	52	4	15	39	8
100000665	36	31	113	20	6	82	8	109	5	80	33	101	0	125	22	76	53	186
100000683	3	5	7	4	10	5	0	29	1	41	14	63	0	4	2	13	20	14
100000685	0	3	3	0	5	0	2	0	0	0	4	11	0	8	0	0	2	0
100000687	49	10	41	3	20	55	5	51	14	73	51	71	0	103	21	44	56	89
100000688	27	1	29	4	27	19	4	42	2	16	16	43	0	32	7	3	19	35
100000702	5	18	17	2	4	14	0	6	0	23	3	6	0	17	2	20	12	28
100000709	8	3	55	19	47	32	0	76	5	64	18	74	0	99	7	78	42	80
100000710	16	6	8	0	5	13	0	12	0	26	35	23	0	11	7	9	2	20
100000711	17	15	41	0	5	32	5	14	6	27	15	3	0	36	15	21	28	23
100000713	1	8	5	0	21	34	0	2	3	5	27	30	0	12	0	25	18	15
100000715	11	15	16	6	10	6	8	10	0	59	8	54	10	51	22	11	41	32
100000720	24	38	46	1	19	59	6	44	31	101	51	51	0	101	20	47	46	107
100000724	15	0	0	0	3	10	0	6	0	15	7	0	0	0	1	0	4	10
100000764	0	1	5	0	0	9	0	2	0	7	2	7	0	0	0	0	2	19
100000768	8	13	5	2	4	29	0	1	0	38	8	8	0	38	9	10	14	11
100000769	9	7	27	3	21	22	0	6	0	16	15	5	4	56	7	16	24	48
100000775	936	544	1039	220	446	1143	125	1191	255	1887	989	1382	34	2140	380	1021	1104	2209
100000787	28	18	53	31	34	74	3	74	10	86	68	60	0	53	7	100	61	37
100000797	22	15	65	13	6	9	1	49	0	59	26	46	3	29	5	18	28	60
100000800	7	1	18	2	0	45	5	1	13	36	9	24	0	31	10	14	17	38
100000808	76	38	56	17	87	114	0	55	12	134	96	28	1	119	15	98	126	212
100000823	81	90	189	19	47	172	10	151	31	182	187	146	0	252	39	99	98	229
100000836	12	5	15	0	22	8	0	8	8	45	6	22	0	19	0	9	23	21
100000842	10	0	9	0	2	5	0	25	4	5	27	26	0	10	0	6	10	4
100000844	28	15	28	0	29	53	16	71	22	88	24	42	18	105	12	89	72	114
100000849	0	0	0	1	8	0	22	9	0	0	1	27	0	0	0	13	0	13
100000855	1	0	6	0	6	1	8	2	0	27	3	3	0	44	0	3	17	20
100000857	2	1	2	0	0	6	0	13	0	23	1	0	0	5	0	6	2	15
100000859	21	20	8	0	17	50	0	10	0	48	13	62	0	48	5	13	24	48
100000862	7	21	20	0	0	7	0	18	0	3	1	8	0	6	4	0	12	9
100000883	0	0	6	0	0	5	2	4	1	3	0	18	0	2	0	5	25	11
100000884	3	10	6	2	2	1	0	12	0	11	5	13	0	12	0	13	9	6
100000886	0	3	15	1	2	12	0	3	9	14	3	13	0	11	0	5	3	0
100000896	56	1	21	1	3	15	0	20	3	31	17	45	0	32	6	14	14	45
100000923	3	0	10	0	0	4	0	0	0	20	5	1	0	0	0	3	3	0
100000931	13	60	74	21	6	46	0	38	14	68	64	36	19	109	25	46	46	140
100000934	8	1	2	0	1	15	0	13	4	24	1	17	0	9	0	1	2	6
100000935	5	0	4	0	0	5	0	11	0	21	5	23	0	14	0	1	6	10
100000938	0	0	3	0	0	0	0	4	0	15	16	9	0	11	5	0	14	5
100000948	1	0	10	7	0	2	0	2	0	7	1	9	0	2	0	0	5	2
100000949	127	77	163	3	39	168	9	102	2	164	99	74	1	95	27	164	104	268
100000956	32	23	55	3	13	27	3	42	6	126	54	62	0	42	14	63	67	147
100000962	4	0	4	2	5	6	5	6	6	14	30	23	0	51	0	13	26	40
100000981	15	4	10	0	4	26	0	0	0	25	22	7	6	0	0	24	21	0
100000984	6	6	0	0	0	0	0	0	0	0	4	0	0	0	0	3	3	1
100000992	10	1	6	1	3	13	0	23	1	50	5	20	1	21	0	6	32	24
100001004	7	0	13	2	16	22	2	41	1	23	4	13	0	31	0	5	14	22
100001008	0	0	0	0	0	3	14	0	2	6	0	9	0	1	0	0	5	0
100001019	4	24	5	0	0	12	2	4	0	16	14	19	0	6	0	6	0	40
100001029	0	1	0	2	8	27	0	4	0	7	0	4	0	19	0	4	0	7
100001035	12	13	1	0	0	0	0	11	1	3	8	2	0	8	2	12	0	0
100001092	6	15	15	0	7	9	3	23	11	18	26	19	0	25	5	26	27	11
100001113	0	6	5	0	0	20	0	0	0	18	5	1	0	12	0	2	8	5
100001114	174	125	234	51	107	296	66	336	47	419	237	373	4	445	48	205	311	396
100001116	12	2	14	0	9	31	0	34	5	48	7	27	1	24	3	23	11	48
100001119	110	40	90	15	36	84	25	79	62	174	133	121	5	107	10	89	111	105
100001127	3	14	2	0	3	1	0	7	0	2	0	33	0	1	0	11	34	23
100001129	164	87	281	70	79	240	20	287	60	343	261	208	9	313	91	261	205	389
100001132	3	0	9	0	0	11	0	0	0	12	2	22	0	0	0	0	0	0
100001136	7	0	22	0	4	46	1	31	14	7	22	29	5	39	4	15	41	44
100001167	0	0	3	3	0	0	0	0	0	0	6	11	0	0	0	5	4	0
100001168	129	69	147	35	128	186	16	213	43	253	114	176	4	289	54	178	190	340
100001169	0	0	4	4	2	10	0	7	0	14	18	18	0	2	0	4	5	1
100001171	10	4	7	0	12	15	0	11	0	29	5	24	0	2	0	3	38	26
100001188	7	0	28	1	0	7	3	16	0	27	0	4	0	19	0	7	7	7
100001198	32	30	84	13	19	51	6	64	5	151	40	135	0	125	41	71	44	86
100001219	37	17	50	13	27	78	10	92	3	71	29	55	0	67	21	24	55	59
100001221	39	34	52	21	2	58	9	55	4	53	46	30	6	77	6	14	76	60
100001239	3	0	10	0	7	0	0	0	0	13	3	3	0	14	4	0	0	21
100001241	34	19	43	2	13	44	3	55	4	82	36	58	1	128	6	40	96	71
100001249	38	3	31	0	21	27	6	31	0	73	40	44	4	64	1	30	17	45
100001260	37	34	67	11	17	56	11	101	15	64	82	86	2	138	30	67	64	101
100001267	166	92	183	17	63	672	10	170	14	595	172	962	0	570	253	181	205	314
100001285	20	45	56	7	12	84	19	42	12	45	39	89	0	63	30	53	56	98
100001293	22	34	12	4	4	41	7	24	0	46	20	13	0	36	4	4	30	54
100001297	60	36	48	10	28	96	11	48	30	120	40	96	0	85	7	81	112	147
100001302	5	1	2	1	0	2	4	9	0	0	4	18	0	6	0	1	2	10
100001316	0	27	8	0	5	11	0	11	8	7	11	21	0	31	7	6	2	19
100001321	6	6	9	0	8	53	4	61	4	61	1	18	0	32	7	19	7	61
100001340	2	0	0	0	0	7	6	1	0	25	10	0	0	17	2	0	11	5
100001344	7	8	13	0	0	23	0	6	0	9	3	0	0	6	4	7	8	14
100001360	1	0	7	0	0	21	0	0	0	1	3	5	0	12	0	8	6	15
100001372	0	12	0	0	0	4	0	4	0	0	0	5	0	0	7	1	0	1
100001408	0	5	20	3	2	19	0	12	0	14	11	34	0	35	2	7	43	51
100001416	3	3	0	0	11	52	1	50	7	30	15	34	0	7	0	6	25	8
100001417	38	39	43	4	24	35	10	48	8	48	46	76	1	63	10	34	45	67
100001421	49	28	105	11	25	158	8	86	20	168	72	148	0	113	30	111	110	121
100001422	9	0	18	0	3	2	0	12	7	4	0	35	0	7	0	0	0	14
100001423	3	6	20	0	2	9	0	24	0	4	14	2	0	3	0	14	8	7
100001424	6	5	38	0	1	16	0	37	2	25	7	14	4	17	0	3	10	41
100001425	0	7	1	5	7	23	0	7	0	16	9	11	0	19	0	14	22	15
100001442	13	3	0	0	0	0	0	0	0	6	14	5	0	12	0	1	0	0
100001484	3	6	1	0	1	20	0	7	1	10	8	0	0	7	9	5	10	13
100001490	50	82	88	5	19	54	6	101	2	120	156	95	15	143	36	5	97	80
100001518	25	15	13	0	4	17	0	1	4	25	17	21	0	45	10	14	10	35
100001530	12	5	9	0	9	0	0	43	0	6	4	2	0	2	0	0	16	18
100001531	24	4	31	5	18	44	11	41	19	48	19	143	2	51	8	34	40	68
100001532	32	143	280	2	35	99	13	132	20	200	146	248	2	334	15	154	217	186
100001552	0	3	21	4	4	12	1	7	5	15	17	4	0	27	0	5	7	21
100001558	5	10	24	5	11	21	7	16	8	32	16	8	0	37	2	35	17	10
100001581	0	5	3	0	0	3	0	4	0	15	5	0	0	20	0	2	11	2
100001584	25	0	35	8	19	31	0	37	1	57	33	42	5	34	0	13	11	27
100001586	1	2	6	2	0	7	0	0	0	12	0	21	0	4	0	7	1	17
100001603	137	19	28	5	3	18	1	92	0	27	3	29	0	40	1	21	87	74
100001615	45	21	47	0	18	72	46	49	15	132	66	39	5	40	21	49	44	116
100001620	13	0	18	1	2	14	2	6	8	2	1	7	0	9	4	8	10	21
100001628	25	3	26	2	13	23	3	16	0	23	3	26	0	47	5	2	10	23
100001629	15	16	40	0	18	64	0	61	3	62	28	58	1	57	5	41	57	77
100001643	125	83	191	31	33	84	44	57	52	177	81	171	0	84	22	58	97	13
100001644	20	7	42	7	14	43	2	86	1	39	46	75	1	65	0	69	24	66
100001648	33	40	32	4	8	19	2	18	2	55	16	41	0	34	0	17	23	39
100001650	3	6	62	0	0	0	1	12	2	5	8	13	0	6	2	14	17	34
100001663	0	0	0	11	0	0	0	0	2	4	0	6	0	10	0	2	0	0
100001665	39	13	93	12	10	58	0	84	16	39	25	62	3	134	24	45	42	106
100001681	9	14	26	1	4	30	0	47	6	31	25	24	0	25	10	10	43	100
100001684	43748	27694	55296	10065	23994	51805	7145	58024	11950	67169	59710	86060	2084	86676	15387	54341	83253	98691
100001692	3	0	0	0	0	1	3	24	3	13	9	10	0	7	0	0	10	15
100001699	41	10	30	10	67	48	2	68	4	105	94	91	0	79	12	47	91	121
100001725	31	25	90	5	15	337	1	32	24	15	241	66	0	20	4	22	127	40
100001748	3	1	11	0	9	11	2	62	0	9	7	32	0	58	1	25	23	35
100001751	18	6	3	0	1	7	0	0	0	25	10	6	0	10	1	22	12	22
100001767	20	19	5	0	2	6	0	8	2	32	11	17	0	11	7	5	9	29
100001772	0	0	0	0	6	8	0	30	0	15	12	7	0	0	0	0	0	2
100001781	14	1	19	0	0	8	0	9	0	4	2	31	0	6	19	5	12	49
100001805	70	10	41	1	60	73	25	95	4	26	48	131	2	82	69	52	68	110
100001810	67	7	16	34	36	34	0	112	2	16	28	50	0	86	2	11	55	72
100001826	11	0	0	0	4	11	3	7	0	0	15	15	0	5	0	2	18	2
100001828	6	5	12	0	2	16	17	26	7	16	17	18	0	18	1	20	35	12
100001836	0	0	24	0	6	6	0	16	0	35	33	26	0	29	7	10	29	13
100001838	17	3	8	0	0	8	0	0	0	9	2	6	0	0	0	5	0	11
100001845	7	2	5	1	1	2	1	3	0	11	11	24	4	19	0	1	9	18
100001853	103	36	134	334	46	133	8	124	9	165	142	149	0	201	27	119	100	175
100001877	7	2	4	3	6	3	1	3	1	8	4	14	0	1	0	0	2	7
100001879	99	89	174	31	91	142	2	158	25	233	150	206	9	198	35	163	205	224
100001880	101	66	26	17	80	36	7	108	6	35	17	40	0	10	13	125	89	71
100001887	73	60	153	35	60	158	6	134	28	259	138	108	10	204	18	93	168	216
100001896	37	23	37	3	40	53	2	44	5	77	49	41	0	66	5	48	71	125
100001904	8	19	42	10	2	84	5	29	0	115	18	69	0	25	7	27	46	56
100001905	0	0	1	0	0	12	0	29	3	11	0	8	0	7	0	3	11	2
100001906	37	53	104	1	34	78	28	65	27	128	79	115	11	95	49	66	106	136
100001914	76	69	79	16	25	97	9	119	21	112	80	123	2	161	23	97	77	154
100001920	0	5	79	0	0	11	59	5	20	8	31	46	2	13	4	15	1	14
100001936	20	17	12	0	9	13	0	14	10	43	32	15	0	19	3	25	32	44
100001940	54	17	75	25	12	141	6	128	9	44	75	78	0	88	11	49	42	149
100001978	9	4	18	0	4	9	7	10	0	29	10	7	0	15	4	11	9	8
100001980	40	7	26	21	11	35	1	21	1	32	31	10	0	42	2	11	32	61
100001989	0	4	0	1	0	1	0	8	0	13	34	1	0	28	0	18	0	24
100001991	41	6	12	0	0	7	0	42	0	31	4	16	0	1	16	9	8	19
100002007	237	130	359	37	122	423	62	384	88	769	279	583	7	586	55	407	620	587
100002010	63	72	40	10	77	96	20	84	21	113	309	202	1	79	12	136	83	178
100002012	16	19	30	8	3	26	9	23	6	40	28	41	0	29	1	25	52	23
100002015	6	1	16	0	0	17	10	29	1	7	20	24	0	2	0	14	4	0
100002020	6	3	12	0	0	3	0	0	0	0	0	16	0	0	0	0	8	0
100002026	104	18	290	116	16	20	0	203	10	83	35	30	0	214	114	138	8	45
100002034	286	235	591	81	166	677	94	788	186	971	719	1148	4	1087	172	660	471	1359
100002035	9	1	9	0	4	32	0	50	1	18	9	7	0	39	2	7	13	22
100002038	12	0	0	0	7	54	0	0	0	19	0	12	0	0	23	6	0	18
100002040	60	16	59	1	37	100	15	168	31	110	59	112	0	263	54	160	213	330
100002059	17	3	27	0	6	5	1	1	10	23	14	33	0	26	4	0	13	32
100002060	0	7	0	6	0	1	1	7	15	2	9	18	0	11	3	4	1	23
100002065	9	0	4	0	3	15	0	15	1	25	6	16	0	4	7	21	21	35
100002072	109	72	129	43	58	163	31	177	9	200	145	150	3	166	30	172	128	178
100002086	3	0	10	0	26	16	0	3	1	7	0	12	0	17	2	8	15	21
100002095	15	2	6	0	0	19	0	16	4	25	0	13	0	18	8	15	8	17
100002104	2	0	7	0	13	5	0	27	0	17	27	8	0	2	0	12	7	23
100002108	2	1	1	0	0	12	0	10	0	0	3	9	0	13	14	26	5	4
100002110	22	4	17	0	7	20	0	11	0	10	3	8	0	21	3	8	3	9
100002113	4	0	0	0	0	7	0	28	0	0	38	18	0	27	0	0	7	0
100002125	0	0	0	3	1	0	0	7	0	2	4	3	0	1	0	4	6	2
100002129	51	36	133	9	41	146	11	180	21	154	150	123	2	183	10	88	75	147
100002134	10	2	4	0	1	5	0	16	13	22	7	3	0	38	0	7	16	18
100002136	8	3	5	3	30	11	4	8	6	12	11	16	0	12	3	21	7	16
100002155	127	87	112	35	73	159	14	335	17	398	144	209	9	225	16	128	165	234
100002173	2	0	3	0	0	0	0	7	0	8	7	0	0	6	0	17	1	4
100002175	8	4	1	8	1	13	0	12	0	2	0	5	0	7	0	5	6	6
100002182	35	6	3	1	0	4	0	7	0	9	1	37	0	9	1	5	37	16
100002184	25	11	11	5	16	10	0	14	2	53	28	32	0	20	16	8	30	21
100002190	46	14	40	13	25	53	11	53	0	78	45	32	2	32	0	25	56	121
100002194	28	0	45	7	17	61	8	44	0	66	18	89	0	54	0	29	18	45
100002197	24	31	25	0	9	23	1	46	6	57	21	37	0	19	6	13	24	51
100002200	0	0	0	0	0	17	0	11	0	6	0	3	0	6	0	0	4	17
100002201	11	0	0	0	3	1	0	5	5	11	0	10	0	2	0	0	9	5
100002203	19	3	19	0	2	41	0	29	6	5	17	22	0	13	2	8	10	38
100002220	42	20	19	9	14	28	6	35	7	38	49	66	0	33	2	21	70	69
100002223	5	0	12	0	0	23	0	8	7	10	25	27	0	1	11	13	10	54
100002225	45	43	34	3	38	85	19	50	11	92	51	101	0	99	34	69	55	176
100002227	58	45	77	5	30	41	3	61	2	80	43	61	1	124	20	78	183	153
100002236	56	40	37	22	25	124	5	95	4	187	86	176	8	151	25	57	150	80
100002256	15	3	7	0	13	12	0	17	0	7	8	14	0	14	2	3	1	5
100002257	1	4	3	2	3	1	0	9	0	7	13	0	0	23	0	1	0	9
100002261	70	73	64	4	14	77	17	96	11	74	48	100	6	110	8	136	86	190
100002263	50	54	102	3	42	121	13	115	7	140	70	112	5	102	10	65	50	116
100002266	5	4	0	1	8	0	0	7	0	26	24	26	0	24	0	7	11	0
100002268	8	4	8	0	8	1	0	15	0	1	2	13	0	9	0	7	0	10
100002269	299	212	442	34	173	381	55	419	55	650	442	444	21	551	108	380	524	710
100002270	2	2	6	1	0	5	0	1	0	1	0	5	0	15	1	0	6	2
100002292	78	18	74	4	41	96	7	120	17	114	75	120	1	121	10	53	43	137
100002293	4	8	0	1	9	6	0	9	0	6	6	6	1	14	0	2	16	6
100002302	21	42	80	18	27	65	20	52	11	140	64	111	2	119	9	56	44	159
100002307	0	13	9	0	0	7	0	1	0	0	0	3	0	18	0	0	24	11
100002318	13	1	33	5	6	19	0	34	2	32	26	31	0	68	11	25	31	60
100002322	0	0	10	2	0	6	0	14	4	6	11	21	0	7	0	0	15	9
100002334	3	0	2	0	0	1	0	0	0	6	0	3	0	8	0	17	2	0
100002342	10	5	4	4	0	4	0	6	0	7	2	47	0	21	0	2	33	6
100002364	13	4	85	48	4	39	5	39	30	67	26	125	9	33	6	26	17	38
100002371	0	1	4	0	0	6	0	1	0	4	1	9	0	0	3	0	0	3
100002384	0	0	17	0	11	0	0	3	0	6	6	11	0	1	0	0	1	2
100002391	18	7	7	1	6	8	0	11	2	26	9	27	0	14	7	10	41	39
100002393	13	4	26	0	0	11	0	31	0	36	29	62	0	33	11	31	16	27
100002400	9	13	31	0	96	18	15	71	41	108	38	34	0	45	24	29	43	116
100002407	139	62	0	0	0	101	0	70	38	140	126	119	0	127	0	0	5	85
100002427	8	12	32	0	8	11	7	22	4	18	33	10	0	9	4	18	1	48
100002437	3	0	4	0	0	8	0	0	3	6	0	2	0	12	0	11	8	12
100002445	6	3	39	19	23	59	7	27	9	53	38	31	0	49	12	45	32	68
100002448	62	22	31	0	36	77	9	56	0	105	27	81	3	89	3	37	31	59
100002454	52	134	202	37	28	93	7	108	36	297	84	141	0	71	10	70	133	133
100002455	0	8	11	0	0	8	0	4	2	5	2	3	0	19	0	7	4	12
100002460	0	0	2	0	0	10	0	5	0	0	14	36	0	17	2	4	16	23
100002463	70	28	95	10	33	52	2	19	14	62	57	68	1	52	13	44	80	73
100002502	19	2	5	1	0	2	0	14	0	2	2	3	0	0	13	3	22	6
100002505	62	80	95	18	50	149	37	118	41	248	253	220	0	330	15	116	211	386
100002513	1	3	24	0	3	2	0	19	0	11	0	7	0	4	0	6	18	9
100002528	7	0	10	5	0	4	0	4	0	14	0	0	0	14	0	3	0	0
100002532	0	0	17	0	1	4	1	18	0	8	8	6	0	0	0	11	15	30
100002535	7	0	4	0	0	0	0	2	0	14	10	2	0	6	0	0	1	1
100002536	4	2	25	2	0	5	0	6	0	50	1	25	0	0	4	3	0	5
100002565	31	16	12	3	12	30	0	46	1	36	34	52	0	34	0	24	65	82
100002601	8	8	4	7	3	15	0	21	6	16	17	17	0	16	0	3	1	34
100002610	143	1037	33	13	20	41	0	14	11	100	55	73	0	62	5	46	33	51
100002625	121	87	173	37	33	74	27	119	39	129	83	149	12	197	1	92	125	249
100002630	13	57	47	0	14	46	1	48	5	43	14	89	0	41	8	34	55	94
100002633	35	2	12	3	1	8	0	33	0	28	11	34	0	32	5	16	17	52
100002675	4	0	0	0	0	10	0	6	3	24	5	8	1	8	7	8	6	2
100002676	9	6	3	0	7	0	0	10	1	31	19	4	0	1	0	3	0	0
100002679	78	117	195	19	74	136	20	289	44	272	199	273	2	292	25	263	257	419
100002680	12	40	54	13	14	87	0	28	0	75	15	9	0	19	2	38	10	4
100002689	89	218	222	2	25	46	5	57	10	137	366	110	9	166	11	40	58	96
100002706	7	14	21	1	25	22	0	73	1	61	21	50	18	18	2	44	39	11
100002730	22	0	6	1	0	7	0	14	10	0	2	0	0	12	10	5	13	8
100002736	26	0	22	0	5	31	0	15	0	94	20	9	0	35	14	21	25	60
100002737	39	8	19	8	19	60	2	38	0	33	16	43	0	47	3	14	51	50
100002738	15	28	28	1	5	17	0	28	5	48	5	14	0	37	0	34	55	41
100002756	203	128	288	80	306	290	30	250	66	654	249	206	2	506	50	281	366	531
100002762	133	138	268	53	94	260	23	346	45	410	239	351	5	188	44	281	220	285
100002785	5	0	5	0	3	1	0	14	0	3	5	7	0	2	0	0	1	6
100002791	3	6	8	0	1	38	8	17	9	20	16	39	0	7	0	4	11	9
100002795	51	15	0	10	0	14	7	9	0	78	9	5	0	54	0	23	23	137
100002802	79	19	36	8	13	82	9	49	5	63	36	48	0	57	25	70	82	68
100002812	0	20	4	4	6	18	0	37	1	30	9	19	0	19	1	0	29	21
100002814	10	12	10	0	6	17	3	35	1	11	17	21	0	8	1	7	0	35
100002821	2	0	0	0	0	1	0	0	0	9	6	6	0	0	0	3	8	9
100002825	19	0	32	1	0	2	6	14	2	7	12	6	1	6	2	8	30	31
100002838	13	18	9	0	5	6	0	24	1	10	8	16	0	10	3	4	38	12
100002865	2	7	24	0	1	2	6	31	0	49	7	60	0	19	1	20	8	27
100002872	109	108	220	43	95	231	33	258	48	221	203	204	10	350	62	254	207	336
100002875	31	3	16	0	5	81	1	12	13	47	31	56	4	41	4	25	105	37
100002876	41	30	33	0	18	66	0	29	10	40	21	25	0	49	4	63	40	33
100002878	3	0	29	0	4	4	7	0	3	12	3	0	0	12	13	13	9	17
100002885	15	0	32	10	17	23	1	33	1	25	18	34	6	39	7	25	25	18
100002901	1	0	6	0	0	0	0	0	0	2	4	0	0	2	0	1	11	5
100002904	13	1	15	0	0	0	2	2	5	20	2	0	0	21	0	12	16	11
100002916	19	0	21	0	0	26	0	6	0	6	3	21	0	15	11	0	0	8
100002917	4	0	3	0	2	4	0	6	0	0	0	17	0	13	0	9	6	0
100002919	3	8	58	18	0	31	4	44	4	11	8	22	0	13	4	25	1	6
100002920	0	0	0	0	0	12	2	1	0	0	3	0	0	14	0	3	7	0
100002928	156	111	130	19	110	274	22	303	14	391	230	303	23	332	105	275	370	405
100002938	72	19	49	6	45	61	21	75	30	99	111	107	0	83	29	65	83	170
100002945	21	47	62	9	16	46	0	31	1	89	52	58	0	34	5	38	43	78
