gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl.mod	ctrl.mean	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
449792	Lin	3.70578937446109e-06		4.75095974859442			1.86404104554773	77.38	0.445307054054872	4.75095974859442	5.86431608489502	TRUE	803444.845345548	512183.693916536	1968384.2482321	7.72835713044275	TRUE	TRUE	TRUE	TRUE	TRUE
450027	Exp2	5.73560100622958e-07			4.52460148817018		2.21692940156109	83.62	0.122415731000188	4.52460148817018	4.68038420596637	TRUE	735062.464210993	415534.358798591	1126720.34996677	6.89731360752746	TRUE	TRUE	TRUE	TRUE	TRUE
492797	Poly2	5.14252677759695	-3.28242759568211e-05	3.55051615069652e-11			2.14719046130427	83.31	0.253884455764938	5.14252677759695	6.82968112381328	FALSE	14234.2815392952		46958.7159223485	4.68249066250901	FALSE	TRUE			FALSE
492808	Exp2	6.40727370024726e-07			4.54043850461029		2.01066107866668	80.11	0.433323950177597	4.54043850461029	2.61307240718473	TRUE	28372.2661834803		332200.397858365	4.62373348585141	FALSE	TRUE			FALSE
493610	Exp2	8.52395444340781e-07			3.47106565993459		2.00560206938354	80.02	0.514211457939752	3.47106565993459	1.90791333471142	TRUE	140749.690852287		415397.809716462	3.91351540409496	FALSE	TRUE			FALSE
494035	Lin	2.59957350491764e-06		6.36969304425734			1.8101523468502	76.32	0.169389077856185	6.36969304425734	5.04602429681217	TRUE	187139.775184897	108275.994436261	1044256.40536437	6.85617664366237	TRUE	TRUE	TRUE	TRUE	TRUE
494045	Lin	4.11568497198741e-06		3.7561719784705			2.10044641330364	81.68	0.607625235152687	3.7561719784705	5.39153585874937	TRUE	907700.738543674	576382.633724191	2271736.47207598	7.49198227205301	TRUE	TRUE	TRUE	TRUE	TRUE
497072	Poly2	5.39293002828386	-2.78236730765454e-05	3.01317860719449e-11			2.08616237522521	82.27	0.333717672424747	5.39293002828386	6.37577635378203	FALSE	41520.854726738	4654.85337386211	81954.0519479113	4.28961397855682	TRUE	TRUE	TRUE	TRUE	TRUE
497134	Exp2	6.25430893612012e-07			4.12431439146844		2.22682877647249	83.78	0.119719769586563	4.12431439146844	5.51966697425391	TRUE	1007850.4082321	693832.240131957	1399126.55592515	7.7464957507264	TRUE	FALSE	TRUE	TRUE	FALSE
503711	Exp2	8.08962998247521e-07			3.46345442163391		1.68475718038565	73.74	0.985804763426118	3.46345442163391	3.06105720759051	TRUE	389383.160819974	185162.187739212	634227.361831919	4.74581438797617	TRUE	TRUE	TRUE	TRUE	TRUE
504040	Poly2	5.70958655709471	-4.22486647149432e-05	4.45771402621865e-11			1.71195008964534	75.15	0.916265508798748	5.70958655709471	5.9864185554498	TRUE	992707.394216413	975120.486016499	1009716.82522433	7.69836864509514	TRUE	TRUE	TRUE	TRUE	TRUE
541544	Poly2	4.48863944387781	-1.56580486054507e-05	1.96903617633704e-11			1.80177359631284	77	0.358145246819096	4.48863944387781	3.56954437058135	TRUE	848072.489464053	797820.765578421	893248.179927469	5.37131796689419	TRUE	TRUE	TRUE	TRUE	TRUE
