	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
777635	81	12	31	67	5	11	22	4	1	146	26	6	12	44	58	0	114	33
777637	158	37	64	47	25	30	40	37	9	61	27	2	8	123	31	0	43	78
777638	66	9	25	23	18	10	4	34	8	10	14	3	11	27	19	0	12	23
777639	52	1	35	12	8	18	4	5	0	11	6	2	3	25	9	0	30	21
777640	35	4	64	12	6	14	7	6	0	30	21	3	2	35	8	0	21	17
777641	455	133	264	200	66	212	118	110	6	208	105	42	157	458	151	0	327	192
777651	19	0	0	5	4	5	12	0	0	2	6	0	0	7	3	0	0	4
777666	79	28	21	40	28	41	11	44	1	32	44	19	25	67	16	0	125	45
777668	44	14	28	21	15	15	13	28	0	25	21	0	5	58	5	0	35	23
777671	9	0	0	0	0	4	1	0	0	5	0	0	0	9	11	0	0	2
777696	18	0	33	9	8	9	0	7	0	4	8	1	6	23	4	0	17	3
777704	85	9	62	19	18	61	25	31	0	38	23	2	15	89	69	0	95	58
777708	94	10	18	42	14	42	28	18	2	49	6	3	5	66	38	0	30	20
777709	62	19	36	25	12	41	23	63	0	10	30	11	32	47	17	0	40	16
777711	172	18	73	60	28	43	16	32	7	108	41	30	14	92	42	0	52	59
777712	470	78	260	172	57	151	119	151	12	341	165	45	104	359	160	0	287	114
777713	52	7	32	16	10	5	6	0	0	27	33	1	4	21	5	0	16	14
777716	241	19	75	99	43	96	27	84	3	78	45	7	40	138	52	0	113	42
777717	143	40	79	24	33	38	35	49	2	67	52	17	23	126	59	0	112	66
777718	90	6	6	44	0	16	0	14	0	20	6	1	19	20	3	0	96	10
777719	159	14	64	56	38	34	23	32	0	85	56	5	26	258	76	0	129	37
777720	167	55	84	84	4	56	32	22	0	67	47	31	10	134	30	0	115	58
777721	49	30	30	35	12	31	16	17	0	34	21	5	2	64	21	0	67	36
777726	102	4	13	17	6	20	39	27	7	22	12	0	14	41	34	0	40	38
777728	201	19	76	51	27	33	18	121	7	99	138	4	53	95	90	0	70	59
777729	880	104	459	268	104	228	163	272	22	362	263	46	119	508	294	0	469	393
777730	105	26	81	25	13	22	26	25	0	73	49	19	34	64	47	0	76	33
777731	196	42	144	86	49	32	42	39	1	62	83	26	21	181	49	0	120	108
777733	126	18	93	42	26	19	12	51	0	76	52	16	16	62	38	0	51	28
777734	41	14	48	28	13	26	8	17	0	26	10	4	0	71	19	0	32	16
777735	89	33	42	5	34	20	1	10	0	13	11	9	8	16	3	0	21	9
777736	242	38	98	81	41	81	33	42	5	49	30	16	23	122	54	0	100	89
777737	2690	554	1730	1074	662	1194	604	697	60	1178	643	150	366	2670	981	1	1888	1378
777738	127	13	86	59	13	35	15	28	1	34	62	9	29	84	48	0	52	63
777744	118	13	78	41	16	36	10	31	0	25	16	12	12	53	40	0	31	34
777745	85	0	31	6	8	25	12	31	0	38	21	11	8	40	9	0	22	33
