#NAME	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6
#CLASS:DOSE	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	100	100	100	0	0	0
ENSDARG00000001634	0	154	168	26	199	140	125	98	18	68	159	3	94	46	140	342	93	218
ENSDARG00000001656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001676	0	145	63	16	160	71	68	50	4	42	77	2	61	27	100	194	28	151
ENSDARG00000001686	0	0	0	0	8	2	3	1	0	0	3	0	0	0	11	10	17	10
ENSDARG00000001710	0	203	125	52	289	96	69	75	47	64	95	5	103	68	117	234	65	155
ENSDARG00000001712	0	8	3	0	16	8	8	9	0	1	9	2	9	2	11	47	2	10
ENSDARG00000001721	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0
ENSDARG00000001729	0	316	270	84	558	186	248	182	55	114	233	9	241	107	225	652	92	371
ENSDARG00000001733	0	31	37	15	71	48	41	18	6	10	17	4	22	31	17	119	2	43
ENSDARG00000001734	0	23	10	28	38	0	30	3	17	11	16	0	20	13	23	47	11	41
ENSDARG00000001754	0	112	77	44	167	111	114	60	15	45	11	0	89	45	68	208	53	150
ENSDARG00000001760	0	145	73	30	177	73	129	81	17	31	54	2	97	40	74	195	68	130
ENSDARG00000001767	0	13	0	0	14	3	14	3	0	5	3	0	19	0	2	24	0	16
ENSDARG00000001769	0	99	89	5	206	54	83	55	5	70	64	1	66	30	77	171	36	129
ENSDARG00000001771	0	5	6	0	2	4	0	0	0	3	0	0	0	0	0	0	0	0
ENSDARG00000001776	0	16	15	8	9	21	43	8	0	22	17	0	27	9	11	49	10	14
ENSDARG00000001777	0	117	134	37	222	91	157	124	18	84	111	10	90	65	106	282	66	130
ENSDARG00000001781	0	3	2	0	22	23	1	0	0	3	0	0	7	0	7	3	0	0
ENSDARG00000001782	0	4	6	0	4	1	7	11	0	2	1	0	1	0	0	21	2	8
ENSDARG00000001785	0	76	23	8	128	9	33	27	0	11	13	0	51	33	20	72	9	32
ENSDARG00000001788	0	555	243	112	692	330	431	307	60	145	151	29	230	114	212	708	130	387
ENSDARG00000001803	0	35	33	3	37	5	27	9	0	0	11	0	16	0	4	46	2	4
ENSDARG00000001804	0	0	3	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2
ENSDARG00000001807	0	81	46	23	66	38	37	40	8	22	31	5	32	16	51	103	18	60
ENSDARG00000001817	0	6	7	4	35	12	6	12	0	10	10	0	7	3	7	12	7	18
ENSDARG00000001818	0	852	312	135	803	382	564	236	81	235	270	40	505	129	382	946	191	481
ENSDARG00000001825	0	9	5	0	2	3	6	2	6	9	2	0	8	1	6	21	2	3
ENSDARG00000001829	0	214	93	30	173	66	210	222	38	68	158	13	213	121	154	522	70	337
ENSDARG00000001835	0	241	53	18	83	26	27	18	3	22	15	0	45	38	30	108	3	43
ENSDARG00000001857	0	599	331	86	604	197	443	159	33	178	211	7	169	71	232	1082	212	198
ENSDARG00000001859	0	15	5	0	1	0	0	0	0	5	0	0	2	1	1	2	0	1
ENSDARG00000001870	0	3258	1796	683	3631	1684	2660	1712	276	862	1254	110	2658	915	1245	4750	805	2971
ENSDARG00000001873	0	28	29	11	55	34	29	42	5	27	31	0	48	7	31	56	19	39
ENSDARG00000001879	0	184	75	70	244	77	139	75	24	45	47	16	87	73	78	640	37	143
ENSDARG00000001880	0	13	24	5	30	30	40	77	13	37	22	1	28	27	21	64	9	25
ENSDARG00000001881	0	5	9	1	25	9	1	12	0	0	6	0	14	9	5	15	5	22
ENSDARG00000001882	0	54	45	11	78	44	35	28	2	18	24	2	19	2	35	98	16	83
ENSDARG00000001888	0	81	72	22	159	91	110	100	13	57	61	8	98	41	60	198	30	91
ENSDARG00000001889	0	244	190	61	405	122	179	115	47	68	123	2	137	101	131	344	97	297
ENSDARG00000001890	0	239	182	124	416	153	289	247	51	64	154	3	211	94	193	512	115	307
ENSDARG00000001891	0	14	4	7	24	22	18	25	3	7	1	0	7	5	9	29	2	8
ENSDARG00000001897	0	162	54	50	125	100	78	68	10	23	39	7	68	31	38	172	27	140
ENSDARG00000001898	0	29	13	7	47	20	23	15	7	4	12	0	11	1	19	44	9	11
ENSDARG00000001906	0	6	1	0	4	0	6	6	0	3	0	0	0	6	5	9	0	0
ENSDARG00000001909	0	7	3	1	11	0	16	6	0	6	6	0	6	3	4	12	2	5
ENSDARG00000001910	0	250	169	45	348	80	163	165	20	73	138	5	167	53	152	461	70	261
ENSDARG00000001912	0	6	0	1	8	12	22	1	0	8	10	0	8	0	15	75	7	11
ENSDARG00000001913	0	14	8	16	68	26	34	10	2	9	10	1	52	5	23	92	12	44
ENSDARG00000001929	0	43	17	12	66	45	42	12	1	21	20	0	19	35	30	48	24	31
