"",".id","dose","diff","lwr.ci","upr.ci","pval","is.significant"
"35","4TOP",100,6.63143594546527,-15.0671712757988,28.3300431667293,0.891372127637956,FALSE
"36","4TPP",0.1,17.8520409728346,-25.2339495581424,60.9380315038115,0.72182768679233,FALSE
"37","4TPP",1,26.0432431120101,-17.0427474189669,69.129233642987,0.386302840104286,FALSE
"38","4TPP",10,12.2439058759703,-30.8420846550066,55.3298964069473,0.916197140656628,FALSE
"39","4TPP",100,22.2116578104629,-20.874332720514,65.2976483414398,0.536386918264907,FALSE
"40","4TPP",1000,-22.2279768359213,-65.3139673668982,20.8580136950556,0.535740529247683,FALSE
"41","Analine",1,-0.869705758118836,-26.2002830294226,24.4608715131849,0.999995473910254,FALSE
"42","Analine",10,-13.1921781710781,-38.5227554423818,12.1383991002256,0.526998886811886,FALSE
"43","Analine",100,-14.0288165623183,-39.359393833622,11.3017607089854,0.46889786923223,FALSE
"44","Analine",1000,-1.88276093808908,-27.2133382093928,23.4478163332146,0.999793997397273,FALSE
"45","Analine",10000,7.20464526471874,-18.125932006585,32.5352225360225,0.915912706821539,FALSE
"46","BPA",0.1,10.3305906781827,-26.6916944647332,47.3528758210986,0.92160030032222,FALSE
"47","BPA",1,4.22187118172373,-32.8004139611921,41.2441563246396,0.998378678754154,FALSE
"48","BPA",10,-15.3060317412198,-52.3283168841357,21.7162534016961,0.723461806305004,FALSE
"49","BPA",100,8.13606068016411,-28.8862244627518,45.15834582308,0.969214873854352,FALSE
"50","BPA",1000,-5.39587141226142,-42.4181565551773,31.6264137306545,0.994899600483488,FALSE
"51","BPAF",0.1,5.7376360197715,-30.2332914968937,41.7085635364367,0.992315043785892,FALSE
"52","BPAF",1,0.627796856621979,-35.3431306600433,36.5987243732872,0.999999845068073,FALSE
"53","BPAF",10,5.04194814852606,-30.9289793681392,41.0128756651913,0.995739336920478,FALSE
"54","BPAF",100,-10.6159246716173,-46.5868521882825,25.3550028450479,0.903958552740983,FALSE
"55","BPAF",1000,2.59630879447841,-33.3746187221868,38.5672363111436,0.999821620854109,FALSE
"56","Clofibric Acid",1,25.7080278247125,-17.5128208824971,68.9288765319221,0.401359761971375,FALSE
"57","Clofibric Acid",10,32.3091087650453,-10.9117399421643,75.5299574722548,0.203881759985387,FALSE
"58","Clofibric Acid",100,6.78684199908701,-36.4340067081226,50.0076907062966,0.99284078712961,FALSE
"59","Clofibric Acid",1000,17.593727235891,-25.6271214713186,60.8145759431006,0.734792389651072,FALSE
"60","Clofibric Acid",10000,-10.2886096583867,-53.5094583655962,32.9322390488229,0.957422039508535,FALSE
"61","DES",0.01,12.6066762407105,-16.1951758811229,41.4085283625439,0.679440281515354,FALSE
"62","DES",0.1,-6.015729547732,-34.8175816695654,22.7861225741014,0.975092867263101,FALSE
"63","DES",1,-1.8760405583099,-30.6778926801433,26.9258115635235,0.999892217745437,FALSE
"64","DES",10,-6.57657699278791,-35.3784291146213,22.2252751290455,0.963996381736952,FALSE
