	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
ENSDARG00000000906	6.549007934	6.215924714	6.367551541	6.465710251	5.940999695	6.347533471	6.479636399	6.462201929	6.225886687	6.366302439	6.495831065	6.309931518	6.235328039	6.996998457
ENSDARG00000000935	7.386515681	7.292798094	7.320888786	7.308729673	7.53058758	7.721587291	7.309911553	7.248000714	7.239883922	7.478160227	7.487100222	7.60438647	7.470299802	7.683124102
ENSDARG00000000943	8.669114564	8.420767775	8.576749812	8.597658476	8.82939931	8.551392178	8.412767977	8.650830473	8.51864336	8.509194215	8.510419488	8.641538879	8.622044596	8.672644446
ENSDARG00000000966	11.25515898	11.50894389	11.3038567	11.52869431	11.54367216	11.43174858	11.40415059	11.28946314	11.35550851	11.49526378	11.30192506	11.31443181	11.52869431	11.38949769
ENSDARG00000001014	10.65896845	10.75512842	10.53685583	10.57603321	10.57414029	10.55207787	10.69013856	10.73452563	10.48671378	10.59497405	10.20925945	10.2738808	10.49755356	10.28151944
ENSDARG00000001015	9.949152576	9.887590741	9.997910638	9.935299799	9.988122795	10.14162261	9.785927606	9.852675083	9.936765266	9.898095647	9.8981539	10.03268795	9.897647158	9.905610444
ENSDARG00000001057	11.59951262	11.59426775	11.79450808	11.65926066	11.39368305	11.60902678	11.76569481	11.59052867	11.68332199	11.4635046	11.54119037	11.71942096	11.51367769	11.6850954
ENSDARG00000001127	8.984645738	9.14376779	9.128458651	9.365411443	9.371456032	9.12565433	9.084805903	8.796880337	9.072780846	9.160753792	8.684259237	9.031763006	9.143495426	8.625164129
ENSDARG00000001129	10.2650317	10.34162914	10.35953538	10.47392863	10.42800259	10.41774784	10.33381751	10.30264129	10.31169023	10.38100129	10.27070996	10.25398126	10.36887241	10.2772095
ENSDARG00000001154	8.833151981	9.151117507	9.009107672	9.469254107	9.369496405	9.235399026	8.933805108	8.948680409	9.226222218	9.341573078	9.190367111	9.189259005	9.390302	9.348001631
ENSDARG00000001169	6.629680249	6.879276711	6.549007934	6.619716015	6.366302439	6.580986711	6.765169016	7.044230328	6.541559748	6.483006872	7.116981287	6.827460099	6.585567397	7.152791684
ENSDARG00000001210	8.636641246	8.563944341	8.543370811	8.370562101	8.349677127	8.328977741	8.197648091	8.744985864	8.392838905	8.443885163	8.530656575	8.527169998	8.262150382	8.523207153
ENSDARG00000001220	11.33169743	11.60666422	11.44567292	11.68980224	11.80989641	11.47342461	11.49773286	11.50683243	11.45862754	11.50810383	11.41237017	11.36679398	11.61445696	11.43174858
ENSDARG00000001234	8.179735813	8.11251621	7.983147501	7.753104023	7.970347607	8.2371682	7.966050186	7.698366318	8.111749444	7.703166191	8.109994827	8.184733381	7.897236722	7.953295745
ENSDARG00000001244	11.84349518	12.00777243	11.83340726	12.17274436	12.19254963	11.99597042	11.90294022	11.89352578	12.02524541	11.97227663	12.20638827	12.00044489	12.02598712	12.31614169
ENSDARG00000001249	6.661652004	6.523851644	6.767859149	6.796863151	6.983357632	6.796863151	6.915514882	6.9613347	6.734695001	6.777523303	6.825775461	6.909691171	6.951810067	7.21476319
ENSDARG00000001259	5.046732089	4.207498545	4.441027231	4.884266456	3.906568063	4.339242142	4.572466721	3.708850792	4.425035039	4.636404587	3.36735775	4.660476716	4.624318599	4.085333176
ENSDARG00000001313	7.751236768	7.69229996	7.520772392	6.950520245	7.008296189	7.57353355	7.073512659	7.521907281	7.496232831	7.239128977	7.232788535	7.309911553	6.973746555	7.418682084
ENSDARG00000001354	8.225384975	7.95501409	8.280808062	8.053255041	7.549080834	8.190043227	8.191676667	8.162509204	8.078226309	8.133767171	8.276250296	8.486050647	8.127683767	8.299338382
ENSDARG00000001414	5.686162778	6.280694453	6.588864443	5.847632632	5.940999695	6.563408736	6.693240146	6.268783575	5.994504846	6.228553173	5.960455038	5.744317586	5.938075023	6.129676494
ENSDARG00000001431	14.03186663	13.99211741	14.08271713	14.31770624	14.22556466	14.0784115	14.0784115	14.10845843	14.04793543	14.18086496	13.98389055	14.0784115	14.15428055	13.99211741
ENSDARG00000001437	10.51487605	9.674533819	9.721737645	9.973861914	9.652336816	10.2772095	10.30839803	9.567124403	10.02801649	10.24488389	9.339918951	9.851014465	10.30481729	9.647446335
ENSDARG00000001442	5.658154548	6.3639271	6.159779402	6.062479684	6.507983181	6.382562493	6.407887482	5.867506025	6.260846243	6.366302439	6.218585869	6.13932207	6.235328039	6.255560065
ENSDARG00000001447	8.156329785	8.207164379	8.023954796	8.322033379	8.163470322	8.184557228	8.32325679	7.996994497	8.123746622	8.341462368	8.160347434	8.038851478	8.249236943	8.050364562
ENSDARG00000001452	5.797071795	5.569934185	5.49921973	4.884266456	5.519224749	5.468793353	5.583134635	5.048270257	6.167960924	5.155966868	5.424354601	5.228128304	5.048270257	5.424354601
ENSDARG00000001463	9.676299493	9.518307638	8.900371497	9.621660031	9.940318804	9.484405501	9.20755693	9.360080659	9.584659332	9.640324485	9.555901808	9.35181154	9.865664277	9.562312576
ENSDARG00000001470	6.8623561	6.972938318	6.758755627	6.950520245	6.480814122	6.972387245	6.407887482	6.876926388	6.854509679	6.777523303	6.78023821	6.988205698	6.73266366	7.140392889
ENSDARG00000001498	4.324134706	3.381118113	4.055991721	4.303483567	3.906568063	3.36735775	3.328608653	4.441027231	4.501987236	4.168360562	4.151786382	3.966039234	4.394810321	4.324134706
ENSDARG00000001549	6.565875987	6.568477192	6.826638773	6.523851644	6.604259507	6.456481939	6.361703179	6.495831065	6.603696389	6.531205959	6.44434607	6.232436434	6.805645031	6.669769762
ENSDARG00000001557	8.713946862	8.353405916	8.628609909	8.150515953	8.113312201	8.294543471	8.290640375	8.368393934	8.625838265	8.199052895	7.894342441	8.584400537	8.172318839	7.997748413
ENSDARG00000001558	8.899566775	8.878991605	8.661738179	8.202241111	8.457206002	8.761613671	8.421388215	9.102291304	8.732705956	8.633539554	8.617996912	8.724997349	8.568311213	8.45306939
ENSDARG00000001559	7.934565132	8.453370265	8.552942498	9.022625718	8.836252666	8.322033379	8.64036023	8.208826583	8.467220227	8.378960503	8.427374929	8.287250799	8.759861452	8.384024326
ENSDARG00000001578	10.91842102	10.68703904	10.71984885	10.48283929	10.48671378	10.74393543	10.59652223	10.75401026	10.69647291	10.54433326	10.65302659	10.6975503	10.45797428	10.59019734
ENSDARG00000001621	7.831534676	8.097551618	8.145050636	7.86697764	8.113312201	8.203589498	7.786880385	7.765920361	8.219514725	7.73384074	8.054572297	7.965219645	7.901861013	7.803505731
ENSDARG00000001676	10.23362388	10.2828431	10.34471004	10.23628741	10.4000248	10.36180365	10.10803559	10.14829804	10.27724656	10.26393305	10.18408969	10.17948017	10.36439998	10.23935807
ENSDARG00000001686	6.720994592	6.509860587	6.588864443	6.950520245	7.019483985	6.709476744	6.844947524	7.083164548	7.011411137	6.674844522	7.041712233	6.988205698	6.720994592	7.231853487
ENSDARG00000001710	11.3691886	11.44462567	11.5246174	11.5151705	11.52940753	11.41480478	11.48521922	11.32302654	11.4361022	11.58135478	11.63183651	11.48635754	11.60197468	11.60666422
ENSDARG00000001712	7.103660566	7.101470488	7.120841627	7.067549936	7.373653522	7.067549936	7.157596546	7.115534917	6.9613347	7.239128977	7.093877521	7.336735834	6.900923737	6.758755627
ENSDARG00000001721	4.264548067	4.207498545	4.115264564	4.154731459	3.219580181	4.488192802	3.715960483	4.380173964	4.031313395	3.807427757	3.95422028	3.850833655	4.324134706	4.249767689
ENSDARG00000001733	8.42858063	8.388695011	8.378960503	8.393290346	8.506054786	8.54041001	8.378960503	8.385392067	8.544328983	8.518235343	8.593196541	8.794805367	8.550605517	8.665543977
ENSDARG00000001734	9.142638593	9.174055266	9.182147516	8.879369708	9.102291304	9.199816483	9.139199846	9.05251646	9.038570515	8.919043954	9.181541661	9.207630484	8.979665365	9.14559259
ENSDARG00000001754	10.1457636	9.975978074	10.13845368	10.05739576	10.02801649	10.23087698	10.25418581	10.21415892	9.941539553	9.98455125	10.08421151	10.16176059	9.916756765	10.09706046
ENSDARG00000001760	6.758755627	6.3639271	5.892943543	5.917174455	6.280694453	6.677747807	6.361703179	6.479636399	6.20635705	6.349236809	6.795877023	6.232436434	6.195564128	6.602746615
ENSDARG00000001767	7.771497326	7.597420091	7.469994016	7.444296752	7.29324037	7.57353355	7.345117118	7.521907281	7.457592253	7.703166191	7.817816637	7.720650237	7.591711231	7.409663032
ENSDARG00000001769	9.147930833	9.090738476	9.040949814	9.199816483	9.276845301	9.186316082	9.076245943	8.883960153	9.075842223	9.089012992	8.743790699	8.908449499	9.151371138	8.950679008
ENSDARG00000001776	6.235328039	5.598761203	5.917174455	5.214480735	5.810096496	5.569934185	5.98358519	6.144299565	5.609852928	5.622736868	5.622736868	5.744317586	5.726054089	5.569934185
