	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
100036547	5.3582225274	5.6044914654	5.6395883434	5.2360856094	5.0524998224	4.9659541334	5.5459306574	4.8918617904	5.1620621354	4.8686701694	5.6374183764	5.0273956604	5.5471439894	5.5803913154	5.5730289004	5.4529908514	5.2030008404	5.3142985444	5.4349263374
100001114	7.8243967464	7.9822119844	8.0015349504	7.9661347264	7.0453282304	6.8096064844	7.6491763474	7.0687602774	7.3972833074	7.3477910074	7.1910084064	7.0592134964	7.4643567894	7.3495889794	7.3523433304	7.5180885134	7.3091438584	7.1960375244	7.4137953704
321552	14.0391364024	13.9075963054	13.8445769964	13.7230756424	13.6743070734	13.7322353664	13.7107196524	13.6710305074	13.7616423834	13.8711269674	13.5558831184	13.9185605074	13.9931639824	13.5517958864	13.5970368294	13.8801234524	13.5872672074	13.8486092794	13.7859195564
100124599	11.4439392874	11.4076989424	11.3015177934	11.3234113044	11.2928193224	11.1297360784	11.1287645134	11.2361270824	11.1592427974	11.3184357094	11.0609225394	11.3554357534	11.3469238824	11.1015943644	11.0304508604	11.2753678614	11.1037068974	11.3483016134	11.2510259684
100001337	7.5511033884	7.2573794054	7.3712269384	7.0743921854	6.4322535684	6.8476463874	6.9688860494	6.7902138724	7.1089533494	7.3884446254	6.6654053144	6.6641692264	7.2082896024	6.9821620264	6.6725062074	7.1296549844	6.8546339524	6.6358483944	7.2146330074
100329748	6.2556730574	6.1379003914	6.5566781184	6.4301412774	5.4180838704	5.3307351214	5.7454977644	5.4257833804	5.6931334694	5.6956583034	5.7969279594	5.1818744394	5.8462059134	5.2238456574	5.1600668184	5.9120672954	5.2030008404	4.7716315704	5.0845285274
100329813	5.8212259764	6.5561999284	7.5577939144	7.2427905634	6.5838900704	6.2174571884	7.4602156564	6.6839788004	5.8508042734	7.3180349384	5.8784725904	6.2288560414	7.6901362214	6.3608921344	6.0543377244	7.3369052614	6.0456120224	6.2399993564	7.5787477414
777754	6.3018188034	6.4226205514	6.4663362734	6.6959407104	6.2426668544	5.9778011054	6.2180526464	6.2636243874	6.4416607574	6.1520797924	5.8942426634	5.7742386064	6.3050483424	5.9363005624	6.0543377244	6.2314205894	6.2715950104	6.0043743244	5.8223396364
30457	6.5418375914	6.6963739814	6.7219786914	6.8744112724	5.6496415904	5.0466625824	6.3049308394	5.7673644614	5.7476276284	5.8366432844	5.9098422154	6.2980698394	6.0810973944	5.9768648554	5.4539856424	6.3938144274	5.7120273114	5.4277089214	5.9522165744
393350	6.0814425174	5.4858534234	5.9204399914	6.1355254334	4.9569421784	5.1718878434	5.5459306574	5.2536318194	5.2899710094	5.9182387614	5.0709274374	4.9143807364	5.7371467154	5.1781897944	5.5566123934	5.4529908514	5.2953540914	4.8551032784	5.3666745834
557021	6.9993464644	7.1766929374	7.0751995464	7.1144270574	6.8596459984	7.0040426814	7.1042385784	7.0023024104	7.2850844964	7.0905514444	7.1973783804	7.2283347274	7.2314525334	7.3392545894	7.0044827594	6.9234638094	7.1842709854	6.8679134624	7.3085813124
445034	12.7941903184	13.8597556334	13.4456027234	14.0946233624	12.2054693244	12.3456322874	13.5724590664	12.2028292944	11.9929899034	12.4194626474	12.5753474164	12.3842218134	12.0156682044	12.7257123394	13.3005997764	12.4909909784	11.8027418384	11.8834612974	11.8695240914
552944	6.0412034224	5.5463916054	5.3921622124	4.3925265214	4.6251793624	6.0183896674	5.4975669454	5.1095367174	5.9929285104	5.6196382944	5.5405360214	5.6384962654	5.2396542804	5.6820268604	5.8673304834	5.3512065134	5.4955073744	5.5328501884	5.7166331494
569971	6.6167674344	6.7052519164	7.2747094304	6.7579166354	6.5838900704	6.2519070884	6.9329662844	6.1205748724	6.1894551794	6.6105461724	6.5103192374	6.1807970904	6.9605196274	6.5430214064	6.6494694934	6.5853076734	6.1382998194	6.3967921904	6.8144581984
100003113	5.7397570434	6.2145189824	5.9705989594	6.0053053644	5.6798838694	5.2871064074	6.1414306714	5.2763081304	5.3142461524	5.6196382944	5.3705709484	5.6384962654	5.3495953594	5.7922050274	5.9067215174	5.4282100404	5.2219505064	5.2944987774	5.7527360894
445478	9.0505865934	9.2437153114	9.3199298154	9.3934506614	9.2566691644	8.9795476804	9.1732225694	9.0286403404	9.0599131704	9.0571021884	9.2777981104	9.0736540314	9.0258491814	9.3475127384	9.2085168404	8.9385479944	9.0687742854	9.1525722624	9.2068849394
415098	6.0275370584	6.0430447414	6.3192402134	5.8621546234	6.4143774784	6.1702057664	5.6380501114	5.8900610524	6.1762716474	6.4442115544	6.0289145444	6.3424338484	6.1556436524	5.8221985354	6.2405641684	6.3679866814	6.2806609484	6.0043743244	6.2712684914
393230	8.6389607354	8.7250037724	8.4969267054	8.5131276914	8.3376397654	8.2620260044	8.2621548554	8.2906977854	8.3687888254	8.3182486964	8.4767981804	8.2012234074	8.1694066244	8.4533638554	8.1905177604	8.3804449544	8.1509562474	7.8396186694	7.7267603534
373100	10.2019368324	10.2299358154	10.1787807134	10.3039337064	9.9298359324	9.7814051184	9.8563379464	9.7645219554	9.9816190084	9.9689674584	9.8013673824	9.8430907834	9.9003604974	9.9164002614	9.8971977884	10.0250457704	9.7610212364	9.5439186694	9.7338039084
402964	7.9456182094	8.2723798804	7.8711694144	8.0386705294	7.8516557224	8.1044219364	7.5984842154	7.8247664034	8.0597917834	7.7949689584	8.0074981924	8.0047394594	8.1452172144	7.9169318534	7.9881050104	7.8978826734	7.7842373474	7.7945161824	7.6946405454
335119	10.7376331614	11.0937376724	10.7029775054	10.9787479044	10.7928154594	10.7364221244	10.4730444024	10.6803498214	10.6657413624	10.4283306064	11.0358161154	10.7197126844	10.1862256954	10.9383036884	10.7495770424	10.3575288224	10.4805091004	9.9216966814	9.9668134514
101887175	5.5424736704	5.4858534234	5.4871167804	5.8432191994	4.9066800434	4.9095257194	5.1980018324	5.1833825324	4.4059301634	4.6567973074	5.3929443094	5.0807477414	5.3066189814	5.2011983224	5.2849062264	4.7757000234	4.3066549924	4.7716315704	5.1401034264
101882355	7.2611362594	6.8800817114	7.1641018514	7.2714034364	7.3001966144	6.7625937284	6.9054271114	6.8519024224	7.2540485714	7.0331028364	7.0781802704	6.9197736004	6.6949099674	6.9417485034	6.6876621624	7.1675789844	7.0475566774	6.7492873704	7.0647319304
619199	6.7723565294	6.4333466414	6.7605052264	6.7375523874	6.5997953524	6.8625858794	6.9510379534	6.5131233664	6.7921027014	6.8704204814	7.0850671814	6.6987082024	7.0015189224	6.8860401334	6.9800692034	6.6932475164	6.9768045784	6.6279589914	6.7354710014
405894	6.9053341824	6.8483735424	7.0286058624	7.3063895224	7.2904292564	6.8920086164	7.0715722314	7.0687602774	7.0158126574	7.3359621244	7.1390100214	7.2919283344	7.3683585374	7.1629655944	6.9739007124	7.2476604434	7.0153324364	7.1527044624	6.9450153504
100008376	11.2720462754	11.3473031384	11.5832245154	11.4531813334	10.3522448204	9.9110132084	10.6101452544	10.1684588384	9.7251878504	10.2459866984	10.5433490634	9.7411467904	10.0625219944	10.1081539234	10.2605134584	10.0637721544	10.1051857004	9.5217369874	9.8959401754
30079	8.9796115134	10.2753548464	10.5628626764	10.2347856124	10.0904320084	8.1838889214	8.9215612974	9.6798835084	8.6543747904	9.2787407334	9.6917140594	9.5462939124	9.2899475264	9.9024290434	9.2588538434	9.3985460184	10.1292244884	9.4214685994	9.3463205804
100534922	6.9494868554	7.3165135684	7.3269876434	7.6601897344	7.1994132344	7.2049673654	7.3623310604	7.0491423744	7.1089533494	7.1592874764	7.1122907044	6.9911775434	6.7837719934	7.3183610394	7.3088972564	7.0907071044	6.9486407994	7.1960375244	7.0861134614
101885825	7.0610193924	7.2931499504	7.4141499284	7.2571679334	6.8596459984	7.0307426934	7.2130755694	7.1072134784	6.8841679644	7.2184687254	7.1456132394	6.9701249654	7.2199175534	7.2204044044	7.2073935314	7.0261171894	6.9024029334	7.0619266394	7.0061150624
402922	10.3222574594	10.3864687364	10.2147776144	10.3773416004	10.3984443404	10.2652475314	10.1136345574	10.3990408294	10.3255582944	10.2002321714	10.5143045654	10.2055347234	10.0833596194	10.5653281234	10.2102353474	10.1600380924	10.3637869074	10.0549134764	10.1223734114
560275	7.4471485894	7.3395048474	7.7943391144	7.3063895224	7.4304196754	7.5054722964	7.4852342094	7.1990881254	7.7880681514	7.5144865654	7.4315410554	7.7852703884	7.5124280084	7.2864421704	7.4927051584	7.7050568744	7.3993056594	7.6847151134	7.6806529424
445191	7.2316402494	7.1047081204	7.5133649394	7.4572228944	7.2805953194	7.1142552444	7.3072769694	7.0090876634	7.1898989424	7.4111710644	7.2350186564	7.2919283344	7.5029410514	7.0847039114	7.3618228774	7.4396683174	7.4362857364	7.1853256684	7.5118550924
559473	7.9273359234	8.0638614764	8.2349165234	8.1195849194	8.3517975354	7.6926696594	8.2978965204	8.0553097024	7.6422783004	7.9230434094	7.9100283304	7.8209836434	7.9772514734	7.9748239424	7.8297565904	7.7050568744	7.9267640144	8.0101639184	8.1109240854
560064	7.5747883464	8.0430030704	7.9566124914	8.2402909864	7.7836576484	7.4222092974	7.8551358004	7.6534574294	7.5835708414	7.4224014264	7.7371838384	7.5736107814	7.4981740754	7.7974543734	7.7344553594	7.4581473134	7.6260710104	7.8155080584	7.7312910734
100151416	9.0606864034	9.1798622094	9.3612525714	9.2730420144	9.1472835174	8.0694373284	8.3533029314	8.9897204234	8.0049204374	8.4585018114	8.8117675174	8.0787248204	8.6125461914	8.6852380174	7.8160290104	8.3996931654	8.9544560804	8.0812228844	8.6234875124
503736	8.1231667994	7.6963563184	8.3082677644	7.9306958354	8.1613019194	7.7134198494	8.0852766914	7.9286228984	7.9556163754	8.0296962854	7.7631802954	7.8634656904	8.2901460164	7.8602376804	7.8160290104	7.9423151254	8.2921328314	8.4534770024	8.5535764674
560869	9.2402585234	8.4063480004	8.6988844344	8.2184145014	8.8967526294	9.4639265944	9.3841144424	9.2322786154	9.5675071674	9.9331024824	8.5282380744	9.9237780364	9.6728620394	8.7723163334	9.3931964604	10.4906467494	9.0700821004	9.5196065494	10.1024010934
567161	6.1461098124	6.1767182594	6.2666753154	6.1663233594	5.7948860344	5.8183694744	6.4261625484	5.7185225074	6.1222987134	5.9022846824	6.0572080254	5.9707484314	5.8004718974	6.1873917664	6.0067909994	5.7212585504	5.6292766294	5.8501558134	6.1681061934
100037321	7.7178056134	7.8839811684	7.5955776454	7.6975685394	7.1462521784	7.0504483454	7.2500383424	7.3349061834	7.1019983214	7.3827066334	7.2717018054	7.3743627764	7.4297277474	7.5421027904	7.3475800974	7.1373199564	7.1200602984	7.1960375244	7.1752709844
564210	6.7052681554	6.9931420314	6.4189513324	6.8366153544	6.9616400114	7.0040426814	6.5617082054	7.0425433404	6.9082895104	6.7147031814	6.7631116124	6.8055696414	6.8821874364	7.1452783464	6.8104378614	6.6617049704	6.9712156354	6.8611990364	6.6708999444
83780	6.2789304234	5.8322863844	5.0628297744	5.2067563804	5.3062092814	6.8699980104	6.4261625484	5.2305933824	6.8513654214	6.4876273644	5.5405360214	7.3743627764	6.7759160374	5.3110388924	7.0344299664	6.8507317714	5.6150113444	7.1799397664	6.7711113334
768179	7.6255657004	7.2513304614	7.6834177404	7.4320981964	7.4828215554	7.4422373044	7.7193901854	7.4540668474	7.6229733774	7.7555520664	7.5307222024	7.6811611764	8.0010339724	7.2371993894	7.4753430414	7.8332845454	7.8738296094	7.9732773394	8.0685848604
83775	7.1520031904	6.9638483144	7.0364767284	6.9559968274	7.0100545724	7.1872755054	7.7711672534	6.9817530524	7.7170140204	7.3941598864	6.9632690214	7.5454219904	7.5995726694	7.1213528994	7.6710515784	7.5180885134	7.3047066244	7.6383427624	7.7670335454
492474	4.9866787294	4.7489423294	4.7923528284	5.2360856094	4.8005763724	4.3121396324	5.3142568964	4.4483760854	4.6543401104	5.1375554884	4.2281166114	5.1572495204	4.8483642204	4.8689844794	4.4782742104	4.9940474554	4.4094200864	4.4876230524	4.6968546704
570720	7.0475403314	6.9034137164	7.1925588514	7.4257480554	6.6767932254	6.9064979814	7.1596831644	6.9037975094	6.9398367454	7.1659843384	6.9177026074	6.9559172804	7.1547719074	7.0597435934	6.9552353954	7.1219490714	7.0738710804	7.2940194204	7.3385853654
100332206	5.7228962754	5.5264931374	5.7199865414	5.5941882524	4.9066800434	4.9933616974	5.7246389024	4.7369925104	4.9919109464	5.5393886544	5.2774375004	5.1818744394	5.7848992754	4.8399577384	5.2238364284	5.4529908514	4.7856350054	4.9843120174	5.1401034264
570693	5.2208635104	5.2873198054	5.2905148874	5.1150119704	5.5549142124	4.8804616724	5.1042179554	5.4459267354	5.3142461524	4.8354489984	5.4580550044	5.2298981064	4.9070853634	5.5627335024	5.4180876854	4.9248728154	5.6006035954	5.4094155434	5.0267267244
570683	8.0405281544	7.5062559234	7.8930092544	7.4000642344	6.8463744124	7.3176735274	7.6042054394	7.1751546004	7.4638983914	7.6255455164	7.3366235314	7.5736107814	7.7910244764	7.1746377614	7.4310010094	7.6578748804	7.4076057594	7.8396186694	7.5887690944
100535515	7.2136487704	6.7743746344	6.9966858324	7.0079317624	6.4499108694	6.8096064844	6.5965672014	6.6496523384	6.8596362434	6.7055390454	6.6281685654	7.1802581144	6.8070864044	6.4879514084	6.6417081134	7.2118098404	6.7926087704	6.9140592984	6.8730357324
30750	6.3131282464	5.8159853034	5.7585656084	5.9532740694	4.4254682104	5.3307351214	5.6155657994	4.8318939484	4.9304218844	5.4544108484	5.2034166714	5.5466770304	5.0442123524	4.8974387084	5.0933476014	5.9647136464	4.7337657244	4.6522471684	5.2950329054
100535246	5.5990082794	5.0004592964	4.5932977274	5.2067563804	5.0055120194	6.2632099764	5.9390076534	5.6850176964	6.2907986944	6.0252345454	5.4998848774	6.2050266734	5.8158782194	5.7460121524	5.9946553764	5.9120672954	5.6150113444	6.0165116124	5.4786972204
335654	9.2268666074	9.4144857444	9.3053454914	9.5780005694	9.5403697204	9.5367547924	9.3350710044	9.5533010324	9.2884625104	9.2091180894	9.6447085124	9.3070279424	8.9545606414	9.6717067394	9.2765035334	9.3063632944	9.4625134014	8.8926595634	9.2294798274
393629	4.0708018294	4.2146669764	3.6680003874	3.7461356054	3.4401244584	4.5522087424	5.0715511374	4.0349691784	4.4504168834	5.2924751644	4.5402154174	4.7262973704	4.8180823424	4.1829122754	4.7332577764	5.1836513314	3.6972386274	4.8551032784	4.8039674494
100330921	7.0743736834	7.5949123424	6.9804570104	7.3337800784	7.4480992984	7.2397132234	7.1980211574	7.8093000754	6.6177767274	7.2503275934	7.4688794144	7.0592134964	7.0928824034	7.6295115774	6.5942419974	7.2262571614	7.1648164874	5.7948550384	7.0061150624
393570	7.4522724174	7.2872494444	7.1129101294	7.0332145564	7.2098143564	7.4171585494	7.1828079944	7.3076458844	7.2223302804	7.1457997654	7.2956490914	7.0458605674	7.4095600164	7.4345649754	6.9107202744	7.4642547524	7.1150005864	7.1416647284	7.0718943744
100334248	9.0723808404	9.2827905294	9.0357148004	9.3148777864	8.9872027874	9.0382947074	8.7947104544	8.9194273624	8.7903794984	8.7445681284	9.1224488414	8.7790533074	8.5168089944	9.1113488884	9.0430804914	8.6015820804	8.5368831084	8.1977297084	8.1554314274
100330772	6.8364632894	7.4009044494	7.3649894894	7.5651645494	6.7920324264	6.2519070884	6.9688860494	6.3083202334	6.2025193294	6.7055390454	6.8943680914	6.7240803924	6.8070864044	6.8280939334	6.5780664584	6.8033389214	6.3075218674	6.5796945094	6.2587694704
