Identifier,BPAF-1ug/L-B
ENSDARG00000054799,13
ENSDARG00000116939,0
ENSDARG00000037350,1235
ENSDARG00000022845,12
ENSDARG00000019838,11
ENSDARG00000005799,9
ENSDARG00000013505,28
ENSDARG00000055022,37
ENSDARG00000061451,8
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,7
ENSDARG00000055099,16
ENSDARG00000070109,21
ENSDARG00000070098,45
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,66
ENSDARG00000083023,0
ENSDARG00000031108,59
ENSDARG00000015266,89
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,1017
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,2
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,10
ENSDARG00000037309,3
ENSDARG00000054334,8
ENSDARG00000116715,0
ENSDARG00000060994,2
ENSDARG00000106456,0
ENSDARG00000074776,4
ENSDARG00000074451,0
ENSDARG00000079434,47
ENSDARG00000031817,5
ENSDARG00000074812,8
ENSDARG00000070055,15
ENSDARG00000070050,8
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,11
ENSDARG00000037281,25
ENSDARG00000037278,6
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,1
ENSDARG00000037276,7
ENSDARG00000013787,11
ENSDARG00000086790,5
ENSDARG00000006427,176
ENSDARG00000104824,0
ENSDARG00000076499,3
ENSDARG00000037266,16
ENSDARG00000077157,20
ENSDARG00000037256,9
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,12
ENSDARG00000021702,56
ENSDARG00000054031,36
ENSDARG00000037259,71
ENSDARG00000037260,9
ENSDARG00000037261,25
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,21
ENSDARG00000107180,0
ENSDARG00000076928,54
ENSDARG00000009685,9
ENSDARG00000079377,5
ENSDARG00000091678,7
ENSDARG00000014790,59
ENSDARG00000019581,36
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,3
ENSDARG00000023330,75
ENSDARG00000096667,5
ENSDARG00000037245,3
ENSDARG00000096554,7
ENSDARG00000079266,0
ENSDARG00000023600,76
ENSDARG00000033345,3
ENSDARG00000069989,61
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,36
ENSDARG00000069996,7
ENSDARG00000100083,17
ENSDARG00000031632,5
ENSDARG00000101474,20
ENSDARG00000104710,6
ENSDARG00000095954,1
ENSDARG00000095895,0
ENSDARG00000089138,23
ENSDARG00000112052,0
ENSDARG00000089334,2
ENSDARG00000053456,9
ENSDARG00000053466,13
ENSDARG00000053463,5
ENSDARG00000037109,11
ENSDARG00000096538,0
ENSDARG00000005739,68
ENSDARG00000053496,11
ENSDARG00000053500,12
ENSDARG00000053502,11
ENSDARG00000035080,0
ENSDARG00000037100,2
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,1
ENSDARG00000078546,7
ENSDARG00000037099,19
ENSDARG00000060620,3
ENSDARG00000075858,2
ENSDARG00000096592,2
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,1
ENSDARG00000061732,23
ENSDARG00000095590,0
ENSDARG00000031202,10
ENSDARG00000037144,6
ENSDARG00000037177,61
ENSDARG00000003866,48
ENSDARG00000037178,8
