	dose_0.00003.dose_0.0003	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000014976	-0.132926623333333	-0.130320599999999	-0.0460336000000012	-0.155925281666672	-0.0823408566666686	10.2289624776471	0.410985092807618	0.83341133611316	0.999980941698775
ENSDARG00000086421	0.0999404283333334	0.196161303333333	0.198492631666667	0.138167824666663	0.168327219999999	7.08012267529412	0.410949269099575	0.833435756365705	0.999980941698775
ENSDARG00000004297	0.124728406666666	0.100657930000001	0.0109615999999999	0.0165490599999973	-0.0259118533333336	11.0440386876471	0.410937702893369	0.833443640670092	0.999980941698775
ENSDARG00000015495	-0.12189119433333	-0.0646918653333302	0.0282512103333357	0.143419530833333	0.101169291666668	9.51886011247059	0.4109247734123	0.833452454199206	0.999980941698775
ENSDARG00000059367	-0.148777900000002	-0.209919803666667	-0.117127246666669	-0.0459611716666704	0.0118794933333319	10.3434885122941	0.410894517147866	0.833473078418903	0.999980941698775
ENSDARG00000007086	-0.217243288666666	-0.128654416	0.0479182146666659	-0.195757682333335	-0.171281276666667	8.04112926323529	0.410819213798057	0.833524407152245	0.999980941698775
ENSDARG00000100560	0.148305073333333	0.0177817650000023	-0.0938800063333316	-0.0283360450000014	0.0276307283333352	8.09007045364706	0.410814882212414	0.833527359592414	0.999980941698775
ENSDARG00000008203	-0.174898302666666	0.0974795759999996	-0.164435785333333	0.00585720133333023	-0.0443690316666672	6.45230971305882	0.410682146473294	0.83361782890969	0.999980941698775
ENSDARG00000079252	0.172279146333334	0.059392169333333	-0.195031270666667	0.295246849499998	-0.0811584333333339	4.27030560329412	0.4105894011009	0.833681036831204	0.999980941698775
ENSDARG00000040110	-0.081823835999999	-0.282773163333333	-0.114282259	-0.0420320183333356	0.0546565223333335	7.26037936923529	0.410587953318984	0.833682023492556	0.999980941698775
ENSDARG00000102004	-0.0258968599999996	-0.0939033966666667	-0.104635643333333	-0.200440940000002	-0.031814970000001	13.3700788311765	0.41036280017609	0.833835452883742	0.999980941698775
ENSDARG00000057007	0.0910114899999961	-0.0568931799999994	-0.0429173400000025	0.0128614166666594	-0.013764590000001	11.4871160358824	0.410273281316135	0.833896448304719	0.999980941698775
ENSDARG00000099069	0.185069552999999	-0.0216207906666668	-0.163267801333333	-0.0112139078333371	0.046134986666666	7.95241552358824	0.410261935073007	0.833904179015332	0.999980941698775
ENSDARG00000045487	-0.0887843299999993	-0.0846037133333333	-0.0114946666666675	-0.0279329566666711	-0.00343808999999951	14.3167757441176	0.410253361372023	0.833910020626278	0.999980941698775
ENSDARG00000075454	0.075845792666664	0.142836732666666	-0.100980494333333	-0.0849434255000032	0.0712421770000002	6.98257822235294	0.410239554782213	0.833919427543208	0.999980941698775
ENSDARG00000074094	-0.110882348000001	-0.0330722889999979	0.0700185843333347	0.168297886166664	0.00791578133333459	9.43773778652941	0.410180396907275	0.833959732859298	0.999980941698775
ENSDARG00000056453	0.000196670333332705	0.230791758333334	0.0391378330000007	0.0721359318333308	0.100787377333333	6.24562888394118	0.410134604388573	0.833990930970066	0.999980941698775
ENSDARG00000015997	-0.0864172133333359	0.0575737509999996	-0.0356689090000017	-0.0352659821666697	0.0632392973333307	7.51797987547059	0.410041635040793	0.834054267224266	0.999980941698775
ENSDARG00000062269	0.021215004000001	-0.023782416666668	0.0656042593333321	-0.132008474500003	0.0305747959999989	7.59179659188235	0.410003149339268	0.834080484763465	0.999980941698775
ENSDARG00000028448	-0.07439740733333	0.0962216533333349	-0.0355564606666645	-0.00340015083333345	-0.00160880733333091	7.81860791641176	0.409865151851993	0.834174486683058	0.999980941698775
ENSDARG00000058966	-0.102613805666667	-0.0353378703333345	-0.170418850000002	-0.174273360000003	-0.0135555333333333	7.97146766770588	0.409700853428309	0.834286392503451	0.999980941698775
ENSDARG00000076966	-0.0658937563333328	-0.0189017196666672	-0.0745106300000025	0.0418395529999973	0.0610979026666669	8.49558428794118	0.409668351954269	0.834308528148331	0.999980941698775
ENSDARG00000070059	-0.0994201873333322	-0.119777069999998	-0.101199045666665	-0.163280797500001	0.135421248666667	6.68712904176471	0.409585707572645	0.834364812127254	0.999980941698775
ENSDARG00000031343	0.114978603333329	0.0986043433333315	-0.0513566100000027	-0.0170405985000066	-0.012603433333334	10.2188025154706	0.409450622525081	0.834456803119971	0.999980941698775
