plate_id,dose,Dose_mg_L,Group,endpoint,endpoint_value_norm
34DCA,Dose4,0.001,B,ld_pearson,-10.480338714843796
34DCA,Dose4,0.001,C,ld_pearson,69.57906655818022
34DCA,Dose4,0.001,C,ld_pearson,-51.69997991341817
34DCA,Dose5,1e-4,C,ld_pearson,13.553907546581655
34DCA,Dose5,1e-4,A,ld_pearson,-32.06714063157047
34DCA,Dose5,1e-4,A,ld_pearson,20.27651722890444
34DCA,Dose5,1e-4,A,ld_pearson,-74.09916004982686
34DCA,Dose5,1e-4,B,ld_pearson,62.3436544107343
34DCA,Dose5,1e-4,B,ld_pearson,71.05891657538308
34DCA,Dose5,1e-4,B,ld_pearson,-5.83142094873061
34DCA,Dose5,1e-4,C,ld_pearson,25.422872748281634
34DCA,Control,0,C,ld_pearson,-12.065146814184118
34DCA,Control,0,C,ld_pearson,-13.703343771346027
34DCA,Control,0,A,ld_pearson,-0.7078019127213793
34DCA,Control,0,A,ld_pearson,-7.87994267990328
34DCA,Control,0,A,ld_pearson,13.291128418569514
34DCA,Control,0,B,ld_pearson,8.385349150013283
34DCA,Control,0,B,ld_pearson,29.156382088624582
34DCA,Control,0,B,ld_pearson,0
34DCA,Control,0,C,ld_pearson,2.0114887483826607
34DCA,Dose2,0.1,C,ld_pearson,-49.82297566539512
34DCA,Dose5,1e-4,C,ld_pearson,-83.08483653668415
4TOP,Dose1,0.1,A,ld_pearson,0.67372850476292
4TOP,Dose1,0.1,A,ld_pearson,10.90142815083314
4TOP,Dose1,0.1,A,ld_pearson,4.858618716941777
4TOP,Dose1,0.1,B,ld_pearson,-10.25653486640941
4TOP,Dose1,0.1,B,ld_pearson,-18.907471438767658
4TOP,Dose1,0.1,B,ld_pearson,-6.870524021682073
4TOP,Dose1,0.1,C,ld_pearson,-12.112479910711684
4TOP,Dose1,0.1,C,ld_pearson,-1.935445570328227
4TOP,Dose1,0.1,C,ld_pearson,-0.4145293116186224
4TOP,Dose2,0.01,A,ld_pearson,3.811784339181571
4TOP,Dose2,0.01,A,ld_pearson,4.673200875981593
4TOP,Dose2,0.01,A,ld_pearson,5.518305420466135
4TOP,Dose2,0.01,B,ld_pearson,-6.991250850186063
4TOP,Dose2,0.01,B,ld_pearson,21.22436114290214
4TOP,Dose2,0.01,B,ld_pearson,-2.815802646844574
4TOP,Dose2,0.01,C,ld_pearson,-30.196525393383226
4TOP,Dose2,0.01,C,ld_pearson,9.400803624178764
4TOP,Dose2,0.01,C,ld_pearson,-6.486467165876249
4TOP,Dose3,0.001,A,ld_pearson,-18.2796322670647
4TOP,Dose3,0.001,A,ld_pearson,16.648033597299673
4TOP,Dose3,0.001,A,ld_pearson,1.247212837768032
4TOP,Dose3,0.001,B,ld_pearson,6.514683900917035
4TOP,Dose3,0.001,B,ld_pearson,-8.887780578364783
4TOP,Dose3,0.001,B,ld_pearson,14.619784169021216
4TOP,Dose3,0.001,C,ld_pearson,14.890260663917076
4TOP,Dose3,0.001,C,ld_pearson,3.1331359083419272
4TOP,Dose3,0.001,C,ld_pearson,17.16616790828857
4TOP,Dose4,1e-4,A,ld_pearson,-28.475435230177325
4TOP,Dose4,1e-4,A,ld_pearson,-41.04875739646903
4TOP,Dose4,1e-4,A,ld_pearson,-8.776353007014563
4TOP,Dose4,1e-4,B,ld_pearson,16.083768835828877
4TOP,Dose4,1e-4,B,ld_pearson,-1.3754802984529704
4TOP,Dose4,1e-4,B,ld_pearson,2.915730600396799
4TOP,Dose4,1e-4,C,ld_pearson,-29.87341800617081
4TOP,Dose4,1e-4,C,ld_pearson,20.153636209832328
4TOP,Dose4,1e-4,C,ld_pearson,13.645717148064179
4TOP,Dose5,1e-5,A,ld_pearson,-3.137409164603895
4TOP,Dose5,1e-5,A,ld_pearson,15.921813754384686
4TOP,Dose5,1e-5,A,ld_pearson,-30.750663791853796
4TOP,Dose5,1e-5,B,ld_pearson,3.0184652584533893
4TOP,Dose5,1e-5,B,ld_pearson,5.311359965689718
4TOP,Dose5,1e-5,B,ld_pearson,16.524768980354636
4TOP,Dose5,1e-5,C,ld_pearson,6.935695459049768
4TOP,Dose5,1e-5,C,ld_pearson,11.049901862503916
4TOP,Dose5,1e-5,C,ld_pearson,-16.49877115916584
4TOP,Control,0,A,ld_pearson,-3.5102797231290452
4TOP,Control,0,A,ld_pearson,7.403542553172684
4TOP,Control,0,A,ld_pearson,1.3119354021378342
4TOP,Control,0,B,ld_pearson,0
4TOP,Control,0,B,ld_pearson,-31.4749181012009
4TOP,Control,0,B,ld_pearson,6.140402778738746
4TOP,Control,0,C,ld_pearson,-73.76308039178932
4TOP,Control,0,C,ld_pearson,-4.1530251665157465
4TOP,Control,0,C,ld_pearson,4.299289392418444
4TPP,Dose1,1,A,ld_pearson,-47.67930076584504
4TPP,Dose1,1,A,ld_pearson,-66.69887959688
4TPP,Dose1,1,A,ld_pearson,-84.94049135227765
4TPP,Dose1,1,B,ld_pearson,12.379900832400665
4TPP,Dose1,1,B,ld_pearson,-38.49838642093102
4TPP,Dose1,1,B,ld_pearson,-3.82970465920296
4TPP,Dose2,0.1,C,ld_pearson,-100
4TPP,Dose2,0.1,C,ld_pearson,35.754358497422686
4TPP,Dose2,0.1,C,ld_pearson,-11.327522668160512
4TPP,Dose2,0.1,A,ld_pearson,35.61997697424877
4TPP,Dose2,0.1,A,ld_pearson,20.471717390217847
4TPP,Dose2,0.1,A,ld_pearson,9.409791234878483
4TPP,Dose2,0.1,B,ld_pearson,39.232777098110205
4TPP,Dose2,0.1,B,ld_pearson,35.09631386667033
4TPP,Dose2,0.1,B,ld_pearson,30.67396389872809
