plate_id,Cycle,Dose,pval,se,value,sd
34DCA,Light,Control,1,29.026964228995972,690.2881481481481,337.26284714957944
34DCA,Dark,Control,1,17.52040750260644,1166.5237037037036,203.56873942908663
4C3MP,Light,Dose1,1,36.49501129743267,810.925925925926,424.03371292382474
4C3MP,Light,Dose2,1,41.24329496124283,864.5170370370371,479.20378358284125
4C3MP,Light,Dose3,0.8277467576027254,32.8112776254452,706.4266666666666,381.2325954334119
4C3MP,Light,Dose4,1,32.605557087466714,878.5303703703704,378.8423387807214
4C3MP,Light,Dose5,1,38.724302450191075,836.1874074074074,449.9357354492673
4C3MP,Dark,Dose1,6.069000690985767e-6,22.634930452297393,1434.05,262.99412605293276
4C3MP,Dark,Dose2,0.18343421509376034,35.70590292686143,1372.5237037037036,414.8651021910989
4C3MP,Dark,Dose3,1,22.88142482930982,1295.7837037037036,265.8581319042415
4C3MP,Dark,Dose4,1,21.72794356209218,1281.9185185185186,252.45589068995298
4C3MP,Dark,Dose5,0.003948306988959178,24.958634532625076,1389.2874074074075,289.99312766680276
4C3MP,Light,Control,1,24.416085712680907,799.325925925926,283.689280034358
4C3MP,Dark,Control,1,24.320305954048017,1243.2592592592594,282.57641980409113
4TOP,Light,Dose1,1,34.98911127787441,837.98,406.5367358334171
4TOP,Light,Dose2,0.22837738062260893,28.891416872425268,719.0488888888889,335.6879291857171
4TOP,Light,Dose3,1.4652529916664941e-7,22.312854414643294,588.382962962963,259.2519406627923
4TOP,Light,Dose4,1,39.4977262249152,826.422962962963,458.9221076464695
4TOP,Light,Dose5,0.0030656510809334023,28.057731801380818,661.3844444444444,326.0013839973064
4TOP,Dark,Dose1,0.80712444088845825,31.71682010438846,1444.6474074074074,368.51614817685925
4TOP,Dark,Dose2,1,19.630369780261525,1364.4651851851852,228.0842857165387
4TOP,Dark,Dose3,1,19.089602864767762,1351.6666666666667,221.8011419428768
4TOP,Dark,Dose4,1,21.356814650764456,1335.3548148148147,248.14376241134792
4TOP,Dark,Dose5,0.05715128533184155,18.756090160506357,1274.1125925925926,217.92607449481773
4TOP,Light,Control,1,31.650433842368912,842.7666666666667,367.74480951520326
4TOP,Dark,Control,1,17.658528605530403,1361.4362962962964,205.17356162323958
4TPP,Light,Dose1,3.3494125398704413e-4,43.08908989895973,1036.1368421052632,500.64998274571576
4TPP,Light,Dose2,0.9523634197422592,27.012849353648257,669.5348148148148,313.86094704086844
4TPP,Light,Dose3,1,31.88942947057418,809.5311111111112,370.5216877787694
4TPP,Light,Dose4,1,30.498953902735586,710.9207407407407,354.36582162612785
4TPP,Light,Dose5,1,33.27095817777457,736.1201492537314,386.5736008046531
4TPP,Dark,Dose1,0.003973145322653223,37.49588579633607,1409.9212598425197,435.6628237215144
