gene.id	bmd
ENSDARG00000018846	2.163728053
ENSDARG00000019207	1.516192147
ENSDARG00000019228	1.036470956
ENSDARG00000019260	2.375496919
ENSDARG00000019492	1.055377675
ENSDARG00000019838	0.32772614
ENSDARG00000019932	1.010964444
ENSDARG00000019986	0.856776823
ENSDARG00000020046	0.56125676
ENSDARG00000020265	1.124689263
ENSDARG00000020364	2.211902865
ENSDARG00000020741	1.0031151
ENSDARG00000021004	1.00842953
ENSDARG00000021172	2.522826792
ENSDARG00000021208	2.599634438
ENSDARG00000021339	0.853994457
ENSDARG00000021573	1.128172825
ENSDARG00000021913	NA
ENSDARG00000022261	0.885686415
ENSDARG00000022372	2.373244393
ENSDARG00000022550	0.784943199
ENSDARG00000022767	2.473056873
ENSDARG00000023082	0.059551986
ENSDARG00000023111	2.379107613
ENSDARG00000023151	1.169120551
ENSDARG00000023176	1.27353055
ENSDARG00000023712	0.455907571
ENSDARG00000023820	1.135068516
ENSDARG00000024160	0.8460948
ENSDARG00000024471	2.704430245
ENSDARG00000024503	1.280506887
ENSDARG00000025428	0.003191115
ENSDARG00000029039	1.0186864
ENSDARG00000029230	2.31954743
ENSDARG00000029388	1.339743074
ENSDARG00000029493	2.404085057
ENSDARG00000029747	1.089635564
ENSDARG00000029822	1.240345293
ENSDARG00000029890	2.726772179
ENSDARG00000030254	1.470563721
ENSDARG00000030270	1.162872695
ENSDARG00000030872	2.77885248
ENSDARG00000030915	0.301779952
ENSDARG00000031278	1.510766736
ENSDARG00000031616	1.451131035
ENSDARG00000031664	NA
ENSDARG00000031683	0.003194703
ENSDARG00000031848	2.500362499
ENSDARG00000032242	2.68698508
ENSDARG00000032584	0.559534955
ENSDARG00000032639	0.874320276
ENSDARG00000033046	0.860259003
ENSDARG00000033273	1.270966331
ENSDARG00000033594	0.009366758
ENSDARG00000034650	0.619648754
ENSDARG00000034862	1.256312972
ENSDARG00000035652	2.365061405
ENSDARG00000035882	1.07607173
ENSDARG00000036041	2.543072147
ENSDARG00000036833	1.606348684
ENSDARG00000036846	1.235533209
ENSDARG00000037191	1.068800943
ENSDARG00000037281	1.374221831
ENSDARG00000037359	0.097402419
ENSDARG00000037383	0.077463769
ENSDARG00000037421	0.011193594
ENSDARG00000037533	1.041427829
ENSDARG00000037618	1.047305151
ENSDARG00000037836	2.682745148
ENSDARG00000037873	0.83935988
ENSDARG00000038009	0.872158174
ENSDARG00000038293	1.248821048
ENSDARG00000038297	0.923431438
ENSDARG00000038439	1.525338787
ENSDARG00000038666	1.322262592
ENSDARG00000038709	0.389987989
ENSDARG00000038713	1.27888368
ENSDARG00000038792	0.140648285
ENSDARG00000039099	0.885625974
ENSDARG00000039116	0.914092323
ENSDARG00000039174	0.989830187
ENSDARG00000039423	1.200474332
ENSDARG00000039516	1.000733731
ENSDARG00000039517	0.859476417
ENSDARG00000039747	0.445768383
ENSDARG00000039979	0.837416358
ENSDARG00000040004	0.063163573
ENSDARG00000040427	1.820510349
ENSDARG00000040466	0.652036695
ENSDARG00000040568	0.290298541
ENSDARG00000040683	2.477136743
ENSDARG00000040747	0.47585875
ENSDARG00000041083	1.256447837
ENSDARG00000041433	0.716036074
ENSDARG00000041540	1.067118368
ENSDARG00000041569	1.918969263
ENSDARG00000041645	1.214494423
ENSDARG00000041685	1.370284127
ENSDARG00000041787	1.093934975
ENSDARG00000041797	0.800889286
ENSDARG00000042000	1.383136319
ENSDARG00000042065	0.739841196
ENSDARG00000042124	0.39931829
ENSDARG00000042379	0.566560309
ENSDARG00000042667	0.984426419
ENSDARG00000042920	0.891778455
ENSDARG00000042953	2.079755916
ENSDARG00000042982	0.82258489
ENSDARG00000042993	0.843922241
ENSDARG00000043004	0.409200244
ENSDARG00000043173	1.105379956
ENSDARG00000043175	1.309069833
ENSDARG00000043279	0.722006662
ENSDARG00000043285	1.039104019
ENSDARG00000043518	0.724403394
ENSDARG00000043719	1.707978537
ENSDARG00000043997	0.978585338
ENSDARG00000044204	1.672042294
ENSDARG00000044441	1.019354546
ENSDARG00000044512	0.618842006
ENSDARG00000044528	0.923260011
ENSDARG00000044642	1.078859318
