animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal57	Dose5C	0	     0.0	    60.0	77	    22.9	     0.0	147	    25.9	   413.8	98	    11.1	   545.8	2	     0.1
Animal57	Dose5C	1	     0.0	    60.0	77	    22.9	     0.0	147	    25.9	   413.8	98	    11.1	   545.8	0	     0.0
Animal58	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal58	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal59	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal59	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal60	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal60	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal61	ControlA	0	     0.0	    60.0	81	    15.2	     0.0	162	    31.6	   497.3	112	    13.1	   659.1	5	     0.2
Animal61	ControlA	1	     0.0	    60.0	81	    15.2	     0.0	162	    31.6	   497.3	112	    13.1	   659.1	0	     0.0
Animal62	ControlA	0	     0.0	    60.0	79	    22.7	     0.0	148	    23.7	   379.3	107	    13.4	   843.0	4	     0.2
Animal62	ControlA	1	     0.0	    60.0	79	    22.7	     0.0	148	    23.7	   379.3	107	    13.4	   843.0	0	     0.0
Animal63	ControlA	0	     0.0	    60.0	79	     8.9	     0.0	133	    48.0	   807.1	63	     2.7	    67.2	1	     0.3
Animal63	ControlA	1	     0.0	    60.0	79	     8.9	     0.0	133	    48.0	   807.1	63	     2.7	    67.2	0	     0.0
Animal64	ControlB	0	     0.0	    60.0	91	    17.4	     0.0	137	    29.7	   471.8	83	    12.7	   640.2	5	     0.2
Animal64	ControlB	1	     0.0	    60.0	91	    17.4	     0.0	137	    29.7	   471.8	83	    12.7	   640.2	0	     0.0
Animal65	ControlB	0	     0.0	    60.0	37	     3.4	     0.0	205	    46.5	   936.1	184	     9.8	   473.4	7	     0.3
Animal65	ControlB	1	     0.0	    60.0	37	     3.4	     0.0	205	    46.5	   936.1	184	     9.8	   473.4	0	     0.0
Animal66	ControlB	0	     0.0	    60.0	84	    22.7	     0.0	150	    27.7	   433.5	89	     9.4	   456.9	4	     0.1
Animal66	ControlB	1	     0.0	    60.0	84	    22.7	     0.0	150	    27.7	   433.5	89	     9.4	   456.9	0	     0.0
Animal67	ControlC	0	     0.0	    60.0	37	    47.4	     0.0	55	    10.3	   156.3	23	     2.2	   106.4	1	     0.1
Animal67	ControlC	1	     0.0	    60.0	37	    47.4	     0.0	55	    10.3	   156.3	23	     2.2	   106.4	0	     0.0
Animal68	ControlC	0	     0.0	    60.0	87	    17.0	     0.0	181	    30.0	   491.7	124	    12.9	   606.6	1	     0.0
Animal68	ControlC	1	     0.0	    60.0	87	    17.0	     0.0	181	    30.0	   491.7	124	    12.9	   606.6	0	     0.0
Animal69	ControlC	0	     0.0	    60.0	78	    20.3	     0.0	164	    25.1	   374.3	110	    14.4	   773.6	4	     0.1
Animal69	ControlC	1	     0.0	    60.0	78	    20.3	     0.0	164	    25.1	   374.3	110	    14.4	   773.6	0	     0.0
Animal70	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal70	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal71	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal71	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal72	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal72	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal73	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal73	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal74	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal74	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal75	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal75	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal76	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal76	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal77	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal77	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal78	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal78	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal79	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal79	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal80	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal80	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal81	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal81	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal82	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal82	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal83	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal83	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal84	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal84	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal85	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal85	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal86	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal86	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal87	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal87	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal88	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal88	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal89	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal89	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal90	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal90	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal91	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal91	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal92	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal92	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal93	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal93	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal94	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal94	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal95	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal95	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal96	NA	0	     0.0	    60.0	0	     0.0	     0.0	1	     0.0	    28.6	0	     0.0	     0.0	5	    59.9
Animal96	NA	1	     0.0	    60.0	0	     0.0	     0.0	1	     0.0	    28.6	0	     0.0	     0.0	0	     0.0
Animal01	Dose1A	0	    60.0	   120.0	52	     5.9	     0.0	179	    48.4	   968.6	134	     5.8	   204.8	1	     0.0
Animal01	Dose1A	1	    60.0	   120.0	52	     5.9	     0.0	179	    48.4	   968.6	134	     5.8	   204.8	0	     0.0
Animal02	Dose1A	0	    60.0	   120.0	70	     9.0	     0.0	173	    27.0	   408.7	129	    23.0	  1648.1	14	     1.1
Animal02	Dose1A	1	    60.0	   120.0	70	     9.0	     0.0	173	    27.0	   408.7	129	    23.0	  1648.1	0	     0.0
Animal03	Dose1A	0	    60.0	   120.0	80	    14.6	     0.0	162	    28.6	   447.1	118	    16.8	  1025.1	2	     0.1
Animal03	Dose1A	1	    60.0	   120.0	80	    14.6	     0.0	162	    28.6	   447.1	118	    16.8	  1025.1	0	     0.0
Animal04	Dose1B	0	    60.0	   120.0	87	    20.8	     0.0	142	    36.6	   569.7	61	     2.6	    90.2	0	     0.0
Animal04	Dose1B	1	    60.0	   120.0	87	    20.8	     0.0	142	    36.6	   569.7	61	     2.6	    90.2	0	     0.0
Animal05	Dose1B	0	    60.0	   120.0	24	    56.0	     0.0	24	     4.0	    48.0	0	     0.0	     0.0	0	     0.0
Animal05	Dose1B	1	    60.0	   120.0	24	    56.0	     0.0	24	     4.0	    48.0	0	     0.0	     0.0	0	     0.0
Animal06	Dose1B	0	    60.0	   120.0	84	    27.9	     0.0	122	    26.8	   397.3	79	     5.2	   284.8	2	     0.1
Animal06	Dose1B	1	    60.0	   120.0	84	    27.9	     0.0	122	    26.8	   397.3	79	     5.2	   284.8	0	     0.0
Animal07	Dose1C	0	    60.0	   120.0	77	    15.6	     0.0	170	    38.9	   656.8	109	     5.5	   152.0	0	     0.0
Animal07	Dose1C	1	    60.0	   120.0	77	    15.6	     0.0	170	    38.9	   656.8	109	     5.5	   152.0	0	     0.0
Animal08	Dose1C	0	    60.0	   120.0	73	    17.8	     0.0	141	    26.4	   426.4	107	    15.6	   966.2	6	     0.3
Animal08	Dose1C	1	    60.0	   120.0	73	    17.8	     0.0	141	    26.4	   426.4	107	    15.6	   966.2	0	     0.0
Animal09	Dose1C	0	    60.0	   120.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	    60.0
Animal09	Dose1C	1	    60.0	   120.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal10	NA	0	    60.0	   120.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	    60.0
Animal10	NA	1	    60.0	   120.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	    60.0	   120.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	    60.0
