	dose_0.0003.dose_0.00003	dose_0.003.dose_0.00003	dose_0.03.dose_0.00003	dose_0.3.dose_0.00003	dose_3.dose_0.00003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000100686	0.580693587501292	0.932500197097193	0.46864914547815	-0.209308245414921	0.75789205544387	4.43870313947223	4.7702229847171	0.00533475544485864	0.036948121044021
ENSDARG00000079983	0.460209037507323	1.02246329446146	0.372655995840331	0.805194175089017	0.495079446076264	4.35909691063951	4.6773560774819	0.00585459532131487	0.0386791305638928
ENSDARG00000087145	0.0931765031523906	0.4068022170331	0.887686127819244	0.0481649674597184	0.659635986671427	4.46725418373838	4.65325839968275	0.00599836784145931	0.0386791305638928
ENSDARG00000018521	-0.598930427669167	0.174706811434673	0.243763561532623	-0.437359555256725	0.529751640386769	4.09843166385735	4.58652403949604	0.00641706019188563	0.0390789728113776
ENSDARG00000096756	0.828777314410336	0.302719275290876	0.357403865102525	0.688125384080317	1.11505709385138	5.05294979968699	4.55630310324323	0.00661708567981942	0.0390789728113776
ENSDARG00000110394	0.0684243169096534	-0.0820045760731336	0.62975095895399	0.855094810507389	0.943868111466335	4.22823169943055	4.48737199768232	0.00709929481942598	0.0390789728113776
ENSDARG00000092383	0.39091207824616	0.383902233260654	-0.0732866990314252	0.256368837151928	0.614603572293725	6.32884265824412	4.4779358201729	0.00716824053558256	0.0390789728113776
ENSDARG00000075177	0.738956571881204	0.85154036213411	0.657393950038593	0.415006271552023	0.47444577387737	5.12105115804083	4.46821852489154	0.00724000535858753	0.0390789728113776
ENSDARG00000102200	-0.203471157949372	-0.52390350706954	0.0637411923656028	0.0938694291168076	-0.66183173548221	5.29314687916635	4.45827604451637	0.0073142462481188	0.0390789728113776
ENSDARG00000068678	0.75028378165912	0.926204958050622	0.48822174174159	0.663589723551882	0.8082935296003	4.71867335608628	4.41911181877927	0.00761487918837119	0.0395550668951503
ENSDARG00000097033	0.941132839158625	0.769459356364337	0.848446518495818	0.0391476000753279	1.01620234783835	4.8958558574615	4.36272103321445	0.00807170496799785	0.0407948332166378
ENSDARG00000097559	0.89475539705768	0.837335177564306	1.25380348838484	0.452814407618288	0.811843518518576	3.77701819333595	4.24568042172536	0.0091183243016011	0.044342372393952
ENSDARG00000069026	-0.748257979319699	-0.218256319516599	-0.611769833825623	-0.084289809652458	-0.84845050205345	5.32365318745109	4.23222117161824	0.00924787445649267	0.044342372393952
ENSDARG00000089569	0.102348396380617	-0.335387570599693	-0.71945498177935	-0.602036275308509	-0.64104516595591	4.05274452466321	4.19960357215819	0.00957023594613272	0.0447408530481705
ENSDARG00000036637	0.693565435433306	0.442541519684956	0.918508677734623	0.659793594707683	0.683864163532366	6.20287304718031	4.1518999987352	0.0100639687409834	0.045271658633488
ENSDARG00000030896	0.4623511847652	0.550700735132551	1.0390124785944	0.649615673519873	0.932247158118438	8.23750212313446	4.11771673583043	0.010434827665865	0.045271658633488
ENSDARG00000042667	0.144802712184013	0.0412875617900994	0.381174318409446	0.465531358350939	1.18254919686381	9.20818199293247	4.11010051476232	0.0105194704792261	0.045271658633488
ENSDARG00000074235	-0.711434718365849	-0.420004623012909	-0.00556257231928203	-0.0561464286206936	-0.919235421160536	4.45707723500804	4.09829487625129	0.0106521549725854	0.045271658633488
ENSDARG00000074170	-0.0626845032728029	0.178889380597668	0.0413893789098712	0.243673435028453	-0.603260408612899	5.21936018078407	4.07123256234155	0.0109632448659937	0.0455583731097961
