E5,Counts
ENSDARG00000004436,1
ENSDARG00000004445,14
ENSDARG00000004447,0
ENSDARG00000004451,25
ENSDARG00000004452,232
ENSDARG00000004455,6
ENSDARG00000004459,1
ENSDARG00000004460,6
ENSDARG00000004470,80
ENSDARG00000004472,24
ENSDARG00000004473,14
ENSDARG00000004492,4
ENSDARG00000004497,26
ENSDARG00000004498,0
ENSDARG00000004502,0
ENSDARG00000004517,37
ENSDARG00000004525,12
ENSDARG00000004527,10
ENSDARG00000004529,0
ENSDARG00000004537,243
ENSDARG00000004539,23
ENSDARG00000004561,2
ENSDARG00000004574,10
ENSDARG00000004576,46
ENSDARG00000004580,21
ENSDARG00000004581,59
ENSDARG00000004586,0
ENSDARG00000004587,5
ENSDARG00000004588,203
ENSDARG00000004592,6
ENSDARG00000004594,21
ENSDARG00000004597,30
ENSDARG00000004598,0
ENSDARG00000004616,27
ENSDARG00000004618,4
ENSDARG00000004621,98
ENSDARG00000004627,0
ENSDARG00000004632,9
ENSDARG00000004633,2
ENSDARG00000004634,23
ENSDARG00000004635,92
ENSDARG00000004636,45
ENSDARG00000004643,20
ENSDARG00000004647,4
ENSDARG00000004648,0
ENSDARG00000004658,62
ENSDARG00000004672,88
ENSDARG00000004680,17
ENSDARG00000004687,20
ENSDARG00000004692,31
ENSDARG00000004695,10
ENSDARG00000004696,25
ENSDARG00000004697,19
ENSDARG00000004702,76
ENSDARG00000004706,32
ENSDARG00000004712,16
ENSDARG00000004713,0
ENSDARG00000004714,59
ENSDARG00000004721,8
ENSDARG00000004724,8
ENSDARG00000004726,29
ENSDARG00000004735,191
ENSDARG00000004745,3
ENSDARG00000004748,11
ENSDARG00000004753,19
ENSDARG00000004754,51
ENSDARG00000004757,1272
ENSDARG00000004763,12
ENSDARG00000004771,17
ENSDARG00000004774,45
ENSDARG00000004782,140
ENSDARG00000004785,54
ENSDARG00000004789,28
ENSDARG00000004794,8
ENSDARG00000004796,70
ENSDARG00000004806,28
ENSDARG00000004823,0
ENSDARG00000004830,79
ENSDARG00000004836,25
ENSDARG00000004840,28
ENSDARG00000004843,51
ENSDARG00000004851,19
ENSDARG00000004861,27
ENSDARG00000004864,0
ENSDARG00000004866,38
ENSDARG00000004869,7
ENSDARG00000004870,7
ENSDARG00000004871,0
ENSDARG00000004874,1
ENSDARG00000004875,8
ENSDARG00000004877,95
ENSDARG00000004880,9
ENSDARG00000004889,0
ENSDARG00000004891,95
ENSDARG00000004898,0
ENSDARG00000004904,22
ENSDARG00000004906,53
ENSDARG00000004925,0
ENSDARG00000004930,99
ENSDARG00000004931,8
ENSDARG00000004932,9
ENSDARG00000004937,0
ENSDARG00000004939,25
ENSDARG00000004948,86
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,68
ENSDARG00000004956,19
ENSDARG00000004964,37
ENSDARG00000004979,22
ENSDARG00000004988,31
ENSDARG00000005002,0
ENSDARG00000005004,2
ENSDARG00000005010,2
ENSDARG00000005015,71
ENSDARG00000005023,59
ENSDARG00000005026,68
ENSDARG00000005034,3
ENSDARG00000005049,4
ENSDARG00000005050,0
ENSDARG00000005057,12
ENSDARG00000005058,34
ENSDARG00000005078,3
ENSDARG00000005085,32
ENSDARG00000005092,4
ENSDARG00000005095,10
ENSDARG00000005098,13
ENSDARG00000005104,9
ENSDARG00000005108,44
ENSDARG00000005112,217
ENSDARG00000005115,7
ENSDARG00000005122,105
ENSDARG00000005126,26
ENSDARG00000005128,2
ENSDARG00000005134,46
ENSDARG00000005139,24
ENSDARG00000005141,24
ENSDARG00000005150,21
ENSDARG00000005154,17
ENSDARG00000005159,26
ENSDARG00000005162,272
ENSDARG00000005163,3
ENSDARG00000005172,5
ENSDARG00000005176,1
ENSDARG00000005179,9
ENSDARG00000005185,124
ENSDARG00000005186,34
ENSDARG00000005191,340
ENSDARG00000005210,12
ENSDARG00000005216,25
ENSDARG00000005218,0
ENSDARG00000005220,7
ENSDARG00000005221,21
ENSDARG00000005230,41
ENSDARG00000005232,51
ENSDARG00000005236,294
ENSDARG00000005246,8
ENSDARG00000005251,12
ENSDARG00000005254,45
ENSDARG00000005271,1
ENSDARG00000005274,0
ENSDARG00000005284,14
ENSDARG00000005314,0
ENSDARG00000005315,84
ENSDARG00000005318,36
ENSDARG00000005320,1
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,0
ENSDARG00000005350,76
ENSDARG00000005355,40
ENSDARG00000005356,14
ENSDARG00000005359,119
ENSDARG00000005364,1
ENSDARG00000005368,83
ENSDARG00000005371,0
ENSDARG00000005372,17
ENSDARG00000005374,23
ENSDARG00000005382,0
ENSDARG00000005392,4
ENSDARG00000005394,34
ENSDARG00000005397,62
ENSDARG00000005414,8
ENSDARG00000005416,24
ENSDARG00000005423,8
ENSDARG00000005425,11
ENSDARG00000005448,2
ENSDARG00000005451,181
ENSDARG00000005453,49
ENSDARG00000005454,31
ENSDARG00000005456,22
ENSDARG00000005458,45
ENSDARG00000005462,41
ENSDARG00000005463,36
ENSDARG00000005464,7
ENSDARG00000005468,57
ENSDARG00000005476,58
ENSDARG00000005479,199
ENSDARG00000005481,3
ENSDARG00000005482,155
ENSDARG00000005485,32
ENSDARG00000005500,3
ENSDARG00000005510,2
ENSDARG00000005513,803
ENSDARG00000005518,7
ENSDARG00000005522,1
ENSDARG00000005525,6
ENSDARG00000005526,32
ENSDARG00000005536,107
ENSDARG00000005540,93
ENSDARG00000005541,14
ENSDARG00000005544,29
ENSDARG00000005547,14
ENSDARG00000005549,21
ENSDARG00000005551,73
