TXID,GENEID,GENENAME,BIOTYPE,Malathion_0.001_B
ENSDART00000005355,ENSDARG00000009253,rtraf,protein_coding,250
ENSDART00000156520,ENSDARG00000009253,rtraf,protein_coding,250
ENSDART00000154229,ENSDARG00000009253,rtraf,protein_coding,250
ENSDART00000150490,ENSDARG00000009262,FAR2,protein_coding,108
ENSDART00000180463,ENSDARG00000009262,FAR2,protein_coding,108
ENSDART00000048507,ENSDARG00000009266,uevld,protein_coding,91
ENSDART00000130618,ENSDARG00000009267,zgc:136439,protein_coding,80
ENSDART00000141179,ENSDARG00000009267,zgc:136439,protein_coding,80
ENSDART00000019289,ENSDARG00000009267,zgc:136439,protein_coding,80
ENSDART00000147232,ENSDARG00000009267,zgc:136439,protein_coding,80
ENSDART00000023842,ENSDARG00000009273,ppm1da,protein_coding,296
ENSDART00000149412,ENSDARG00000009280,smyd1a,protein_coding,4969
ENSDART00000027811,ENSDARG00000009280,smyd1a,protein_coding,4969
ENSDART00000134261,ENSDARG00000009281,dnm1b,protein_coding,572
ENSDART00000140280,ENSDARG00000009281,dnm1b,protein_coding,572
ENSDART00000097330,ENSDARG00000009281,dnm1b,protein_coding,572
ENSDART00000141397,ENSDARG00000009285,rpl15,protein_coding,14151
ENSDART00000143913,ENSDARG00000009285,rpl15,protein_coding,14151
ENSDART00000143066,ENSDARG00000009285,rpl15,protein_coding,14151
ENSDART00000133626,ENSDARG00000009285,rpl15,protein_coding,14151
ENSDART00000034837,ENSDARG00000009285,rpl15,protein_coding,14151
ENSDART00000024633,ENSDARG00000009299,dusp8a,protein_coding,707
ENSDART00000132387,ENSDARG00000009311,pvalb6,protein_coding,542
ENSDART00000192799,ENSDARG00000009311,pvalb6,protein_coding,542
ENSDART00000025724,ENSDARG00000009313,napsa,protein_coding,183
ENSDART00000146896,ENSDARG00000009313,napsa,protein_coding,183
ENSDART00000101671,ENSDARG00000009315,clgn,protein_coding,624
ENSDART00000009500,ENSDARG00000009336,aif1l,protein_coding,723
ENSDART00000136787,ENSDARG00000009336,aif1l,protein_coding,723
ENSDART00000139317,ENSDARG00000009336,aif1l,protein_coding,723
ENSDART00000124920,ENSDARG00000009341,nrap,protein_coding,1600
ENSDART00000126984,ENSDARG00000009341,nrap,protein_coding,1600
ENSDART00000145815,ENSDARG00000009342,txndc5,protein_coding,859
ENSDART00000128110,ENSDARG00000009346,caprin1a,protein_coding,495
ENSDART00000101018,ENSDARG00000009346,caprin1a,protein_coding,495
ENSDART00000041304,ENSDARG00000009350,atg3,protein_coding,466
ENSDART00000016591,ENSDARG00000009351,fgf6a,protein_coding,237
ENSDART00000137967,ENSDARG00000009372,diras1b,protein_coding,21
ENSDART00000147246,ENSDARG00000009386,mpp4l,protein_coding,26
ENSDART00000144086,ENSDARG00000009386,mpp4l,protein_coding,26
ENSDART00000012574,ENSDARG00000009386,mpp4l,protein_coding,26
ENSDART00000145562,ENSDARG00000009387,robo4,protein_coding,360
ENSDART00000184412,ENSDARG00000009387,robo4,protein_coding,360
ENSDART00000193574,ENSDARG00000009387,robo4,protein_coding,360
ENSDART00000184671,ENSDARG00000009390,npl,protein_coding,157
ENSDART00000011258,ENSDARG00000009390,npl,protein_coding,157
ENSDART00000012522,ENSDARG00000009401,vcanb,protein_coding,899
ENSDART00000185584,ENSDARG00000009401,vcanb,protein_coding,899
ENSDART00000153687,ENSDARG00000009402,si:ch211-210b2.2,protein_coding,92
ENSDART00000030603,ENSDARG00000009402,si:ch211-210b2.2,protein_coding,92
ENSDART00000135911,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000138702,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000187454,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000183495,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000044083,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000163250,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000183585,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000182831,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000186920,ENSDARG00000009418,mef2cb,protein_coding,823
ENSDART00000012447,ENSDARG00000009430,tmem30c,protein_coding,433
ENSDART00000171666,ENSDARG00000009436,ubxn7,protein_coding,262
ENSDART00000017852,ENSDARG00000009436,ubxn7,protein_coding,262
ENSDART00000014062,ENSDARG00000009438,myog,protein_coding,263
ENSDART00000167908,ENSDARG00000009438,myog,protein_coding,263
ENSDART00000186923,ENSDARG00000009438,myog,protein_coding,263
ENSDART00000024558,ENSDARG00000009443,zgc:92137,protein_coding,7527
ENSDART00000005903,ENSDARG00000009447,atp5mc3b,protein_coding,7162
ENSDART00000135065,ENSDARG00000009447,atp5mc3b,protein_coding,7162
ENSDART00000133700,ENSDARG00000009447,atp5mc3b,protein_coding,7162
ENSDART00000139868,ENSDARG00000009459,slc35e4,protein_coding,45
ENSDART00000139661,ENSDARG00000009459,slc35e4,protein_coding,45
ENSDART00000012692,ENSDARG00000009466,rgs9bp,protein_coding,55
ENSDART00000018862,ENSDARG00000009470,hnf1a,protein_coding,102
ENSDART00000074166,ENSDARG00000009470,hnf1a,protein_coding,102
ENSDART00000152692,ENSDARG00000009471,nid2b,protein_coding,0
ENSDART00000134097,ENSDARG00000009471,nid2b,protein_coding,0
ENSDART00000023809,ENSDARG00000009471,nid2b,protein_coding,0
ENSDART00000137980,ENSDARG00000009472,med19b,protein_coding,118
ENSDART00000003022,ENSDARG00000009472,med19b,protein_coding,118
ENSDART00000141099,ENSDARG00000009473,ppardb,protein_coding,458
ENSDART00000135394,ENSDARG00000009473,ppardb,protein_coding,458
ENSDART00000132584,ENSDARG00000009473,ppardb,protein_coding,458
ENSDART00000185842,ENSDARG00000009473,ppardb,protein_coding,458
ENSDART00000128783,ENSDARG00000009473,ppardb,protein_coding,458
ENSDART00000143698,ENSDARG00000009477,prkar2ab,protein_coding,79
ENSDART00000153959,ENSDARG00000009480,pdcl,protein_coding,1160
ENSDART00000100857,ENSDARG00000009482,slc38a8a,protein_coding,6
ENSDART00000109319,ENSDARG00000009484,arf1,protein_coding,1343
ENSDART00000003465,ENSDARG00000009488,gipc2,protein_coding,277
ENSDART00000140771,ENSDARG00000009493,MAP3K13,protein_coding,155
ENSDART00000007401,ENSDARG00000009493,MAP3K13,protein_coding,155
ENSDART00000020033,ENSDARG00000009494,xrcc1,protein_coding,266
ENSDART00000172622,ENSDARG00000009494,xrcc1,protein_coding,266
ENSDART00000139350,ENSDARG00000009499,syne1a,protein_coding,1447
ENSDART00000152842,ENSDARG00000009499,syne1a,protein_coding,1447
ENSDART00000008243,ENSDARG00000009505,prelid3b,protein_coding,633
ENSDART00000025847,ENSDARG00000009511,tnfa,protein_coding,0
ENSDART00000024313,ENSDARG00000009524,rnf150b,protein_coding,361
ENSDART00000022799,ENSDARG00000009525,tial1,protein_coding,1002
ENSDART00000133619,ENSDARG00000009525,tial1,protein_coding,1002
ENSDART00000135321,ENSDARG00000009525,tial1,protein_coding,1002
ENSDART00000131403,ENSDARG00000009525,tial1,protein_coding,1002
ENSDART00000147774,ENSDARG00000009525,tial1,protein_coding,1002
ENSDART00000016369,ENSDARG00000009534,wls,protein_coding,1065
ENSDART00000021664,ENSDARG00000009544,cldnb,protein_coding,500
ENSDART00000033970,ENSDARG00000009549,ubr4,protein_coding,1629
ENSDART00000145151,ENSDARG00000009549,ubr4,protein_coding,1629
ENSDART00000131914,ENSDARG00000009549,ubr4,protein_coding,1629
ENSDART00000156701,ENSDARG00000009549,ubr4,protein_coding,1629
ENSDART00000024440,ENSDARG00000009550,foxi3b,protein_coding,195
ENSDART00000004109,ENSDARG00000009553,gng3,protein_coding,1228
ENSDART00000122458,ENSDARG00000009557,wrap73,protein_coding,91
ENSDART00000138473,ENSDARG00000009567,spegb,protein_coding,1107
ENSDART00000055264,ENSDARG00000009568,ca10b,protein_coding,64
ENSDART00000124899,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000152155,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000152559,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000125620,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000053858,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000050201,ENSDARG00000009585,papola,protein_coding,1567
ENSDART00000124597,ENSDARG00000009594,nr1d2b,protein_coding,2615
ENSDART00000127353,ENSDARG00000009594,nr1d2b,protein_coding,2615
ENSDART00000151082,ENSDARG00000009594,nr1d2b,protein_coding,2615
ENSDART00000104466,ENSDARG00000009594,nr1d2b,protein_coding,2615
ENSDART00000021753,ENSDARG00000009607,ccnc,protein_coding,450
ENSDART00000173969,ENSDARG00000009610,rgs12a,protein_coding,197
ENSDART00000173539,ENSDARG00000009610,rgs12a,protein_coding,197
ENSDART00000040534,ENSDARG00000009610,rgs12a,protein_coding,197
