	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
100036767	7.6084617859	7.6031245989	7.6989160759	7.6016761389	7.2966502159	6.7785417399	6.6698615309	6.9723235759	7.0350654429	6.5144265159	6.2254733899	6.9030903459	6.6123589539	6.7266202989	6.8343535489	6.8043423609	6.9237008719	6.2727831379
100141362	7.3559799149	7.4725527979	7.5850525429	7.5656992779	7.2336176569	7.3298086469	7.5437303319	7.5040082089	7.4739570219	7.4197880939	7.0266677469	6.9542059399	7.3417035979	7.3805026049	7.0876476359	7.6070151139	7.5080900709	6.9831979019
393432	7.7981033369	7.8836011899	7.6726095549	7.8759027319	7.5710320109	7.1722148239	7.3117627119	7.2260933589	7.2461121209	7.2078626139	6.9619525909	7.3957413989	7.2549569329	7.1124029969	6.7567899389	7.5207634029	7.2343659169	6.8050686309
445215	6.2297514379	5.5353679529	6.1214026579	5.9699657629	6.1938850299	6.4961336469	6.1016311049	5.8390467539	6.1120814139	5.9663023179	5.7215096469	6.6162074409	6.0506666139	6.0228153729	6.2151816369	5.9661831469	6.3052266629	6.1483539789
393607	7.0986529939	6.1553856139	7.1769868959	6.6112162109	6.3326916679	6.3915067169	6.2008840129	6.7216712589	5.6002310289	6.2270248349	6.1444720529	6.3478852299	6.0229328519	6.1133014909	5.8670534019	6.1666085459	5.8124891829	6.0263828989
101886867	5.3147128069	4.9177462179	5.8291833439	5.3347392809	5.0682642759	3.9671773459	4.3820668069	4.1992569299	4.0041025289	4.5845619349	4.5949695339	4.7972399109	4.7966541739	4.5193745019	3.7262943989	4.4096985209	4.0143912929	4.3988530059
550403	10.9130258409	11.2981847989	11.1887558209	11.3920060099	10.8265630609	11.2838220569	11.0203561629	11.5327383099	11.6917479739	11.0150499449	11.0658767739	11.0973680469	11.0509647949	11.3713146179	11.3048882209	10.9743066639	11.4780895019	11.1956817919
402814	7.6036282149	8.1148262919	7.7750744659	7.9843504359	7.7164330169	8.3822667529	7.9092184829	8.6961583869	8.7614195459	8.0930557169	8.2919303189	8.2216405859	7.9762398819	8.4387998429	8.5351318839	7.9707488359	8.4138406059	8.4984191949
570001	7.4772054249	7.8205757749	7.7501323849	8.0290726209	7.4924393649	7.5402044299	7.6913691899	7.9614963469	8.0855240529	7.9717727089	7.5324159739	7.4476257309	7.6758801839	7.5658784179	7.3389704699	7.7521382639	7.9057370799	7.5337111769
101883923	9.0463165569	9.2293860299	9.0495969909	9.2686836929	8.9003332449	9.2548789019	8.9551618289	9.3240537249	9.4935234959	9.1728306489	9.0317858399	8.9961530719	9.0380883209	9.1195470489	8.9221904129	8.9340472499	9.3107325659	9.1913723989
402794	5.6129078279	5.7669573809	5.7100753269	5.8751625289	5.4693812719	5.9168706229	6.1242849129	5.3487898879	6.0100665399	5.9341958109	5.4249219349	5.7302805879	5.9511722449	5.5540655599	5.4948032989	6.0115373789	6.0301478949	5.6208219549
100007104	7.2913201759	7.6130771799	7.6240141429	7.6934464419	7.2966502159	7.3654018099	7.4025969279	7.4515733689	7.6996418199	7.2798902179	7.3565708799	7.2630319329	7.3076282519	7.5240775469	7.4026014429	7.4122129399	7.5439071269	7.3982045139
100038776	5.9233437999	6.5151836549	5.9912191469	6.3259294609	5.8516725949	5.5611183209	6.3135946559	6.4081481689	6.3394194899	6.0435751599	6.1107536989	5.3045332389	5.7459480879	5.9958844139	5.2897946539	5.4555735209	5.8270984359	5.5828625759
561082	8.7332555039	8.6668252389	8.8267671029	8.8521636639	8.0412008199	7.7432431109	7.7580744759	7.7839608829	8.1528971249	7.9070802659	7.7005165159	7.9064690749	7.7954468889	7.6589467989	7.3797863019	7.7565850409	7.7341994419	7.5874186809
553567	10.8191991139	10.9874820529	10.8684182089	11.0371339589	11.3340304389	11.4281567649	11.3408967839	11.5681510299	11.4523155819	11.5336168629	11.4303302799	11.2990148039	11.3571843629	11.5219699319	11.5223010699	11.5642024279	11.6059025849	11.4875075819
406286	8.8212422619	8.8980924209	8.8713986029	9.0539220929	9.0302682869	8.6197402959	8.7095143839	8.4117363729	8.5275947549	8.6647826359	8.4282102039	8.6425595919	8.7663832989	8.5378115849	8.7053603639	8.5646951899	8.4282856619	8.4958680859
568018	6.6972337099	7.3289768279	7.1236087209	7.5225599579	7.4206809179	7.3400680419	7.4346712239	7.6800640489	7.5711969939	7.6348137119	7.5947243289	7.3957413989	7.6306568999	7.5658784179	7.2474143359	7.3547128559	7.5171280429	7.3080126829
100535694	6.2297514379	6.3934256119	6.2118680479	6.2523938979	5.5950629149	4.6989468969	5.6494796329	4.4913859759	4.5679798289	5.1007100309	4.1399912299	4.3065540469	5.1697979859	4.4416732289	4.1603468779	4.8027005739	5.1541309709	5.4415402969
569030	6.6511297119	6.5257594899	7.1769868959	6.9457578709	7.1744332899	6.9151912879	6.7003359959	6.6557787759	6.7722689209	6.8940910169	6.6342858319	6.9966225239	6.8119173559	6.6850755309	7.0154768039	6.8796582989	6.7733982949	6.7968018189
449822	8.4559776449	8.2517199789	8.3067813519	8.3998235929	8.4489336899	8.1599756269	8.1736808969	7.8700196459	7.7280356029	8.2674679829	7.9012306659	7.8764969119	8.0398919489	7.8552656919	7.9513841919	8.2578621419	7.7874621069	7.8132188469
503761	5.0843097869	5.3334668619	5.3605496209	5.2765773209	5.2575914719	4.7304860049	4.8581012959	5.0989893749	4.9723580299	4.9157845339	4.8203052869	5.0054395489	4.9809132349	4.7301389339	4.5761646359	4.5799430569	4.9015014169	4.8137052509
