	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
562682	3.425652537	2.926635978	3.274064935	2.975801365	3.195791404	2.746095844	2.637258862	2.878130117	2.454731116	2.783243538	2.965161451	2.737795015	2.194118039	3.055831711	2.31374324	2.8547759	3.153612902	2.259773182
562687	2.498989891	2.14406058	2.45314362	1.662153014	2.810602083	2.738492485	2.613847031	2.79783314	2.852529273	2.64385476	2.849357451	3.066116081	2.888707133	3.213498903	3.331722153	2.92635428	2.814857378	3.155491586
562690	6.889607872	6.774927149	6.781976944	6.50445384	6.469291628	6.004298909	6.044589703	6.134926409	6.082769428	6.184564534	6.245513784	6.09548212	6.16741861	6.278090388	5.95728748	6.09240259	6.132256281	5.735058364
562692	4.86148787	5.293876275	4.876276942	4.834729162	4.875450846	4.725599823	5.256821365	4.826514928	4.698762024	5.125415785	4.688112133	4.577040922	5.181389933	4.723220192	4.643301531	5.240899638	4.834962763	4.679811976
562700	2.890882641	2.803894211	3.090937056	3.318036124	2.810602083	2.761183392	3.004343469	2.53508083	3.086070896	2.55326226	1.997957609	2.679273318	2.642254427	2.709905197	2.522650196	2.813420013	2.205383869	2.362445071
562701	3.847438503	3.887214188	3.868817211	4.114367864	3.541041227	3.882586124	3.824405411	3.999975116	4.066898158	4.027622005	3.742084301	3.666031309	3.737401639	3.684669254	3.838783057	3.914917447	3.908124196	3.75097142
562702	4.017821473	4.276923699	4.364985078	4.268973055	4.016318421	4.352411638	4.444771408	4.501911185	4.611574024	4.426801521	4.410155896	4.396801352	4.510735963	4.467888965	4.568426302	4.332946896	4.645423386	4.543195636
562703	4.665704931	4.439681124	4.653777356	4.776621082	4.564096024	4.446416639	4.571707452	4.416489899	4.419596198	4.585064184	4.710411784	4.597502127	4.561358474	4.614308506	4.375052076	4.519382607	4.491675698	4.5087866
562704	4.104449184	4.021814459	4.156901722	4.072981561	4.149828317	4.251851744	3.966730935	4.16037525	4.273064665	4.001210238	4.157693763	4.036149698	4.089175807	4.166369545	4.194079781	4.10171619	4.259959387	4.306163793
562705	5.111202885	5.098821563	5.157430939	5.063257965	5.164987964	4.827665838	5.140123038	4.885983388	4.929137289	4.941199164	4.860040457	5.086735851	5.025278147	4.868926854	4.843007624	5.094938642	5.015064147	4.780081391
562710	3.121082014	3.632150788	3.794029146	3.927316622	3.504766915	3.474711176	3.24685451	3.642697476	3.800227766	3.255007819	3.302626856	3.462947846	3.539981469	3.625454955	3.517822452	3.501099915	3.773741728	3.294717469
562714	4.672526474	4.357690148	4.2955185	4.185996872	4.149828317	4.381994037	4.164997455	4.57162147	4.720752217	4.261784554	4.549646779	4.504255741	4.162840831	4.536081579	4.583224778	4.239239598	4.491675698	4.351250189
562719	1.059427388	1.531269562	1.555359285	1.027403494	1.100057292	1.308703107	0.566782615	0.944485907	0.920090457	0.474472263	0.915459501	0.772357512	0.866840973	1.547528183	0.739194595	1.218967044	1.129248572	0.686983906
562720	3.414844741	3.453126584	3.417985515	3.546875672	3.434880584	3.241788866	3.414313206	3.556589162	3.649969043	3.457302715	3.172135027	3.191054209	3.393333483	3.396675198	3.216216552	3.251481258	3.483207672	3.199304595
562728	5.848520408	6.083146606	6.147405275	6.172492778	5.919500877	6.226437129	6.203335215	6.377740381	6.463206402	6.182047288	6.102135937	6.085054441	6.1596162	6.30192426	6.156786626	6.045844028	6.285035854	6.14343138
562738	3.066883363	2.93445909	3.232187344	2.948599793	2.916960843	2.883430543	3.174020708	2.906255374	3.054934605	3.027147225	2.937070192	2.653447165	2.940623684	3.08123826	2.714089852	2.770843556	2.958730549	2.65091632
562739	3.46809182	3.75651272	3.43654402	3.651795889	3.429361834	3.510865756	3.463166868	3.8268606	3.781328379	3.673437665	3.866452426	3.55416962	3.830762072	3.788578914	3.659548544	3.490643145	3.666043134	3.641795216
562741	4.263506228	4.403501573	4.637827476	4.677935218	4.156524254	4.478721701	4.31044259	4.560603228	4.83513278	4.460427528	4.296827718	4.126531247	4.430010636	4.475094729	4.216401036	4.347506863	4.555585292	4.174378564
562749	2.03176317	2.074962648	2.142461927	2.117827002	1.939788727	1.945803844	2.006571415	2.179410818	2.062363569	1.5415069	1.961235165	2.098952642	1.926289846	2.125526418	1.937389283	1.971694768	2.280344264	2.317712638
562750	1.898461401	1.957023639	2.016542164	2.257376991	2.115022111	1.732724312	1.9701597	2.321946972	2.425815178	2.563613625	1.824804606	2.387090508	2.253968577	2.308763492	2.532850165	2.463824431	2.44765464	1.987289015
562761	3.229907933	3.19760414	3.287758288	3.318036124	3.240595753	3.170120251	3.157923315	3.064381504	3.215609187	3.149012585	2.869315208	3.129937186	2.976595427	3.172716315	2.906800254	3.13545495	3.241995967	3.090499298
