Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
24-DNP,Dose_1,10,1,A,6.776625,2.140555864889839,7.599,0.38418759047072226,FALSE
24-DNP,Dose_1,10,2,A,6.776625,2.140555864889839,10.611,1.7912987289389581,FALSE
24-DNP,Dose_1,10,3,A,6.776625,2.140555864889839,9.835,1.4287760717505946,FALSE
24-DNP,Dose_2,1,10,A,6.776625,2.140555864889839,4.411,-1.1051451815866271,FALSE
24-DNP,Dose_2,1,11,A,6.776625,2.140555864889839,7.007,0.10762391385279521,FALSE
24-DNP,Dose_2,1,12,A,6.776625,2.140555864889839,12.382,2.618653916929411,FALSE
24-DNP,Dose_3,0.1,19,A,6.776625,2.140555864889839,8.596,0.8499544580181428,FALSE
24-DNP,Dose_3,0.1,20,A,6.776625,2.140555864889839,10.895,1.923974546775936,FALSE
24-DNP,Dose_3,0.1,21,A,6.776625,2.140555864889839,7.794,0.4752854231404783,FALSE
24-DNP,Dose_4,0.01,28,A,6.776625,2.140555864889839,4.725,-0.9584543125696862,FALSE
24-DNP,Dose_4,0.01,29,A,6.776625,2.140555864889839,7.322,0.2547819512424017,FALSE
24-DNP,Dose_4,0.01,30,A,6.776625,2.140555864889839,NA,NA,TRUE
24-DNP,Dose_5,0.001,37,A,6.776625,2.140555864889839,8.614,0.8583634887261207,FALSE
24-DNP,Dose_5,0.001,38,A,6.776625,2.140555864889839,9.091,1.0812028024875238,FALSE
24-DNP,Dose_5,0.001,39,A,6.776625,2.140555864889839,9.567,1.3035749478762626,FALSE
24-DNP,Dose_6,0,46,A,6.776625,2.140555864889839,2.867,-1.8264531489820306,FALSE
24-DNP,Dose_6,0,47,A,6.776625,2.140555864889839,9.578,1.308713799975582,FALSE
24-DNP,Dose_6,0,48,A,6.776625,2.140555864889839,8.291,0.7074681043551908,FALSE
24-DNP,Dose_1,10,4,B,6.776625,2.140555864889839,5.357,-0.6632039010451424,FALSE
24-DNP,Dose_1,10,5,B,6.776625,2.140555864889839,5.887,-0.4156046635324718,FALSE
24-DNP,Dose_1,10,6,B,6.776625,2.140555864889839,1.947,-2.256248051834214,FALSE
24-DNP,Dose_2,1,13,B,6.776625,2.140555864889839,9.618,1.3274005348821991,FALSE
24-DNP,Dose_2,1,14,B,6.776625,2.140555864889839,6.556,-0.10306902221930764,FALSE
24-DNP,Dose_2,1,15,B,6.776625,2.140555864889839,4.509,-1.059362681065416,FALSE
24-DNP,Dose_3,0.1,22,B,6.776625,2.140555864889839,8.97,1.024675429395009,FALSE
24-DNP,Dose_3,0.1,23,B,6.776625,2.140555864889839,5.897,-0.4109329798058173,FALSE
24-DNP,Dose_3,0.1,24,B,6.776625,2.140555864889839,4.496,-1.0654358699100663,FALSE
24-DNP,Dose_4,0.01,31,B,6.776625,2.140555864889839,11.856,2.3729233529074016,FALSE
24-DNP,Dose_4,0.01,32,B,6.776625,2.140555864889839,NA,NA,TRUE
24-DNP,Dose_4,0.01,33,B,6.776625,2.140555864889839,12.373,2.6144494015754223,FALSE
24-DNP,Dose_5,0.001,40,B,6.776625,2.140555864889839,3.253,-1.6461261571331796,FALSE
24-DNP,Dose_5,0.001,41,B,6.776625,2.140555864889839,8.547,0.8270632077575376,FALSE
24-DNP,Dose_5,0.001,42,B,6.776625,2.140555864889839,5.474,-0.6085452014432886,FALSE
24-DNP,Dose_6,0,49,B,6.776625,2.140555864889839,8.442,0.7780105286276687,FALSE
24-DNP,Dose_6,0,50,B,6.776625,2.140555864889839,5.138,-0.7655137746588688,FALSE
24-DNP,Dose_6,0,51,B,6.776625,2.140555864889839,NA,NA,TRUE
24-DNP,Dose_1,10,7,C,6.776625,2.140555864889839,6.862,0.039884499816309954,FALSE
24-DNP,Dose_1,10,8,C,6.776625,2.140555864889839,6.041,-0.34366073414199716,FALSE
24-DNP,Dose_1,10,9,C,6.776625,2.140555864889839,1.498,-2.466006651160986,FALSE
24-DNP,Dose_2,1,16,C,6.776625,2.140555864889839,4.95,-0.8533414287199671,FALSE
24-DNP,Dose_2,1,17,C,6.776625,2.140555864889839,4.023,-1.2864065101808089,FALSE
24-DNP,Dose_2,1,18,C,6.776625,2.140555864889839,1.159,-2.624376729494563,FALSE
24-DNP,Dose_3,0.1,25,C,6.776625,2.140555864889839,10.322,1.656287069238652,FALSE
24-DNP,Dose_3,0.1,26,C,6.776625,2.140555864889839,4.16,-1.2224044431256464,FALSE
24-DNP,Dose_3,0.1,27,C,6.776625,2.140555864889839,3.113,-1.711529729306338,FALSE
24-DNP,Dose_4,0.01,34,C,6.776625,2.140555864889839,7.42,0.3005644517636125,FALSE
24-DNP,Dose_4,0.01,35,C,6.776625,2.140555864889839,7.074,0.13892419482137822,FALSE
24-DNP,Dose_4,0.01,36,C,6.776625,2.140555864889839,3.967,-1.312567939050072,FALSE
24-DNP,Dose_5,0.001,43,C,6.776625,2.140555864889839,7.911,0.529944122742332,FALSE
24-DNP,Dose_5,0.001,44,C,6.776625,2.140555864889839,5.294,-0.692635508523064,FALSE
24-DNP,Dose_5,0.001,45,C,6.776625,2.140555864889839,3.802,-1.3896507205398658,FALSE
24-DNP,Dose_6,0,52,C,6.776625,2.140555864889839,6.678,-0.046074480754126824,FALSE
24-DNP,Dose_6,0,53,C,6.776625,2.140555864889839,5.86,-0.4282182095944377,FALSE
24-DNP,Dose_6,0,54,C,6.776625,2.140555864889839,7.359,0.2720671810310221,FALSE
34-DCA,Dose_1,1,1,A,17.156666666666666,7.830871215899289,4.054,-1.6732067614729595,FALSE
34-DCA,Dose_1,1,2,A,17.156666666666666,7.830871215899289,8.392,-1.1192454102516027,FALSE
34-DCA,Dose_1,1,3,A,17.156666666666666,7.830871215899289,6.292,-1.3874148057252886,FALSE
34-DCA,Dose_2,0.1,10,A,17.156666666666666,7.830871215899289,35.887,2.391858174771728,FALSE
34-DCA,Dose_2,0.1,11,A,17.156666666666666,7.830871215899289,14.041,-0.39786973642738754,FALSE
34-DCA,Dose_2,0.1,12,A,17.156666666666666,7.830871215899289,12.913,-0.541915011710396,FALSE
34-DCA,Dose_3,0.01,19,A,17.156666666666666,7.830871215899289,29.495,1.57560161483468,FALSE
34-DCA,Dose_3,0.01,20,A,17.156666666666666,7.830871215899289,17.166,0.001191863979883144,FALSE
34-DCA,Dose_3,0.01,21,A,17.156666666666666,7.830871215899289,28.476,1.445475608173877,FALSE
34-DCA,Dose_4,0.001,28,A,17.156666666666666,7.830871215899289,3.79,-1.706919485475366,FALSE
34-DCA,Dose_4,0.001,29,A,17.156666666666666,7.830871215899289,13.287,-0.49415531937365376,FALSE
34-DCA,Dose_4,0.001,30,A,17.156666666666666,7.830871215899289,5.563,-1.480507895868297,FALSE
34-DCA,Dose_5,1e-4,37,A,17.156666666666666,7.830871215899289,20.948,0.48415217525677845,FALSE
34-DCA,Dose_5,1e-4,38,A,17.156666666666666,7.830871215899289,19.175,0.25774058564970936,FALSE
34-DCA,Dose_5,1e-4,39,A,17.156666666666666,7.830871215899289,17.331,0.022262316481386928,FALSE
34-DCA,Dose_6,0,46,A,17.156666666666666,7.830871215899289,22.208,0.6450538125409897,FALSE
