Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Baseline_Blank,h24_Blank,Norm_Baseline_Fluorescence,Norm_h24_Fluorescence,Relative_Delta_Fluorescence,Outlier
BPA,0.001,Dose_4,29,A,39.063,38.671,38.867000000000004,50.278,45.385,47.8315,13.141,42.7565,38.579750000000004,-3.889499999999998,9.251749999999994,-2.378647641084972,FALSE
BPA,0.001,Dose_4,30,A,39.38,36.734,38.057,50.058,44.372,47.215,13.335,42.7565,38.579750000000004,-4.6995000000000005,8.63525,-1.837482710926694,FALSE
BPA,0.001,Dose_4,31,B,38.635,36.775,37.705,56.415,53.72,55.067499999999995,21.539,42.7565,38.579750000000004,-5.051500000000004,16.48774999999999,-3.2639315054934133,FALSE
BPA,0.001,Dose_4,32,B,37.767,35.832,36.7995,46.432,43.074,44.753,12.13,42.7565,38.579750000000004,-5.957000000000001,6.173249999999996,-1.03630182978009,FALSE
BPA,0.001,Dose_4,33,B,32.756,32.174,32.465,42.802,37.822,40.312,12.024,42.7565,38.579750000000004,-10.2915,1.7322499999999934,-0.16831851527959904,FALSE
BPA,0.001,Dose_4,34,C,38.69,39.027,38.8585,56.73,53.37,55.05,20.368,42.7565,38.579750000000004,-3.8980000000000032,16.470249999999993,-4.225307850179574,FALSE
BPA,0.001,Dose_4,35,C,39.205,37.597,38.400999999999996,44.212,45.482,44.847,10.623,42.7565,38.579750000000004,-4.355500000000006,6.267249999999997,-1.4389277924463295,FALSE
BPA,0.001,Dose_4,36,C,48.258,49.189,48.7235,52.454,50.408,51.431,6.884,42.7565,38.579750000000004,5.966999999999999,12.851249999999993,2.1537204625439914,FALSE
BPA,1e-4,Dose_5,37,A,38.299,39.237,38.768,42.037,38.47,40.2535,5.662,42.7565,38.579750000000004,-3.988500000000002,1.6737499999999983,-0.41964397643224205,FALSE
BPA,1e-4,Dose_5,38,A,41.791,40.332,41.061499999999995,48.245,43.282,45.76349999999999,8.879,42.7565,38.579750000000004,-1.6950000000000074,7.183749999999989,-4.238200589970477,FALSE
BPA,1e-4,Dose_5,39,A,37.274,39.532,38.403,48.316,47.034,47.675,13.449,42.7565,38.579750000000004,-4.353500000000004,9.095249999999993,-2.089181118640171,FALSE
BPA,1e-4,Dose_5,40,B,41.399,39.369,40.384,52.689,50.414,51.551500000000004,15.344,42.7565,38.579750000000004,-2.3725000000000023,12.97175,-5.467544783983135,FALSE
BPA,1e-4,Dose_5,41,B,37.812,38.45,38.131,70.688,69.3,69.994,36.04,42.7565,38.579750000000004,-4.625500000000002,31.414249999999996,-6.7915360501567354,FALSE
BPA,1e-4,Dose_5,42,B,38.674,39.264,38.969,73.95,71.053,72.5015,37.709,42.7565,38.579750000000004,-3.7875000000000014,33.92174999999999,-8.95623762376237,FALSE
BPA,1e-4,Dose_5,43,C,39.93,40.738,40.334,64.218,60.522,62.370000000000005,26.213,42.7565,38.579750000000004,-2.4224999999999994,23.79025,-9.820536635706917,FALSE
BPA,1e-4,Dose_5,44,C,39.773,39.634,39.703500000000005,55.828,53.937,54.8825,19.356,42.7565,38.579750000000004,-3.0529999999999973,16.302749999999996,-5.339911562397645,FALSE
BPA,1e-4,Dose_5,45,C,41.034,41.432,41.233000000000004,62.354,64.454,63.403999999999996,26.348,42.7565,38.579750000000004,-1.5234999999999985,24.824249999999992,-16.294223826714813,FALSE
BPA,0,Dose_6,46,A,42.762,40.901,41.831500000000005,57.766,53.474,55.62,17.965,42.7565,38.579750000000004,-0.9249999999999972,17.040249999999993,-18.421891891891942,FALSE
BPA,0,Dose_6,47,A,41.021,39.414,40.2175,53.607,53.885,53.745999999999995,17.705,42.7565,38.579750000000004,-2.5390000000000015,15.166249999999991,-5.973316266246547,FALSE
BPA,0,Dose_6,48,A,41.051,40.899,40.975,71.403,67.422,69.4125,32.614,42.7565,38.579750000000004,-1.7815000000000012,30.83274999999999,-17.307184956497316,FALSE
BPA,0,Dose_6,49,B,37.689,36.976,37.332499999999996,69.475,66.513,67.994,34.838,42.7565,38.579750000000004,-5.424000000000007,29.414249999999996,-5.422981194690258,FALSE
BPA,0,Dose_6,50,B,40.23,38.079,39.1545,58.546,58.416,58.480999999999995,23.503,42.7565,38.579750000000004,-3.602000000000004,19.90124999999999,-5.5250555247084865,FALSE
BPA,0,Dose_6,51,B,40.285,39.725,40.004999999999995,53.739,49.298,51.5185,15.69,42.7565,38.579750000000004,-2.751500000000007,12.938749999999999,-4.7024350354352045,FALSE
BPA,0,Dose_6,52,C,38.392,40.75,39.571,86.603,86.851,86.727,51.333,42.7565,38.579750000000004,-3.1855000000000047,48.14725,-15.114503217705204,FALSE
BPA,0,Dose_6,53,C,38.447,39.449,38.948,43.7,42.027,42.8635,8.092,42.7565,38.579750000000004,-3.808500000000002,4.283749999999998,-1.1247866614152542,FALSE
BPA,0,Dose_6,54,C,40.045,40.245,40.144999999999996,43.792,41.898,42.845,6.877,42.7565,38.579750000000004,-2.6115000000000066,4.265249999999995,-1.6332567489948244,FALSE
BPAF,1,Dose_1,1,A,17.638,16.603,17.1205,18.709,18.324,18.5165,1.437,18.629749999999998,18.589,-1.509249999999998,-0.07249999999999801,0.04803710452211238,FALSE
BPAF,1,Dose_1,2,A,15.815,16.432,16.1235,19.041,19.018,19.0295,2.947,18.629749999999998,18.589,-2.506249999999998,0.4405000000000001,-0.17576059850374084,FALSE
BPAF,1,Dose_1,3,A,16.657,16.144,16.4005,18.982,18.359,18.6705,2.311,18.629749999999998,18.589,-2.229249999999997,0.0815000000000019,-0.03655938095772211,FALSE
BPAF,1,Dose_1,4,B,15.717,15.866,15.7915,22.046,21.544,21.795,6.044,18.629749999999998,18.589,-2.8382499999999986,3.206000000000003,-1.1295692768431267,FALSE
BPAF,1,Dose_1,5,B,16.657,16.604,16.630499999999998,20.649,20.069,20.359,3.769,18.629749999999998,18.589,-1.99925,1.7700000000000031,-0.885331999499814,FALSE
BPAF,1,Dose_1,6,B,16.355,16.206,16.2805,22.558,22.56,22.558999999999997,6.319,18.629749999999998,18.589,-2.349249999999998,3.969999999999999,-1.6899010322443344,FALSE
BPAF,1,Dose_1,7,C,16.02,16.751,16.3855,22.713,22.241,22.477,6.132,18.629749999999998,18.589,-2.2442499999999974,3.8880000000000017,-1.7324273142475242,FALSE
BPAF,1,Dose_1,8,C,18.094,16.284,17.189,20.523,19.211,19.866999999999997,2.719,18.629749999999998,18.589,-1.4407499999999978,1.2779999999999987,-0.8870380010411248,FALSE
BPAF,1,Dose_1,9,C,15.797,15.441,15.619,20.14,21.126,20.633000000000003,5.055,18.629749999999998,18.589,-3.010749999999998,2.044000000000004,-0.6789006061612572,FALSE
BPAF,0.1,Dose_2,10,A,17.088,15.692,16.39,21.218,20.134,20.676000000000002,4.327,18.629749999999998,18.589,-2.2397499999999972,2.0870000000000033,-0.9318004241544842,FALSE
BPAF,0.1,Dose_2,11,A,16.791,16.105,16.448,20.729,20.687,20.708,4.301,18.629749999999998,18.589,-2.1817499999999974,2.1189999999999998,-0.9712386845422263,FALSE
BPAF,0.1,Dose_2,12,A,16.973,16.406,16.6895,21.122,19.425,20.2735,3.625,18.629749999999998,18.589,-1.940249999999999,1.6844999999999999,-0.8681870892926173,FALSE
BPAF,0.1,Dose_2,13,B,16.268,16.812,16.54,20.124,18.148,19.136,2.637,18.629749999999998,18.589,-2.0897499999999987,0.5470000000000006,-0.26175379830123263,FALSE
BPAF,0.1,Dose_2,14,B,16.612,17.297,16.9545,19.12,19.208,19.164,2.25,18.629749999999998,18.589,-1.6752499999999984,0.5750000000000028,-0.34323235338009456,FALSE
BPAF,0.1,Dose_2,15,B,16.18,16.945,16.5625,20.914,19.288,20.101,3.579,18.629749999999998,18.589,-2.067249999999998,1.5120000000000005,-0.7314064578546388,FALSE
BPAF,0.1,Dose_2,16,C,16.721,15.776,16.2485,22.073,21.784,21.9285,5.721,18.629749999999998,18.589,-2.381249999999998,3.339500000000001,-1.4024146981627315,FALSE
BPAF,0.1,Dose_2,17,C,16.729,15.872,16.3005,23.542,23.122,23.332,7.072,18.629749999999998,18.589,-2.3292499999999983,4.743000000000002,-2.0362777718149645,FALSE
BPAF,0.1,Dose_2,18,C,13.496,13.141,13.3185,15.301,14.92,15.1105,1.833,18.629749999999998,18.589,-5.311249999999998,-3.4784999999999986,0.6549305718992704,FALSE
BPAF,0.01,Dose_3,19,A,17.493,17.567,17.53,18.547,18.629,18.588,1.099,18.629749999999998,18.589,-1.0997499999999967,-9.999999999976694e-4,9.092975676268901e-4,FALSE
BPAF,0.01,Dose_3,20,A,16.501,16.001,16.251,27.515,27.053,27.284,11.074,18.629749999999998,18.589,-2.3787499999999966,8.695,-3.6552811350499264,TRUE
BPAF,0.01,Dose_3,21,A,16.645,16.861,16.753,19.246,19.399,19.322499999999998,2.61,18.629749999999998,18.589,-1.8767499999999977,0.7334999999999994,-0.3908352204609033,FALSE
BPAF,0.01,Dose_3,22,B,17.148,15.575,16.3615,21.741,19.479,20.61,4.289,18.629749999999998,18.589,-2.2682499999999983,2.021000000000001,-0.8909952606635081,FALSE
BPAF,0.01,Dose_3,23,B,15.559,15.484,15.5215,16.8,17.91,17.355,1.874,18.629749999999998,18.589,-3.108249999999998,-1.2339999999999982,0.39700796267996424,FALSE
BPAF,0.01,Dose_3,24,B,16.009,15.763,15.886,21.827,21.861,21.844,5.999,18.629749999999998,18.589,-2.7437499999999986,3.2550000000000026,-1.1863325740318922,FALSE
BPAF,0.01,Dose_3,25,C,16.145,16.272,16.2085,19.595,20.05,19.822499999999998,3.655,18.629749999999998,18.589,-2.421249999999997,1.2334999999999994,-0.5094475993804857,FALSE
BPAF,0.01,Dose_3,26,C,16.164,16.326,16.245,18.625,18.937,18.781,2.577,18.629749999999998,18.589,-2.384749999999997,0.19200000000000017,-0.08051158402348273,FALSE
