"gene","genecount"
"ENSDARG00000061121",148
"ENSDARG00000094677",51
"ENSDARG00000054799",57
"ENSDARG00000116939",0
"ENSDARG00000037350",218
"ENSDARG00000022845",20
"ENSDARG00000019838",7
"ENSDARG00000005799",1
"ENSDARG00000013505",22
"ENSDARG00000055022",88
"ENSDARG00000061451",17
"ENSDARG00000070121",0
"ENSDARG00000054680",0
"ENSDARG00000092290",5
"ENSDARG00000055099",49
"ENSDARG00000070109",17
"ENSDARG00000070098",68
"ENSDARG00000094046",0
"ENSDARG00000114096",0
"ENSDARG00000004246",147
"ENSDARG00000083023",0
"ENSDARG00000031108",163
"ENSDARG00000015266",82
"ENSDARG00000100600",0
"ENSDARG00000092542",0
"ENSDARG00000035692",507
"ENSDARG00000094885",0
"ENSDARG00000090822",0
"ENSDARG00000088202",6
"ENSDARG00000086859",0
"ENSDARG00000090118",0
"ENSDARG00000061021",21
"ENSDARG00000037309",0
"ENSDARG00000054334",9
"ENSDARG00000116715",0
"ENSDARG00000060994",77
"ENSDARG00000106456",0
"ENSDARG00000074776",0
"ENSDARG00000074451",0
"ENSDARG00000079434",59
"ENSDARG00000031817",0
"ENSDARG00000074812",13
"ENSDARG00000070055",12
"ENSDARG00000070050",1
"ENSDARG00000095408",0
"ENSDARG00000037286",28
"ENSDARG00000037283",23
"ENSDARG00000037281",21
"ENSDARG00000037278",3
"ENSDARG00000070039",0
"ENSDARG00000091184",0
"ENSDARG00000094763",0
"ENSDARG00000037276",1
"ENSDARG00000013787",15
"ENSDARG00000086790",0
"ENSDARG00000006427",40
"ENSDARG00000104824",0
"ENSDARG00000076499",2
"ENSDARG00000037266",12
"ENSDARG00000077157",36
"ENSDARG00000037256",0
"ENSDARG00000116236",0
"ENSDARG00000069998",1
"ENSDARG00000053995",1
"ENSDARG00000021702",102
"ENSDARG00000054031",12
"ENSDARG00000037259",3
"ENSDARG00000037260",16
"ENSDARG00000037261",17
"ENSDARG00000037262",2
"ENSDARG00000104309",0
"ENSDARG00000077817",18
"ENSDARG00000107180",0
"ENSDARG00000076928",102
"ENSDARG00000009685",1
"ENSDARG00000079377",15
"ENSDARG00000091678",17
"ENSDARG00000014790",163
"ENSDARG00000019581",84
"ENSDARG00000096665",0
