A2,Counts
ENSDARG00000003175,91
ENSDARG00000003181,23
ENSDARG00000003189,399
ENSDARG00000003193,21
ENSDARG00000003197,8
ENSDARG00000003200,23
ENSDARG00000003203,321
ENSDARG00000003205,20
ENSDARG00000003206,44
ENSDARG00000003207,70
ENSDARG00000003208,59
ENSDARG00000003210,18
ENSDARG00000003213,485
ENSDARG00000003216,341
ENSDARG00000003217,65
ENSDARG00000003219,156
ENSDARG00000003229,0
ENSDARG00000003235,43
ENSDARG00000003244,18
ENSDARG00000003250,53
ENSDARG00000003251,44
ENSDARG00000003257,14
ENSDARG00000003259,12
ENSDARG00000003269,432
ENSDARG00000003270,32
ENSDARG00000003281,110
ENSDARG00000003287,43
ENSDARG00000003290,56
ENSDARG00000003293,285
ENSDARG00000003303,0
ENSDARG00000003307,204
ENSDARG00000003308,88
ENSDARG00000003311,105
ENSDARG00000003313,58
ENSDARG00000003320,149
ENSDARG00000003326,2
ENSDARG00000003328,38
ENSDARG00000003344,10
ENSDARG00000003373,44
ENSDARG00000003375,27
ENSDARG00000003380,2
ENSDARG00000003381,47
ENSDARG00000003382,109
ENSDARG00000003383,57
ENSDARG00000003395,14
ENSDARG00000003398,42
ENSDARG00000003399,24
ENSDARG00000003403,186
ENSDARG00000003411,79
ENSDARG00000003414,1
ENSDARG00000003420,7
ENSDARG00000003421,213
ENSDARG00000003429,164
ENSDARG00000003444,52
ENSDARG00000003446,37
ENSDARG00000003449,125
ENSDARG00000003462,356
ENSDARG00000003469,34
ENSDARG00000003475,6
ENSDARG00000003486,339
ENSDARG00000003487,119
ENSDARG00000003495,141
ENSDARG00000003512,249
ENSDARG00000003517,21
ENSDARG00000003519,29
ENSDARG00000003520,89
ENSDARG00000003523,22
ENSDARG00000003526,298
ENSDARG00000003527,99
ENSDARG00000003531,112
ENSDARG00000003533,6
ENSDARG00000003544,128
ENSDARG00000003553,0
ENSDARG00000003564,96
ENSDARG00000003570,561
ENSDARG00000003573,135
ENSDARG00000003576,37
ENSDARG00000003584,43
ENSDARG00000003592,13
ENSDARG00000003599,5254
ENSDARG00000003607,99
ENSDARG00000003615,114
ENSDARG00000003616,99
ENSDARG00000003631,176
ENSDARG00000003632,8
ENSDARG00000003635,49
ENSDARG00000003641,125
ENSDARG00000003642,21
ENSDARG00000003655,476
ENSDARG00000003675,20
ENSDARG00000003680,251
ENSDARG00000003681,610
ENSDARG00000003684,125
ENSDARG00000003693,139
ENSDARG00000003695,1093
ENSDARG00000003697,16
ENSDARG00000003699,104
ENSDARG00000003701,2
ENSDARG00000003705,179
ENSDARG00000003706,25
ENSDARG00000003732,21
ENSDARG00000003749,53
ENSDARG00000003750,102
ENSDARG00000003751,110
ENSDARG00000003754,110
ENSDARG00000003757,36
ENSDARG00000003769,52
ENSDARG00000003776,84
ENSDARG00000003779,112
ENSDARG00000003789,188
ENSDARG00000003795,1605
ENSDARG00000003797,13
ENSDARG00000003803,15
ENSDARG00000003808,130
ENSDARG00000003811,831
ENSDARG00000003818,183
ENSDARG00000003820,143
ENSDARG00000003822,16
ENSDARG00000003827,5
ENSDARG00000003829,197
ENSDARG00000003835,541
ENSDARG00000003841,12
ENSDARG00000003845,80
ENSDARG00000003846,20
ENSDARG00000003854,741
ENSDARG00000003860,157
ENSDARG00000003865,28
ENSDARG00000003866,212
ENSDARG00000003867,17
ENSDARG00000003869,95
ENSDARG00000003872,65
ENSDARG00000003877,270
ENSDARG00000003899,2
ENSDARG00000003900,3
ENSDARG00000003902,309
ENSDARG00000003903,0
ENSDARG00000003904,3
ENSDARG00000003909,5
ENSDARG00000003910,217
ENSDARG00000003920,325
ENSDARG00000003925,1
ENSDARG00000003927,119
ENSDARG00000003931,249
ENSDARG00000003934,8
ENSDARG00000003938,209
ENSDARG00000003940,151
ENSDARG00000003941,103
ENSDARG00000003944,0
ENSDARG00000003952,681
ENSDARG00000003961,108
ENSDARG00000003963,114
ENSDARG00000003965,7
ENSDARG00000003968,0
ENSDARG00000003970,37
ENSDARG00000003971,57
ENSDARG00000003973,26
ENSDARG00000003974,148
ENSDARG00000003977,64
ENSDARG00000003984,87
ENSDARG00000003989,150
ENSDARG00000003991,52
ENSDARG00000003994,38
ENSDARG00000003998,47
ENSDARG00000004015,14
ENSDARG00000004017,58
ENSDARG00000004018,27
ENSDARG00000004023,317
ENSDARG00000004034,245
ENSDARG00000004037,55
ENSDARG00000004046,38
ENSDARG00000004049,66
ENSDARG00000004051,19
ENSDARG00000004055,139
ENSDARG00000004059,8
ENSDARG00000004060,914
ENSDARG00000004074,255
ENSDARG00000004078,162
ENSDARG00000004082,28
ENSDARG00000004094,462
ENSDARG00000004105,166
ENSDARG00000004109,0
ENSDARG00000004111,3
ENSDARG00000004114,16
ENSDARG00000004115,93
ENSDARG00000004130,11
ENSDARG00000004131,15
ENSDARG00000004132,508
ENSDARG00000004150,20
ENSDARG00000004151,31
ENSDARG00000004154,2
ENSDARG00000004158,32
ENSDARG00000004160,106
ENSDARG00000004161,251
ENSDARG00000004167,27
ENSDARG00000004169,168
ENSDARG00000004171,42
ENSDARG00000004173,607
ENSDARG00000004174,986
ENSDARG00000004176,11
ENSDARG00000004177,104
ENSDARG00000004184,206
ENSDARG00000004187,44
ENSDARG00000004189,166
ENSDARG00000004196,148
ENSDARG00000004199,17
ENSDARG00000004204,7
ENSDARG00000004211,70
ENSDARG00000004218,38
ENSDARG00000004219,3
ENSDARG00000004227,117
ENSDARG00000004232,9
ENSDARG00000004243,11
ENSDARG00000004246,323
ENSDARG00000004251,38
ENSDARG00000004256,0
ENSDARG00000004260,6
ENSDARG00000004261,266
ENSDARG00000004262,101
ENSDARG00000004270,109
ENSDARG00000004274,12
ENSDARG00000004280,65
ENSDARG00000004282,77
ENSDARG00000004291,112
ENSDARG00000004296,197
ENSDARG00000004297,369
ENSDARG00000004301,16
ENSDARG00000004302,24
ENSDARG00000004305,27
ENSDARG00000004306,33
ENSDARG00000004307,8
ENSDARG00000004308,28
ENSDARG00000004311,41
ENSDARG00000004318,33
ENSDARG00000004322,7
ENSDARG00000004325,41
ENSDARG00000004328,3
ENSDARG00000004336,282
ENSDARG00000004343,54
ENSDARG00000004358,97
ENSDARG00000004363,21
ENSDARG00000004372,151
ENSDARG00000004377,270
ENSDARG00000004378,40
ENSDARG00000004386,168
ENSDARG00000004392,20
ENSDARG00000004396,5
ENSDARG00000004402,54
ENSDARG00000004405,8
ENSDARG00000004406,25
ENSDARG00000004415,353
ENSDARG00000004427,13
ENSDARG00000004433,5
ENSDARG00000004436,11
ENSDARG00000004445,29
ENSDARG00000004447,1
ENSDARG00000004451,44
ENSDARG00000004452,863
ENSDARG00000004455,27
ENSDARG00000004459,2
ENSDARG00000004460,24
ENSDARG00000004470,265
ENSDARG00000004472,32
ENSDARG00000004473,20
ENSDARG00000004492,17
ENSDARG00000004497,17
ENSDARG00000004498,1
ENSDARG00000004502,45
ENSDARG00000004517,71
ENSDARG00000004525,48
ENSDARG00000004527,21
ENSDARG00000004529,9
ENSDARG00000004537,889
ENSDARG00000004539,45
ENSDARG00000004561,1
ENSDARG00000004574,86
ENSDARG00000004576,10
ENSDARG00000004580,73
ENSDARG00000004581,126
ENSDARG00000004586,10
ENSDARG00000004587,47
ENSDARG00000004588,710
ENSDARG00000004592,23
ENSDARG00000004594,73
ENSDARG00000004597,56
ENSDARG00000004598,0
ENSDARG00000004616,48
ENSDARG00000004618,5
ENSDARG00000004621,402
ENSDARG00000004627,2
ENSDARG00000004632,34
ENSDARG00000004633,6
ENSDARG00000004634,584
ENSDARG00000004635,204
ENSDARG00000004636,143
ENSDARG00000004643,58
ENSDARG00000004647,2
ENSDARG00000004648,13
ENSDARG00000004658,141
ENSDARG00000004672,188
ENSDARG00000004680,24
ENSDARG00000004687,130
ENSDARG00000004692,132
ENSDARG00000004695,25
ENSDARG00000004696,164
ENSDARG00000004697,70
ENSDARG00000004702,217
ENSDARG00000004706,202
ENSDARG00000004712,55
ENSDARG00000004713,35
ENSDARG00000004714,295
ENSDARG00000004721,20
ENSDARG00000004724,89
ENSDARG00000004726,209
ENSDARG00000004735,505
ENSDARG00000004745,28
ENSDARG00000004748,125
ENSDARG00000004753,155
ENSDARG00000004754,175
ENSDARG00000004757,3313
ENSDARG00000004763,1
ENSDARG00000004771,22
ENSDARG00000004774,132
ENSDARG00000004782,809
ENSDARG00000004785,244
ENSDARG00000004789,88
ENSDARG00000004794,9
ENSDARG00000004796,192
ENSDARG00000004806,53
ENSDARG00000004823,0
ENSDARG00000004830,430
ENSDARG00000004836,249
ENSDARG00000004840,38
ENSDARG00000004843,257
ENSDARG00000004851,14
ENSDARG00000004861,71
ENSDARG00000004864,0
ENSDARG00000004866,69
ENSDARG00000004869,51
ENSDARG00000004870,36
ENSDARG00000004871,8
ENSDARG00000004874,2
ENSDARG00000004875,43
ENSDARG00000004877,515
ENSDARG00000004880,26
ENSDARG00000004889,9
ENSDARG00000004891,101
ENSDARG00000004898,0
ENSDARG00000004904,72
ENSDARG00000004906,159
ENSDARG00000004925,22
ENSDARG00000004930,732
ENSDARG00000004931,34
ENSDARG00000004932,28
ENSDARG00000004937,0
ENSDARG00000004939,45
ENSDARG00000004948,290
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,18
ENSDARG00000004956,64
ENSDARG00000004964,156
ENSDARG00000004979,35
ENSDARG00000004988,136
ENSDARG00000005002,41
ENSDARG00000005004,12
ENSDARG00000005010,13
ENSDARG00000005015,316
ENSDARG00000005023,48
ENSDARG00000005026,296
ENSDARG00000005034,32
ENSDARG00000005049,13
ENSDARG00000005050,4
ENSDARG00000005057,16
ENSDARG00000005058,114
ENSDARG00000005078,28
ENSDARG00000005085,86
ENSDARG00000005092,98
ENSDARG00000005095,14
ENSDARG00000005098,16
ENSDARG00000005104,51
ENSDARG00000005108,134
ENSDARG00000005112,1161
ENSDARG00000005115,38
ENSDARG00000005122,406
ENSDARG00000005126,64
ENSDARG00000005128,18
ENSDARG00000005134,83
ENSDARG00000005139,77
ENSDARG00000005141,69
ENSDARG00000005150,22
ENSDARG00000005154,75
ENSDARG00000005159,43
ENSDARG00000005162,824
ENSDARG00000005163,86
ENSDARG00000005172,20
ENSDARG00000005176,10
ENSDARG00000005179,43
ENSDARG00000005185,539
ENSDARG00000005186,174
ENSDARG00000005191,1458
ENSDARG00000005210,69
ENSDARG00000005216,49
ENSDARG00000005218,5
ENSDARG00000005220,29
ENSDARG00000005221,131
ENSDARG00000005230,188
ENSDARG00000005232,131
ENSDARG00000005236,762
ENSDARG00000005246,25
ENSDARG00000005251,31
ENSDARG00000005254,73
ENSDARG00000005271,13
ENSDARG00000005274,9
ENSDARG00000005284,22
ENSDARG00000005314,5
ENSDARG00000005315,217
ENSDARG00000005318,89
ENSDARG00000005320,124
ENSDARG00000005327,1
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,47
ENSDARG00000005350,189
ENSDARG00000005355,130
ENSDARG00000005356,68
ENSDARG00000005359,274
ENSDARG00000005364,10
ENSDARG00000005368,289
ENSDARG00000005371,14
ENSDARG00000005372,56
ENSDARG00000005374,96
ENSDARG00000005382,18
ENSDARG00000005392,0
ENSDARG00000005394,201
ENSDARG00000005397,203
ENSDARG00000005414,8
ENSDARG00000005416,103
ENSDARG00000005423,85
ENSDARG00000005425,77
ENSDARG00000005448,3
ENSDARG00000005451,584
ENSDARG00000005453,173
ENSDARG00000005454,44
ENSDARG00000005456,217
ENSDARG00000005458,176
ENSDARG00000005462,98
ENSDARG00000005463,119
ENSDARG00000005464,10
ENSDARG00000005468,179
ENSDARG00000005476,391
ENSDARG00000005479,648
ENSDARG00000005481,51
ENSDARG00000005482,595
ENSDARG00000005485,60
ENSDARG00000005500,30
ENSDARG00000005510,8
ENSDARG00000005513,2936
ENSDARG00000005518,10
ENSDARG00000005522,0
ENSDARG00000005525,54
ENSDARG00000005526,118
ENSDARG00000005536,323
ENSDARG00000005540,250
ENSDARG00000005541,35
ENSDARG00000005544,9
ENSDARG00000005547,47
ENSDARG00000005549,130
ENSDARG00000005551,95
ENSDARG00000005559,20
ENSDARG00000005560,268
ENSDARG00000005561,32
ENSDARG00000005565,178
ENSDARG00000005574,48
ENSDARG00000005576,308
ENSDARG00000005578,341
ENSDARG00000005586,59
ENSDARG00000005590,56
ENSDARG00000005595,24
ENSDARG00000005606,141
ENSDARG00000005612,29
ENSDARG00000005616,11
ENSDARG00000005619,9
ENSDARG00000005625,162
ENSDARG00000005626,11
ENSDARG00000005627,0
ENSDARG00000005629,69
ENSDARG00000005640,13
ENSDARG00000005643,42
ENSDARG00000005645,222
ENSDARG00000005648,29
ENSDARG00000005651,27
ENSDARG00000005652,366
ENSDARG00000005670,57
ENSDARG00000005673,18
ENSDARG00000005675,126
ENSDARG00000005679,46
ENSDARG00000005690,50
ENSDARG00000005699,159
ENSDARG00000005704,181
ENSDARG00000005713,174
ENSDARG00000005716,67
ENSDARG00000005738,17
ENSDARG00000005739,47
ENSDARG00000005749,62
ENSDARG00000005754,676
ENSDARG00000005762,105
ENSDARG00000005772,26
ENSDARG00000005774,508
ENSDARG00000005775,642
ENSDARG00000005776,16
ENSDARG00000005780,2
ENSDARG00000005783,282
ENSDARG00000005786,60
ENSDARG00000005789,108
ENSDARG00000005791,1335
ENSDARG00000005799,25
ENSDARG00000005800,42
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,184
ENSDARG00000005827,266
ENSDARG00000005828,15
ENSDARG00000005834,130
ENSDARG00000005840,270
ENSDARG00000005841,111
ENSDARG00000005842,22
ENSDARG00000005853,15
ENSDARG00000005861,459
ENSDARG00000005865,0
ENSDARG00000005867,163
ENSDARG00000005870,37
ENSDARG00000005883,53
ENSDARG00000005891,228
ENSDARG00000005894,20
ENSDARG00000005897,70
ENSDARG00000005908,87
ENSDARG00000005913,102
ENSDARG00000005915,150
ENSDARG00000005916,38
ENSDARG00000005924,304
ENSDARG00000005926,41
ENSDARG00000005927,204
ENSDARG00000005941,307
ENSDARG00000005942,3
ENSDARG00000005943,38
ENSDARG00000005945,241
ENSDARG00000005948,48
ENSDARG00000005972,80
ENSDARG00000005980,143
ENSDARG00000005989,38
ENSDARG00000005993,9
ENSDARG00000006003,63
ENSDARG00000006008,313
ENSDARG00000006010,64
ENSDARG00000006011,16
ENSDARG00000006019,267
ENSDARG00000006025,36
ENSDARG00000006029,94
ENSDARG00000006031,1152
ENSDARG00000006038,78
ENSDARG00000006040,31
ENSDARG00000006044,42
ENSDARG00000006052,28
ENSDARG00000006060,429
ENSDARG00000006062,321
ENSDARG00000006065,42
ENSDARG00000006074,24
ENSDARG00000006079,1
ENSDARG00000006092,819
ENSDARG00000006093,20
ENSDARG00000006094,283
ENSDARG00000006109,2
ENSDARG00000006110,15
ENSDARG00000006112,117
ENSDARG00000006120,95
ENSDARG00000006124,580
ENSDARG00000006125,229
ENSDARG00000006128,292
ENSDARG00000006137,7
ENSDARG00000006151,13
ENSDARG00000006169,129
ENSDARG00000006174,0
ENSDARG00000006181,76
ENSDARG00000006192,127
ENSDARG00000006196,81
ENSDARG00000006200,1417
ENSDARG00000006202,437
ENSDARG00000006206,7
ENSDARG00000006207,8
ENSDARG00000006215,481
ENSDARG00000006219,258
ENSDARG00000006220,952
ENSDARG00000006225,288
ENSDARG00000006235,70
ENSDARG00000006240,85
ENSDARG00000006242,732
ENSDARG00000006251,253
ENSDARG00000006253,36
ENSDARG00000006257,400
ENSDARG00000006260,1501
ENSDARG00000006266,317
ENSDARG00000006272,80
ENSDARG00000006279,18
ENSDARG00000006283,294
ENSDARG00000006288,20
ENSDARG00000006290,58
ENSDARG00000006292,1
ENSDARG00000006299,46
ENSDARG00000006300,48
ENSDARG00000006301,197
ENSDARG00000006307,43
ENSDARG00000006308,8
ENSDARG00000006314,405
ENSDARG00000006316,1044
ENSDARG00000006332,272
ENSDARG00000006341,7
ENSDARG00000006345,30
ENSDARG00000006350,1
ENSDARG00000006353,75
ENSDARG00000006356,68
ENSDARG00000006368,11
ENSDARG00000006370,110
ENSDARG00000006372,0
ENSDARG00000006383,123
ENSDARG00000006385,27
ENSDARG00000006389,135
ENSDARG00000006392,45
ENSDARG00000006395,531
ENSDARG00000006396,318
ENSDARG00000006397,203
ENSDARG00000006399,283
ENSDARG00000006408,169
ENSDARG00000006409,2
ENSDARG00000006413,95
ENSDARG00000006420,253
ENSDARG00000006422,94
ENSDARG00000006427,1875
ENSDARG00000006434,26
ENSDARG00000006447,7
ENSDARG00000006456,19
ENSDARG00000006467,21
ENSDARG00000006468,7
ENSDARG00000006474,8
ENSDARG00000006477,139
ENSDARG00000006487,283
ENSDARG00000006491,101
ENSDARG00000006494,87
ENSDARG00000006497,898
ENSDARG00000006501,6
ENSDARG00000006508,53
ENSDARG00000006514,53
ENSDARG00000006522,14
ENSDARG00000006524,770
ENSDARG00000006526,2686
ENSDARG00000006527,202
ENSDARG00000006544,15
ENSDARG00000006545,78
ENSDARG00000006546,121
ENSDARG00000006553,75
ENSDARG00000006560,0
ENSDARG00000006566,140
ENSDARG00000006567,4
ENSDARG00000006568,6
ENSDARG00000006577,22
ENSDARG00000006580,0
ENSDARG00000006584,261
ENSDARG00000006585,67
ENSDARG00000006588,165
ENSDARG00000006598,13
ENSDARG00000006600,107
ENSDARG00000006601,97
ENSDARG00000006602,11
ENSDARG00000006603,274
ENSDARG00000006604,19
ENSDARG00000006607,26
ENSDARG00000006609,64
ENSDARG00000006615,151
ENSDARG00000006617,47
ENSDARG00000006621,119
ENSDARG00000006624,95
ENSDARG00000006636,49
ENSDARG00000006639,46
ENSDARG00000006640,28
ENSDARG00000006642,52
ENSDARG00000006666,0
ENSDARG00000006672,31
ENSDARG00000006677,141
ENSDARG00000006678,4
ENSDARG00000006683,160
ENSDARG00000006691,1113
