Identifier,EE2-1ng/L-C
ENSDARG00000056400,0
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,218
ENSDARG00000092022,0
ENSDARG00000056381,1
ENSDARG00000056376,0
ENSDARG00000056369,6
ENSDARG00000011023,1
ENSDARG00000003046,1
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,8
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,1
ENSDARG00000095111,0
ENSDARG00000008287,3
ENSDARG00000015495,30
ENSDARG00000062081,4
ENSDARG00000018178,8
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,8
ENSDARG00000074275,3
ENSDARG00000075330,0
ENSDARG00000006392,1
ENSDARG00000073902,3
ENSDARG00000019945,10
ENSDARG00000086957,2
ENSDARG00000056151,81
ENSDARG00000061985,10
ENSDARG00000061981,2
ENSDARG00000003631,1
ENSDARG00000056133,0
ENSDARG00000070321,2
ENSDARG00000017744,9
ENSDARG00000070320,0
ENSDARG00000061952,1
ENSDARG00000061936,0
ENSDARG00000006434,4
ENSDARG00000037484,1
ENSDARG00000094729,0
ENSDARG00000095388,3
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,5
ENSDARG00000077648,3
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,35
ENSDARG00000080019,1
ENSDARG00000099995,3
ENSDARG00000070278,2
ENSDARG00000061830,0
ENSDARG00000041776,2
ENSDARG00000095632,0
ENSDARG00000037455,18
ENSDARG00000093816,0
ENSDARG00000070266,56
ENSDARG00000037429,0
ENSDARG00000055874,128
ENSDARG00000055876,9
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,18
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,11
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,8
ENSDARG00000037409,3
ENSDARG00000070173,5
ENSDARG00000052782,4
ENSDARG00000037406,2
ENSDARG00000034773,1
ENSDARG00000033273,1
ENSDARG00000055439,0
ENSDARG00000055443,5
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,0
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,2
ENSDARG00000114954,0
ENSDARG00000115778,2
ENSDARG00000026871,8
ENSDARG00000016470,41
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,12
ENSDARG00000002406,0
ENSDARG00000034007,13
ENSDARG00000061143,8
ENSDARG00000034896,10
ENSDARG00000116099,0
ENSDARG00000037378,8
ENSDARG00000012672,14
ENSDARG00000093064,4
ENSDARG00000061121,14
ENSDARG00000094677,1
ENSDARG00000054799,8
ENSDARG00000116939,0
ENSDARG00000037350,709
ENSDARG00000022845,6
ENSDARG00000019838,7
ENSDARG00000005799,3
ENSDARG00000013505,18
ENSDARG00000055022,10
ENSDARG00000061451,4
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,2
ENSDARG00000055099,8
ENSDARG00000070109,4
ENSDARG00000070098,12
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,22
ENSDARG00000083023,0
ENSDARG00000031108,34
ENSDARG00000015266,33
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,610
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,2
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,4
ENSDARG00000037309,4
ENSDARG00000054334,1
ENSDARG00000116715,0
ENSDARG00000060994,5
ENSDARG00000106456,0
ENSDARG00000074776,0
ENSDARG00000074451,0
ENSDARG00000079434,15
ENSDARG00000031817,4
ENSDARG00000074812,2
ENSDARG00000070055,7
ENSDARG00000070050,5
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,5
ENSDARG00000037281,18
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,2
ENSDARG00000013787,5
ENSDARG00000086790,0
ENSDARG00000006427,177
ENSDARG00000104824,0
ENSDARG00000076499,1
ENSDARG00000037266,8
ENSDARG00000077157,9
ENSDARG00000037256,3
ENSDARG00000116236,0
ENSDARG00000069998,1
ENSDARG00000053995,5
ENSDARG00000021702,25
ENSDARG00000054031,16
ENSDARG00000037259,40
ENSDARG00000037260,4
ENSDARG00000037261,10
ENSDARG00000037262,0
ENSDARG00000104309,1
ENSDARG00000077817,5
ENSDARG00000107180,0
ENSDARG00000076928,31
ENSDARG00000009685,11
ENSDARG00000079377,2
ENSDARG00000091678,4
ENSDARG00000014790,29
ENSDARG00000019581,14
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,4
ENSDARG00000023330,43
ENSDARG00000096667,6
ENSDARG00000037245,1
ENSDARG00000096554,1
ENSDARG00000079266,0
ENSDARG00000023600,23
ENSDARG00000033345,2
ENSDARG00000069989,23
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,8
ENSDARG00000069996,9
ENSDARG00000100083,11
ENSDARG00000031632,4
ENSDARG00000101474,4
ENSDARG00000104710,2
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,6
ENSDARG00000112052,1
ENSDARG00000089334,1
ENSDARG00000053456,1
ENSDARG00000053466,6
ENSDARG00000053463,2
ENSDARG00000037109,5
ENSDARG00000096538,0
ENSDARG00000005739,30
ENSDARG00000053496,8
ENSDARG00000053500,12
ENSDARG00000053502,7
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,1
ENSDARG00000069804,0
ENSDARG00000078546,5
ENSDARG00000037099,12
ENSDARG00000060620,2
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,10
ENSDARG00000095590,0
ENSDARG00000031202,3
ENSDARG00000037144,2
ENSDARG00000037177,35
ENSDARG00000003866,37
ENSDARG00000037178,6
ENSDARG00000028982,13
ENSDARG00000055839,0
ENSDARG00000060477,9
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,10
ENSDARG00000026771,4
ENSDARG00000096632,32
ENSDARG00000099758,16
ENSDARG00000093065,2
ENSDARG00000074302,0
ENSDARG00000003142,4
ENSDARG00000096668,9
ENSDARG00000042688,0
ENSDARG00000060559,1
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,21
ENSDARG00000092278,0
ENSDARG00000019715,3
ENSDARG00000017174,1
ENSDARG00000069946,13
ENSDARG00000074575,25
ENSDARG00000069951,6
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,7
ENSDARG00000039616,4
ENSDARG00000095941,3
ENSDARG00000018611,0
ENSDARG00000053269,6
ENSDARG00000039615,0
ENSDARG00000060501,2
ENSDARG00000039613,1
ENSDARG00000029751,1
ENSDARG00000027572,0
ENSDARG00000078733,4
ENSDARG00000058231,7
ENSDARG00000053248,5
ENSDARG00000012896,9
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,1
ENSDARG00000107292,0
ENSDARG00000079455,15
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,3
ENSDARG00000074815,10
ENSDARG00000033380,2
ENSDARG00000051975,26
ENSDARG00000079280,6
ENSDARG00000053586,13
ENSDARG00000002190,18
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,23
ENSDARG00000012763,5
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,4
ENSDARG00000081597,0
ENSDARG00000032056,10
ENSDARG00000074860,7
ENSDARG00000053542,8
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,6
ENSDARG00000015506,2
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,5
ENSDARG00000069910,16
ENSDARG00000109513,0
ENSDARG00000092693,492
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,1
ENSDARG00000093282,1
ENSDARG00000101520,0
ENSDARG00000075798,1
ENSDARG00000037018,15
ENSDARG00000074677,2
ENSDARG00000094485,0
ENSDARG00000060397,11
ENSDARG00000094648,0
ENSDARG00000027199,8
ENSDARG00000115856,0
ENSDARG00000060383,5
ENSDARG00000037002,0
ENSDARG00000076171,32
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,30
ENSDARG00000069737,16
ENSDARG00000095555,0
ENSDARG00000011876,10
ENSDARG00000078789,7
ENSDARG00000036755,1
ENSDARG00000078326,11
ENSDARG00000102082,2
ENSDARG00000081340,0
ENSDARG00000034093,6
ENSDARG00000102787,12
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,1
ENSDARG00000074989,17
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,10
ENSDARG00000082660,0
ENSDARG00000057303,13
ENSDARG00000113575,0
ENSDARG00000029722,153
ENSDARG00000008305,5
ENSDARG00000117649,0
ENSDARG00000007477,2
ENSDARG00000053106,4
ENSDARG00000012016,3
ENSDARG00000011066,7
ENSDARG00000004621,203
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,8
ENSDARG00000089976,24
ENSDARG00000069640,2
ENSDARG00000104657,1
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,41
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,2
ENSDARG00000085746,0
ENSDARG00000007387,1
ENSDARG00000024828,2
ENSDARG00000070162,43
ENSDARG00000104907,5
ENSDARG00000080987,0
ENSDARG00000079183,1
ENSDARG00000104437,24
ENSDARG00000103145,5
ENSDARG00000069701,0
ENSDARG00000020857,2
ENSDARG00000093120,2
ENSDARG00000074662,0
ENSDARG00000076585,9
ENSDARG00000079631,6
ENSDARG00000018587,1
