Identifier,EE2-1ng/L-B
ENSDARG00000054799,2
ENSDARG00000116939,0
ENSDARG00000037350,341
ENSDARG00000022845,1
ENSDARG00000019838,6
ENSDARG00000005799,2
ENSDARG00000013505,3
ENSDARG00000055022,5
ENSDARG00000061451,0
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,2
ENSDARG00000055099,1
ENSDARG00000070109,3
ENSDARG00000070098,6
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,6
ENSDARG00000083023,0
ENSDARG00000031108,8
ENSDARG00000015266,9
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,231
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,4
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,4
ENSDARG00000037309,0
ENSDARG00000054334,5
ENSDARG00000116715,0
ENSDARG00000060994,0
ENSDARG00000106456,0
ENSDARG00000074776,0
ENSDARG00000074451,0
ENSDARG00000079434,2
ENSDARG00000031817,1
ENSDARG00000074812,3
ENSDARG00000070055,2
ENSDARG00000070050,5
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,5
ENSDARG00000037281,22
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,2
ENSDARG00000013787,3
ENSDARG00000086790,1
ENSDARG00000006427,128
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,1
ENSDARG00000077157,6
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,0
ENSDARG00000053995,2
ENSDARG00000021702,13
ENSDARG00000054031,1
ENSDARG00000037259,18
ENSDARG00000037260,3
ENSDARG00000037261,3
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,1
ENSDARG00000107180,0
ENSDARG00000076928,6
ENSDARG00000009685,6
ENSDARG00000079377,2
ENSDARG00000091678,1
ENSDARG00000014790,6
ENSDARG00000019581,3
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,0
ENSDARG00000023330,18
ENSDARG00000096667,0
ENSDARG00000037245,1
ENSDARG00000096554,2
ENSDARG00000079266,0
ENSDARG00000023600,7
ENSDARG00000033345,0
ENSDARG00000069989,8
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,4
ENSDARG00000069996,2
ENSDARG00000100083,7
ENSDARG00000031632,4
ENSDARG00000101474,2
ENSDARG00000104710,1
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,1
ENSDARG00000112052,0
ENSDARG00000089334,0
ENSDARG00000053456,2
ENSDARG00000053466,3
ENSDARG00000053463,1
ENSDARG00000037109,4
ENSDARG00000096538,0
ENSDARG00000005739,2
ENSDARG00000053496,2
ENSDARG00000053500,2
ENSDARG00000053502,0
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,1
ENSDARG00000037099,4
ENSDARG00000060620,0
ENSDARG00000075858,1
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,1
ENSDARG00000095590,0
ENSDARG00000031202,1
ENSDARG00000037144,2
ENSDARG00000037177,6
ENSDARG00000003866,16
ENSDARG00000037178,0
ENSDARG00000028982,5
ENSDARG00000055839,0
ENSDARG00000060477,2
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,8
ENSDARG00000026771,0
ENSDARG00000096632,15
ENSDARG00000099758,3
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,1
ENSDARG00000096668,6
ENSDARG00000042688,1
ENSDARG00000060559,0
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,4
ENSDARG00000092278,0
ENSDARG00000019715,1
ENSDARG00000017174,0
ENSDARG00000069946,4
ENSDARG00000074575,4
ENSDARG00000069951,2
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,0
ENSDARG00000039616,0
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,2
ENSDARG00000039615,0
ENSDARG00000060501,3
ENSDARG00000039613,2
ENSDARG00000029751,0
ENSDARG00000027572,1
ENSDARG00000078733,1
ENSDARG00000058231,3
ENSDARG00000053248,1
ENSDARG00000012896,0
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,2
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,0
ENSDARG00000107292,0
ENSDARG00000079455,4
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,2
ENSDARG00000074815,3
ENSDARG00000033380,0
ENSDARG00000051975,6
ENSDARG00000079280,2
ENSDARG00000053586,3
ENSDARG00000002190,11
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,1
ENSDARG00000012763,3
ENSDARG00000013023,1
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,1
ENSDARG00000081597,0
ENSDARG00000032056,1
ENSDARG00000074860,3
ENSDARG00000053542,4
ENSDARG00000094556,0
ENSDARG00000053535,0
ENSDARG00000111052,0
ENSDARG00000015312,0
ENSDARG00000015506,3
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,3
ENSDARG00000069910,6
ENSDARG00000109513,0
ENSDARG00000092693,214
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,0
ENSDARG00000037018,7
ENSDARG00000074677,0
ENSDARG00000094485,0
ENSDARG00000060397,6
ENSDARG00000094648,0
ENSDARG00000027199,2
ENSDARG00000115856,0
ENSDARG00000060383,3
ENSDARG00000037002,0
ENSDARG00000076171,6
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,4
ENSDARG00000069737,5
ENSDARG00000095555,0
ENSDARG00000011876,5
ENSDARG00000078789,4
ENSDARG00000036755,1
ENSDARG00000078326,8
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,2
ENSDARG00000102787,3
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,1
ENSDARG00000074989,2
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,0
ENSDARG00000082660,0
ENSDARG00000057303,8
ENSDARG00000113575,0
ENSDARG00000029722,71
