	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000099558	-0.0965105770116388	0.00708361969033788	-0.0485343589447513	-1.29890855382919	8.83957798303365	9.89962419962639	0.000137816618779964	0.00313775845931647
ENSDARG00000104434	1.1232913965238	0.984440786612253	0.81075919839845	0.742492410536687	5.54829829019161	9.88900060891701	0.000138760422546182	0.00313775845931647
ENSDARG00000007988	0.112514019332822	-0.216825736154991	0.149899333580505	-1.04630632962376	6.7820879528358	9.8779275863834	0.000139751710365862	0.00313775845931647
ENSDARG00000104818	0.0962876604899243	0.0662672687478914	0.0669771258381981	-0.909179218411996	8.95327653364371	9.84912779429222	0.000142366536266628	0.00313775845931647
ENSDARG00000017444	0.151774318729407	-0.0351682019323025	0.228736999268911	-0.865015447659645	8.58786799761505	9.66774164265103	0.000160121780591731	0.00318427517323252
ENSDARG00000077874	0.464123893080378	0.316276844256895	0.0236951658083475	1.12918536692157	5.88716584781968	9.65758361736015	0.00016118561006761	0.00318427517323252
ENSDARG00000029493	0.226334192701226	0.0838547099333233	0.267955313597196	-0.95834570408431	7.19699345927819	9.65161463178487	0.000161814346371163	0.00318427517323252
ENSDARG00000094104	0.454560189294837	0.299735783797686	-0.0660297696699894	1.58357426108534	4.99994947254126	9.48209841535424	0.000180843661064777	0.00343602956023076
ENSDARG00000040568	-0.264732594574476	-0.284087223090141	-0.118182212657064	-1.1661992090869	6.62635978008521	9.31987980243663	0.000201374941117999	0.00363809476992077
ENSDARG00000002197	0.157035776086522	-0.146633562859636	0.0874514069686985	-1.04756257157283	9.80963352947566	9.27860104223958	0.000206998796016703	0.00363809476992077
ENSDARG00000071306	0.344996660228969	0.632728511214274	0.875865708994073	-0.648272921820744	4.35506049365037	9.17627190841114	0.000221697710310823	0.00363809476992077
ENSDARG00000117378	-0.161401084672042	-0.037844941907923	0.194645911098	-1.10136801778007	5.71545728860674	9.12353587700751	0.000229717114772597	0.00363809476992077
ENSDARG00000040747	-0.060774106603299	0.0182716011108344	-0.0609503672887648	-0.935805090005397	11.5486591698097	9.07863348109313	0.000236796490978405	0.00363809476992077
ENSDARG00000004904	0.157992557813815	-0.0728912837355313	0.131418003283377	-0.948577761886792	9.1605296058051	9.04411249841314	0.000242401893254636	0.00363809476992077
ENSDARG00000007024	0.0958229002268869	-0.206319956116308	0.154801021160054	-0.898255541804792	9.90882278196568	9.03201616018737	0.00024440036813991	0.00363809476992077
ENSDARG00000058053	0.431764961681923	0.102244034523766	0.472196758279087	-1.00460009360518	6.05541304356199	8.99951518868096	0.000249860057582061	0.00363809476992077
ENSDARG00000078757	0.258820091642571	0.119975798306116	0.13890281394449	-0.78027644391568	9.44523671488372	8.99339481369239	0.000250903087580743	0.00363809476992077
ENSDARG00000110341	0.157581868538988	-0.0020466366336418	0.0693610370836435	-0.91925300344996	6.25953085749042	8.89447660639966	0.00026844042319688	0.00379258136362772
