sample,fastq_1,fastq_2,strandedness
Fadrozole_0-01_C,./fq_files/NS.2049.001.UDP0155_i7---UDP0155_i5.Fadrozole_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0155_i7---UDP0155_i5.Fadrozole_0-01_C_R2.fastq.gz,auto
Fadrozole_0-1_A,./fq_files/NS.2049.001.UDP0156_i7---UDP0156_i5.Fadrozole_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0156_i7---UDP0156_i5.Fadrozole_0-1_A_R2.fastq.gz,auto
Fadrozole_0-1_B,./fq_files/NS.2049.001.UDP0157_i7---UDP0157_i5.Fadrozole_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0157_i7---UDP0157_i5.Fadrozole_0-1_B_R2.fastq.gz,auto
Fadrozole_0-1_C,./fq_files/NS.2049.001.UDP0158_i7---UDP0158_i5.Fadrozole_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0158_i7---UDP0158_i5.Fadrozole_0-1_C_R2.fastq.gz,auto
Fadrozole_1_B,./fq_files/NS.2049.001.UDP0160_i7---UDP0160_i5.Fadrozole_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0160_i7---UDP0160_i5.Fadrozole_1_B_R2.fastq.gz,auto
Fadrozole_1_C,./fq_files/NS.2049.001.UDP0161_i7---UDP0161_i5.Fadrozole_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0161_i7---UDP0161_i5.Fadrozole_1_C_R2.fastq.gz,auto
Fenitrothion_0_A,./fq_files/NS.2049.001.UDP0162_i7---UDP0162_i5.Fenitrothion_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0162_i7---UDP0162_i5.Fenitrothion_0_A_R2.fastq.gz,auto
Fenitrothion_0_B,./fq_files/NS.2049.001.UDP0163_i7---UDP0163_i5.Fenitrothion_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0163_i7---UDP0163_i5.Fenitrothion_0_B_R2.fastq.gz,auto
Fenitrothion_0_C,./fq_files/NS.2049.001.UDP0164_i7---UDP0164_i5.Fenitrothion_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0164_i7---UDP0164_i5.Fenitrothion_0_C_R2.fastq.gz,auto
Fenitrothion_0-0001_A,./fq_files/NS.2049.001.UDP0165_i7---UDP0165_i5.Fenitrothion_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0165_i7---UDP0165_i5.Fenitrothion_0-0001_A_R2.fastq.gz,auto
