B4,Counts
ENSDARG00000003213,577
ENSDARG00000003216,479
ENSDARG00000003217,76
ENSDARG00000003219,291
ENSDARG00000003229,0
ENSDARG00000003235,42
ENSDARG00000003244,26
ENSDARG00000003250,55
ENSDARG00000003251,58
ENSDARG00000003257,12
ENSDARG00000003259,49
ENSDARG00000003269,364
ENSDARG00000003270,53
ENSDARG00000003281,157
ENSDARG00000003287,43
ENSDARG00000003290,82
ENSDARG00000003293,402
ENSDARG00000003303,0
ENSDARG00000003307,176
ENSDARG00000003308,171
ENSDARG00000003311,76
ENSDARG00000003313,42
ENSDARG00000003320,187
ENSDARG00000003326,5
ENSDARG00000003328,33
ENSDARG00000003344,4
ENSDARG00000003373,33
ENSDARG00000003375,48
ENSDARG00000003380,2
ENSDARG00000003381,54
ENSDARG00000003382,112
ENSDARG00000003383,96
ENSDARG00000003395,36
ENSDARG00000003398,76
ENSDARG00000003399,7
ENSDARG00000003403,170
ENSDARG00000003411,149
ENSDARG00000003414,4
ENSDARG00000003420,10
ENSDARG00000003421,230
ENSDARG00000003429,115
ENSDARG00000003444,76
ENSDARG00000003446,41
ENSDARG00000003449,103
ENSDARG00000003462,369
ENSDARG00000003469,69
ENSDARG00000003475,16
ENSDARG00000003486,419
ENSDARG00000003487,198
ENSDARG00000003495,387
ENSDARG00000003512,435
ENSDARG00000003517,26
ENSDARG00000003519,84
ENSDARG00000003520,70
ENSDARG00000003523,18
ENSDARG00000003526,293
ENSDARG00000003527,92
ENSDARG00000003531,139
ENSDARG00000003533,4
ENSDARG00000003544,117
ENSDARG00000003553,0
ENSDARG00000003564,126
ENSDARG00000003570,507
ENSDARG00000003573,164
ENSDARG00000003576,13
ENSDARG00000003584,103
ENSDARG00000003592,21
ENSDARG00000003599,6923
ENSDARG00000003607,137
ENSDARG00000003615,119
ENSDARG00000003616,150
ENSDARG00000003631,207
ENSDARG00000003632,1
ENSDARG00000003635,32
ENSDARG00000003641,304
ENSDARG00000003642,90
ENSDARG00000003655,686
ENSDARG00000003675,51
ENSDARG00000003680,483
ENSDARG00000003681,596
ENSDARG00000003684,167
ENSDARG00000003693,120
ENSDARG00000003695,1384
ENSDARG00000003697,22
ENSDARG00000003699,197
ENSDARG00000003701,0
ENSDARG00000003705,379
ENSDARG00000003706,19
ENSDARG00000003732,18
ENSDARG00000003749,98
ENSDARG00000003750,241
ENSDARG00000003751,162
ENSDARG00000003754,133
ENSDARG00000003757,28
ENSDARG00000003769,48
ENSDARG00000003776,130
ENSDARG00000003779,199
ENSDARG00000003789,229
ENSDARG00000003795,2329
ENSDARG00000003797,18
ENSDARG00000003803,12
ENSDARG00000003808,141
ENSDARG00000003811,872
ENSDARG00000003818,223
ENSDARG00000003820,306
ENSDARG00000003822,14
ENSDARG00000003827,14
ENSDARG00000003829,277
ENSDARG00000003835,708
ENSDARG00000003841,16
ENSDARG00000003845,84
ENSDARG00000003846,28
ENSDARG00000003854,654
ENSDARG00000003860,184
ENSDARG00000003865,41
ENSDARG00000003866,243
ENSDARG00000003867,22
ENSDARG00000003869,69
ENSDARG00000003872,90
ENSDARG00000003877,272
ENSDARG00000003899,0
ENSDARG00000003900,1
ENSDARG00000003902,699
ENSDARG00000003903,0
ENSDARG00000003904,1
ENSDARG00000003909,2
ENSDARG00000003910,181
ENSDARG00000003920,378
ENSDARG00000003925,2
ENSDARG00000003927,91
ENSDARG00000003931,257
ENSDARG00000003934,15
ENSDARG00000003938,272
ENSDARG00000003940,140
ENSDARG00000003941,107
